id,created_at,text
940073432418357248,2017-12-11 04:19:06,b'@realDonaldTrump @USArmy @USNavy now you support the troops \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\nmake up yo damn mind \xf0\x9f\x98\x8e'
932384101851713538,2017-11-19 23:04:27,b'@realDonaldTrump kae ngkel meral di tmelang ngkel delam el daitorio... kaw diak mosiik rolel em relii tial USA el m\xe2\x80\xa6 https://t.co/2xMri6FCwK'
932143324689063936,2017-11-19 07:07:41,b'Win Across America Holiday Shopping Spree!https://t.co/rVJ7JVMP8Z.'
922973768061997064,2017-10-24 23:51:08,b'beautiful young palauans dancing and celebrating UN DAY\xf0\x9f\x87\xb5\xf0\x9f\x87\xbchttps://t.co/0k5tTiq2UM'
922918260034514944,2017-10-24 20:10:34,b'RT @Breaking911: LIVESTREAM: White House To Respond After Sen. Flake Slammed Trump On Senate Floor - https://t.co/CmclA2YhLZ https://t.co/H\xe2\x80\xa6'
921190912038002688,2017-10-20 01:46:42,b'PALAU_ONE_PRIDE\n\xf0\x9f\x87\xb5\xf0\x9f\x87\xbc\xf0\x9f\x92\x9a\xf0\x9f\x92\x9b\xe2\x9d\xa4\xf0\x9f\x87\xb5\xf0\x9f\x87\xbc https://t.co/LwlApD3kkC'
919325980065452032,2017-10-14 22:16:08,b'https://t.co/BMCm6NgB0r'
917845142329069568,2017-10-10 20:11:49,b'@TheEllenShow @BrunoMars  https://t.co/o7zB9LRKB2'
914090113281531904,2017-09-30 11:30:40,b'@realDonaldTrump  https://t.co/uMucaATCoN'
914086453373800449,2017-09-30 11:16:08,b'@TheEllenShow @llcoolj congratulations \xf0\x9f\x98\x89'
911316816236072960,2017-09-22 19:50:35,b'https://t.co/rRVYDpMoSF'
