id,created_at,text
940073282438443009,2017-12-11 04:18:30,"b""@realDonaldTrump @PhilBryantMS To bad you didn't take the time to actually tour it and learn from it."""
940072798285729798,2017-12-11 04:16:35,"b'@realDonaldTrump You sir, are the stain on America!'"
939492748574576641,2017-12-09 13:51:40,"b""@realDonaldTrump You do realize that Moore is running in Alabama, not Florida, don't you?"""
939491649494962177,2017-12-09 13:47:18,"b""@realDonaldTrump @CNN Why? They haven't fired you yet! The most grossly incompetent person to ever hold the office of POTUS."""
939223310189191168,2017-12-08 20:01:01,b'@washingtonpost Because he is destroying the middle class to achieve it. Wages are not increasing &amp; the middle clas\xe2\x80\xa6 https://t.co/aV4emG2qiA'
939222811780046848,2017-12-08 19:59:02,b'@realDonaldTrump @SecretaryAcosta @USDOL When are we going to see the promised increases in the salaries of working\xe2\x80\xa6 https://t.co/ghGKuP9uaK'
939221738658893829,2017-12-08 19:54:47,b'@washingtonpost His votes and actions are not consistent with that position.'
939221399234850819,2017-12-08 19:53:26,b'@realDonaldTrump Campaign rallies really should be held in the same state that the candidate you are supporting is running for office.'
938926591949922305,2017-12-08 00:21:58,b'@CNN Going to use the same stoner physician that did the last one?'
938925867572629504,2017-12-08 00:19:05,"b""@washingtonpost Still trying to understand why the POTUS doesn't."""
937665866568740864,2017-12-04 12:52:18,b'@nytimes Of course they have a bias against him. They have a bias against all criminals.'
937398923068571648,2017-12-03 19:11:33,"b'@realDonaldTrump @POTUS Flynn destroyed his own life, and hopefully yours too.'"
937398719133245440,2017-12-03 19:10:45,b'@realDonaldTrump @POTUS One more time. Please identify the many people of which you speak.'
937184374608617472,2017-12-03 04:59:01,"b""@washingtonpost Once Donnie Boy's base figures out how badly he, and the Republicans in Congress screwed them over,\xe2\x80\xa6 https://t.co/SroHTF9hY9"""
937183680384167936,2017-12-03 04:56:16,"b""@realDonaldTrump @ABC It's bedtime for Bonzo. So put down your phone and call it a night."""
936936783794921473,2017-12-02 12:35:11,b'@realDonaldTrump @SenateMajLdr @senorrinhatch How do you lie like that with a straight face. This bill is a massive\xe2\x80\xa6 https://t.co/uSWc1G0V1E'
936591581913796608,2017-12-01 13:43:28,b'@realDonaldTrump Just how stupid do you have to be to believe that these tax cuts in any way benefit the lower and middle class?'
936591071232102400,2017-12-01 13:41:27,"b""@realDonaldTrump Don't forget to acknowledge, and make the appropriate holiday greetings to the millions of citizen\xe2\x80\xa6 https://t.co/kPmo9m5Oku"""
936590210787397632,2017-12-01 13:38:01,b'@realDonaldTrump You need to find someone to explain how the legal system works. Previous history has no relevance\xe2\x80\xa6 https://t.co/JiwrYkP1mv'
936243503050514433,2017-11-30 14:40:20,b'@realDonaldTrump @nytimes @foxandfriends And Twitter continues to allow you to rant in defiance of their own guidelines for behavior.'
936076033597542401,2017-11-30 03:34:52,"b""@VP @POTUS @radiotalkermike It hasn't really worked out too well in Indiana, has it?"""
935170482252500994,2017-11-27 15:36:32,b'@realDonaldTrump Why not include Faux News? They would win hands down!'
934252975933009920,2017-11-25 02:50:41,"b""@comcast Doesn't say anything about charging more for faster speeds or content."""
933326913497718786,2017-11-22 13:30:51,b'@realDonaldTrump That is what they used to do before the US paid them to have them on the field in a gesture of forced patriotism.'
933325950858690560,2017-11-22 13:27:01,"b'@realDonaldTrump Shoplifting is a crime, but not on a par with sexual abuse, or theft by refusing to pay for goods\xe2\x80\xa6 https://t.co/CkNq6oLEFT'"
932640747928637440,2017-11-20 16:04:16,"b'@realDonaldTrump @foxandfriends @Varneyco Yes, but will those jobs pay enough to live on?'"
932640081445351425,2017-11-20 16:01:37,"b""@realDonaldTrump Still haven't had someone read the constitution to you?"""
932449333647167488,2017-11-20 03:23:39,"b'@realDonaldTrump What did he say about Obama, my favorite president?'"
932448853520941056,2017-11-20 03:21:45,b'@DanRather @JeffFlake I missed it. What did he say about Obama?'
931368846451265536,2017-11-17 03:50:11,"b""@realDonaldTrump @POTUS Didn't your pal Putin just veto it?"""
931364339986108418,2017-11-17 03:32:17,b'@realDonaldTrump When are you going to admit to your own sexual abuses?'
929533444241199105,2017-11-12 02:16:57,"b'@realDonaldTrump Why would you insult him and risk a nuclear war by calling him ""Little Rocket Man?""'"
926544347461451776,2017-11-03 20:19:21,b'@washingtonpost Do you mean like all of the unfounded investigations of Hillary? Why is it so hard to expect honest\xe2\x80\xa6 https://t.co/AOaf4ZqNiC'
926441158716346368,2017-11-03 13:29:19,"b""@realDonaldTrump Once again, please explain who everybody is! Because, there are hundreds of thousands of us who aren't!"""
926440004624232449,2017-11-03 13:24:44,"b""@realDonaldTrump You're right. The American people are angry that a vule, despicable, soulless individual is POTUS."""
926069632372535296,2017-11-02 12:53:00,b'@nytimes It is not a smile. It is a purely evil grin.'
925952654467043328,2017-11-02 05:08:10,b'@CNN Awww.'
925952222386704384,2017-11-02 05:06:27,"b""@realDonaldTrump If it weren't for your fellow Republicans in the House of Representatives, chain migration would have ended years ago."""
925951496012918787,2017-11-02 05:03:34,b'@ColumbiaBugle @realDonaldTrump  https://t.co/jh0HDucEFN'
925951194954125312,2017-11-02 05:02:22,b'@realDonaldTrump When are you going to start even basic vetting of your white supremacist staff and supporters?'
925522405577166849,2017-11-01 00:38:31,"b""@realDonaldTrump We haven't defeated them anywhere. An ideology can only be defeated by education and good will. It\xe2\x80\xa6 https://t.co/kwmbdSjOcH"""
925055594922414080,2017-10-30 17:43:35,b'@realDonaldTrump During the same time period that you were laundering money through your real estate?'
925055306903834626,2017-10-30 17:42:26,"b'@realDonaldTrump Guilt by association. Tick Tock, Tick Tock.'"
924264007296483329,2017-10-28 13:18:05,b'@realDonaldTrump @FoxNews  https://t.co/zhXeFpIjlp'
924000406652506112,2017-10-27 19:50:38,"b'@CNN When you start a bs article with Sanders: it should specify Sarah, not Bernie.'"
924000013885362176,2017-10-27 19:49:05,b'@realDonaldTrump More FAKE news from the Trump administration.'
923541278037565440,2017-10-26 13:26:13,b'@VP @POTUS Your time would be better spent convincing the Trump administration to end the persecution of minorities\xe2\x80\xa6 https://t.co/4hiOBmfTEY'
923540673067978752,2017-10-26 13:23:49,b'@IvankaTrump @realDonaldTrump Do you even know what a working person looks like?'
923155047273455621,2017-10-25 11:51:29,"b""@realDonaldTrump @FoxNews Just because they paid for it doesn't mean that it isn't true."""
923154523329310721,2017-10-25 11:49:24,b'@washingtonpost Flake is a big part of the problem. He is not part of the solution. He has voted time and again for\xe2\x80\xa6 https://t.co/LCubOWfQKP'
923153505132666880,2017-10-25 11:45:21,"b'@PreetBharara Flake and Corker have no credibility, as they continue to support Trump with their votes.'"
922875325226287104,2017-10-24 17:19:58,"b""@realDonaldTrump Isn't that what you said about Medicare, Medicaid, and Insurance Coverage?"""
922582573523587072,2017-10-23 21:56:40,b'@realDonaldTrump https://t.co/7Xc0t4jFjb'
922581819219902464,2017-10-23 21:53:41,"b'@SLandinSoCal @realDonaldTrump This, of course, is not the same woman.'"
922581576596123650,2017-10-23 21:52:43,"b'@realDonaldTrump Have you no decency, sir? Have you no shame?'"
921477124736905216,2017-10-20 20:44:01,"b'@washingtonpost But, at least you will get a realistic idea of what happened, instead of a collaborative report writing exercise.'"
921336582195568643,2017-10-20 11:25:33,"b'@realDonaldTrump You truly are despicable. For once in your life admit your mistake, apologize &amp; move on. Your own\xe2\x80\xa6 https://t.co/UZfBcxs52e'"
920702121221218304,2017-10-18 17:24:26,"b'@washingtonpost He is a despicable excuse of a human being. Totally devoid of morality, compassion, empathy, and ev\xe2\x80\xa6 https://t.co/RUshGC7Tko'"
920633452021420032,2017-10-18 12:51:34,"b'@realDonaldTrump No. It is you, the POTUS, showing great disrespect by challenging the constitution.'"
920632856069787650,2017-10-18 12:49:12,"b'@realDonaldTrump Ok, show us the proof.'"
919019728089370624,2017-10-14 01:59:12,"b'@SenSanders He is destroying the entire US government, not just health care.'"
918850180031696896,2017-10-13 14:45:28,b'@CNN Is she ashamed of her traitorous actions making propaganda during the Vietnam Conflict?'
918457041970257920,2017-10-12 12:43:17,"b'@realDonaldTrump No, but they have to stay long enough to rebuild a country that is broke, destitute, and destroyed\xe2\x80\xa6 https://t.co/QEXeyEJrkz'"
918230036330754048,2017-10-11 21:41:15,b'@JacobAWohl @realDonaldTrump Even when they are involved in criminal acts? Bull shit!'
918229713570721792,2017-10-11 21:39:58,b'@realDonaldTrump But you want to make disaster aid to Puerto Rico a loan? Disgusting.'
917790362495799296,2017-10-10 16:34:08,b'@realDonaldTrump Medicare for all?'
917713444786274306,2017-10-10 11:28:30,b'@PreetBharara @StephenAtHome Me too'
917364555822583810,2017-10-09 12:22:08,b'@realDonaldTrump @VP No!'
