id,created_at,text
940052886116904966,2017-12-11 02:57:28,b'@realDonaldTrump @PhilBryantMS Shameful. Remember your settlement with the DoJ for discrimination?'
940052799835979777,2017-12-11 02:57:07,"b""@realDonaldTrump @USArmy @USNavy What's your current golf handicap or are you watching TV all day today? How many Diet Cokes?"""
940052571682570240,2017-12-11 02:56:13,b'@realDonaldTrump Carrier left. Ford chose to build in Mexico. Harley closing. Who is coming that is guaranteed?'
940052434759462912,2017-12-11 02:55:40,"b'@realDonaldTrump Yes, all of us in the middle class will be screwed and your rich friends will pay the higher fees\xe2\x80\xa6 https://t.co/sQ5y1WtXQQ'"
940052258464481286,2017-12-11 02:54:58,b'@realDonaldTrump Mistakes were apologized for by real news media. When are you going to apologize for your lies? 1.\xe2\x80\xa6 https://t.co/3wL1nCatC9'
940051690878668807,2017-12-11 02:52:43,b'@amjoyshow YES!'
940050678658895873,2017-12-11 02:48:41,"b'RT @SenBobCasey: I tried to amend the tax bill to guarantee that if shareholders and CEOs benefit from corporate tax cuts, workers would to\xe2\x80\xa6'"
940050567233093632,2017-12-11 02:48:15,"b'@amjoyshow As a 14 yo when @MooreSenate was in the Gadsden mall, we thought it was weird and creepy and predatory w\xe2\x80\xa6 https://t.co/vLziwvpWA0'"
940050116202840065,2017-12-11 02:46:27,b'@ananavarro I heard it. He read from a teleprompter but conveyed no real emotion.'
940049948942393344,2017-12-11 02:45:47,"b""RT @ShaunKing: The Brutal Police Execution of Daniel Shaver\n\nSadly I've studied 100s of videos of American police executing non-violent, un\xe2\x80\xa6"""
940049845145944064,2017-12-11 02:45:23,b'@ananavarro This is the result of his ideal era. https://t.co/6sT9wibQ3v'
940049527725219840,2017-12-11 02:44:07,"b'@MooreSenate this is the era that you say was so great. Black families are owed our apologies, not your statement t\xe2\x80\xa6 https://t.co/t8NuvOUQwj'"
940047370816970752,2017-12-11 02:35:33,b'RT @SenBobCasey: Cost of GOP tax bill = $1.446 trillion (over 10 years)\nCost of 5-years of health insurance for 9 million kids = $8.5 billi\xe2\x80\xa6'
940047330639724544,2017-12-11 02:35:23,b'RT @ALT_uscis: Fans of President Donald Trump\xe2\x80\x99s wall and immigration activists clashed  near the U.S.-Mexico border in San Diego on Saturda\xe2\x80\xa6'
940047293453017089,2017-12-11 02:35:14,"b'RT @kurteichenwald: I know it\'s accepted now, but I took a step back &amp; thought, ""How would I have viewed this 2 years ago?"" Mind blown.\n\nTh\xe2\x80\xa6'"
