id,created_at,text
940265135901421569,2017-12-11 17:00:52,b'@realDonaldTrump @nytimes'
940088302920597504,2017-12-11 05:18:12,b'@realDonaldTrump @WhiteHouse  https://t.co/r92l7g9R32'
940088194367758336,2017-12-11 05:17:46,b'@realDonaldTrump  https://t.co/eItINjLbqV'
940087955623788545,2017-12-11 05:16:49,b'@realDonaldTrump  https://t.co/68zOKrEAmq'
940087552698064896,2017-12-11 05:15:13,b'@realDonaldTrump Campaign promise?  Like show your taxes?'
940087334925512704,2017-12-11 05:14:21,b'@realDonaldTrump  https://t.co/Az03ndngou'
940087083275665409,2017-12-11 05:13:21,b'@realDonaldTrump  https://t.co/eyDnpp3JNA'
940086748364681218,2017-12-11 05:12:01,b'@realDonaldTrump  https://t.co/RZjxAC4Fzy'
940086288769728512,2017-12-11 05:10:11,b'@realDonaldTrump @daveweigel This is a flat out lie.  People saw the huge amount of empty seats'
940085911106158593,2017-12-11 05:08:41,b'@realDonaldTrump  https://t.co/mxqp20eh7O'
940085728523960320,2017-12-11 05:07:58,b'@realDonaldTrump  https://t.co/zy5x4cgFIM'
940085581349974017,2017-12-11 05:07:23,b'@realDonaldTrump  https://t.co/pCj7KUgDry'
940085295256518662,2017-12-11 05:06:14,b'@realDonaldTrump  https://t.co/sam0sw6WSy'
940085124363796480,2017-12-11 05:05:34,b'@realDonaldTrump  https://t.co/Cu8524hsFq'
939695924451987456,2017-12-10 03:19:01,b'@realDonaldTrump  https://t.co/frwtrTAZXE'
939670175535783937,2017-12-10 01:36:42,b'@realDonaldTrump Liar!'
939250713175175168,2017-12-08 21:49:55,b'@realDonaldTrump @SecretaryAcosta @USDOL  https://t.co/aktmlFUe9h'
939250611920523264,2017-12-08 21:49:30,b'@realDonaldTrump @SecretaryAcosta @USDOL  https://t.co/uydiAawTnt'
939250435726168066,2017-12-08 21:48:48,b'@realDonaldTrump @SecretaryAcosta @USDOL  https://t.co/KZqjASYed2'
939250331766214656,2017-12-08 21:48:24,b'@realDonaldTrump @SecretaryAcosta @USDOL  https://t.co/7nN3dseXFO'
939250272651694086,2017-12-08 21:48:10,b'@realDonaldTrump @SecretaryAcosta @USDOL  https://t.co/BBDTiOXhIl'
939250042354925568,2017-12-08 21:47:15,b'@realDonaldTrump @SecretaryAcosta @USDOL  https://t.co/p4UMbN8wS1'
939249917268234241,2017-12-08 21:46:45,b'@realDonaldTrump  https://t.co/VNyQAnFM7d'
939249603777622016,2017-12-08 21:45:30,b'@realDonaldTrump I knew you had molested women but now you are also a pedophile aupporter. https://t.co/960sYbTCJ0'
939247512921231362,2017-12-08 21:37:12,b'@realDonaldTrump @SecretaryAcosta @USDOL If your mouth is open you are spewing hate and lies'
939247379806552070,2017-12-08 21:36:40,b'@realDonaldTrump You insulted native Americans.  You are souless and have dementia'
939247098549166080,2017-12-08 21:35:33,b'@realDonaldTrump Mussolini had followers too.'
939246917036494848,2017-12-08 21:34:50,b'@realDonaldTrump Watch while he gets us in another chaotic move to distract us from Russia.  Trumpschenko the great\xe2\x80\xa6 https://t.co/Rrt65kPKJ6'
939246619177963521,2017-12-08 21:33:39,"b'@SamanthaSJones4 @FJ_Smiffy @RealMattWalter @realDonaldTrump married 1 to sweetheart, went to  hurch with his girls\xe2\x80\xa6 https://t.co/mzoifbFjNl'"
939246400268914689,2017-12-08 21:32:46,b'@SamanthaSJones4 @RealMattWalter @realDonaldTrump The pussy grabber in chief.  God is not pleased.'
939246105459658752,2017-12-08 21:31:36,b'@realDonaldTrump You and Putin are planning a  oup on the American people.  You even have a Russian facebook page. TRAITOR.  Benedict Arnold'
939245859002355713,2017-12-08 21:30:37,b'@realDonaldTrump trump has a russian facebook account.  Traitor https://t.co/F7k4jpyg1O'
939245664646631425,2017-12-08 21:29:51,b'@realDonaldTrump Supporting the party of pedophiles.  iF a democrat had these allegations the Christian right and y\xe2\x80\xa6 https://t.co/nL5609fRrq'
939245389206708230,2017-12-08 21:28:45,b'@realDonaldTrump Keep giving to your donors.  Nasty.'
939245149506424833,2017-12-08 21:27:48,b'@realDonaldTrump  https://t.co/2By8JB30Hj'
939245051850391552,2017-12-08 21:27:25,b'@realDonaldTrump Says the corporate welfare king'
939244866340519936,2017-12-08 21:26:41,b'@DonnaWR8 @realDonaldTrump @SecretaryAcosta @USDOL Promise to raise middle class taxes while giving tax breaks to g\xe2\x80\xa6 https://t.co/OvkSAdIa6w'
939244424919384064,2017-12-08 21:24:55,b'@DonnaWR8 @realDonaldTrump @SecretaryAcosta @USDOL You afe a  oice of fascism'
939244362554363909,2017-12-08 21:24:41,b'@realDonaldTrump @SecretaryAcosta @USDOL Assaulting women is NOT presidential'
938080287447310337,2017-12-05 16:19:03,"b'@johnson12588 @tyese_givens @BrianRoss Uranium One, Bengazi are fake news'"
938079827155935235,2017-12-05 16:17:14,"b'@JoelHeyman @BrianRoss Tell me if your buying the Bengazi, Uranium One?'"
938079389803302912,2017-12-05 16:15:29,b'@BrianRoss Honest mistake.  We all make them.  You are a solid journalist.  We need you.'
937879308101718016,2017-12-05 03:00:26,b'@realDonaldTrump  https://t.co/FIl7ezaQ3T'
937879180490035200,2017-12-05 02:59:56,b'@realDonaldTrump  https://t.co/b3b3oGvM9I'
937520563454644226,2017-12-04 03:14:55,b'@SenJohnMcCain @HASCRepublicans @MacTXPress @ReaganDefense Tax bill you voted on is the cancerous legacy you leave\xe2\x80\xa6 https://t.co/7LlAJKzvNW'
935361662911205376,2017-11-28 04:16:13,b'@StephGrisham45 @WhiteHouse These decorations take the merry out of Christmas'
935358222302699520,2017-11-28 04:02:32,b'@JamesOKeefeIII @washingtonpost @DanLamothe @josephjames Liar'
935319174628376576,2017-11-28 01:27:23,b'@mitchellvii I had to look up who u were.  Now I understand your erroneous comment.  u r intimidated by REAL journalist like WP &amp; NY Times.'
934611705304403968,2017-11-26 02:36:09,b'@realDonaldTrump 10 years is nothing compared to what trumpschenko will be serving for treason.'
934610482081738752,2017-11-26 02:31:17,b'@realDonaldTrump Magapill is your own propaganda'
934610208097292290,2017-11-26 02:30:12,"b'@MAGAPILL @realDonaldTrump @FoxNews @POTUS @CommerceGov Trumpschenko looks fat, old and exhausted.'"
934609948260159488,2017-11-26 02:29:10,b'@MAGAPILL @realDonaldTrump @FoxNews @POTUS @CommerceGov Trump Deregulation of miners safety.  7 died last year Doub\xe2\x80\xa6 https://t.co/tHjuP2GK5F'
934609633418862592,2017-11-26 02:27:55,b'@realDonaldTrump @FoxNews Fake president represented by fake fox trumpschenko propaganda news https://t.co/B1ApIW7HcM'
934609357744025600,2017-11-26 02:26:49,b'@realDonaldTrump @FoxNews You are a fake president with your own fox propaganda news station https://t.co/O2Vj1TVSc0'
934608688966488064,2017-11-26 02:24:10,b'@realDonaldTrump @FoxNews fox and trumpschenko are the only fake news that differs from all worldwide reputable new\xe2\x80\xa6 https://t.co/lOvpv3muDv'
934465569574866945,2017-11-25 16:55:27,b'@realDonaldTrump they didn\xe2\x80\x99t have a cover for dictator of the year https://t.co/muMwd5GGSG'
934465141193756673,2017-11-25 16:53:45,b'@realDonaldTrump trumpschenko the Loser https://t.co/VmNjPzsUa0'
934461782072135681,2017-11-25 16:40:24,b'@realDonaldTrump Trumpschenko the LOSER https://t.co/pzkxh5myPH'
934461245750763521,2017-11-25 16:38:17,b'@realDonaldTrump Trumpschenko is a Loser https://t.co/YhMVHl500i'
934460969115357184,2017-11-25 16:37:11,b'@realDonaldTrump Trumpschenko the Loser https://t.co/h5HVsicCvV'
934460812458102785,2017-11-25 16:36:33,b'@realDonaldTrump Trumpschenko Loser https://t.co/HDgMJaXd0B'
934274620080914432,2017-11-25 04:16:42,b'@realDonaldTrump Loser'
932983383319367680,2017-11-21 14:45:47,b'@GOP shall we start with the President of U.S. should not be profiteering from his position?  What a loser.'
932798957104910338,2017-11-21 02:32:56,b'@realDonaldTrump So terribly presidential of you.  You are a loser.'
932759355195355137,2017-11-20 23:55:34,b'@realDonaldTrump  https://t.co/yyghVoTcqu'
932758913245696001,2017-11-20 23:53:49,b'@realDonaldTrump And they need more tax cuts huh? https://t.co/WZ999fATp8'
932758669514731520,2017-11-20 23:52:51,b'@realDonaldTrump Wish we had a true patriot in the White House https://t.co/Vd1cTVrJR3'
932756953276788736,2017-11-20 23:46:02,b'@realDonaldTrump @foxandfriends @Varneyco Fake News'
932756909261770752,2017-11-20 23:45:51,b'@realDonaldTrump @foxandfriends @Varneyco Fake news'
932494808182075392,2017-11-20 06:24:21,b'@pacelattin she wraps her leg around him....I think tweeden is quickly losing any credibility.'
932071208048365570,2017-11-19 02:21:07,b'@realDonaldTrump ...trump doesn\xe2\x80\x99t read. He doesn\xe2\x80\x99t bother to peruse important files and intelligence reports'
932070907681624064,2017-11-19 02:19:56,b'@realDonaldTrump ....nor the tasks associated with it. He doesn\xe2\x80\x99t read.....'
