id,created_at,text
940073596898107394,2017-12-11 04:19:45,b'@realDonaldTrump @USArmy @USNavy https://t.co/IWDQc9b0mP'
940073449011023878,2017-12-11 04:19:10,b'@WhiteHouse https://t.co/IWDQc9b0mP'
940073078289137665,2017-12-11 04:17:42,b'@PressSec https://t.co/IWDQc9b0mP'
940072995107643392,2017-12-11 04:17:22,b'@realDonaldTrump https://t.co/IWDQc9b0mP'
940071751148384256,2017-12-11 04:12:25,b'@FoxNews @PressSec @POTUS https://t.co/IWDQc9b0mP'
940071620823040001,2017-12-11 04:11:54,b'@realDonaldTrump You know nothing about football!'
940070405632540672,2017-12-11 04:07:05,b'@VP @WhiteHouse @SecondLady https://t.co/IWDQc9b0mP'
940013451379740673,2017-12-11 00:20:46,b'@FLOTUS @WhiteHouse Are you going to Puerto Rico next?'
940012878521802752,2017-12-11 00:18:29,b'@PressSec Thanks Obama!'
940012769390215168,2017-12-11 00:18:03,b'@PressSec You are getting blonder every day! SAD!'
940012423393689600,2017-12-11 00:16:40,b'@PressSec Sarah you should be fired for lying in your tweets'
940012157831278592,2017-12-11 00:15:37,"b""@PressSec What you really meant was Trump's relentless focus on himself and undoing 8 years of progress,  and filli\xe2\x80\xa6 https://t.co/sUQu87Li6A"""
940010425201991680,2017-12-11 00:08:44,b'@realDonaldTrump Is Washington DC a sanctuary City?'
939667058786054145,2017-12-10 01:24:19,b'@PressSec Thanks Obama!'
938621208664219648,2017-12-07 04:08:29,b'@realDonaldTrump It will be super great when you resign!'
938621032079835136,2017-12-07 04:07:47,b'@realDonaldTrump What about Puerto Rico?'
938620921425752064,2017-12-07 04:07:21,b'@FLOTUS @WhiteHouse What about Puerto Rico?'
938620233857736705,2017-12-07 04:04:37,b'@realNFLTrump @TeamJuJu You know nothing able football! SAD!'
938235868275286017,2017-12-06 02:37:17,b'@FLOTUS @WhiteHouse @SecondLady What about Puerto Rico? SAD!'
938126870494580736,2017-12-05 19:24:10,b'@realDonaldTrump You are DISTROYING AMERICA!! SAD!!'
937872224098197504,2017-12-05 02:32:17,b'@realDonaldTrump The democrats Care about 99% of the american people you and the GOP only Care about the top 1% rich bastards.'
937871054101295104,2017-12-05 02:27:38,b'@PressSec @WSJ Thanks Obama!'
937870930717446145,2017-12-05 02:27:09,b'@realDonaldTrump @foxandfriends Fox headlines yesterday were still about Weinstein. They do not want to talk about\xe2\x80\xa6 https://t.co/MmW0WBl3fp'
937473885674512384,2017-12-04 00:09:26,b'@realDonaldTrump @foxandfriends For 10 months I have been telling you to put the phone down and stop tweeting and s\xe2\x80\xa6 https://t.co/ooNGi3YX1h'
937473201696673792,2017-12-04 00:06:43,b'@PressSec Thanks Obama!'
937358318200176640,2017-12-03 16:30:12,b'@DrJenGunter It was also written by mature adults with legible handwriting. Not a bunch of preschoolers chewing bub\xe2\x80\xa6 https://t.co/KiahhmFi8N'
937010884282540034,2017-12-02 17:29:38,b'@CharlesHoayek @realDonaldTrump This is going to be bigger than Watergate! Much bigger! More massive! Tremendous! B\xe2\x80\xa6 https://t.co/f3gaGLMwnr'
937009156287893504,2017-12-02 17:22:46,b'@quesfock @PressSec They are all the rich bastards that will benefit biggly! Hopefully midterms or Mueller can fix\xe2\x80\xa6 https://t.co/dHvwlhg6cs'
936959990736326656,2017-12-02 14:07:24,b'@realDonaldTrump You still have not grasped the difference between tax cuts and tax reform... this bill is a disast\xe2\x80\xa6 https://t.co/8Pt7j9NnNZ'
936746339152662528,2017-12-01 23:58:25,b'@realDonaldTrump He can stay you will go!'
936745875812044806,2017-12-01 23:56:35,b'@steph_bello Did they think it was #fakenews'
936745418804924421,2017-12-01 23:54:46,b'@smerconish No tweets from @POTUS  today...why so quiet?'
936438996951060480,2017-12-01 03:37:09,b'@realDonaldTrump Someone hacked your Twitter account again these are not your words they make too much sense and the grammar is correct'
935677604182577152,2017-11-29 01:11:39,b'@PressSec @CNN This post is totally inappropriate and unprofessional coming from you and your position in the WH. M\xe2\x80\xa6 https://t.co/ezjg1Pjzrn'
935350600442744833,2017-11-28 03:32:15,"b""@realDonaldTrump Is it tax cuts or tax reform you want? Two different things and you can't have both!"""
935350121600094209,2017-11-28 03:30:21,b'@PressSec @EmilyMiller PIE...LIE...ITS ALL FAKE TO ME!!! SAD!'
935349779089035264,2017-11-28 03:28:59,b'@IamDes_61 @PressSec @EmilyMiller I thought the same thing too.... and does she only have one cheap necklace?'
935348258163118080,2017-11-28 03:22:57,b'@realDonaldTrump Speaking of providing relief for All America how are things going in Puerto Rico?'
935345972770689024,2017-11-28 03:13:52,"b""@PressSec What's this have to do with fake pies?"""
935345626002460672,2017-11-28 03:12:29,"b""@realDonaldTrump But you watch every morning don't you!"""
935345441838977024,2017-11-28 03:11:45,"b""@realDonaldTrump You do realize that you can't have tax reform and tax cuts at the same time...or do you think they\xe2\x80\xa6 https://t.co/hVCf1605SA"""
935342950510456832,2017-11-28 03:01:51,b'@WhiteHouse @FLOTUS Oh my the First Lady actually did something! Mark your calendars people!'
935295070244352001,2017-11-27 23:51:36,"b""@WhiteHouse This is a joke right? I'm waiting for the punchline....SAD!"""
934822211990548482,2017-11-26 16:32:38,b'@realDonaldTrump And what small business did you shop at? My guess is none! SAD!'
934213728081498113,2017-11-25 00:14:44,"b""@realDonaldTrump Why don't you have your buddy Flynn call him? They are bff's...."""
934213417367465989,2017-11-25 00:13:30,b'@WhiteHouse Never!'
934213299994071040,2017-11-25 00:13:02,b'@realDonaldTrump Time Magazine would never put your ugly mug on their cover... except for your fake ones....SAD!!'
933774915379040260,2017-11-23 19:11:03,"b""@realDonaldTrump Guessyou have to read the history off of cue cards since you don't know it. Can't you just say som\xe2\x80\xa6 https://t.co/pzeyr4LzLq"""
933704047047127040,2017-11-23 14:29:26,b'@realDonaldTrump Do you know the difference between tax cuts and tax reform?'
933702334789582848,2017-11-23 14:22:38,b'@realDonaldTrump Does this include Puerto Rico and the US Virgin Islands?'
933701577474498561,2017-11-23 14:19:38,b'@realDonaldTrump How about Puerto Rico?'
933700650193571840,2017-11-23 14:15:56,b'@realDonaldTrump @FoxNews Too bad not much of that travel is to Puerto Rico!  SAD!'
933391226388303872,2017-11-22 17:46:24,"b""@VP @WhiteHouse @POTUS Correct me if I'm wrong but won't tax cuts increase the federal deficit?"""
