id,created_at,text
940089108994519040,2017-12-11 05:21:24,b'@wmmII88 @kristi_luv223 @realDonaldTrump @MichelleObama @BarackObama @FLOTUS Wait until his tax plan kicks in! Wait\xe2\x80\xa6 https://t.co/SeR0EP2QdO'
940087960141053953,2017-12-11 05:16:50,"b'@realDonaldTrump We also believe every American should have access to decent health care, but I don\xe2\x80\x99t hear you saying anything about that.'"
938802532167581701,2017-12-07 16:09:00,b'@ATT please fix your ridiculous service issues in West Texas. Everyone I have spoken to today is having issues conn\xe2\x80\xa6 https://t.co/4lrcd4Gzqr'
938115028150050817,2017-12-05 18:37:06,b'@WarbyParker Why don\xe2\x80\x99t you step up your shipping game? My glasses were supposed to be to me latest yesterday. @USPS\xe2\x80\xa6 https://t.co/lne1fuDRhp'
937799508385304576,2017-12-04 21:43:20,b'Is it @Apple or @AT&amp;T that is causing my phone\xe2\x80\x99s issues? Why don\xe2\x80\x99t I have any internet? Why is it SUPER slow on an\xe2\x80\xa6 https://t.co/2aRDXnrpET'
933332047447363584,2017-11-22 13:51:15,b'@kandeejohnson Yes. You guys sold out. Nothing will ever be the same.'
933331455937310720,2017-11-22 13:48:54,"b'@AjitPaiFCC Let\xe2\x80\x99s talk about ethics and your lack thereof, instead.'"
933327738777362432,2017-11-22 13:34:07,b'@realDonaldTrump China is becoming the most powerful country in the world while you\xe2\x80\x99re worried about football. You need to be fired.'
933327314733207553,2017-11-22 13:32:26,b'@Starbucks so I fell for the Chase Pay $20 reload. Where are my 300 pts? It\xe2\x80\x99s been about a week...'
917793928996425728,2017-10-10 16:48:19,b'@realDonaldTrump You do know you are consistently violating federal law with your meddling into private businesses\xe2\x80\xa6 https://t.co/tPffLA6bKU'
917034581785751552,2017-10-08 14:30:56,b'@realDonaldTrump Why don\xe2\x80\x99t YOU go over there and try diplomacy as opposed to hiding behind twitter? That\xe2\x80\x99s what a R\xe2\x80\xa6 https://t.co/1xsJ5PRl2j'
913594369029971970,2017-09-29 02:40:45,"b'@realDonaldTrump Someone finally told you PR was part of the U.S., hmmm. \xf0\x9f\x99\x84 thank God Obama, Bush, and Clinton alrea\xe2\x80\xa6 https://t.co/09sbHzRDdK'"
913449989048881152,2017-09-28 17:07:03,"b'@realDonaldTrump Thank God for Prez Obama and his phenomenal leadership! Without him, PR and USVI would have contin\xe2\x80\xa6 https://t.co/OP5igqAslc'"
912486357615902720,2017-09-26 01:17:55,"b""@realDonaldTrump You cannot repress speech as the government-that's ILLEGAL. But you're not even a REAL president, so what do you know."""
903437057103724546,2017-09-01 01:59:14,"b'@Apple I see u are releasing the 8 on my bday-yay\xf0\x9f\x98\x90; in the interim, can u please stop the destruction of my current phone? I still need it.'"
903076657711468544,2017-08-31 02:07:08,b'@lezleecog @annvandersteel He only won TX w/SINGLE digit lead. The lowest for a republican in almost 60 years.\xe2\x80\xa6 https://t.co/wnnBeU8gte'
903076202231017473,2017-08-31 02:05:19,b'@lezleecog @annvandersteel Please retract your blanket statement; not all Texans voted Trump. HC won Dallas/Austin/\xe2\x80\xa6 https://t.co/MW5cRlsh8i'
903070138550845441,2017-08-31 01:41:13,"b'@realDonaldTrump Maybe had your lovely Russians not occupied N. Korea after the Korean War, things would be differe\xe2\x80\xa6 https://t.co/2npgmxqFTj'"
898999830646849537,2017-08-19 20:07:16,"b""@realDonaldTrump Just counting down the days until your impeachment. Can't come soon enough."""
898757500702302208,2017-08-19 04:04:20,"b""@JustSandsworld @Sephora It's in stock right now...\xf0\x9f\x92\x85\xf0\x9f\x8f\xbe"""
898752416702541824,2017-08-19 03:44:08,"b""@JustSandsworld @Sephora No. I'm CST and it was on line at 1:45am and didn't sell out the FIRST time until 2:20.\xe2\x80\xa6 https://t.co/05GLkA8NZT"""
