id,created_at,text
940325343809953793,2017-12-11 21:00:07,b'@trooper2121 Sharpton used to be an informant for the FBI. See the connection yet?'
940325206182322176,2017-12-11 20:59:34,b'RT @trooper2121: Please explain. Remember Sharpton was a regular guest of Obama at the White House. He should be in jail https://t.co/lG5Ma\xe2\x80\xa6'
940325093250686976,2017-12-11 20:59:07,"b'RT @StockMonsterVIP: BREAKING: Harris Faulkner NOW saying Muslim suicide bomber, Akayed Ullah who blew himself up by accident with pipe bom\xe2\x80\xa6'"
940324699682344960,2017-12-11 20:57:33,b'@StockMonsterVIP @SpecialKMB1969 Chain migration has to STOP NOW!'
940324409088372736,2017-12-11 20:56:24,b'RT @rollcall: Taxpayers paid $220K to settle case involving Florida Democrat Alcee Hastings https://t.co/vXiaYqIWnO'
940324339118985216,2017-12-11 20:56:07,b'@nancylee2016 @BlueWaterDays Smith = The King of BLATHER because he can talk for 20 minutes and say absolutely NOTH\xe2\x80\xa6 https://t.co/y5Kuvxpx3r'
940323837824110594,2017-12-11 20:54:07,b'@nedryun @Hemiheadx No bias or conflict of interest there!'
940323749907324928,2017-12-11 20:53:47,"b""RT @nedryun: You can't make this stuff up: The Clinton IT guy who smashed her phones with a hammer had a lawyer. That lawyer is now on the\xe2\x80\xa6"""
940323265083592710,2017-12-11 20:51:51,b'@thebradfordfile @RIGHTZONE @LauraLoomer @MikeTokes @JohnTDolan @StacyBrewer18 @KNP2BP @LeahR77 @MrEdTrain\xe2\x80\xa6 https://t.co/hp6dbLIlGV'
940322571236659201,2017-12-11 20:49:05,"b'@President1Trump @beachkatie @PressSec @POTUS These ""reporters"" are RUDE, sarcastic, &amp; disrespectful!'"
940322086823911425,2017-12-11 20:47:10,b'@TomFitton @LyndaG1963 @JudicialWatch @realDonaldTrump The FBI should be dissolved &amp; a NEW police agency formed. To\xe2\x80\xa6 https://t.co/AmOo4mAc8B'
940321808946991104,2017-12-11 20:46:04,b'RT @_Makada_: #TimesSquare Port Authority Islamic terror suspect named as 27-year-old Muslim Akayed Ullah from Bangladesh. He came into the\xe2\x80\xa6'
940321653892009984,2017-12-11 20:45:27,b'@chrissycrew3 @Patriotress Where was this video 8 years ago?'
940321497566113792,2017-12-11 20:44:50,"b""RT @cvpayne: Speaking of bullying. \nI don't know how she does it but she does but @PressSec goes into the lion's den that is the daily Whit\xe2\x80\xa6"""
940321246457278465,2017-12-11 20:43:50,"b""RT @Mindach_II: @realDonaldTrump WakeUP2017\n\n@Deplorable80210Replying to\xc2\xa0@Deplorable80210\n\n#QANON\xc2\xa0#TheStormIsUponUs\xc2\xa0RIGHT OUT OF THE HORSE'\xe2\x80\xa6"""
940320784932855808,2017-12-11 20:42:00,"b'RT @realDonaldTrump: Things are going really well for our economy, a subject the Fake News spends as little time as possible discussing! St\xe2\x80\xa6'"
940320539729649664,2017-12-11 20:41:01,b'@GartrellLinda @LyndaG1963 BUILD THE WALL!'
940320260988850176,2017-12-11 20:39:55,b'@TedAbram1 @Cheri_Kentucky Government CORRUPTION at its best!'
940320101739499520,2017-12-11 20:39:17,b'@bbusa617 @MMjustified @WayneDupreeShow Roger Goodell - Go To HELL!'
940249030289915905,2017-12-11 15:56:52,b'Anti-American protests continue &amp; stadiums are empty! NFL-Go To HELL! https://t.co/OvUmpYiLS8'
940079207337439233,2017-12-11 04:42:03,"b'@MikeTokes @elvincan2 His ""legacy"" is that he\'s the 1 president who tried for 8 years to DESTROY America as we know it.'"
940078999723585539,2017-12-11 04:41:14,"b'@LarrySchweikart @writingdownpat That\'s because these people are COMMUNISTS who call themselves ""Democrats.""'"
940078751613775873,2017-12-11 04:40:14,"b""@realDonaldTrump @overhead440 @CNN Eliminate their FCC licenses to broadcast. We don't need this CRAP on the airwaves any more."""
940078467588034560,2017-12-11 04:39:07,b'@StockMonsterVIP @hrothenb The Uranium One Deal is the prime example! Clintons are BOTH CRIMINALS &amp; TRAITORS of America!'
940078281591631872,2017-12-11 04:38:22,b'RT @StockMonsterVIP: JULIAN ASSANGE: \n\n\xe2\x80\x9c I investigated both presidential candidates.\n\xe2\x80\x94 Hillary was the only one with corrupt ties to Russi\xe2\x80\xa6'
940078196912898048,2017-12-11 04:38:02,b'RT @redhead4645: Looky Looky who is doing nooky! #Hypocrits #pigs https://t.co/uRi1FX0IyW'
940078100330594305,2017-12-11 04:37:39,"b""@Truthseeker126 @overhead440 @CNN @DailyCaller REPORTING? That's the JOKE of the Day. The Communist News Network ON\xe2\x80\xa6 https://t.co/zc1VtDVjN7"""
940077593939779584,2017-12-11 04:35:38,b'@DRUDGE_REPORT @LovToRideMyTrek Ironic how these accusations happened when he was becoming the candidate of choice\xe2\x80\xa6 https://t.co/Lba0bRKQru'
940077229739950082,2017-12-11 04:34:12,"b""@DineshDSouza @hrothenb @CNN @MSNBC Forgery? What's that? Gloria Allred? Why is she STILL a lawyer?"""
