id,created_at,text
940424809296490496,2017-12-12 03:35:21,"b'RT @MarkHarrisNYC: Whatever happens on Tuesday, the President of the United States endorsed a child molester who thinks gay people should b\xe2\x80\xa6'"
940332980911747072,2017-12-11 21:30:27,b'RT @davidfrum: Posted this last night. Please share. https://t.co/4QgoOeRrWK'
940088989733629952,2017-12-11 05:20:55,b'@realDonaldTrump What is wrong with you? Truly. What is wrong with you?'
940068567751340034,2017-12-11 03:59:46,"b'RT @MarkHertling: Senator, please tell me this is a fake account and you\xe2\x80\x99re not providing an advertisement and a commercial endorsement. ht\xe2\x80\xa6'"
940068179446980608,2017-12-11 03:58:14,b'RT @SarahKSilverman: Alabama please tell me this isn\xe2\x80\x99t true. https://t.co/HbOTd9Ha3y'
940036405249445889,2017-12-11 01:51:58,b'RT @RWPUSA: Governor Dayton appointing any liberal to the US Senate on Monday or Tuesday will bring disaster in Alabama. He must wait.'
940035490643820546,2017-12-11 01:48:20,"b""RT @RWPUSA: Arne Carlson is right --it's time to sober up and focus on the real threats at hand. https://t.co/QXmmYwYoFl"""
940033497288151040,2017-12-11 01:40:25,"b'RT @mycielski: The COMPLETE 4-page Guide to Surviving an Authoritarian Regime, in graphic form\n-With love, your Eastern European friends\xe2\x9c\x8c\xef\xb8\x8f\xe2\x80\xa6'"
939718695458283520,2017-12-10 04:49:30,"b'@BillKristol The focus on this topic is one of the most amazing and enduring  ""manufactured victim"" themes. No one\xe2\x80\xa6 https://t.co/o0KjTeA0cg'"
939700078658203648,2017-12-10 03:35:32,b'@BenSasse Here is a great idea. Medicare for all.'
939697009837010944,2017-12-10 03:23:20,"b'RT @GDouglasJones: I sound like a broken record, but we are going to finish this campaign the way we started it, talking about kitchen tabl\xe2\x80\xa6'"
939555785851355136,2017-12-09 18:02:10,b'@CNN Excellent!'
939554208046391296,2017-12-09 17:55:53,b'RT @tonyposnanski: Young lady walks in bar...\n\nDonald Trump- I\xe2\x80\x99d grab her pussy\n\nRoy Moore- She\xe2\x80\x99s too old\n\nTrent Franks- I need to impregna\xe2\x80\xa6'
939553712917250048,2017-12-09 17:53:55,"b'RT @waltshaub: When a federal government official publicly calls you a liar on an official social media account, without any due process wh\xe2\x80\xa6'"
939356512173961216,2017-12-09 04:50:19,"b'RT @jaketapper: \xe2\x80\x9cA hundred times every day I remind myself that my inner and outer life depend on the labors of other men, living and dead,\xe2\x80\xa6'"
939353267376594944,2017-12-09 04:37:25,"b'RT @Comey: \xe2\x80\x9cApplause is the spur of noble minds, the end and aim of weak ones.\xe2\x80\x9d - Edmund Burke (1730-1797)'"
939352912119054336,2017-12-09 04:36:01,"b'RT @GDouglasJones: BIG announcement: Jason Isbell is playing a FREE Get Out the Vote Concert in Huntsville on Saturday, December 9th at 6:0\xe2\x80\xa6'"
939352757969895424,2017-12-09 04:35:24,"b""RT @RWPUSA: Alabama voters almost certainly won't send a pedophile to the Senate, but if that were to happen, Al Franken and Governor Dayto\xe2\x80\xa6"""
939351126985523200,2017-12-09 04:28:55,"b'RT @jaketapper: \xe2\x80\x9cHarry L. Thomas, founder of the Creation Festival and senior pastor of Come Alive New Testament Church in Medford, New Jer\xe2\x80\xa6'"
939350917094055936,2017-12-09 04:28:05,b'RT @RWPUSA: Stand with the people of the great State of Alabama. Please retweet this video by @GDouglasJones https://t.co/PTIVrGw2iu'
939160068339130373,2017-12-08 15:49:43,b'RT @tonyposnanski: RT if you have absolutely no desire to ever watch Hannity...let alone Tomi in Hannity. https://t.co/yeItqBIVby'
939157335892566017,2017-12-08 15:38:52,"b'RT @RepAdamSchiff: So we add a trillion to the debt with a tax cut for the wealthy, then we cut Medicare to pay for it. Wouldn\xe2\x80\x99t it be simp\xe2\x80\xa6'"
939157195039453189,2017-12-08 15:38:18,"b'RT @chucktodd: David Brooks closing column line.  Brutal: \xe2\x80\x9cThe rot afflicting the G.O.P. is comprehensive \xe2\x80\x94 moral, intellectual, political\xe2\x80\xa6'"
939156746735566849,2017-12-08 15:36:31,b'@thehill He will be a perfect candidate for the GOP.'
939156476815216640,2017-12-08 15:35:27,b'@kylegriffin1 I bet they are right.'
938889742044741632,2017-12-07 21:55:32,b'@davidfrum I am giving up.'
938843043620253696,2017-12-07 18:49:59,"b""@mtomasky @thedailybeast No, he didn't."""
938842404106280960,2017-12-07 18:47:26,b'RT @DeliaMacD1: One of the things I\xe2\x80\x99m going to miss about the internet is social movements like #MeToo. Also the Koch\xe2\x80\x99s bought TimeWarner s\xe2\x80\xa6'
938824327436296192,2017-12-07 17:35:36,b'@seungminkim @maggieNYT They will regret forcing him out.'
938822670233169921,2017-12-07 17:29:01,"b'@SykesCharlie Yes, I think you missed the entire focus of his speech.'"
938822125359529984,2017-12-07 17:26:51,"b'@ananavarro Ana, you know the GOP will be happy to welcome Roy Moore. They welcomed and continue to support Trump.\xe2\x80\xa6 https://t.co/u89bZloL7o'"
938821236829782017,2017-12-07 17:23:19,"b""@morningmika It doesn't feel right because it is wrong."""
938820941475225600,2017-12-07 17:22:09,b'@RalstonReports He was the victim of a hit job.'
938820286111084544,2017-12-07 17:19:33,b'@CNN Should have let the ethics investigation play out. I think the Democrats who called for this will find much to\xe2\x80\xa6 https://t.co/FbHlK8yJUl'
938792407079854081,2017-12-07 15:28:46,b'@jeffzeleny @JoyAnnReid This is wrong. I thought there was going to be an ethics investigation. Should have let tha\xe2\x80\xa6 https://t.co/adwBkER2Je'
938616696763379712,2017-12-07 03:50:33,b'RT @RepWillBailey: THREAD: Here\xe2\x80\x99s how @SenFranken should start his remarks tomorrow: My name is Al Franken and here is why I\xe2\x80\x99m not resignin\xe2\x80\xa6'
938616679281520641,2017-12-07 03:50:29,b'RT @Fatslugremoval: Al Franken should not resign.  He is one of the few honest ones.  Retweet if you agree.'
938615193529020416,2017-12-07 03:44:35,b'@hotelkeys The high road is no longer a path to protecting the American people from lawmakers who answer only to th\xe2\x80\xa6 https://t.co/KIBXrZUkzp'
938608333866463232,2017-12-07 03:17:19,b'@SenatorCantwell Trump first.'
938608142912430081,2017-12-07 03:16:34,b'RT @perlmutations: This could be the saddest thing I ever say. I\xe2\x80\x99m sick and tired of being on the side that does the right thing and plays\xe2\x80\xa6'
938606711845281793,2017-12-07 03:10:53,b'@thehill Let the ethics review play out first.'
938606176475824128,2017-12-07 03:08:45,b'RT @outsidemagazine: Zinke had already rigged his fishing rod when our writer showed up to interview him at the edge of a lake in Glacier N\xe2\x80\xa6'
938606102505168897,2017-12-07 03:08:27,b'@CNN Trump causes chaos wherever he goes and whatever he touches. Which is what 35% of America voted for. So congratulations.'
938604016665108480,2017-12-07 03:00:10,"b""RT @AP: BREAKING: Outdoor company Patagonia sues to block Trump's cuts to Utah's Bears Ears National Monument."""
938603577563422721,2017-12-07 02:58:25,b'RT @SenBennetCO: My statement on President Trump\xe2\x80\x99s announcement to recognize Jerusalem as the capital of Israel and move the United States\xe2\x80\xa6'
938603120006873088,2017-12-07 02:56:36,b'@thehill The Democrats are idiots. Why do they always play right into the GOP hands?!'
938601900542324737,2017-12-07 02:51:46,"b'RT @tomperriello: As progressives continue to hold our side accountable, it is worth remembering that the leadership of the self-proclaimed\xe2\x80\xa6'"
938600919897325569,2017-12-07 02:47:52,b'RT @tribelaw: This seems right to me. @SamSeder deserved better. https://t.co/mD9fIOR52H'
938600653152071680,2017-12-07 02:46:48,"b""RT @greggutfeld: he's an insufferable leftist who hates my guts but @SamSeder got royally  screwed by @MSNBC &amp; deserves an apology and his\xe2\x80\xa6"""
938583399941390336,2017-12-07 01:38:15,b'@ezraklein No!!!!'
938582572182880256,2017-12-07 01:34:57,b'RT @allahpundit: Franken should announce he\xe2\x80\x99s switching parties. He\xe2\x80\x99ll be fine then.'
938581028288970752,2017-12-07 01:28:49,b'@hardball @RepCheri The GOP will encourage and keep a child molestor. Getting rid of Franken is a gigantic mistake\xe2\x80\xa6 https://t.co/XlxFI1iRTW'
938577076080164864,2017-12-07 01:13:07,"b""@SenFranken Don't resign. The GOP are getting ready to accept a child predator, Moore! Terrific false equivalency a\xe2\x80\xa6 https://t.co/EpNsc1uzTR"""
938576288930938880,2017-12-07 01:09:59,"b'RT @Will_Bunch: On a day many Dems demanded that Franken resign, 70% of House Dems also voted NOT to impeach Trump. What am I missing?'"
938574996066131968,2017-12-07 01:04:51,"b'RT @thiafinart: @NewsHour @LisaDNews @JudyWoodruff I stand by the statement: @SenFranken should only resign if Donald J. Trump resigns, Roy\xe2\x80\xa6'"
938564449819959297,2017-12-07 00:22:57,b'@washingtonpost \xf0\x9f\x98\x8a'
938278057445441536,2017-12-06 05:24:55,b'RT @DrDenaGrayson: \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbcYES\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\n\nDemocrat wins RED seat in #GA and breaks #GOP supermajority in Georgia state Senate\xe2\x80\xbc\xef\xb8\x8f\n\nh/t @RenaSofer \n#FlipItB\xe2\x80\xa6'
938267232374726656,2017-12-06 04:41:55,b'@BillKristol I was on that route 30 years ago! It was that nice then!!'
938255601074712577,2017-12-06 03:55:41,"b'RT @NicholsUprising: Teachers are posting their receipts -- illustrating how they pay for necessary school supplies, and asking why #TrumpT\xe2\x80\xa6'"
938217962791567360,2017-12-06 01:26:08,"b'RT @GDouglasJones: Come to think of it, Bannon and Roy Moore have something in common. Neither of them can hold down a job. https://t.co/Ts\xe2\x80\xa6'"
938187250747052033,2017-12-05 23:24:05,"b""@SRuhle please notice the possible formation of a Secret Police being pushed by Trump. Erik Prince's shady group."""
