id,created_at,text
940387282141380608,2017-12-12 01:06:14,b'@wildbeastrunnin @VP @POTUS Well put! They want people to have children even if they are poor or single and then th\xe2\x80\xa6 https://t.co/dbctttGHgd'
940386874224340993,2017-12-12 01:04:37,"b'RT @wildbeastrunnin: @VP @POTUS With all respect, one believer to another... why is it pro-life Christians only seem to care about unborn b\xe2\x80\xa6'"
940071346708422656,2017-12-11 04:10:49,b'@bob_falconi @realDonaldTrump That\xe2\x80\x99s because they did not want to be near Trump!'
940070672256024577,2017-12-11 04:08:08,b'@standtate @realDonaldTrump Did someone hit you in the head with a bible?'
940069871445876736,2017-12-11 04:04:57,"b'RT @jnarls: @realDonaldTrump The epitome of bigotry, racism, and white privilege walking through the halls of a prestigious civil rights mu\xe2\x80\xa6'"
940069514435162113,2017-12-11 04:03:32,b'@kmmpom @CyndiPatriotic @Ronin_Silegna @SpringB90 @DuszaLukasz @realDonaldTrump Try Trump University'
940068754284716032,2017-12-11 04:00:31,b'@DuszaLukasz @realDonaldTrump He won\xe2\x80\x99t get away from Muller'
940068345604333570,2017-12-11 03:58:53,b'@realDonaldTrump Yippee and you also have a trophy wife !'
940067969404563462,2017-12-11 03:57:24,b'@realDonaldTrump @POTUS Sandy hook and Las Vegas were preventible to'
940043045516427265,2017-12-11 02:18:21,b'@Jameson66521684 @FLOTUS Yep he\xe2\x80\x99s helping those Kkk members who were in trouble'
940042398628921345,2017-12-11 02:15:47,b'@Pissyfits @FLOTUS @Flyin2Freedom If you change the letter I in your name to a U you could probably meet Donald'
940041802060521473,2017-12-11 02:13:25,b'@Patriotic_Mama @Deadpool1973 @FLOTUS @trumps_feed No he has your pussy'
940041670774611968,2017-12-11 02:12:54,b'@SandySimpson100 @MelissaLees8 @Norika4Trump @FLOTUS And that makes her great?'
940041151704268800,2017-12-11 02:10:50,b'@yoderpaul @IvankaTrump So we know what they planning and what cruel thoughts they have'
940040597859024896,2017-12-11 02:08:38,b'@bingo206 @IvankaTrump Or your dad'
940039408836677632,2017-12-11 02:03:54,b'@MatthewLawson22 @EricTrump She doesn\xe2\x80\x99t need your prayers. I do hope Eric gets blessed with a long prison sentence'
940038926726656001,2017-12-11 02:01:59,b'@OliveGrant0 @EricTrump Speaking of animals - What helpless animal are you gonna get next? I guess you need another\xe2\x80\xa6 https://t.co/7eB3Xc5E0v'
940038380179484679,2017-12-11 01:59:49,b'@nancygoldstein @EricTrump @trumps_feed His posts were written by Dr Seuss'
940037903719194624,2017-12-11 01:57:55,"b""RT @melissamcglynn: @EricTrump Dude. You aren't all that bright either."""
940037399853244416,2017-12-11 01:55:55,b'@DonaldJTrumpJr Wow your life must be real hard'
939982816019857410,2017-12-10 22:19:02,b'@Ark_Momma @AMErikaNGIRLBOT @Trump4Hope @POTUS Oh another person of white privilege spewing nonsense'
939982422036250624,2017-12-10 22:17:28,b'@FraserCharmagne @AMErikaNGIRLBOT @POTUS You\xe2\x80\x99ve got to be a Russian plant or just dumb as a rock'
939982257032347648,2017-12-10 22:16:48,b'@FraserCharmagne @AMErikaNGIRLBOT @POTUS Are you for real?'
939982032477679617,2017-12-10 22:15:55,b'@DavidJDurkin2 @AMErikaNGIRLBOT @POTUS My entire fist to Trump'
939981309358751744,2017-12-10 22:13:02,b'@SpringAloha12 @AMErikaNGIRLBOT @POTUS Yep He\xe2\x80\x99s made the country great for white middle class Americans every one else is screwed'
939980744255873024,2017-12-10 22:10:48,b'@Badbadfox @AMErikaNGIRLBOT @POTUS Well get the reason from Mueller soon'
939980567654776832,2017-12-10 22:10:05,b'@Badbadfox @AMErikaNGIRLBOT @POTUS Seriously?'
939980188758052864,2017-12-10 22:08:35,b'@Planefixr72 @AMErikaNGIRLBOT @joegretchen94 @POTUS Did you just figure that out??'
939980078531846144,2017-12-10 22:08:09,b'@ShrootD @AMErikaNGIRLBOT @Trumpfan1995 @POTUS Endorsing Roy Moore to keep your majority is desperate'
939979632874369025,2017-12-10 22:06:23,b'@BvilleChas @AMErikaNGIRLBOT @POTUS @BarackObama Is that little girl teaching Trump to read?'
939979411515834368,2017-12-10 22:05:30,b'@Claudyconn @AMErikaNGIRLBOT @gr8tjude @POTUS Sure - can I get whatever you\xe2\x80\x99ve been smoking'
939979162688688128,2017-12-10 22:04:31,b'@phe_parker @0321jail @AMErikaNGIRLBOT @POTUS @realDonaldTrump @FoxNews Yep FOX= Focused On Xenophobia'
939978870362587136,2017-12-10 22:03:21,b'@toniriza3 @AMErikaNGIRLBOT @pinkk9lover @POTUS Oh really? Trump is the one that seeks adoration- Obama had lots of\xe2\x80\xa6 https://t.co/WKME8IVwHe'
939978323806916610,2017-12-10 22:01:11,b'@AMErikaNGIRLBOT @POTUS Obama apologize? Truth hurts huh?'
939932089981460480,2017-12-10 18:57:28,b'@lizcabrera55 The hand swap on the foreign trip spoke volumes - she\xe2\x80\x99s a trophy wife'
939931363771260928,2017-12-10 18:54:34,b'@lizcabrera55 No I was saying in case you forgot- I am not condoning Bill Clinton\xe2\x80\x99s action - and as far as the Russ\xe2\x80\xa6 https://t.co/iggcreHOI4'
939911193350701057,2017-12-10 17:34:25,b'@lizcabrera55 Um I believe he was impeached'
939903642982739969,2017-12-10 17:04:25,b'@JC4MAGA @POTUS If god is responsible for Trump I will become an atheist'
939903159832526848,2017-12-10 17:02:30,b'@JC4MAGA @POTUS I\xe2\x80\x99m sorry but Trump supporters are a bunch of scared white people and will follow him because they\xe2\x80\xa6 https://t.co/6AFstlJgzp'
939902518833926145,2017-12-10 16:59:57,b'@JC4MAGA @POTUS I\xe2\x80\x99m not surprised people still think Trump is Christian I know some Kkk members go to church and pu\xe2\x80\xa6 https://t.co/5unnIPU9iT'
939902100451946497,2017-12-10 16:58:17,b'@JC4MAGA @POTUS When a Trump supporter calls him Christian it\xe2\x80\x99s code for \xe2\x80\x9che\xe2\x80\x99s like me a -heterosexual person who i\xe2\x80\xa6 https://t.co/Or524nNo3q'
939901479082528768,2017-12-10 16:55:49,b'@JC4MAGA @POTUS Um love thy neighbors - Has Trump done that? It\xe2\x80\x99s more like screw your neighbors and build a wall'
939901062852386816,2017-12-10 16:54:10,b'@JC4MAGA @POTUS By the way if Jesus was alive today he would not be allowed into the US due to travel ban'
939900806060371970,2017-12-10 16:53:09,b'@JC4MAGA @POTUS And successful business owner? How do we know no tax returns'
