id,created_at,text
940416203121725440,2017-12-12 03:01:09,"b""@SenGillibrand I'm running against Kirsten Gillibrand for Senate in a campaign in which I'll make damned sure its c\xe2\x80\xa6 https://t.co/sbWz0txzgh"""
940412126316974080,2017-12-12 02:44:57,"b'@45pres2020 @SenGillibrand If this is actually Donald ""The Blowhard"" Trump, the only reason, like you, I don\'t care\xe2\x80\xa6 https://t.co/bwVjecwKhm'"
940411076608495616,2017-12-12 02:40:47,"b'RT @UnrealJacklein: @SenGillibrand When I asked to meet with you because I was running for NYC Mayor to take down Trump, you COMPLETELY IGN\xe2\x80\xa6'"
940411021998657541,2017-12-12 02:40:34,"b'@SenGillibrand When I asked to meet with you because I was running for NYC Mayor to take down Trump, you COMPLETELY\xe2\x80\xa6 https://t.co/C9h6FOpVTS'"
940386998031962117,2017-12-12 01:05:06,"b""@PeteCarroll\nSince any fault is with the run-blocking, you're missing a bet by not using Thomas Rawls. He should go\xe2\x80\xa6 https://t.co/4FnGesLXN4"""
940372733636087809,2017-12-12 00:08:25,"b'RT @UnrealJacklein: @realDonaldTrump @nytimes I guess as Nobody\'s ""President"" you\'re working overtime with the Port Authority pipe-bomb exp\xe2\x80\xa6'"
940372544691101697,2017-12-12 00:07:40,"b'@realDonaldTrump @nytimes I guess as Nobody\'s ""President"" you\'re working overtime with the Port Authority pipe-bomb\xe2\x80\xa6 https://t.co/ZL4ps7ubcm'"
940308883268042752,2017-12-11 19:54:42,"b'RT @UnrealJacklein: @Seahawks Since Bennett and possibly Richardson are about to be suspended, and since Sherman, Chancellor, Avril, and ma\xe2\x80\xa6'"
940308765588455424,2017-12-11 19:54:14,"b'@Seahawks Since Bennett and possibly Richardson are about to be suspended, and since Sherman, Chancellor, Avril, an\xe2\x80\xa6 https://t.co/N7TlwwhokB'"
940306574135975937,2017-12-11 19:45:31,"b'@Buffalowing\n""Beer judge"": LMFAO!'"
940286154427027456,2017-12-11 18:24:23,"b'@clivebushjd MAGA Clive I assume is not Donald Trump posing as his own cheerleader, which leaves Option #2: MAGA Clive is a bonehead. \xf0\x9f\x98\x82'"
940285437897248769,2017-12-11 18:21:32,"b'RT @UnrealJacklein: @Seahawks The only thing that has prevented Seahawk NFL dominance is the offensive line. That said, whoever got it in h\xe2\x80\xa6'"
940285287615356928,2017-12-11 18:20:56,"b'@Seahawks The only thing that has prevented Seahawk NFL dominance is the offensive line. That said, whoever got it\xe2\x80\xa6 https://t.co/4v1OjuMAqs'"
940255927164391424,2017-12-11 16:24:16,"b""RT @UnrealJacklein: @realDonaldTrump @nytimes I agree with you; I realize that 4-8 hours of television doesn't add up: it doesn't accommoda\xe2\x80\xa6"""
940255664638750721,2017-12-11 16:23:14,"b""@realDonaldTrump @nytimes I agree with you; I realize that 4-8 hours of television doesn't add up: it doesn't accom\xe2\x80\xa6 https://t.co/gEmWttdhGB"""
940163226771312640,2017-12-11 10:15:55,b'@pattonoswalt Says who?'
940111430132498432,2017-12-11 06:50:06,"b'@MikeRitt102 @Sandman2322 @realDonaldTrump Once you realize that this entire ""lock up Hillary"" is a diversion by a\xe2\x80\xa6 https://t.co/Rc124oanro'"
940071773294362626,2017-12-11 04:12:31,b'@richardkirkmcc @DonaldTrump_Is @kjoerwin Lock-down time for you in Bellevue Psychiatric.'
940071492242481154,2017-12-11 04:11:24,"b'RT @UnrealJacklein: @realDonaldTrump @USArmy @USNavy RE our military, Our Unelected ""Commander-In-Chief"" dodged the draft, bellyached to th\xe2\x80\xa6'"
940071335551582209,2017-12-11 04:10:46,"b'@realDonaldTrump @USArmy @USNavy RE our military, Our Unelected ""Commander-In-Chief"" dodged the draft, bellyached t\xe2\x80\xa6 https://t.co/kB4SDNaxGc'"
940064564351135744,2017-12-11 03:43:52,b'@SidneyR97079593 @Seahawks In exchange for Unger and Okung - essentially the entire offensive line - they got the e\xe2\x80\xa6 https://t.co/7Kz06FIEtN'
940063382652166145,2017-12-11 03:39:10,b'RT @UnrealJacklein: @realDonaldTrump  https://t.co/qsM39AXt9n'
940063358782357506,2017-12-11 03:39:04,b'@realDonaldTrump  https://t.co/qsM39AXt9n'
940063223352508418,2017-12-11 03:38:32,b'RT @UnrealJacklein: @realDonaldTrump  https://t.co/UWLFdtvVYp'
940063167576645632,2017-12-11 03:38:19,b'@realDonaldTrump  https://t.co/UWLFdtvVYp'
940058357523562497,2017-12-11 03:19:12,b'@Seahawks The no-call ref should receive a lethal injection. \xf0\x9f\x98\x8e'
940058152522850305,2017-12-11 03:18:23,"b""@Seahawks I kind of like a team that, after it's mathematically eliminated from victory, decides on Plan B: beating\xe2\x80\xa6 https://t.co/sEAMbpIcgv"""
940056341510479872,2017-12-11 03:11:11,"b'@realDonaldTrump Oh there\'s a ""stain on America"" all right, and I\'m talking to it, Mr. (Nobody\'s) ""President."" \xf0\x9f\x91\x8a'"
940051447323832320,2017-12-11 02:51:45,"b'@PattyArquette You mean either:\n1) you\'re opposed to efforts to KILL net-neutrality or\n2) ""Make-America-Great-Again\xe2\x80\xa6 https://t.co/SdqwWAPApb'"
940050009872990208,2017-12-11 02:46:02,b'@CharlesMBlow Yet when I wanted to run for Mayor of New York City as an Antifascist Candidate to refile criminal ch\xe2\x80\xa6 https://t.co/EgtkBm884h'
940047896149311490,2017-12-11 02:37:38,"b'@tuertaorsini \nGracias, Ivonne. &lt;- Mi espana. \xf0\x9f\x98\x82'"
940047168949305351,2017-12-11 02:34:44,"b""@Seahawks Other than ditching Unger and Okung for Graham, here's Seattle's problem: with over two minutes to go and\xe2\x80\xa6 https://t.co/tnITBomUyg"""
940041445989216257,2017-12-11 02:12:00,"b""@ColDavidmorris @Seahawks With all the fruitcakes online, it's hard to distinguish. More importantly, I'm still mak\xe2\x80\xa6 https://t.co/9pMsq6sTyp"""
940036063132708864,2017-12-11 01:50:37,b'Dear Right-Wing Criminal Accomplice Of Donald Trump:\nPlease pretend to understand net-neutrality and why you are an\xe2\x80\xa6 https://t.co/DBIFsCBK2V'
940034733320237057,2017-12-11 01:45:20,b'@ColDavidmorris @Seahawks Congratulations on perverting football into your diseased conception of the United States.'
940033827132489729,2017-12-11 01:41:44,"b'RT @UnrealJacklein: @peplamb Well put, by a dealer of crack cocaine to South Central L.A. to finance his gangster mass-murder of tens of th\xe2\x80\xa6'"
940033666952052737,2017-12-11 01:41:05,"b'@peplamb Well put, by a dealer of crack cocaine to South Central L.A. to finance his gangster mass-murder of tens o\xe2\x80\xa6 https://t.co/q8UnHW4nQV'"
940031857571147776,2017-12-11 01:33:54,b'RT @UnrealJacklein: @realDonaldTrump \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/bh9gr9Q0j6'
940031823127592960,2017-12-11 01:33:46,b'@realDonaldTrump \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/bh9gr9Q0j6'
940030244584484865,2017-12-11 01:27:29,b'@straskbob @icansurf @majken_bergman @EdKrassen Tell that to Bernie Sanders. Then get your head on straight about t\xe2\x80\xa6 https://t.co/PHwkhDMJ2Q'
940029967844253696,2017-12-11 01:26:23,b'@icansurf @EdKrassen Tell that to Bernie Sanders. Then get some counseling about prejudice and discrimination.'
940029718228692994,2017-12-11 01:25:24,b'@EdKrassen Good one. Let me plagiarize it. \xf0\x9f\x98\x82'
940029296319414272,2017-12-11 01:23:43,b'https://t.co/qxlxx98XaT'
940029173015310336,2017-12-11 01:23:14,b'@realDonaldTrump  https://t.co/qxlxx98XaT'
940023059804819456,2017-12-11 00:58:56,"b""@ColDavidmorris @Seahawks I'm not sure if it was a compliment, but I'll pretend to not notice. \xf0\x9f\x98\x82"""
940022810319163392,2017-12-11 00:57:57,b'@ColDavidmorris @Seahawks Well thank you!'
940019402413625344,2017-12-11 00:44:24,"b'@Seahawks For that no-call on the Richardson play, the Seattle Seahawks should beat the crap out of the refs.'"
940001428789227521,2017-12-10 23:32:59,"b'@LadyCyra\nDo you BELIEVE that I\'ve gotten away with ""Feces-In-Chief"" and a passionate kiss to Ivanka? Me neither! \xf0\x9f\x98\x82'"
939991554135117824,2017-12-10 22:53:45,"b'@Seahawks See you during the last two minutes of ANOTHER exciting, desperation catch-up finish...'"
939991177742503936,2017-12-10 22:52:15,"b'@Seahawks After going through my traditional first-half blackout for the Bevell-led offensive nothingness, I flippe\xe2\x80\xa6 https://t.co/gMcYV3HGyp'"
939942879862181894,2017-12-10 19:40:20,"b'RT @UnrealJacklein: @realDonaldTrump As Our Unelected Feces-In-Chief rolls out of bed to give a passionate kiss ""goodbye"" to Ivanka he asks\xe2\x80\xa6'"
939942808101838848,2017-12-10 19:40:03,"b'@realDonaldTrump As Our Unelected Feces-In-Chief rolls out of bed to give a passionate kiss ""goodbye"" to Ivanka he\xe2\x80\xa6 https://t.co/7f87Gxjodf'"
939941241206333442,2017-12-10 19:33:49,"b""RT @UnrealJacklein: @realDonaldTrump So how's Our Unelected Looter-In-Chief spending Sunday? Holding out for an even LOWER corporate tax ra\xe2\x80\xa6"""
939940557228531712,2017-12-10 19:31:06,"b""@realDonaldTrump So how's Our Unelected Looter-In-Chief spending Sunday? Holding out for an even LOWER corporate ta\xe2\x80\xa6 https://t.co/emlorQF1Le"""
939894899528339456,2017-12-10 16:29:41,"b'RT @UnrealJacklein: @realDonaldTrump Our Unelected WH Child-Raping Gangster is innocent, despite the fake-news from ""the failing New York T\xe2\x80\xa6'"
939894159485358081,2017-12-10 16:26:44,"b'@realDonaldTrump Our Unelected WH Child-Raping Gangster is innocent, despite the fake-news from ""the failing New Yo\xe2\x80\xa6 https://t.co/A2NMVw6ZQ0'"
939892523060944897,2017-12-10 16:20:14,"b'RT @UnrealJacklein: @realDonaldTrump That the ""Tax Cut Bill [is] Shaping up even better than projected"" as Our Fraudulency belches means on\xe2\x80\xa6'"
939892225986760705,2017-12-10 16:19:03,"b'@realDonaldTrump That the ""Tax Cut Bill [is] Shaping up even better than projected"" as Our Fraudulency belches mean\xe2\x80\xa6 https://t.co/xKFGjBJusL'"
939822003808342016,2017-12-10 11:40:01,b'@VeronicaLikesIt @pattonoswalt @SIIPCampaigns @repjohnlewis Until the Other Side begins to rumble...'
939817768169410560,2017-12-10 11:23:11,b'@VeronicaLikesIt @pattonoswalt @SIIPCampaigns Well-put. \xf0\x9f\x91\x8a'
939814538517598209,2017-12-10 11:10:21,"b'RT @UnrealJacklein: Obviously Diet Coke isn\'t ""brain food."" \xf0\x9f\x98\x82\nhttps://t.co/IFXWLO85pv'"
939814387031953408,2017-12-10 11:09:45,"b'Obviously Diet Coke isn\'t ""brain food."" \xf0\x9f\x98\x82\nhttps://t.co/IFXWLO85pv'"
939813226841243648,2017-12-10 11:05:08,"b'RT @UnrealJacklein: @realDonaldTrump This is Trump\xe2\x80\x99s full-blown ethnic slander, based upon a factual wasteland:\n""No American should be sepa\xe2\x80\xa6'"
939813112525545472,2017-12-10 11:04:41,"b'@realDonaldTrump This is Trump\xe2\x80\x99s full-blown ethnic slander, based upon a factual wasteland:\n""No American should be\xe2\x80\xa6 https://t.co/zUPgWI1rnA'"
939811426583097344,2017-12-10 10:57:59,b'@realDonaldTrump  https://t.co/R3gtVNLn9y'
939800574416916481,2017-12-10 10:14:52,b'@TomthunkitsMind @GottaChangeIt @realDonaldTrump @FoxNews This Trumpturd should be euthanized.'
939800148632367104,2017-12-10 10:13:10,"b'Using legal jargon, as a Trump pawn, Devin Nunes is dirty. Using legal and sexual jargon, GOP Trump co-conspirators\xe2\x80\xa6 https://t.co/GHgJKrkzwK'"
939744627170660352,2017-12-10 06:32:33,b'@realDonaldTrump  https://t.co/FVOJWz39F2'
939741811492442112,2017-12-10 06:21:22,"b'RT @UnrealJacklein: @realDonaldTrump @daveweigel @washingtonpost If you want to get an earful of garbage, listen to this imbecilic freak ta\xe2\x80\xa6'"
939741730588512256,2017-12-10 06:21:02,"b'@realDonaldTrump @daveweigel @washingtonpost If you want to get an earful of garbage, listen to this imbecilic frea\xe2\x80\xa6 https://t.co/w1LUUqYlRE'"
939720786386014209,2017-12-10 04:57:49,b'@CIV_is_ME That poll was from you?'
939717021784330240,2017-12-10 04:42:51,b'@JebSanford @CIV_is_ME @realDonaldTrump Question: How does an unelected White House doofus with a 32% approval rati\xe2\x80\xa6 https://t.co/QajLuO9i7B'
939702580141228033,2017-12-10 03:45:28,b'Well put: regarding both Trump\xe2\x80\x99s sick determination to undo President Obama and Trump\xe2\x80\x99s sick determination to undo\xe2\x80\xa6 https://t.co/rxCX0IXQYL'
939689650003816449,2017-12-10 02:54:05,b'@AGSchneiderman @FCC @JRosenworcel A vote is OUT OF THE QUESTION! Ajit Pai should be physically THROWN OUT OF OFFIC\xe2\x80\xa6 https://t.co/mthfdCk4lc'
939688475712016384,2017-12-10 02:49:25,"b'RT @UnrealJacklein: @AGSchneiderman @FCC @JRosenworcel Net-neutrality is the game-changer: without it, forces against fascism are eviscerat\xe2\x80\xa6'"
939688423400583168,2017-12-10 02:49:13,"b'@AGSchneiderman @FCC @JRosenworcel Net-neutrality is the game-changer: without it, forces against fascism are evisc\xe2\x80\xa6 https://t.co/ifjOK4x9hA'"
