id,created_at,text
940325353737908225,2017-12-11 21:00:09,"b""@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics @MooreSenate First of all, she was 16. Second if you don't th\xe2\x80\xa6 https://t.co/ovaVjE5iPD"""
940318331797671937,2017-12-11 20:32:15,"b""@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics @MooreSenate Don't give compliments to people you don't know.\xe2\x80\xa6 https://t.co/X5B2fbq39r"""
940278819302277120,2017-12-11 17:55:14,b'@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics @MooreSenate It was signed on December 22 1977'
940277762677501953,2017-12-11 17:51:02,"b""@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics @MooreSenate Nothing's wrong with a compliment, if it's wante\xe2\x80\xa6 https://t.co/CWMohLhmE2"""
940267503963525120,2017-12-11 17:10:16,b'@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics @MooreSenate Yes because you ask a stranger to sign your year\xe2\x80\xa6 https://t.co/eBnXe7Svxq'
940265052527095808,2017-12-11 17:00:32,"b""@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics It's not posed as his writing. She never claimed that the add\xe2\x80\xa6 https://t.co/7QjB4zxLAM"""
940231034901286913,2017-12-11 14:45:22,"b""@jonreddington53 @EyeWatchTweets @BrianHanes4 @Geoffrey112365 @CNNPolitics The zygote isn't alive, a person under anesthesia is."""
940210882860249088,2017-12-11 13:25:17,b'@EyeWatchTweets @BrianHanes4 @Geoffrey112365 @CNNPolitics We are running out of resources. Just because Kansas seem\xe2\x80\xa6 https://t.co/mAh5LeqV1Z'
940205553770303488,2017-12-11 13:04:06,b'@EyeWatchTweets @BrianHanes4 @Geoffrey112365 @CNNPolitics Yeah because who cares if a kid is molested as long as th\xe2\x80\xa6 https://t.co/rTlwbZ2TQo'
940202705355792389,2017-12-11 12:52:47,"b'@EyeWatchTweets @BrianHanes4 @Geoffrey112365 @CNNPolitics But what if he did. There is evidence, the yearbook, test\xe2\x80\xa6 https://t.co/uxQLqY4cu4'"
940198960374919169,2017-12-11 12:37:54,"b'@EyeWatchTweets @BrianHanes4 @Geoffrey112365 @CNNPolitics Yes, it not a witch hunt. Is it acceptable for a man to j\xe2\x80\xa6 https://t.co/0OMXSgtc7Z'"
940191882461831168,2017-12-11 12:09:47,"b""@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics They've retracted a lot. An example? How about when they clai\xe2\x80\xa6 https://t.co/S8IjByixhE"""
940175900380991488,2017-12-11 11:06:16,"b""@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics Tactic used to trick the idiotic conservatives who don't actually read the article."""
940175702808322049,2017-12-11 11:05:29,b'@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics Do you believe everything you hear? Research what you talk ab\xe2\x80\xa6 https://t.co/S7YEzA9GHf'
940133583750156288,2017-12-11 08:18:07,b'@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics Plus Beverly Nelson said she would allow an independent exper\xe2\x80\xa6 https://t.co/0a4O5CgEdR'
940130761222574080,2017-12-11 08:06:54,"b""@MaryCarty7 @Geoffrey112365 @BrianHanes4 @CNNPolitics Have you read anything about that 'forgery?' An annotation wa\xe2\x80\xa6 https://t.co/HfCV1MMuC1"""
940118115400200197,2017-12-11 07:16:39,"b""@BrianHanes4 @nrross64 @RockinRobin509 @CNNPolitics In the current state of mind, it's better to have a way of thin\xe2\x80\xa6 https://t.co/VzEXJoIwZ8"""
940117000956862464,2017-12-11 07:12:14,"b""@BrianHanes4 @EyeWatchTweets @Geoffrey112365 @CNNPolitics No give him a trail. Let him convince the people he didn't molest those girls."""
940116677974376448,2017-12-11 07:10:57,"b""@BrianHanes4 @utvolfl @Geoffrey112365 @CNNPolitics Because I don't believe Moore should be allowed to run for senat\xe2\x80\xa6 https://t.co/vx6Vu6IUkf"""
940115929387753472,2017-12-11 07:07:58,"b""@nrross64 @BrianHanes4 @RockinRobin509 @CNNPolitics No. It can't be confirmed, for the mall doesn't keep documents\xe2\x80\xa6 https://t.co/HCIkHwtr5k"""
940114958435667969,2017-12-11 07:04:07,"b""@BrianHanes4 @utvolfl @Geoffrey112365 @CNNPolitics Of course not all men are guilty, but it's likely Moore is."""
940114159244664833,2017-12-11 07:00:56,"b'@BrianHanes4 @EyeWatchTweets @Geoffrey112365 @CNNPolitics You want evidence, but when evidence - although circumsta\xe2\x80\xa6 https://t.co/UxDRXeXLdw'"
940113004682760192,2017-12-11 06:56:21,"b""@BrianHanes4 @EyeWatchTweets @Geoffrey112365 @CNNPolitics Don't hang him, but don't elect him a senator. Let there\xe2\x80\xa6 https://t.co/vv12gnRtKa"""
940112286248775680,2017-12-11 06:53:30,"b""@BrianHanes4 @utvolfl @Geoffrey112365 @CNNPolitics Of course they are. If they weren't we wouldn't care about Moore\xe2\x80\xa6 https://t.co/PiR65FNaMW"""
