id,created_at,text
940428865234784257,2017-12-12 03:51:28,b'Yeap https://t.co/vBmqbk88tO'
940428733500067840,2017-12-12 03:50:57,b'RT @IamEveryDayPpl: Amazon showing better options of an item you purchased the second after you submit the order is why I have trust issues\xe2\x80\xa6'
940428673743810560,2017-12-12 03:50:42,b'RT @Reuters: U.S. House Democratic women seek probe of Trump misconduct accusations https://t.co/GipIulIbTZ'
940428603392749568,2017-12-12 03:50:26,b'RT @IamEveryDayPpl: Kindness creates hope...\n\nWrite that down.'
940428533473726464,2017-12-12 03:50:09,b'Brutal! https://t.co/5E79ME7Eo7'
940428255190011904,2017-12-12 03:49:03,b'Please help! https://t.co/29VNSvyaaC'
940428132313681920,2017-12-12 03:48:33,b'RT @dacremontgomery: Amazing! Thank you @duranduran \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f Happy Holidays ! https://t.co/KEExN6mPi7'
940427952545849345,2017-12-12 03:47:50,b'RT @scalzi: My passport photo session did not go well. https://t.co/vGb9kBw8S0'
940427910569226240,2017-12-12 03:47:40,"b'@IvankaTrump We could hope?\ni doubt it, though.'"
940427593035276288,2017-12-12 03:46:25,"b'@realDonaldTrump @nytimes Oh Donny? You were looking in the mirror, #LordDampnut!'"
940427352403841025,2017-12-12 03:45:27,"b'RT @MomOnFire: You think I can\xe2\x80\x99t subtweet? I\xe2\x80\x99m making hot love to a pastrami footlong right now. I can subtweet, BRO.'"
940426966284558337,2017-12-12 03:43:55,b'RT @HealingMB: Things you should NEVER apologize for:\n\n\xe2\x80\xa2 Crying\n\xe2\x80\xa2 Depression/Anxiety\n\xe2\x80\xa2 How you feel\n\xe2\x80\xa2 Needing/asking for help\n\xe2\x80\xa2 Expressing\xe2\x80\xa6'
940426925297635329,2017-12-12 03:43:45,b'@jcmfanclub @tgcmovie @JohnCMcGinley i will!'
940425851245617152,2017-12-12 03:39:29,b'Oh John.\ni suffer with many when they hurt.\ni love you man.\n\xf0\x9f\x98\x8d https://t.co/4ZO59Oy2sL'
940424717374251010,2017-12-12 03:34:59,"b'@NBCNews ""One of our attorneys is a Jew. [Ignorant Applause] We\'ve had very close friends that are Jewish and Rabbi\xe2\x80\xa6 https://t.co/FQiL7fsJjl'"
940422332065239040,2017-12-12 03:25:30,b'RT @noTrumpette: Great Senator @SenFranken @alfranken RAILROADED!!! I just wish he had chosen to fight this!! America needs him fighting fo\xe2\x80\xa6'
940419870386262016,2017-12-12 03:15:43,"b""@maya_dancer i'm about dumb... i guess i'm the one who was blocked...\nSorry.\nFalse alarm!"""
940419524536487936,2017-12-12 03:14:21,b'@maya_dancer Maybe i did??'
940418151593971712,2017-12-12 03:08:54,b'i partially agree with this. https://t.co/gaDs2AqOhr'
940417790149890049,2017-12-12 03:07:27,b'Shut down Twitter!\nShut!\nIt!\nDOWN! https://t.co/48Jz9d91Zg'
940417481155497984,2017-12-12 03:06:14,b'So maligned.\nJust misunderstood. https://t.co/CbRtYvVCK1'
940417314754908160,2017-12-12 03:05:34,b'@maya_dancer Whoa! You got blocked by Doug Jones??'
940415466744446977,2017-12-12 02:58:14,b'RT @Rosie: holiday sing along !!! #findURjoy https://t.co/mbU3VbcF34'
940415351422095360,2017-12-12 02:57:46,"b'@realDonaldTrump So YOU and your BRAND can make 4 billion dollars and not do ONE thing to improve the country? Fucking Briilian,'"
940414932415328256,2017-12-12 02:56:06,"b""RT @marycaddell: @realDonaldTrump   You don't think we should take care of the planet that supports our life? You are so wrong."""
940414847459708928,2017-12-12 02:55:46,b'RT @gunsmokekitty: @realDonaldTrump Maybe it will stop when if we could get rid of all the Stupid people in Congress and also the president.'
940413078360948738,2017-12-12 02:48:44,b'Says.... who? https://t.co/sQIvoznIss'
940412870298361856,2017-12-12 02:47:54,b'Creeeeeeeeeeeepyyyyyyyyy. https://t.co/GALv9dNW9h'
940412263688699905,2017-12-12 02:45:30,"b'RT @joncoopertweets: If Roy Moore had tried to sexually molest MY daughter when she was 14, I\xe2\x80\x99d be in jail right now watching Tuesday\xe2\x80\x99s ele\xe2\x80\xa6'"
940412200782528512,2017-12-12 02:45:15,"b""Truly a magnanimous couple if i've ever heard of one! https://t.co/a7aXaB0uVa"""
940410799796969472,2017-12-12 02:39:41,"b'RT @bigmanlychin: I just listened to a Peter, Paul, and Mary album and now I have no fucking idea what this species is doing to itself.'"
940409088290279431,2017-12-12 02:32:53,"b'RT @AnnZuccardy: Americans have an intimacy zone of about 18 inches, reserved only for the people they\xe2\x80\x99re closest with. #bodylanguage #comm\xe2\x80\xa6'"
940408819095605248,2017-12-12 02:31:49,"b'Ummm... Grand Old Perverts, much? https://t.co/oVObUnMGH3'"
