id,created_at,text
940251079123464192,2017-12-11 16:05:00,"b'@realDonaldTrump @nytimes Call me Captain Obvious, but if you never watch Don Lemon, how the fuck do you know who h\xe2\x80\xa6 https://t.co/VLJltzOcCi'"
940075617235566592,2017-12-11 04:27:47,b'@Rick_E83 @50_shadesof_pls @TravisAllen02 @SoMeMediaInc @realDonaldTrump That he won at all is proof the dumbing do\xe2\x80\xa6 https://t.co/aP9b7fGVkU'
940075314398486528,2017-12-11 04:26:35,b'@realDonaldTrump Resign before you are impeached dumb fuck!  No respect for draft dodging pussy grabbers!!!!'
938632449419984896,2017-12-07 04:53:09,"b""@StephenAtHome Why wait?  Let's lose the draft-dodging, pussy grabber now!"""
938181942171770880,2017-12-05 23:03:00,"b""@NYYScoreKeep @elonmusk More dangers?  Gamma rays, X-rays, and constant Solar radiation wasn't enough.  Micro-meteo\xe2\x80\xa6 https://t.co/HI3T25hGns"""
938091613653307392,2017-12-05 17:04:04,b'@realChefJared @NASAhistory https://t.co/5iTRfF61K0'
938089387606163456,2017-12-05 16:55:13,b'@realChefJared @NASAhistory https://t.co/RtJBow3mg2'
938062072822185984,2017-12-05 15:06:41,b'@realChefJared @NASAhistory Being buddies with an ardent NAZI in charge of NASA must have been difficult...'
938061470130085889,2017-12-05 15:04:17,b'@aemcburney @NASAhistory @NASA_Langley https://t.co/uucLkjGWvY  Ask your students what physics has to say about this rocket launch...'
938038864089772033,2017-12-05 13:34:27,"b'@NASAhistory So it was Disney, not Kubrick.  \nhttps://t.co/aDLpxUzksW\n\nAny interesting advancements in radiation sh\xe2\x80\xa6 https://t.co/in2BeoV8r2'"
937994987744063490,2017-12-05 10:40:06,"b'@NYYScoreKeep @elonmusk Those as well as solar wind, solar flares, galactic cosmic radiation, gamma ray bursts and\xe2\x80\xa6 https://t.co/lVZG9dUc0D'"
937410074707767296,2017-12-03 19:55:52,"b""@realDonaldTrump @foxandfriends Don't you have bone spurs to tend to coward?"""
937398385186766848,2017-12-03 19:09:25,"b""@ABC Corporate rate cut? WTF?  Corporations hire nearly all staff part time so they don't have to provide healthcar\xe2\x80\xa6 https://t.co/xX4fJwoh5P"""
937292026223013888,2017-12-03 12:06:47,b'@realDonaldTrump Can a false tweet to US citizens/world be considered perjury?'
937120039123140608,2017-12-03 00:43:22,b'@ABC Prison'
937119560716578816,2017-12-03 00:41:28,"b""@realDonaldTrump Ya, it's real fucking difficult to get rich white men to vote for their own tax cuts!!! How about\xe2\x80\xa6 https://t.co/lVec4niDnq"""
937118909336973313,2017-12-03 00:38:53,b'@ABC @Space_Station At least NASA includes a layer of atmosphere around their newer Earth simulations!!!  Kind of m\xe2\x80\xa6 https://t.co/JRfQcVa4UB'
936819659952685056,2017-12-02 04:49:46,b'@realDonaldTrump https://t.co/NarehXzjF2\n\nStop lying predator dick!'
936818569320456192,2017-12-02 04:45:26,b'@elonmusk How much money per pound to sent into Space?  You are going to send up a car?  You are as ignorant and unbelievable as Apollo!!'
936817902124019712,2017-12-02 04:42:47,b'@elonmusk I just want to hear how they plan to protect delicate electronics from the multiple radiation sources whi\xe2\x80\xa6 https://t.co/pfvaASi2sc'
936374490618933249,2017-11-30 23:20:50,"b'@bgreene We are most likely self-replicating bots in a multi-level, quantum multiverse simulator.  All perceptions\xe2\x80\xa6 https://t.co/aRnWN9NweX'"
936094296830222336,2017-11-30 04:47:26,b'@ABC Transparency!!!'
935938329240936448,2017-11-29 18:27:41,"b'@realDonaldTrump Matt and you can compare your deviant, predatorial behavior over a drink in the clink!  Stop with\xe2\x80\xa6 https://t.co/Ta2H6MhLkL'"
935318772461707264,2017-11-28 01:25:47,b'@AntonioParis Stars in the same photo with Earth and the Moon?  Please share this fucking amazing technology with N\xe2\x80\xa6 https://t.co/q17oUAxjtz'
935316640618520577,2017-11-28 01:17:19,b'@elonmusk Photoshop tweaking of an over-priced RC video recorder tooling around the outback....lol'
935312598106456064,2017-11-28 01:01:15,"b""@realDonaldTrump Big week for impeachment proceedings to get underway.  TREASON TRIALS to follow!  I can't recall p\xe2\x80\xa6 https://t.co/Qe05fUc0IK"""
934901030784868352,2017-11-26 21:45:50,"b""@CNNPR @realDonaldTrump Any crimes committed against any of our journalists abroad is on  bone spur boy's head.\n\nOf\xe2\x80\xa6 https://t.co/zaZkB2DgOp"""
934172697847775232,2017-11-24 21:31:41,b'@realDonaldTrump https://t.co/pIAl8eSZsC'
934168620283731968,2017-11-24 21:15:29,b'@realDonaldTrump Still waiting for the nation to shame you out of the Whitehouse for your sexual misconduct unbecom\xe2\x80\xa6 https://t.co/WDtpLU4RSA'
934165828882243584,2017-11-24 21:04:24,b'@NASAhistory https://t.co/dGLjVgB1G6'
933556935453851648,2017-11-23 04:44:52,b'@WorldAndScience Just dont chew em with cola or your stomach will explode!'
933520522708578304,2017-11-23 02:20:11,"b""@realDonaldTrump Just upset it's a protest against how blacks are treated.  Remember your Oath Trump?  Defending th\xe2\x80\xa6 https://t.co/9UdcrBPVKY"""
