id,created_at,text
940220543696912384,2017-12-11 14:03:40,"b""@realDonaldTrump It's time to hold you accountable. Your history is worse than Franken's and others. I'll bet you h\xe2\x80\xa6 https://t.co/qzP7pp8Bfi"""
940158987592454144,2017-12-11 09:59:04,"b""@KathrynWiddoss @MooreSenate I'm in Calabasas at the moment. I have spent about 7 months up here this year. I trave\xe2\x80\xa6 https://t.co/xKo9r2O9X5"""
940068871062433793,2017-12-11 04:00:59,"b'@realDonaldTrump @FoxNews ,,, and some of them are very good people. Heil! The party that supports and promotes chi\xe2\x80\xa6 https://t.co/xMNq3UOgGE'"
939455860861894656,2017-12-09 11:25:06,"b""@SenateMajLdr In you and your party's zeal to support pedophilia and sexual assault on women, you have neglected im\xe2\x80\xa6 https://t.co/iucUbMYbfW"""
939446186754285568,2017-12-09 10:46:39,"b""@realDonaldTrump As the GOP's leading advocate for child rape and sexual assault, do you intend to partner with Moo\xe2\x80\xa6 https://t.co/xG7R0bE6X1"""
939441493772607488,2017-12-09 10:28:00,"b'@MooreSenate As one of the GOP advocates for child rapists and other sexual predators, what will your legislative a\xe2\x80\xa6 https://t.co/83B8WhSkzu'"
939305173263958016,2017-12-09 01:26:19,b'@LindseyGrahamSC  https://t.co/wIm1ROegri'
939304834607353856,2017-12-09 01:24:58,b'@peplamb @realDonaldTrump  https://t.co/A2FneUXqtF'
939304732400611328,2017-12-09 01:24:34,b'@realDonaldTrump @FoxNews  https://t.co/RZU118KmjF'
939303424243335168,2017-12-09 01:19:22,b'@LynnAllred7 @_ST3V3N_W @HealTheNation45 @MooreSenate  https://t.co/vqeP2NxeDk'
939303254478876673,2017-12-09 01:18:41,b'@MooreSenate  https://t.co/DUdMTIWrEM'
939299885005750272,2017-12-09 01:05:18,b'@LindseyGrahamSC  https://t.co/tPE55Axyr7'
939069942103543808,2017-12-08 09:51:35,b'@MooreSenate @Evan_McMullin Do it for your children. SAY NO TO ROY MOORE!'
939055172218601472,2017-12-08 08:52:54,b'@MooreSenate @Evan_McMullin https://t.co/eOTgInZao8'
939055076806500352,2017-12-08 08:52:31,b'@ALGOP https://t.co/eOTgInZao8'
938954026875437056,2017-12-08 02:10:59,b'@SpeakerRyan  https://t.co/58bHaS8CdO'
938916101735325696,2017-12-07 23:40:17,b'@MooreSenate @Evan_McMullin  https://t.co/73q67nsy6b'
938912880988057600,2017-12-07 23:27:29,b'@ALGOP https://t.co/t2v16njtfs'
938784626817998848,2017-12-07 14:57:51,b'@realDonaldTrump @foxandfriends https://t.co/6N8mK5KJjw'
938633932542636032,2017-12-07 04:59:03,b'@RepMetcalfe I see you revealed yourself as a homophobic gay man. Congratulations. \n\nhttps://t.co/a3awSUksgS'
938633042431578112,2017-12-07 04:55:30,b'@MooreSenate Do it for our children. NO ROY MOORE!'
938632669730021377,2017-12-07 04:54:02,b'@MooreSenate  https://t.co/I1mXAICmNA'
938217461899333632,2017-12-06 01:24:08,"b'@whnt @MooreSenate With friends like the about to be indicted traitor slob and alcoholic Bannon, who needs friends?\xe2\x80\xa6 https://t.co/AuXh5G1oak'"
938216679200366592,2017-12-06 01:21:02,b'@IzzyGould @MooreSenate Do it for your children. No Roy Moore.'
938048317916925952,2017-12-05 14:12:01,"b'@realDonaldTrump @SenateMajLdr @senorrinhatch The Senate ""tax cut"" bill which nobody read, with no hearings or test\xe2\x80\xa6 https://t.co/7y5IP1Wpqu'"
938048050676846592,2017-12-05 14:10:58,"b'@realDonaldTrump @SenateMajLdr @senorrinhatch The Senate ""tax cut"" bill which nobody read, with hearings or testimo\xe2\x80\xa6 https://t.co/bgvx3KwKKI'"
938013751768420352,2017-12-05 11:54:40,b'@besse_richard @DaniPalmer @Realjmannarino @realDonaldTrump @foxandfriends Nah. We would just send in the smart swa\xe2\x80\xa6 https://t.co/IfR3Ey3U5Q'
937822532090187777,2017-12-04 23:14:50,b'@SpeakerRyan https://t.co/5n0yfhScbu'
937503764201771008,2017-12-04 02:08:10,b'@realDonaldTrump  https://t.co/LkdWFgidZJ'
937503397921599488,2017-12-04 02:06:42,"b""@realDonaldTrump Let's deport Melania. She violated her visitor visa on her initial visit. That made her ineligible\xe2\x80\xa6 https://t.co/4BtM8hYUF3"""
937502924447584256,2017-12-04 02:04:49,"b'@realDonaldTrump Trump lies since inauguration: More than 1,600.\n\nComey lies under oath: ZERO.'"
937472731184074752,2017-12-04 00:04:51,"b'@realDonaldTrump Have you thought of going onto the Jerry Springer show with your message? Ivanka, Don Jr., Eric, a\xe2\x80\xa6 https://t.co/8S454vYdDI'"
937467744487911424,2017-12-03 23:45:02,"b'@realDonaldTrump We wonder whether Melania will visit you, or not. As someone pointed out recently, you are not a p\xe2\x80\xa6 https://t.co/6MdqcvGQsU'"
937420520907333633,2017-12-03 20:37:23,"b""@MooreSenate @realDonaldTrump We heard the argument from evangelicals that sometimes evil men do God's work. Theref\xe2\x80\xa6 https://t.co/VghaRgqzl3"""
937420445330083840,2017-12-03 20:37:05,"b""@MooreSenate We heard the argument from evangelicals that sometimes evil men do God's work. Therefore vote for Trum\xe2\x80\xa6 https://t.co/ZEfMbNxFns"""
