id,created_at,text
940084822126379009,2017-12-11 05:04:22,b'@realDonaldTrump @realDonaldTrump but you\xe2\x80\x99ll have a pedophile fill a senate seat.'
939914410134470657,2017-12-10 17:47:12,"b'Trump is a dangerous president, we #NeedToImpeach him now! Join me by signing the petition: https://t.co/wnc96nXLuf'"
936634120133857280,2017-12-01 16:32:30,"b'@realDonaldTrump hey, what was that saying a while back\xf0\x9f\xa4\x94..oh that\xe2\x80\x99s right \xe2\x80\x9clock her up\xe2\x80\x9d\nLookey at what is going on?\xe2\x80\xa6 https://t.co/7jzoRgMmoS'"
935851337891373056,2017-11-29 12:42:00,b'@realDonaldTrump @realDonaldTrump what about your past transgressions.'
935578584521068544,2017-11-28 18:38:11,b'@realDonaldTrump Never mind the disrespect you showed to the Navajo code talkers yesterday you clueless bastard. #fuckyou'
935199458610073600,2017-11-27 17:31:40,b'@realDonaldTrump You are a disgrace.'
934390087315591168,2017-11-25 11:55:31,"b'@realDonaldTrump Time magazine denies this, but is that fake news too? Is nothing too low for you? You\xe2\x80\x99re NOT MOTY. Now now, not ever.'"
928948386987958272,2017-11-10 11:32:09,"b""RT @awkwrdParacadet: Good thing i don't eat nutella O O F\nhttps://t.co/U7XBX0R4RR"""
925679874748092417,2017-11-01 11:04:15,"b'@realDonaldTrump Since when have you turned to God, unless it fits your narrative and your base. You are a LOSER!'"
925028400728891392,2017-10-30 15:55:31,b'@realDonaldTrump who is Papadolupous?????? Oh I\xe2\x80\x99ll wait.....'
924983793647316992,2017-10-30 12:58:16,b'@realDonaldTrump But your sons opposition research as ok?'
922985879425208320,2017-10-25 00:39:16,"b'@realDonaldTrump @realDonaldTrump because it\xe2\x80\x99s all about the accolades they pour on you, you arrogant bastard. No shame.'"
918993690152132608,2017-10-14 00:15:44,b'@realDonaldTrump Shut. Up.'
917774553178365953,2017-10-10 15:31:19,"b""RT @Malala: 5 years ago, I was shot in an attempt to stop me from speaking out for girls' education. Today, I attend my first lectures at O\xe2\x80\xa6"""
914797448828194817,2017-10-02 10:21:22,b'@realDonaldTrump........waiting for your tweet about LV!'
914791835964502016,2017-10-02 09:59:04,b'@realDonaldTrump I\xe2\x80\x99ll wait right here for the LV tweet. Or are you waiting for \xe2\x80\x9call the facts\xe2\x80\x9d to see how this fits your agenda ???'
914790186621575169,2017-10-02 09:52:31,"b'@realDonaldTrump @realDonaldTrump please stop. We get it, you\xe2\x80\x99re a mans man. You are macho. Quit with the war shit. We\xe2\x80\x99re tired and scared'"
914438617153536001,2017-10-01 10:35:30,b'@realDonaldTrump @realDonaldTrump PR is hypothetically on its knees. Pay attention to that you vile SOB.'
913408821657260034,2017-09-28 14:23:28,b'@realDonaldTrump @realDonaldTrump get rid of allowing Russians to rent your hotel rooms for months so they can have anchor babies here'
913408587875090433,2017-09-28 14:22:32,b'@realDonaldTrump @realDonaldTrump true you allow Russians to pay 7k a month at your hotels so they can have anchor babies here?'
913408119828570113,2017-09-28 14:20:40,b'@realDonaldTrump Get rid of renting out trump hotel rooms so russians can have kids here'
912353213919240192,2017-09-25 16:28:51,"b""RT @jk_rowling: Incompetent clowns in power and the opposition turning into a solipsistic personality cult. I'm so ****ing depressed. Send\xe2\x80\xa6"""
911177224392527872,2017-09-22 10:35:53,b'@realDonaldTrump Please stfu. Please. Quit antagonizing him. This is not a competition. Christ. Have you no common sense'
