id,created_at,text
940416924063862784,2017-12-12 03:04:01,b'RT @Forbes: UNICEF USAVoice: Good news for moms and babies: The Philippines has eliminated MNT https://t.co/H2jxxnDy1S https://t.co/ZqbCAzJ\xe2\x80\xa6'
940416904069599232,2017-12-12 03:03:56,"b'RT @businessinsider: Content, distribution, and monetization across Facebook, YouTube, Snapchat, and Instagram https://t.co/V0QgRbP8rT http\xe2\x80\xa6'"
940416772330741761,2017-12-12 03:03:25,b'RT @UNDP: Climate financing is key to tackling #ClimateChange &amp; moving the financing 4 development agenda forward - @ASteiner #OnePlanetSum\xe2\x80\xa6'
940416678059479046,2017-12-12 03:03:02,"b'RT @cathywachiaya: ""If a woman\xe2\x80\x99s specific needs+protection are met, she is empowered &amp;supported &amp;her children, family &amp; community will thri\xe2\x80\xa6'"
940416648875597825,2017-12-12 03:02:55,"b'RT @unfoundation: .@UN Secretary-General @antonioguterres emphasizes the critical role of @UNCERF: ""CERF not only works quickly; it is desi\xe2\x80\xa6'"
940416621180608512,2017-12-12 03:02:49,b'RT @Arab_News: #AlJazeera coverage of Trump\xe2\x80\x99s #Jerusalem move \xe2\x80\x98promoting hatred\xe2\x80\x99 https://t.co/ynfXIS8e8G #Qatar #media #Israel #Palestine'
940416576649605120,2017-12-12 03:02:38,b'RT @UNICEF: Absolutely heartbreaking. \n\nWe must #ENDviolence against girls - NOW @BBCWorld  https://t.co/f0c1KJIQL4'
940415004779696128,2017-12-12 02:56:23,"b'RT @robohit: \xe2\x80\x9cThe world of humanity is possessed of two wings, the male and the female. So long as these two wings are not equivalent in st\xe2\x80\xa6'"
940405568950427649,2017-12-12 02:18:54,b'RT @lsarsour: This is the most heartbreaking thing I have read in a long time. (Trigger warning: rape) https://t.co/Lm7DmLoJWD'
940405546003390469,2017-12-12 02:18:48,"b'RT @UNICEF: #ForEveryChild\n\nWherever they are. \nWhoever they are. \nWhenever they need us. \n\nAs we mark our 71st anniversary today, we want\xe2\x80\xa6'"
940405515510837248,2017-12-12 02:18:41,b'RT @AlArabiya_Eng: Video shows awkward moment Russian soldier stops #Assad from following #Putin https://t.co/mpeJPyLm8q https://t.co/0wJb2\xe2\x80\xa6'
940405467951652864,2017-12-12 02:18:30,b'RT @TEDTalks: Why educators must love and lead fearlessly: https://t.co/5pLEa6Leq1'
940279014631100422,2017-12-11 17:56:01,"b'RT @Arab_News: - @PutinRF_Eng, @RT_Erdogan meet for third time in less than a month\nhttps://t.co/t2XX8f0ggm'"
940278995198906368,2017-12-11 17:55:56,"b""RT @Awad_Amin_: #UNHCR urgently seeking 1,300 resettlement places for vulnerable @refugees in #Libya. In parallel, need to explore add'n so\xe2\x80\xa6"""
940278964307800064,2017-12-11 17:55:49,b'RT @Dailymirror_SL: SL team stranded in Dharamsala due to rain https://t.co/cx25PGziBX https://t.co/3MoiuhuzjY'
940278954413494273,2017-12-11 17:55:46,b'RT @UNGeneva: In memory of the 15 @UNPeacekeeping staff that have fallen victim to the horrific attack against @MONUSCO in #DRC #NorthKivu\xe2\x80\xa6'
940278928253571072,2017-12-11 17:55:40,"b'RT @UNOCHA: In #Yemen, the continuing blockade of ports is limiting supplies of fuel, food &amp; medicines; dramatically increasing the number\xe2\x80\xa6'"
940278833470693381,2017-12-11 17:55:18,b'RT @WFP: Hawo &amp; her grandchildren moved to Central Somalia after the drought wiped out  their livestock. Receiving cash via WFP is opening\xe2\x80\xa6'
940278817523929088,2017-12-11 17:55:14,b'RT @Arab_News: Licenses to be issued for those who wish to open #cinema houses in #SaudiArabia\nhttps://t.co/0eucXM24KI'
940278773060177931,2017-12-11 17:55:03,b'RT @SriLankaTweet: Happy Wedded Life @imVkohli &amp; @AnushkaSharma !\nWarmest Wishes from #SriLanka #LKA\nVirat Kohli married Bollywood actress\xe2\x80\xa6'
940278762050113541,2017-12-11 17:55:01,b'RT @colombogazette: Visiting Indian Air Chief holds discussions in Sri Lanka https://t.co/BI8iIBLMYz via @colombogazette #srilanka #lka'
940278746673745920,2017-12-11 17:54:57,b'RT @AnushkaSharma: Today we have promised each other to be bound in love forever. We are truly blessed to share the news with you. This bea\xe2\x80\xa6'
940278722145513473,2017-12-11 17:54:51,"b""RT @lsarsour: My city is a resilient one, it's people too. We will get through this like we have gotten through worse before. I \xe2\x9d\xa4\xef\xb8\x8f NY. http\xe2\x80\xa6"""
940278711072575488,2017-12-11 17:54:48,"b'RT @TEDTalks: Watch the first full talk from #TEDTalksIndiaNayiSoch, now on https://t.co/YLcO5Ju923! \n\n@GautamBhan80 has a bold plan to hou\xe2\x80\xa6'"
940278681745920000,2017-12-11 17:54:41,b'RT @ajplus: This boy broke down in tears after being bullied in school. Then the internet came together to support him. https://t.co/KL99PW\xe2\x80\xa6'
940278649022025729,2017-12-11 17:54:34,"b'RT @MuslimsMatterss: ""Beautiful people are not always good, but good people are always beautiful"" - Ali ibn Abi Talib (raa) \n.\n#Quote'"
940278637978439685,2017-12-11 17:54:31,"b""RT @UN: \xe2\x9b\xb0\xef\xb8\x8f\xf0\x9f\x8f\x94\xef\xb8\x8f\xf0\x9f\x97\xbb provide 60-80% of world's freshwater, which is essential to #GlobalGoals, esp. to eliminate poverty &amp; hunger. More on #Mounta\xe2\x80\xa6"""
