id,created_at,text
940043751656845315,2017-12-11 02:21:10,"b'@CNNPolitics We are all given the right to defend ourselves, if he committed such acts than he should be ashamed of\xe2\x80\xa6 https://t.co/wRz6OHKSZ4'"
940042964121804801,2017-12-11 02:18:02,"b""RT @mrsdurkinmuses: @CNNPolitics Look, he resigned.  He lost his career, his office and his reputation.  Basically, he's ruined.  So I thin\xe2\x80\xa6"""
940041580907397125,2017-12-11 02:12:32,"b""@realDonaldTrump we are a nation of immigrants and have are a melting pot of different religions. You're dumb but A\xe2\x80\xa6 https://t.co/d2xs5eC3uP"""
940040531077300225,2017-12-11 02:08:22,"b""@realDonaldTrump And Moore will vote to lower the age of consent across the country.  Yes that's exactly what we ne\xe2\x80\xa6 https://t.co/CGFq8lnbYU"""
940039837125447680,2017-12-11 02:05:36,b'@realDonaldTrump And your slogan should be Donny Cheese Doodle The least trusted president in history haha.... #WorstPresidentInHistory'
940039492341178368,2017-12-11 02:04:14,b'@realDonaldTrump @USArmy @USNavy You do know a big portion of our military doesnt really like you right? Oh wait le\xe2\x80\xa6 https://t.co/MhbdttX1h5'
940039144654254080,2017-12-11 02:02:51,b'@realDonaldTrump @daveweigel You should be fired for all the fraudulent acts you commit and for making us the laugh\xe2\x80\xa6 https://t.co/0AfPmuIbDt'
940038687177433092,2017-12-11 02:01:02,"b""@realDonaldTrump I'd rather have a illegal immigrant living next door to me than ole donny cheese doodle...juss say\xe2\x80\xa6 https://t.co/vXsNHkMTtI"""
940037204620984320,2017-12-11 01:55:09,"b""@CNNPolitics if this man who looks like a turtle that lost it's shell were a democrat and black republicans would r\xe2\x80\xa6 https://t.co/qdKCn6hHQW"""
940036189368627201,2017-12-11 01:51:07,b'@CNNPolitics Our government needs to be torn down and rebuilt to root out all the corruption. This dwarf needs to g\xe2\x80\xa6 https://t.co/SFa8v5teZ4'
940035691005722624,2017-12-11 01:49:08,b'@sense8 I wish netflix would make a full season 3 and continue.... @sense8 is ground breaking. Hands down my this i\xe2\x80\xa6 https://t.co/eWpbqacjpJ'
940034966070607872,2017-12-11 01:46:15,b'@realDonaldTrump Why is everything that proves your pathological liar dubbed fake news by your incompetent administ\xe2\x80\xa6 https://t.co/k77Uk2ru0p'
940034231039803392,2017-12-11 01:43:20,b'@realDonaldTrump I wonder if you believe even half of your own lies'
939207091176267776,2017-12-08 18:56:34,b'@SharonReedCBS46 you are amazing lol i think that is the first time watching the news that i stood up and started c\xe2\x80\xa6 https://t.co/uMgPu5inAd'
939160293585891328,2017-12-08 15:50:37,b'@realDonaldTrump kind of like when you got elected ;)'
935574256531976192,2017-11-28 18:20:59,b'@realDonaldTrump Pretty sure the publics fed up with you too.'
931641290076409856,2017-11-17 21:52:47,b'@CNN someone lied to germany lmfao... I travel all the time and meet people from our allied countries who say old d\xe2\x80\xa6 https://t.co/KcmZKhucxv'
931627399787270144,2017-11-17 20:57:35,b'@CNN Focus on donny cheese doodle and then focus on him.... NOBODY should be allowed to sexually assault or harass\xe2\x80\xa6 https://t.co/SEwIjdZzJo'
931625261606604801,2017-11-17 20:49:05,b'hahahaha @realDonaldTrump https://t.co/pxRHNIo9y7'
