id,created_at,text
940083177820790786,2017-12-11 04:57:50,b'@washingtonpost what a rubbish'
940082876644696064,2017-12-11 04:56:38,"b'@realDonaldTrump nothing ur abouise nes, all we r one'"
940082875432501248,2017-12-11 04:56:38,"b'@realDonaldTrump\nu r a idiot president for usa,, we hate u because ur declaration,,,,,,'"
940082871192010752,2017-12-11 04:56:37,b'@nusratjahan1111 gd'
940081875216842752,2017-12-11 04:52:39,"b'@nusratjahan1111 hmm,right,, we hate idiot trump declaration'"
939533298207879170,2017-12-09 16:32:48,b'@sharmincinthiya tomar boobs &amp; pussy pic dao'
939532711022096384,2017-12-09 16:30:28,b'@sharmincinthiya tomar sexy pic koi'
939531371768250368,2017-12-09 16:25:09,"b'@nusratjahan1111 not bad,or not gd'"
939531247113474049,2017-12-09 16:24:39,b'@tanvirtareq5 nice'
939531180340273152,2017-12-09 16:24:23,b'@nusratjahanjeni ok'
939530987175788544,2017-12-09 16:23:37,"b'@nusratjahan1111 hmmm,gd'"
939452365861666816,2017-12-09 11:11:12,b'@washingtonpost we hate usa &amp; his president trump'
939444224704909312,2017-12-09 10:38:51,"b'@realDonaldTrump,, we r Muslim people hate u,,,,'"
939444002155200512,2017-12-09 10:37:58,"b'@realDonaldTrump u r a rubbish president at usa,,,,we r all over Muslim hate u,,,idiot'"
939335469145374720,2017-12-09 03:26:42,b'@nusratjahanjeni ohh!very sad!'
