id,created_at,text
940089283825745920,2017-12-11 05:22:05,b'@realDonaldTrump @POTUS @CNN Can we just immediately fire you instead?'
940089113562071041,2017-12-11 05:21:25,"b""@RHOGossip I hope so she's trying so hard but she's so boring"""
939568851095666688,2017-12-09 18:54:05,"b""@CoryBooker Cool like Obama.. he's got my vote for prez!"""
934873057897865216,2017-11-26 19:54:40,"b""@KimKardashian I think there should be some non star-struck regular shoppers there so she can get the full experience! I'll volunteer."""
934869362518847488,2017-11-26 19:39:59,"b""@Toure Are you kidding me? he's never going to realize that!"""
927794431230582785,2017-11-07 07:06:44,b'@TheRickWilson Are you surprised! Everything he does strikes me that way!'
927793407061139456,2017-11-07 07:02:40,"b'@MargaretJosephs I would never take relationship advice from a woman who calls someone ugly, sticks out her tongue,\xe2\x80\xa6 https://t.co/HsNcpaZlZr'"
924843748017692673,2017-10-30 03:41:46,"b""@yashar I am disappointed in Andy... he's a little full of himself.. but i guess 3 tv shows will do that to a previously humble person."""
924842085605294080,2017-10-30 03:35:10,"b""@Toure Please tweet as soon as you know... I'm on the West Coast!"""
924840918288556032,2017-10-30 03:30:32,"b""@RHOGossip I fast forward through all Lydia's segments."""
924840721495900160,2017-10-30 03:29:45,b'@RHOGossip Lydia can go.. bring Alexis back.'
922266313170415617,2017-10-23 00:59:58,b'@RHOGossip Good riddance.'
914315788546301953,2017-10-01 02:27:25,b'@realDonaldTrump @POTUS Can you ever just keep your disgusting opinions to yourself and support those who are strug\xe2\x80\xa6 https://t.co/nZg3VdkSYQ'
914314934040780801,2017-10-01 02:24:02,"b""@robreiner that's an insult to garbage...."""
914312130601426945,2017-10-01 02:12:53,"b""@RichDemaio @EvelynLozada @JLo I don't know what alternate universe you're living in. The guy is disgusting."""
914311089940074496,2017-10-01 02:08:45,b'@thebradfordfile @realDonaldTrump Never in a million years ....'
914310693372944384,2017-10-01 02:07:11,"b""@thebradfordfile @realDonaldTrump What has she done to deserve being called an icon? I'm just curious..."""
914310359086809088,2017-10-01 02:05:51,b'@AngeloRayGomez @realDonaldTrump LOL when you said she is a disgrace to political correctness when you voted for Tr\xe2\x80\xa6 https://t.co/3uJLi3mxrN'
914309637175885825,2017-10-01 02:02:59,"b""@realDonaldTrump @POTUS The governor is a man and he's doing a great job but the mayor is a woman and you attack he\xe2\x80\xa6 https://t.co/b4nwbGFkNz"""
901468056806801408,2017-08-26 15:35:07,b'@immigrant4trump @realDonaldTrump Dream on... are you having breakfast with Joe Arpacio this morning?'
901467382366978049,2017-08-26 15:32:27,"b'@realDonaldTrump You have given the highest platform of all to hate https://t.co/M8lliLVTdx are their leader,the high priest of hate!'"
896399135846219776,2017-08-12 15:53:02,b'@guuubay Need picture..'
874820195809869824,2017-06-14 02:46:02,"b""@PerezHilton @BachParadise I'm sorry but seeing the way she acted with Nick makes me question her account.. she acts the same way sober."""
872859594644627456,2017-06-08 16:55:18,"b""@DonaldJTrumpJr @realDonaldTrump You're delusional honey."""
866693021303099392,2017-05-22 16:31:33,b'@guuubay No grace period? Harsh!'
864197745107533824,2017-05-15 19:16:13,b'@BarackObama @MichelleObama Could you just clone yourself and save us all alot of time and trouble!'
