id,created_at,text
940208297155719168,2017-12-11 13:15:00,b'@bmeredith001 Aren\xe2\x80\x99t you a college student?  Don\xe2\x80\x99t ever type that way again.  Your point is correct though.'
940078271017844736,2017-12-11 04:38:20,b'@paulbradley184 @_audi8 @NFL You sound like a ten year old boy. Why do you care about the way that a bunch of adult\xe2\x80\xa6 https://t.co/bAmgLVbgx0'
940072044795793414,2017-12-11 04:13:35,b'@realDonaldTrump @Stump4TrumpPAC @daveweigel @washingtonpost Lugenpresse'
940047283336310784,2017-12-11 02:35:12,b'@Benaskren Awesome!!'
940047139622723586,2017-12-11 02:34:37,"b'RT @ColbyCovMMA: Every wrestler knows a guy that used to get bullied, then joined the team and turned into a savage no one messed with. Get\xe2\x80\xa6'"
939927678534201345,2017-12-10 18:39:56,b'@C3sh_Me_Ousside @ufc @stipemiocicufc @francis_ngannou He still wouldn\xe2\x80\x99t be'
939927578365874176,2017-12-10 18:39:32,b'@ufc @stipemiocicufc @francis_ngannou Happy to see this so soon!'
939559593230917632,2017-12-09 18:17:17,"b'@greentoepalacio Very kind of you do do that, but you should keep them and do some real good with the $.  Something big.'"
939475806006394880,2017-12-09 12:44:21,b'@CarolynEmerick That\xe2\x80\x99s the Hulkster!!! https://t.co/UqdGYYku2p'
939023812745560064,2017-12-08 06:48:17,"b'RT @ChosaintEuropa: Edinburgh Castle, Scotland https://t.co/x1nk7egW3r'"
939022943375441922,2017-12-08 06:44:50,b'@FrontRowBrian @Benaskren @GeorgesStPierre We can only hope'
939022717050687489,2017-12-08 06:43:56,b'@MMAjunkie Premature.  I thought Chris Weidman was the best 185er ever after he slew Anderson Silva.'
939022256855859201,2017-12-08 06:42:06,b'@HighlightHump They can lift some heavy weights but lack dynamic strength in most cases.  Grab a hold of them and y\xe2\x80\xa6 https://t.co/NoTNcpP0Rd'
938825213252390912,2017-12-07 17:39:08,b'@Benaskren Don\xe2\x80\x99t tease us lol'
938825076924874753,2017-12-07 17:38:35,b'@Kelsea3331 Agreed \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
938289083398451200,2017-12-06 06:08:44,b'@trackwrestling Get rid of the damned singlet.  It\xe2\x80\x99s the biggest barrier to entry for young kids who haven\xe2\x80\x99t develo\xe2\x80\xa6 https://t.co/dFIbwkdN23'
938286800296177666,2017-12-06 05:59:40,b'@fidgetfeminism It\xe2\x80\x99s okay to learn from men.  Whose shoulders do we stand upon?'
938006970258337793,2017-12-05 11:27:43,b'@FrameGames Sickening'
938005073250091008,2017-12-05 11:20:11,b'@AlexTheMauler Do it bro!'
938004997941456897,2017-12-05 11:19:53,b'@CarolynEmerick God bless you'
937921932468645888,2017-12-05 05:49:49,b'@junogsp5 Is he Jewish?'
937880286616080384,2017-12-05 03:04:19,b'@Thomas1774Paine \xf0\x9f\x98\x9d'
937386715899203584,2017-12-03 18:23:03,"b'RT @LadyAodh: There are over 350,000 children living in squatter camps in South Africa. \n\nThey need your help! \n\nPlease donate at https://t\xe2\x80\xa6'"
937349229680451585,2017-12-03 15:54:06,b'@Janlynn88 @SheriffClarke @AmericaFirstPAC @FoxBusiness @foxandfriends @DonaldJTrumpJr @EricTrump He cares.  I\xe2\x80\x99m su\xe2\x80\xa6 https://t.co/rUxZCjVYf0'
937140408957718528,2017-12-03 02:04:19,b'@boomanUSA Woman?'
937135043792789504,2017-12-03 01:43:00,b'RT @kyledake444: Hey @realDonaldTrump do you think you could help out our wrestling teamget a couple visa\xe2\x80\x99s approved so we can compete for\xe2\x80\xa6'
936914477336879109,2017-12-02 11:06:33,b'@fidgetfeminism Their*'
936914122859409409,2017-12-02 11:05:08,b'@FaithGoldy NEIGHBOR! Dumb-dumb.  Neighbor.  Not them.'
936875316106092545,2017-12-02 08:30:56,b'@johnnidijulius @KingJames Wtf- no way'
936816823411949568,2017-12-02 04:38:30,b'@infowars I like it.  It needs to collapse.  Would the Ubermensch watch sportball?  It does nothing for the excellence in us.'
936589126794731520,2017-12-01 13:33:43,b'RT @FloWrestling: Kyle Snyder has been selected as the Male Olympic Athlete of the Year! https://t.co/tJ8rXT430v'
936588950046674944,2017-12-01 13:33:01,b'@MMAontheRocks @Benaskren @GeorgesStPierre I agree.'
936344596782702592,2017-11-30 21:22:02,b'@JulianAssange I don\xe2\x80\x99t see the connection'
936343206836494337,2017-11-30 21:16:31,"b'RT @ncaawrestling: Learn more about #NCAAWrestling through ""The History of Collegiate Wrestling \xe2\x80\x93 A Century of Wrestling Excellence\xe2\x80\x9d: https\xe2\x80\xa6'"
936111732996616192,2017-11-30 05:56:43,"b'@realDonaldTrump Yea, seriously \xf0\x9f\x90\x92'"
936038345158873088,2017-11-30 01:05:06,b'@realDonaldTrump @FoxNews Agreed!  You\xe2\x80\x99re so AWESOME!'
936002092954804225,2017-11-29 22:41:03,b'@_Worse_IsB3tter @AJObserver God bless you and your cause'
935898021019160577,2017-11-29 15:47:31,b'@navyhato @FaithGoldy What a silly pussy'
935897904623079425,2017-11-29 15:47:03,"b'RT @HungaryHeritage: Various Hungarian (born) saints, including St. Elizabeth of #Hungary/#Thuringia, on a mosaic in the #Hungarian chapel\xe2\x80\xa6'"
935784409822908416,2017-11-29 08:16:03,b'RT @Dont_BlinkMMA: Big fight I wanna see right now is GSP vs. @Benaskren ... it\xe2\x80\x99s a no brainer to me!'
935784143664885760,2017-11-29 08:15:00,b'RT @CTaylor_96: Who would you like to see @GeorgesStPierre fight next? @robwhittakermma @TWooodley @TheNotoriousMMA @Benaskren'
935633188822634496,2017-11-28 22:15:10,b'@FrontRowBrian @Benaskren @GeorgesStPierre I won\xe2\x80\x99t believe that until GSP says something to that effect'
935500139980120065,2017-11-28 13:26:28,b'@KatrinaPierson lol \xf0\x9f\x98\x82'
935499764111691776,2017-11-28 13:24:59,b'@realDonaldTrump Boycott those sons of bitches!'
935499316197765120,2017-11-28 13:23:12,b'RT @The_Trump_Train: @realDonaldTrump RETWEET if you think Melania Trump will go down as the most iconic First Lady in history. https://t.c\xe2\x80\xa6'
935499269670305792,2017-11-28 13:23:01,b'@realDonaldTrump It\xe2\x80\x99s great to have a wonderful and strong woman by your side'
935373167287263232,2017-11-28 05:01:56,b'@T_Ram133 No- your Dad should\xe2\x80\x99ve told you that it isn\xe2\x80\x99t manly to want an autograph from another man.'
935248979075399680,2017-11-27 20:48:27,b'@ABCPolitics Wonderful!  DJT always makes me smile \xf0\x9f\x98\x8a'
935248589659541504,2017-11-27 20:46:54,b'@FakeEmily65 @ABCPolitics Also noteable for \xe2\x80\x9cwhipping the banks\xe2\x80\x9d though'
935248097155969024,2017-11-27 20:44:57,b'@Kristadawson101 @tampagirl19655 @ABCPolitics Actually he is really quite large; rather large I would say.'
935247913344790528,2017-11-27 20:44:13,"b'@tampagirl19655 @ABCPolitics Haha, me too \xf0\x9f\x98\x82'"
935247585232736256,2017-11-27 20:42:55,b'@blankslate2017 @ABCPolitics You couldn\xe2\x80\x99t think of anything worse?'
935247292571049984,2017-11-27 20:41:45,b'@ABCPolitics Lol!'
935044933064515584,2017-11-27 07:17:38,b'RT @ForestGroyper: RT to bless a TL\n@HulkHogan @realDonaldTrump https://t.co/mpgEE7LaJW'
934965171407159302,2017-11-27 02:00:42,"b'@ramzpaul @IWillRedPillYou @realDonaldTrump Stop the foreign aid, ALL of it- that \xe2\x80\x9cpays\xe2\x80\x9d for whatever tax cuts you wish!'"
934964548435677184,2017-11-27 01:58:13,b'@JacobAWohl @realDonaldTrump Agreed!'
934964423067873280,2017-11-27 01:57:43,b'@realDonaldTrump Also- what happened to the first iteration of your tax plan that proposed 0 tax on the first $50k\xe2\x80\xa6 https://t.co/7h8IeMF4qq'
934963990454816770,2017-11-27 01:56:00,b'@realDonaldTrump LOWER THE TOP BRACKET TO 30% AND ILL SUPPORT IT.  Or widen the 25% so it caps at $500k/household.\xe2\x80\xa6 https://t.co/XNmIxiQFWy'
934951397916803072,2017-11-27 01:05:58,b'@MMAjunkie Not really'
934938454642823168,2017-11-27 00:14:32,b'@Thomas1774Paine \xf0\x9f\x91\x8c\xf0\x9f\x91\x88\xf0\x9f\x8f\xbb'
