id,created_at,text
940393777625104384,2017-12-12 01:32:02,"b'RT @funder: I found this video of Donald Trump signing a $20M deal with Russian billionaire Aras Agalarov, a staunch ally of Putin. This is\xe2\x80\xa6'"
940336161515495424,2017-12-11 21:43:06,"b'@realDonaldTrump @nytimes Correction: when you are not watching tv, you are golfing on taxpayers\xe2\x80\x99s dime'"
940334258689683457,2017-12-11 21:35:32,b'RT @RogueNASA: Are you in Alabama? Doug Jones believes we should be encouraging investment in renewable energy and conservation. Vote TOMOR\xe2\x80\xa6'
940334179320918017,2017-12-11 21:35:13,"b'RT @jonfavs: 2016: 196,000 jobs per month \n2017: 170,000 jobs per month \n\nUnemployment rate when Obama left office: 4.5%\n\n@QuinnipiacPoll,\xe2\x80\xa6'"
940333528130076674,2017-12-11 21:32:38,"b""RT @sarahkendzior: This is what I've been warning about. It happened in 2016, it's happened in special elections since, and it will be much\xe2\x80\xa6"""
940333274399891456,2017-12-11 21:31:37,b'RT @JuddLegum: Dear Senator Graham:\n\nThis is your official government account.\n\nWhy are you using it to promote the for-profit business of\xe2\x80\xa6'
940333178916442114,2017-12-11 21:31:15,b'RT @ThePresObama: We know. https://t.co/gt7Tehle6E'
940333106183016448,2017-12-11 21:30:57,"b'RT @funder: Why is @realDonaldTrump spending so much time in front of the tv? It\xe2\x80\x99s pathetic. He\xe2\x80\x99s watching tv, drinking his covfefe, eating\xe2\x80\xa6'"
940332954508599297,2017-12-11 21:30:21,"b""RT @SenSanders: Mr. Trump, watch these Patriotic Millionaires explain how to stimulate the economy. It's not by giving massive tax breaks t\xe2\x80\xa6"""
940332900133650432,2017-12-11 21:30:08,b'RT @funder: .@realDonaldTrump-\n\nYou sexually assaulted women. You verbally &amp; physically assaulted women.  You harassed women. You groped wo\xe2\x80\xa6'
940332793334153216,2017-12-11 21:29:43,b'@EndtheHIT Lies. Lies. Stop the TRUMP GOP TAX FRAUD!'
940332649943465984,2017-12-11 21:29:08,b'RT @BarackObama: Just got off a call to thank folks who are working hard to help more Americans across the country sign up for health cover\xe2\x80\xa6'
940233651475832832,2017-12-11 14:55:45,"b'@realDonaldTrump @nytimes YOU, Donald J Trump, your stupid, ignorant, racist actions are inciting this violence. We\xe2\x80\xa6 https://t.co/LivZweaNRx'"
940099649976725504,2017-12-11 06:03:17,b'@realDonaldTrump  https://t.co/mKoCu8fnzf'
940098506089365505,2017-12-11 05:58:44,"b""Yea, this is what it has come to. Do not say you weren't warned. https://t.co/dNKRufLnMM"""
940098252984029189,2017-12-11 05:57:44,b'RT @RawStory: What happens when Republicans have a total lock on state government for decades? This. https://t.co/O3aL5aS81c'
940098163670532097,2017-12-11 05:57:23,b'RT @kylegriffin1: Russian trolls flooded Twitter with hundreds of thousands of divisive posts in 2016\xe2\x80\x94accusing Democrats of satanic practic\xe2\x80\xa6'
940089281220972545,2017-12-11 05:22:05,"b'@realDonaldTrump Stand for the anthem, but elect pedophiles to Congress. No thanks, I will pass.'"
940089106100510725,2017-12-11 05:21:23,"b""@realDonaldTrump GOP= Gang of Pedophiles. Has quite the ring, doesn't it?"""
940088774322569222,2017-12-11 05:20:04,b'@realDonaldTrump @daveweigel @washingtonpost Get the hell over it. You are such a snowflake.'
940088579526508544,2017-12-11 05:19:18,b'@realDonaldTrump Getting closer and closer to impeachment.'
940048508035391488,2017-12-11 02:40:04,"b'The rise, striking fall of a Trump adviser https://t.co/0mTeGJzIFZ via @SFGate'"
940039424196329473,2017-12-11 02:03:58,"b'@realDonaldTrump You are the antithesis of a compassionate person who cares about civil rights. You, who defends Na\xe2\x80\xa6 https://t.co/ylv1N5dlrW'"
940039222412505088,2017-12-11 02:03:10,b'@realDonaldTrump There were a lot of protestors.'
940039102933581830,2017-12-11 02:02:41,b'@realDonaldTrump @daveweigel It was not fake. It was an actual picture taken earlier in the evening. The person who\xe2\x80\xa6 https://t.co/lVvKr0N7J5'
940038333211619328,2017-12-11 01:59:38,"b'RT @KellieResists: @realDonaldTrump 45* said: ""They call themselves The Resistance.""\n\nYou\'re right about 1 thing, we ARE #TheResistance and\xe2\x80\xa6'"
940037766204628993,2017-12-11 01:57:23,"b'@realDonaldTrump Any Senator who votes for the final version of this bill, we will vote you out. Clean sweep of Con\xe2\x80\xa6 https://t.co/6Vgr9ixEsy'"
940037376750977024,2017-12-11 01:55:50,b'@realDonaldTrump They are not fake news. YOU are a liar.'
940037172756848642,2017-12-11 01:55:01,b'@broadband4us We the People DEMAND net. Eutrality. We will vote replace anyone in Cingress who votes to end net neu\xe2\x80\xa6 https://t.co/OgVQEYPMwY'
940036491039817728,2017-12-11 01:52:19,"b""@mikepeterman @realDonaldTrump This isn't a dictatorship or oligarchy, though Trump wants it to be. He WILL be unde\xe2\x80\xa6 https://t.co/GZvuO62f3y"""
940035558578970626,2017-12-11 01:48:36,b'@OuterOrbitCity @mike4354 @RosalindGardner @realDonaldTrump In their CEOs pockets.'
940035467310874631,2017-12-11 01:48:15,b'@mike4354 @RosalindGardner @realDonaldTrump History disagrees with your projection.'
940035254634418181,2017-12-11 01:47:24,b'@RosalindGardner @mike4354 @realDonaldTrump Agreed. There is no stipulation in the bill stating there has to be job\xe2\x80\xa6 https://t.co/TSV2E44SKc'
940034741276831744,2017-12-11 01:45:21,b'@MikeTokes @realDonaldTrump The FCC needs to reign in Trump.'
940034530215305216,2017-12-11 01:44:31,"b'@Realjmannarino @realDonaldTrump Naw, just at its President.'"
