id,created_at,text
940415503289352194,2017-12-12 02:58:22,"b'RT @MaddowBlog: When it comes to Mike Pence there are only two options, and neither of them are the White House story. https://t.co/7I3xfxs\xe2\x80\xa6'"
940415440278491136,2017-12-12 02:58:07,"b""RT @CNN: Republican leaders won't commit to giving Roy Moore a seat on any Senate committee if he wins Tuesday's race for the Alabama seat\xe2\x80\xa6"""
940415359319883777,2017-12-12 02:57:48,b'RT @hardball: WATCH: @NBCNews reports that Robert Mueller is looking into why the White House waited 18 days to fire Flynn after learning t\xe2\x80\xa6'
940415310074593281,2017-12-12 02:57:36,b'RT @MaddowBlog: The White House does not want to answer when Donald Trump knew that Mike Flynn lied to the FBI. Why not? https://t.co/15p6A\xe2\x80\xa6'
940415026967461891,2017-12-12 02:56:29,"b'@realDonaldTrump You and your parrot @PressSec are the biggest abusers, spewing your FAKE NEWS BILE  10 times a day\xe2\x80\xa6 https://t.co/DU3hmr79GZ'"
940414347364384768,2017-12-12 02:53:47,b'@realDonaldTrump @nytimes Apologize for the FAKE VIDEOS that YOU tweeted.  They have been proven to be FAKE and fro\xe2\x80\xa6 https://t.co/lN2RcRE2yg'
940413894027128832,2017-12-12 02:51:59,"b'RT @EdKrassen: As Trump demands that the Media ""apologize"" for accidentally getting a date wrong, remember that 2 weeks ago Trump RT\'d seve\xe2\x80\xa6'"
940413791082225664,2017-12-12 02:51:34,b'@TeaPainUSA What is the standard amount of time to investigate a criminal and his cronies that have violated dozen\xe2\x80\xa6 https://t.co/I3W44aBK69'
940413463041490949,2017-12-12 02:50:16,"b'RT @TeaPainUSA: GOP Today:  ""Mueller had 7 months and found nothing!""\n\nIf Trump was arrested tomorrow: ""This is clearly a rush to judgement\xe2\x80\xa6'"
940413386529038338,2017-12-12 02:49:58,"b'RT @krassenstein: To all the Trump Supporters who attack me by calling me ""Gay"" or a ""F@g""...\nHere\'s some news for you.  This is 2017.  Bei\xe2\x80\xa6'"
940413303771185153,2017-12-12 02:49:38,"b'RT @mmpadellan: Senator Kirsten Gillibrand says, based on the numerous, credible allegations of sexual assault,  trump should resign IMMEDI\xe2\x80\xa6'"
940413244807700480,2017-12-12 02:49:24,b'Russian propagandists are pushing for Roy Moore to win https://t.co/HsGSwCjEFW via @MotherJones'
940413057687154689,2017-12-12 02:48:39,b'RT @MotherJones: Russian propagandists are pushing for Roy Moore to win https://t.co/Kuww9SVipr https://t.co/suFwkk1Uaz'
940413030998802432,2017-12-12 02:48:33,b'RT @TomSteyer: Scott Pruitt is trying to shut down the EPA. Health is not a luxury. Pollution is not free for those of us who breathe the a\xe2\x80\xa6'
940412818376888320,2017-12-12 02:47:42,"b'RT @kylegriffin1: Voting advocates in Alabama worry that voters of color, along with the poor and the elderly, may face disproportionate ob\xe2\x80\xa6'"
940412676466864128,2017-12-12 02:47:08,"b'RT @BulletinAtomic: This photo, shot from an airliner approaching the Santa Barbara airport, tells more than thousands of words could about\xe2\x80\xa6'"
940412619952816128,2017-12-12 02:46:55,b'@GOP is now THROWING AMERICA UNDER THE BUS.  Thieves raiding coffers $1.8 TRILLION DOLLARS. FOR WHAT? 1% TAX CUT an\xe2\x80\xa6 https://t.co/0mLHIE7MUF'
940411917750829056,2017-12-12 02:44:07,"b""Pure and Simple @gop theft of American $$$ and what do we get in return--NOTHING! They are stealing and won't even\xe2\x80\xa6 https://t.co/z9mmmrhHo9"""
940411409212440578,2017-12-12 02:42:06,b'@GOP is raiding the coffers like Dictators in Developing Countries.  This is ROBBERY in Broad Daylight.  Stealing T\xe2\x80\xa6 https://t.co/mQjjajNvFJ'
940410809888399360,2017-12-12 02:39:43,b'@HarleyRouda @POTUS They will do anything to empty the American coffers now that they have control.  This is pure a\xe2\x80\xa6 https://t.co/j3ff1f7SVz'
940410575816757248,2017-12-12 02:38:47,b'RT @HarleyRouda: The GOP has turned a blind eye to any wrong doing of @POTUS They are complicit in all his deeds and obstruction for the so\xe2\x80\xa6'
940410375710715905,2017-12-12 02:38:00,b'54 congresswomen call for Trump investigation @CNNPolitics https://t.co/PZEPkFGXo5'
940409925586395136,2017-12-12 02:36:12,"b""RT @kylegriffin1: Virginia health officials will be sending letters to families to warn them that the state's funding for the Children's He\xe2\x80\xa6"""
940409828354097152,2017-12-12 02:35:49,"b'RT @EdKrassen: Sarah Sanders promised a list of the ""eyewitnesses"" who dispute the claims of the women accusing Trump of sexual assault.\xe2\x80\xa6'"
940409762855841792,2017-12-12 02:35:34,b'RT @mj_lee: More than 50 congresswomen are calling on House Oversight Committee to investigate sexual misconduct allegations against Trump:\xe2\x80\xa6'
940409644396175360,2017-12-12 02:35:05,b'RT @CREWcrew: \xe2\x80\x9cformer Trump aides say they have no doubt Bannon will be questioned by Mueller\xe2\x80\x9d\nhttps://t.co/RtFOH3cpwi'
940409385938927616,2017-12-12 02:34:04,"b'RT @CNN: ""This is serious sexual harassment and misconduct, and he should be held just as accountable as a member of the Senate"": Sen. Jeff\xe2\x80\xa6'"
940409321690619904,2017-12-12 02:33:48,"b'RT @SenFeinstein: Since 1989, only TWO of 1,755 nominees reviewed by the American Bar Association have been rated unanimously \xe2\x80\x9cnot qualifie\xe2\x80\xa6'"
940408837772787712,2017-12-12 02:31:53,"b'RT @mmpadellan: Sarah Huckabee Sanders actually SAID this, with a straight face and her crooked mouth...\n\n...without the slightest HINT of\xe2\x80\xa6'"
940408682927366144,2017-12-12 02:31:16,b'The Republican Party @GOP @HouseGOP @SenateGOP is ready to serve as an accomplice to obstruction of justice.\xe2\x80\xa6 https://t.co/AfxwIgNUTa'
940407701917507586,2017-12-12 02:27:22,b'RT @MaddowBlog: The Republican Party is ready to serve as an accomplice to obstruction of justice. https://t.co/eLfgAEXHOb'
940407623878303744,2017-12-12 02:27:04,"b'@TheBeatWithAri The Alabama panel interviewed all agreed that ""mamas and daddies in Alabama would have been honored\xe2\x80\xa6 https://t.co/E0zCa5VnBZ'"
940407241449943040,2017-12-12 02:25:32,"b'RT @TheBeatWithAri: ""In rural counties especially... Assistant District Attorney is a high figure of authority"" - Alabama Judge Bob Vance o\xe2\x80\xa6'"
940407120888922113,2017-12-12 02:25:04,"b""RT @CREWcrew: Churches and charities aren't political groups. Let's keep it that way.\nhttps://t.co/SoX2Cjxjcd"""
940407055839518720,2017-12-12 02:24:48,"b""Trump Reportedly 'Infuriated' With Nikki Haley's Comments About His Accusers https://t.co/rhmmYt51fD via @mediaite"""
940406947550859264,2017-12-12 02:24:22,"b""RT @kfhall0852: Over or under 30 days for Haley's firing??? .encouraging Trump's victims to be heard is not going to keep her in good grace\xe2\x80\xa6"""
940406887010283520,2017-12-12 02:24:08,"b'RT @4everNeverTrump: So a bunch of self-professed ""law and order"" hardworking Christians will vote for a man who:\n\xe2\x80\x94lost his judgeship becau\xe2\x80\xa6'"
940406796929216512,2017-12-12 02:23:46,b'RT @BryanDawsonUSA: Why do Republicans like Trump and Roy Moore think America is so evil? (Watch to the end).\n\n#DougJones #DougJonesForSena\xe2\x80\xa6'
940406709847146496,2017-12-12 02:23:26,"b""RT @TomSteyer: As we head into the holiday season, we are partnering with @WeAreMarchOn's @FightBackPAC to help flip Congress in 2018. http\xe2\x80\xa6"""
940406642608283648,2017-12-12 02:23:10,b'Diplomat blasts Tillerson in stinging resignation letter @CNNPolitics https://t.co/cxTriO9VGt @realDonaldTrump and\xe2\x80\xa6 https://t.co/RisvLppXZY'
940406068634513409,2017-12-12 02:20:53,"b""RT @EdKrassen: Remember when Hillary Clinton lost the election because Russia misdirected the American people?\n\nDon't let this happen again\xe2\x80\xa6"""
940394704826392576,2017-12-12 01:35:43,"b""RT @kfhall0852: Trump setting himself up for Defamation suits just like the one O'Reilly got hit with for calling one of the accusers he se\xe2\x80\xa6"""
