id,created_at,text
940411130509512705,2017-12-12 02:41:00,b'@realDonaldTrump @nytimes I just read this in your voice BWAHAHAHAH!'
940314422949621760,2017-12-11 20:16:43,"b""@dcexaminer I think most do know, it's those who turn a blind eye that bother me. Are these the ones who refuse to\xe2\x80\xa6 https://t.co/Zkyx11HYVz"""
940309565282963456,2017-12-11 19:57:25,"b""@CNN The American people knew he was a sexual harasser and assaulter, and elected him anyway...Trump says it's a go\xe2\x80\xa6 https://t.co/O7zRr32IiC"""
940307550867779585,2017-12-11 19:49:24,b'@CNN DEFLECT! DEFLECT! DEFLECT!'
940295673567678464,2017-12-11 19:02:13,"b'@JacobAWohl @realDonaldTrump @nytimes Fascism = 1. discredit the media 2. strike fear, create a false enemy 3. plac\xe2\x80\xa6 https://t.co/Ee2mt6K5uv'"
940291629981863936,2017-12-11 18:46:09,b'@SocialPowerOne1 Is FOX trying to redeem itself?'
940288303638765568,2017-12-11 18:32:55,"b""@laudamusdios @amikegreen2 Wilful ignorance, perfect example right here, up against a clone of Trump types. Doesn't\xe2\x80\xa6 https://t.co/DcKO9W9Boa"""
940081478649626625,2017-12-11 04:51:05,"b'RT @jonfavs: 2016: 196,000 jobs per month \n2017: 170,000 jobs per month \n\nUnemployment rate when Obama left office: 4.5%\n\n@QuinnipiacPoll,\xe2\x80\xa6'"
940079596019490816,2017-12-11 04:43:36,"b""@Everything_TN So very sad! Keaton Jones you're a beautiful young man and you are right, don't let anyone tell you\xe2\x80\xa6 https://t.co/CVzIbPjhR7"""
940077888610508800,2017-12-11 04:36:49,b'RT @goldengateblond: The 13th abolished slavery.\nThe 15th gave all races the vote.\nThe 19th gave women the vote.\nThe 24th abolished poll ta\xe2\x80\xa6'
940075948430389248,2017-12-11 04:29:06,"b'RT @WarOnDumb: All due respect, this would backfire spectacularly. https://t.co/pxuRQ01PQw'"
940075716867063810,2017-12-11 04:28:11,"b""@brianstelter @daveweigel Definitive list of Trump's Lies and counting...Stands to reason this turkey should have b\xe2\x80\xa6 https://t.co/9BFiWapBu4"""
940074859589025795,2017-12-11 04:24:46,"b'@JacobAWohl @realDonaldTrump @daveweigel And what about all the other News Outlets, are they all liers too? I think not!'"
940074429597364226,2017-12-11 04:23:04,"b""@realDonaldTrump @daveweigel The Definitive List of Trump's Lies And Counting #Resist #TheResistanceVOTES\xe2\x80\xa6 https://t.co/P3JKTLiBAC"""
940073500332531712,2017-12-11 04:19:22,b'@realDonaldTrump @daveweigel https://t.co/t2uI1TBCPq'
940073288100847616,2017-12-11 04:18:32,b'@realDonaldTrump @daveweigel Trump Is Trying to Cover Up His Lies by Destroying Information via @thenation https://t.co/Q8dRsEHmbB'
940072756783202304,2017-12-11 04:16:25,b'@realDonaldTrump @daveweigel https://t.co/xnL2ZkQR1r'
940072494932705282,2017-12-11 04:15:23,b'@realDonaldTrump @daveweigel https://t.co/I9EBM6XxbS'
940072351323979777,2017-12-11 04:14:48,b'@realDonaldTrump @daveweigel https://t.co/NW4O5hIkaw'
940063558867365889,2017-12-11 03:39:52,"b""@realDonaldTrump @daveweigel But Don, it's funny, and I especially love how it gets under your thin skin!"""
940060005696335872,2017-12-11 03:25:45,"b""RT @kristynwongtam: The Universal Declaration of Human Rights is the most translated document in the world. Let's #StandUp4HumanRights on #\xe2\x80\xa6"""
940059917540454404,2017-12-11 03:25:24,b'RT @DelSchilling: I have been tweeting this everyday.\n  \nWill you join me?\n\nOver 3000 Missing and Murdered Indigenous Women -  #MMIW  \nhttp\xe2\x80\xa6'
940057879846961152,2017-12-11 03:17:18,"b""@jsee617 @amikegreen2 @Targhee159 @TomWellborn You need to cut your Twitter finger off STAT! Idiotic noise, that's\xe2\x80\xa6 https://t.co/v4O8q40d6p"""
940055655662084096,2017-12-11 03:08:28,b'@amikegreen2 @jsee617 @Targhee159 @TomWellborn @IvankaTrump @realDonaldTrump Excellant read! Disturbing facts. Peop\xe2\x80\xa6 https://t.co/YhOWpBmAGr'
939734157881741312,2017-12-10 05:50:57,b'@ProgDadTV Perfect!'
939732719361241088,2017-12-10 05:45:14,"b""@barry_corindia Only if we can swap out our Harper loving conservatives. They'd fit in great in Trumpland!"""
