id,created_at,text
940132304449626112,2017-12-11 08:13:02,b'I find it very telling when \xe2\x80\x9cfriends\xe2\x80\x9d won\xe2\x80\x99t show up to something that\xe2\x80\x99s obviously important to you but they can \xe2\x80\x9ctu\xe2\x80\xa6 https://t.co/4IuzrX79qD'
940108848299360257,2017-12-11 06:39:50,b'Eater has become the \xe2\x80\x9chipster\xe2\x80\x9d yelp. Also I loathe these people that go into restaurants and say \xe2\x80\x9cthey know who we\xe2\x80\xa6 https://t.co/qGGQe7C6cH'
940084735149142017,2017-12-11 05:04:01,b'@realDonaldTrump Until you undo all the progress we\xe2\x80\x99ve made in the last eight years. Thanks in advance. Kisses'
940084360492879874,2017-12-11 05:02:32,b'@realDonaldTrump But he hasn\xe2\x80\x99t molested children you sick sunrise gold sad sack. So there\xe2\x80\x99s that.'
939410739806330881,2017-12-09 08:25:48,b'Nashville just keeps getting cooler. And by cooler I mean much more lame. I miss when this city was electric and not electrocuted...'
939038012037505025,2017-12-08 07:44:43,b'@new_donk_city1 Moms'
939037935038447617,2017-12-08 07:44:24,b'holiday tradition: every time you hear the \xe2\x80\x9cmake the Yuletide gay\xe2\x80\x9d part in\xe2\x80\x9dhave yourself a merry little christmas\xe2\x80\x9d\xe2\x80\xa6 https://t.co/LyPmBT0026'
938657635347435521,2017-12-07 06:33:14,"b'Thank you @andersoncooper for your conversation with Roy Moore\xe2\x80\x99s spokesperson. Intelligent, direct &amp; unyielding. Am\xe2\x80\xa6 https://t.co/BzWkLqNCI6'"
938494427689050117,2017-12-06 19:44:42,b'Awaiting you tonight. 6 layers of heaven.  6 layer chocolate cake by carolyn_mcmurray with\xe2\x80\xa6 https://t.co/4WSqAGtIrl'
937914279281545216,2017-12-05 05:19:24,b'At this point I don\xe2\x80\x99t think even introducing Heather Locklear could save The Walking Dead... (ok that\xe2\x80\x99s an old reference. I\xe2\x80\x99m kinda old...)'
937912863536111616,2017-12-05 05:13:46,b'@Mattyhere Bible secrets and secret signs. The algorithm is sentient'
937812323238076421,2017-12-04 22:34:16,b'@Coravin Ha! That\xe2\x80\x99s great. (I do love your product. I\xe2\x80\x99m in the industry and it\xe2\x80\x99s great for tasting high end bottles\xe2\x80\xa6 https://t.co/jsF3xj2ecW'
937587516009517056,2017-12-04 07:40:58,b'Democrats and liberals call their own to step down... republicans say the accused are under attack from the devil.\xe2\x80\xa6 https://t.co/pTeXLtgybk'
937582331954696197,2017-12-04 07:20:22,b'Bodak yellow is a garbage song. One degree from that \xe2\x80\x9cFriday\xe2\x80\x9d YouTube song. (I feel so much better. I mean McRib is\xe2\x80\xa6 https://t.co/zeqJ1TRpfH'
937544382462427136,2017-12-04 04:49:34,b'I just can\xe2\x80\x99t with \xe2\x80\x9cemo nights\xe2\x80\x9d. If I wanted to hear angsty rich white people scream sing along to songs about how h\xe2\x80\xa6 https://t.co/IEYXNUUkBE'
937458757042364417,2017-12-03 23:09:19,b'@Mattyhere Agreed \xf0\x9f\x92\xaf'
937409384417816577,2017-12-03 19:53:08,b'@realDonaldTrump Oh my god get over it you petulant man child!'
937232282838097922,2017-12-03 08:09:23,b'Some of me feels like I missed out not having kids.. mostly that part where POS parents dress their kids up when th\xe2\x80\xa6 https://t.co/idysZDM4l0'
937231193019486210,2017-12-03 08:05:03,"b'One thing I\xe2\x80\x99ve learned from following Instagram stories: a lot of @hgtv personalities are insufferable, narcissisti\xe2\x80\xa6 https://t.co/SmIGlTPqr0'"
937216091696390144,2017-12-03 07:05:03,b'Sometimes I see @andersoncooper and @lisaling on @cnn &amp; it takes me back to the first TVs in homeroom and those spr\xe2\x80\xa6 https://t.co/dAxJgmnOkq'
937187889057759233,2017-12-03 05:12:59,b'U2 just needs to quietly diminish to wherever and let something else happen...'
936885491743334400,2017-12-02 09:11:22,"b'Please everyone in #EastNashville stop with the \xe2\x80\x9cintuitive arts\xe2\x80\x9d. I mean I believe that you believe in it, but it l\xe2\x80\xa6 https://t.co/AYHwe6tZgZ'"
936874547092975616,2017-12-02 08:27:52,b'#coravin commercials slay me. Like Katie isn\xe2\x80\x99t gonna drink that whole bottle in her bathrobe. One. Tiny. Needle pou\xe2\x80\xa6 https://t.co/rQsN1qPWBR'
936864355366268928,2017-12-02 07:47:23,"b'Thanks twitter for notifying me when people tag \xe2\x80\x9cDestin, FL\xe2\x80\x9d. I thought I was really gaining some twitter traction.\xe2\x80\xa6 https://t.co/eiJmUKZxPt'"
936863562462461953,2017-12-02 07:44:14,b'@foodandwine I clicked and was disappointed that the answer was that we were wearing shirts while cooking said steaks'
