id,created_at,text
940333473486716928,2017-12-11 21:32:25,b'RT @thebradfordfile: MAYOR DE BLASIO: Major Failure\nWake up New York--he looks stoned. https://t.co/HdqSoIQyO7'
940333445321965569,2017-12-11 21:32:18,"b""I'm sure he's got lots of people telling him what msm is doing and saying. https://t.co/Z5eY1lhBbx"""
940333097949700096,2017-12-11 21:30:55,b'RT @donnia8789: https://t.co/omIqwfDxdW'
940269143890071552,2017-12-11 17:16:47,b'https://t.co/omIqwfDxdW'
940268835352875008,2017-12-11 17:15:34,b'@DJTHas2Go @realDonaldTrump  https://t.co/5m5OPd4150'
940268640875638784,2017-12-11 17:14:47,b'@DJTHas2Go @realDonaldTrump  https://t.co/nUVQJ4lHWj'
940268487200538624,2017-12-11 17:14:11,"b""@DJTHas2Go @realDonaldTrump Ya let's remind everyone of who the real predators are..... https://t.co/Cgk9yRVTKz"""
940268092634013698,2017-12-11 17:12:37,b'RT @realDonaldTrump: No American should be separated from their loved ones because of preventable crime committed by those illegally in our\xe2\x80\xa6'
940267850836541440,2017-12-11 17:11:39,b'@realDonaldTrump @nytimes  https://t.co/JB6hZt4pON'
940267383033184256,2017-12-11 17:09:48,b'@realDonaldTrump @nytimes  https://t.co/BDt2IGKTNK'
940267038664097792,2017-12-11 17:08:25,"b'RT @JacobAWohl: @realDonaldTrump @nytimes Nobody trusts the failing @NYTimes\' ""unnamed sources"" \xe2\x80\x94 It\'s time to revoke Press Credentials for\xe2\x80\xa6'"
940087557995425792,2017-12-11 05:15:14,b'RT @JackPosobiec: Dossier author was in contact with Obama Justice Department\nhttps://t.co/SFDnYewMsQ'
940081454880399360,2017-12-11 04:50:59,b'Im sorry ahe got hurt but Can u say Karma! https://t.co/ZmIrx3eojW'
940081195609493505,2017-12-11 04:49:57,b'RT @SteveBannen: Russia collusion is so like yesterday.'
940080720915054592,2017-12-11 04:48:04,b'RT @DonaldJTrumpJr: No one else believes this. https://t.co/HEMuz9NRz3'
940080647959277569,2017-12-11 04:47:46,b'@realDonaldTrump  https://t.co/sas3iRfSZ7'
940080273936416770,2017-12-11 04:46:17,b'RT @CyndiPatriotic: @SpringB90 @DuszaLukasz @realDonaldTrump Isn\xe2\x80\x99t it funny how during Ovomits 8 year presidency he and the liberals blamed\xe2\x80\xa6'
940080212695322624,2017-12-11 04:46:03,b'RT @DuszaLukasz: @realDonaldTrump Trump won\xe2\x80\x99t become POTUS\nTrump won\xe2\x80\x99t get his tax plan\nTrump won\xe2\x80\x99t enact a travel ban\nTrump won\xe2\x80\x99t move emb\xe2\x80\xa6'
940080118197764096,2017-12-11 04:45:40,b'RT @realDonaldTrump: It was my great honor to celebrate the opening of two extraordinary museums-the Mississippi State History Museum &amp; the\xe2\x80\xa6'
940079861305024512,2017-12-11 04:44:39,"b""No, sadly they won't @CNN \n@cnnbrk \n@cnni \n@CNNPolitics @CNNnewsroom https://t.co/kAEnCyti8B"""
940079450086973440,2017-12-11 04:43:01,"b""RT @redsteeze: It's amazing to watch CNN stand up and defend the anonymous sources who burned their credibility like this. Must be pretty i\xe2\x80\xa6"""
940079341966311424,2017-12-11 04:42:35,b'RT @DonaldJTrumpJr: Strange that the #fakenews media never gets stories wrong in favor of Trump. It\xe2\x80\x99s almost like they do it on purpose.'
940079201587044352,2017-12-11 04:42:02,"b'RT @DonaldJTrumpJr: I won\xe2\x80\x99t hold my breath for an apology, or for you to call out your puppet masters on the left that fed you BS knowing y\xe2\x80\xa6'"
940079026042834944,2017-12-11 04:41:20,"b'RT @MarkDice: @realDonaldTrump May I recommend calling them the Counterfeit News Network, sir?'"
940078993503432704,2017-12-11 04:41:12,"b'RT @realDonaldTrump: CNN\xe2\x80\x99S slogan is CNN, THE MOST TRUSTED NAME IN NEWS. Everyone knows this is not true, that this could, in fact, be a fr\xe2\x80\xa6'"
940078223878004741,2017-12-11 04:38:09,b'Their time is coming..  Tic toc \xf0\x9f\x98\x82\nhttps://t.co/jhOCBEIuVi'
940072485197815808,2017-12-11 04:15:20,"b'RT @PressSec: I\'m old enough to remember when President Trump\'s election was going to ""crash the market."" One year later: market up over 30\xe2\x80\xa6'"
939948211887775745,2017-12-10 20:01:31,"b'RT @DonaldJTrumpJr: Does anyone actually believe that CNN\xe2\x80\x99s democratic sources, who had all the info, were not deliberately trying to hide\xe2\x80\xa6'"
939909631186313216,2017-12-10 17:28:13,"b'RT @CharlieDaniels: Stopping to help someone who needs a hand is not a waste of time, it is an eternal investment.\nLets all make the day co\xe2\x80\xa6'"
939867095218524161,2017-12-10 14:39:12,b'Our media is a disgrace! https://t.co/HJkLdhLZRr'
939677685105639424,2017-12-10 02:06:33,b'RT @johnwademcalist: @DWStweets @FlaDems Thanks for pointing her out! Anyone you are for is surely CORRUPT! How are the Awan brothers! They\xe2\x80\xa6'
939677309543444481,2017-12-10 02:05:03,"b'RT @Jibboo2: @DWStweets @FlaDems Everyone meet, Debbie. She got fired for undermining an American election under the orders of the most cor\xe2\x80\xa6'"
939677241725689856,2017-12-10 02:04:47,b'Hahaha! https://t.co/vh1ixJcWZg'
939673822172626944,2017-12-10 01:51:12,b'@cantletitbe_ @ShafPatel @realDonaldTrump  https://t.co/2lp4sQJMW0'
939672276001112064,2017-12-10 01:45:03,b'@cantletitbe_ @ShafPatel @realDonaldTrump  https://t.co/siwb2tStYT'
939671657647562753,2017-12-10 01:42:36,b'@cantletitbe_ @ShafPatel @realDonaldTrump  https://t.co/dWoVh2C9rk'
939671255086612481,2017-12-10 01:41:00,b'@cantletitbe_ @ShafPatel @realDonaldTrump Hahaha. I know what the truth is. Russia russia russia.\xf0\x9f\x98\x82  you are too fun\xe2\x80\xa6 https://t.co/xqT0ooSekK'
939570047680253953,2017-12-09 18:58:50,b'RT @aeilflaed: I mourn for the country I thought I had. \n\nAnd I vow to fight on to create it.'
939569718087659520,2017-12-09 18:57:31,b'RT @PressSec: America is winning again\nhttps://t.co/Mnfhs5jjyo'
939569657807192064,2017-12-09 18:57:17,"b'RT @MichelleRMed: .@dbongino Well, well, well... Mueller\'s #2 guy, Andrew Weissmann, actually attended Hillary\'s election night ""celebratio\xe2\x80\xa6'"
939569611384561664,2017-12-09 18:57:06,b'RT @Oligarchy100: Has he paid his taxes? https://t.co/HUa2mFt71x'
939569206898540544,2017-12-09 18:55:29,"b""RT @KevinBThiele: @TexitDarling @wrmead I've never been confused w/ being his biggest fan.  He wasn't my 1st choice &amp; I was admittedly disa\xe2\x80\xa6"""
939569140779634688,2017-12-09 18:55:14,b'RT @TexitDarling: @KevinBThiele @wrmead It\xe2\x80\x99s absolutely bizarre how feral they are when it comes to Trump. They want so desperately to beli\xe2\x80\xa6'
939569043018719235,2017-12-09 18:54:50,"b""RT @wrmead: I remember Watergate pretty well, and I don't remember anything like this level of journalistic carelessness back then. The con\xe2\x80\xa6"""
939516035132153857,2017-12-09 15:24:12,b'RT @DonaldJTrumpJr: Because they heard what they wanted to hear and that\xe2\x80\x99s enough for them. #fakenews https://t.co/yt1tQfnWZU'
939515950671396865,2017-12-09 15:23:52,b'RT @JulianAssange: 18 Questions CNN Needs To Answer After Getting Busted For Fake News https://t.co/AjCTN7oMI7 https://t.co/PXgA0BKRzR'
939515759637569537,2017-12-09 15:23:07,"b""RT @JackPosobiec: Antifa bombed a police station in Rome this week. You'd think there would be more news about that \nhttps://t.co/bvGJ2NRWp8"""
939515612966952960,2017-12-09 15:22:32,"b'RT @MichellePiper18: Thank you @POTUS for standing up for America, our flag &amp; the values of the forgotten men &amp; women of our great nation!\xe2\x80\xa6'"
939515565135118337,2017-12-09 15:22:20,b'RT @praise2eloi: Charlie Sheen Sues for Defamation Over Report That Claimed He Raped Corey Haim https://t.co/kTUZjsDiRB'
939515480288530432,2017-12-09 15:22:00,"b'RT @PhilMcCrackin44: The angriest man in America @repjohnlewis vows to skip civil rights event in Mississippi, because President Trump will\xe2\x80\xa6'"
939514874719113216,2017-12-09 15:19:36,b'RT @CharlieDaniels: Morning prayer\nLord help us to realize that we ourselves cannot recieve forgivness without first forgiving others.'
939502380336398339,2017-12-09 14:29:57,b'@CNN give it up.  You lose!\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nhttps://t.co/SB4cJlDktn'
939501211903918081,2017-12-09 14:25:18,b'RT @markstarr66: @TravisAllen02 @SoMeMediaInc @realDonaldTrump @CNN @MooreSenate Pedophiles? People in glass houses... https://t.co/xyrm7fz\xe2\x80\xa6'
939501069326893060,2017-12-09 14:24:44,b'@TravisAllen02 @SoMeMediaInc @realDonaldTrump @CNN @MooreSenate  https://t.co/kl9zOeUG2f'
939500408321409026,2017-12-09 14:22:07,b'@TravisAllen02 @SoMeMediaInc @realDonaldTrump @CNN @MooreSenate Show me FACTS that Moore is a pedophile. Cause i do\xe2\x80\xa6 https://t.co/jbIbgKE8CA'
939498747414814720,2017-12-09 14:15:31,"b'RT @realDonaldTrump: Fake News CNN made a vicious and purposeful mistake yesterday. They were caught red handed, just like lonely Brian Ros\xe2\x80\xa6'"
939409270793105410,2017-12-09 08:19:58,"b'RT @_PatJohnson_: @JacobAWohl https://t.co/CN2NCWNley  Houston, Texas Farouk Shami &amp; his hair care products support  Palestinian #Terrorist\xe2\x80\xa6'"
939409216518766593,2017-12-09 08:19:45,"b'RT @JacobAWohl: Palestinian protesters set fires in Gaza Thursday morning and chanted ""Death to America"" \xe2\x80\x94 Aren\'t you glad we send them $50\xe2\x80\xa6'"
939396282384183296,2017-12-09 07:28:21,b'@djr0129 @dbongino @AmyRose77253769  https://t.co/Q4zzSgPghA'
939396128046399488,2017-12-09 07:27:44,b'RT @dbongino: Pro-Tip -&gt; wait a minimum of one hour before retweeting any CNN \xe2\x80\x9cbombshell\xe2\x80\x9d about anyone in the Trump family. You\xe2\x80\x99ll save you\xe2\x80\xa6'
939395643793063936,2017-12-09 07:25:49,b'This is the kind of crap I hate. This person has  *63* followers.\nFollows *35* people BUT has *14.3* tweets! And im\xe2\x80\xa6 https://t.co/Q8BkvbAOqc'
939393854116999168,2017-12-09 07:18:42,b'@SpiritOnParole @ShafPatel @realDonaldTrump This coming from a person that follows *35* people and has *63* followe\xe2\x80\xa6 https://t.co/gfv8WPV7yz'
939391578480680961,2017-12-09 07:09:40,b'@cantletitbe_ @ShafPatel @realDonaldTrump Never going to happen. But you keep on dreaming\xf0\x9f\x98\x86 https://t.co/hki0wB1Dtp'
939389858719588352,2017-12-09 07:02:49,"b'@Lavarbigballer @realDonaldTrump How can u of all people can b so ungrateful. People looked up 2 u, now ur just tur\xe2\x80\xa6 https://t.co/tWNldcw9VF'"
939385448379465728,2017-12-09 06:45:18,b'RT @Shastina_Eloff: \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 GLORIA ALLRED MUST BE DISBARRED \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\nAmerica is no longer taking her lies.\xf0\x9f\x92\xa5Who put her client up to add the \xe2\x80\x9c\xe2\x80\xa6'
939385387302055936,2017-12-09 06:45:03,"b'RT @MAGARoseTaylor: This is exactly correct! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\n\n@realDonaldTrump is doing LOTS of things his predecessor just couldn\xe2\x80\x99t do, like actually l\xe2\x80\xa6'"
939385218632359936,2017-12-09 06:44:23,"b'RT @MooreSenate: ""And above all else we know this. America doesn\'t worship government. We worship God."" \n\n- President Trump'"
939384920887005185,2017-12-09 06:43:12,b'RT @MrsScottBaio: Heartbreaking.  https://t.co/EOGQbyPHtg'
939384612580507649,2017-12-09 06:41:59,b'@CharlieDaniels Night Charlie\xe2\x99\xa1'
939384042553614336,2017-12-09 06:39:43,"b'@sarcasmonica @ShafPatel @realDonaldTrump If you kneel DURING the Anthem then there is NO question,  YOU are disres\xe2\x80\xa6 https://t.co/ZVU3yppSmN'"
939382840159907840,2017-12-09 06:34:56,b'@ShafPatel @realDonaldTrump  https://t.co/kkJ2bZ5Nqx'
939381496820899840,2017-12-09 06:29:36,"b'@ShafPatel @realDonaldTrump Wrong.  All this hate against muslims, people of color and minorities started under oba\xe2\x80\xa6 https://t.co/huQt1hU6fz'"
939379853572284416,2017-12-09 06:23:04,"b'RT @realDonaldTrump: We believe that every American should stand for the National Anthem, and we proudly pledge allegiance to one NATION UN\xe2\x80\xa6'"
939377734219833346,2017-12-09 06:14:39,b'RT @euseuse: @alt_labor @SheriffClarke @realDonaldTrump @MooreSenate  https://t.co/BBCQLrL2DB'
939376581960544261,2017-12-09 06:10:04,b'RT @BS76571: @alt_labor @SheriffClarke @realDonaldTrump @MooreSenate Only reason Dems are resigning is to try and give some sort of impress\xe2\x80\xa6'
939376518668492801,2017-12-09 06:09:49,"b""RT @ThePatriotWall: @alt_labor @SheriffClarke @realDonaldTrump @MooreSenate Oh. I didn't realize that Bill Clinton &amp; Anthony Weiner had res\xe2\x80\xa6"""
939376333712375808,2017-12-09 06:09:05,b'@alt_labor @SheriffClarke @realDonaldTrump @MooreSenate Looks like almost every democrat/liberal is going to be *resigning*  hahaha\xf0\x9f\x98\x86'
939375752335605760,2017-12-09 06:06:46,b'@SheriffClarke @HugoBossFedUp @realDonaldTrump Did he resign or did he just say he would resign?!  So many differen\xe2\x80\xa6 https://t.co/0sA9rXVKow'
939373855868465152,2017-12-09 05:59:14,b'RT @RubyRockstar333: How rich...\n@AlecBaldwin trashing @GenFlynn &amp; @POTUS making video plea for people to text Congress. \nBaldwin has ZERO\xe2\x80\xa6'
939373414099255296,2017-12-09 05:57:29,"b'RT @CollinRugg: @MooreSenate Sorry haters and losers but while you all believed Gloria Allred, the smart ones (Trump supporters) knew she w\xe2\x80\xa6'"
939373262038908928,2017-12-09 05:56:53,b'I heard he resigned.  Alright who is putting out fake news! Grrrr https://t.co/bsopDpO5xA'
