id,created_at,text
940086754568167424,2017-12-11 05:12:02,b'@realDonaldTrump Have you been watching to much @NBCBlacklist ??? Maybe @Red_JamesSpader can help? @AmirArison\xe2\x80\xa6 https://t.co/zdhDG9zDdP'
939430940282982402,2017-12-09 09:46:04,b'@SENNews gutted marko and the ox got the sack. Better have a good reason. They were amazing. Shame'
935427097366900736,2017-11-28 08:36:14,"b""@GazGShore watching re runs of you killing it in Australia on @mtvgeordieshore when's your next trip down under??"""
935426060367282176,2017-11-28 08:32:06,b'@HollyGShore watching re runs of g shore when you were down under in Sydney! Do you have any plans to come back here soon? We miss you! \xf0\x9f\x98\x98'
935415296705171456,2017-11-28 07:49:20,b'@Charlottegshore watching old eps of you in  @mtvgeordieshore in Australia. Just shows how much I miss ur cheek &amp; mischief. Your the best xx'
935403945127583745,2017-11-28 07:04:14,b'@ScottGShore watching re runs of @mtvgeordieshore @ScottGShore tearing it up in Sydney Australia! Watching the lad killing it!'
931828001456537600,2017-11-18 10:14:42,b'@mickythev Not a Richmond fan. But agree. Players with silky skills do well'
926652616792084480,2017-11-04 03:29:34,b'First bet of the day invincible star. Gutted!!! How did it lose!'
926625859913400320,2017-11-04 01:43:15,b'@TheProfitsComAu 2 races to wins. Most would be lucky to get 2 for the day! Off with a bang! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
921573233995890689,2017-10-21 03:05:55,b'@TheProfitsComAu 4/4 https://t.co/uyEPRrf8su'
921569490025852928,2017-10-21 02:51:03,b'@TheProfitsComAu on fire today! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/Bdq3M208Fq'
916500680130445312,2017-10-07 03:09:24,b'@TheProfitsComAu Wowee! Amazing run! Great pick! \xf0\x9f\xa4\x91\xf0\x9f\xa4\x91\xf0\x9f\xa4\x91'
859706607583739904,2017-05-03 09:50:02,b'Best Father/Son. Alan &amp; Matthew Richardson. Alan Premiership in 69. Matthew 800 goals and a beautiful newborn future Tiger star\n#AFL360'
859705809760014337,2017-05-03 09:46:52,b'Best Father/Son. Alan &amp; Matthew Richardson. Alan Premiership player in 69. Matthew 800 goals and a beautiful newborn future Tiger star #360'
856024126720425984,2017-04-23 05:57:10,b'@WillHillWolf Some seriously one eyed saints fans out there. The replay was the complete wrong angle. https://t.co/ZpFObFCXql'
856023577472122880,2017-04-23 05:54:59,"b""@FOXFootyLive @GeelongCats @stkildafc Probably just QT I'd say"""
799936362296156160,2016-11-19 11:24:25,"b""@DaleSteyn62 You couldn't even last 1 match before having to watch from the stands with a bag of ice. Maybe wait until you can do something!"""
798085113766559744,2016-11-14 08:48:13,b'@clementine_ford good god is all you do is bitch and moan??'
791964909143588865,2016-10-28 11:28:42,b'@boburnham Hey Bo. Just wanted to say thankyou 4 sharing make happy with us Loved and laughed throughout. Would love to see you in Australia'
