id,created_at,text
940075639486296064,2017-12-11 04:27:52,"b'@meganamram ""I got you babe...""'"
940073092470079488,2017-12-11 04:17:45,b'@realDonaldTrump @daveweigel Zzzzzzzzzzz'
939922388128616448,2017-12-10 18:18:54,b'@mtaibbi Jill Stein/Glenn Greenwald 2020!'
939116759738736641,2017-12-08 12:57:38,"b'@realDonaldTrump @FLOTUS @WhiteHouse What a shock, you just did the same thing!\n\n@realDonaldTrump\nWhy was the Hanuk\xe2\x80\xa6 https://t.co/wxMDxloXmH'"
938854971331825665,2017-12-07 19:37:22,"b'@CharlesPPierce The question becomes, how do the Dems act ""asymmetrically about the very real political danger pose\xe2\x80\xa6 https://t.co/3NmoL2LJOq'"
938847306136334337,2017-12-07 19:06:55,"b""@SethAbramson Prince's ties to the administration are very thick. His sister is Betty Effin Devos."""
938825969976119297,2017-12-07 17:42:08,"b'@CharlesPPierce Clearly, the Russian oligarchic system is what @realDonaldTrump most admires about Putin.'"
938522098674397185,2017-12-06 21:34:39,b'@cbouzy Double cheeseburgers'
938517941460533249,2017-12-06 21:18:08,b'@PRESlDENTBANNON @realDonaldTrump Getting rid of Confederate monuments: BAD\nShrinking National monuments: OK'
936787033095266304,2017-12-02 02:40:08,b'@mbfalla https://t.co/Wj9gFbfqEl'
936317964999159810,2017-11-30 19:36:13,b'@ericgarland SS-esque. What a surprise.'
935972689638055936,2017-11-29 20:44:13,"b""@JohnCleese I hear he's been seen in heated discussion with President Nixon's portrait."""
935574537781039104,2017-11-28 18:22:06,"b""@JamesOKeefeIII @washingtonpost @DanLamothe @josephjames BREAKING: James O'Keefe is not that bright!"""
935302399492796416,2017-11-28 00:20:43,"b'@KeithOlbermann @ddale8 Phew, our long national nightmare is finally over!'"
933785238592946178,2017-11-23 19:52:04,"b""@SethAbramson @scottmstedman Thank you so much for your hard work, Seth. You're a true patriot. Stay safe!"""
931641608461848577,2017-11-17 21:54:03,b'@xtcfans Judee Sill doing Wrapped in Grey or Knights in Shining Karma'
931605356844810242,2017-11-17 19:30:00,b'@xtcfans Shiny Cage is a lot better than The Affiliated.'
929927952376193024,2017-11-13 04:24:35,"b'@frankrichny @NYMag Great piece as usual, Mr. Rich. Nationalist populism in this country can indeed be traced to Fa\xe2\x80\xa6 https://t.co/xo4pnrZD4K'"
928324888011603968,2017-11-08 18:14:35,b'@frankrichny @michaelkruse @politico Trump is an opioid.'
926552634252759040,2017-11-03 20:52:17,"b'@NewObOnline Trade in your anti-Semitic brains for cash! Behavioral science team seeks twisted, angry, hate-mongers\xe2\x80\xa6 https://t.co/HJemcEys0d'"
926542619253051392,2017-11-03 20:12:29,b'@LanaLokteff Report this skanky troll.'
925914626407137280,2017-11-02 02:37:04,"b""@chikuzurihinpa @CBSNews Don't feed this troll, just report."""
925914160025755648,2017-11-02 02:35:13,"b'@chikuzurihinpa @SportsCenter Troll, troll, troll'"
925914032854523904,2017-11-02 02:34:42,"b'@chikuzurihinpa @FoxNews This is a troll, folks!'"
925913661092384768,2017-11-02 02:33:14,"b""@chikuzurihinpa @WSJ Don't feed the troll."""
925911457744769024,2017-11-02 02:24:28,b'@chikuzurihinpa It\xe2\x80\x99s a troll. It\xe2\x80\x99s only following left-leaning sites &amp; posting offensive comments because mommy &amp; d\xe2\x80\xa6 https://t.co/AKKV1BGIEq'
925125272424341505,2017-10-30 22:20:27,"b""@SethAbramson He's busy talking to president portraits?"""
924127115913629697,2017-10-28 04:14:08,"b'@TeaPainUSA Manafort, Trump Jr. &amp; Flynn, oh my!'"
923421250415943681,2017-10-26 05:29:17,"b'@JohnCleese Miserable, fat Solomon Island bastards!'"
923301133757571072,2017-10-25 21:31:59,b'@frankrichny @nytopinion I guess...'
917950682220630016,2017-10-11 03:11:11,"b'@frankrichny @nytimes @NewYorker Cy Vance, Cy Vance, Cy Vance...'"
917075547787841537,2017-10-08 17:13:43,"b'@StephenKing Problem is, he and his supporters love being loathed!'"
