id,created_at,text
940092098375593986,2017-12-11 05:33:16,b'@wmmII88 @realDonaldTrump \xf0\x9f\x90\xb7'
940091826806992898,2017-12-11 05:32:12,"b""@realDonaldTrump You're taking about \xf0\x9f\x87\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb7\xf0\x9f\x87\xbaflag right?... #ImpeachTrumpNow"""
939998403127156736,2017-12-10 23:20:58,b'@FelipeCalderon Que iron\xc3\xada ! Paraces Donald Trump de M\xc3\xa9xico con esas jaladas'
939681707132731392,2017-12-10 02:22:32,b'RT @JanoBallesteros: Meanwhile Trumps base..... https://t.co/B6snk8zx9p'
939681623448027136,2017-12-10 02:22:12,b'RT @PuertoRicoPUR: 80 DAYS WITHOUT POWER \xf0\x9f\x92\xa1'
939680960974487552,2017-12-10 02:19:34,"b""@realDonaldTrump It doesn't applies if you're American-Brown skin or American black or American Muslim"""
938655383798792192,2017-12-07 06:24:17,b'@cainmma @AKA_HQ So? Are we going to see you fight like the old Cain any time soon?'
938654896475090944,2017-12-07 06:22:21,b'@miakhalifa Fucking Cunt'
937873781615312896,2017-12-05 02:38:29,"b'@DiegoDv8 Que orgullo verte como el MVP 2017, gracias por hacer de Portland tu casa dentro y fuera de la cancha. Un\xe2\x80\xa6 https://t.co/jCzOLo2Bi2'"
937083938278797313,2017-12-02 22:19:55,b'@realDonaldTrump Ironically !'
937083162101813249,2017-12-02 22:16:50,b'@SergioRamos otra roja ? ??????? \xf0\x9f\x98\x86\xf0\x9f\x90\xb7\xf0\x9f\x90\xb7\xf0\x9f\x90\xbd'
937007378544726017,2017-12-02 17:15:42,"b""@realDonaldTrump Soon to be fired ..... You're FIRED !"""
936670861267832832,2017-12-01 18:58:30,b'@CH14_ Jajajaja jajajajajajaja https://t.co/tCXJTAchp0'
936458100491534336,2017-12-01 04:53:04,"b'@DiegoDv8 hola Maestro! Hey me doy cuenta que conoces a El otro maestro, Kevin Haspela que bien! Muy buena persona\xe2\x80\xa6 https://t.co/lGRjxI54fF'"
935908324708458496,2017-11-29 16:28:27,b'RT @JanoBallesteros: Hello @realDonaldTrump \n\nYou\xe2\x80\x99re the worst \xe2\x80\x9cpresident\xe2\x80\x9d ever. Everyone who retweets this agrees.'
935244762570932225,2017-11-27 20:31:42,"b""@realDonaldTrump M\xc3\xbcller is getting closer ..... Don't mean to scare you but, you better start packing dude!"""
935009833228558336,2017-11-27 04:58:10,b'@TrumpWonAlready @realDonaldTrump May I remind you all of his comments and campaign rants?'
935009269551910912,2017-11-27 04:55:56,b'@realDonaldTrump And about 3 millions spent at your resort! Yay !! Keep America stupid'
934628819402604544,2017-11-26 03:44:09,b'RT @B4IleaveU: I think she and I could be friends. https://t.co/zdLAVTaC6k'
934627936933634048,2017-11-26 03:40:39,"b""@miakhalifa Wtf? Weren't you there to tell her?"""
934626764097142784,2017-11-26 03:35:59,b'@SGTHarleyDaveK @Dr_Kaco @realDonaldTrump Haha no lefty here ! Just an amused middle ground viewer. Meanwhile take\xe2\x80\xa6 https://t.co/4ngytyVeUq'
934617207731924992,2017-11-26 02:58:01,b'@Dr_Kaco @SGTHarleyDaveK @realDonaldTrump  https://t.co/CRBszdtUNT'
934617149762453505,2017-11-26 02:57:47,b'@realDonaldTrump  https://t.co/N2r0vzMj1I'
934616861307633665,2017-11-26 02:56:38,b'@realDonaldTrump Lalalalalalalalalalalala'
934616455991066624,2017-11-26 02:55:02,b'@miakhalifa https://t.co/CGiTmVYhok'
934436605485400064,2017-11-25 15:00:22,b'RT @ava: Rethink Thanksgiving. https://t.co/wcrjbbSTxk'
933336848184754181,2017-11-22 14:10:19,b'@realDonaldTrump  https://t.co/BHAh7fZWZy'
933335249446092805,2017-11-22 14:03:58,b'@realDonaldTrump  https://t.co/hUup4Z2oN0'
933334884252246016,2017-11-22 14:02:31,b'@realDonaldTrump Yay ! Spend more money'
932492281696862208,2017-11-20 06:14:19,"b""@realDonaldTrump Most ignorant can't be!"""
932492088062590976,2017-11-20 06:13:33,"b'@realDonaldTrump Texas , Orlando, New town, clackamas, Colorado, and many more.. but no comments on gun regulation.\xe2\x80\xa6 https://t.co/hWP3ky9UCB'"
932491247104679936,2017-11-20 06:10:12,b'@realDonaldTrump https://t.co/n61QlOUdYD\nThese are the 10 deadliest mass shootings in modern U.S. history ...'
929573257522462720,2017-11-12 04:55:09,b'@CP3 Barcelona Or Real Madrid? @Cp3'
928289252479262720,2017-11-08 15:52:59,b'@IrrigationAssoc #IrrigationShow https://t.co/QInhpVHEpJ'
927981711614533638,2017-11-07 19:30:55,b'Orlando here we are!'
927656198576336896,2017-11-06 21:57:27,b'@ruubenrod @UpalabraMX Jajajaja troncos ! Ni al galaxy pudieron llevar a la liguilla. #inflados'
927654963517390848,2017-11-06 21:52:32,b'@miseleccionmx  https://t.co/T7Lc4I8qr9'
927387089204686848,2017-11-06 04:08:06,"b""@natborchers Nat, I just don't get it"""
927386921285775360,2017-11-06 04:07:26,b'@joserra_espn Contra el superpoderoso equipo de las Palmas verdad @joserra_espn ? Que verguenza'
927386465767636992,2017-11-06 04:05:38,b'@VicenteFoxQue Y usted que pito toca aqu\xc3\xad? Solo una pregunta.'
927385039830003714,2017-11-06 03:59:58,b'@DiegoChara21 Deseamos pronta recuperaci\xc3\xb3n\xf0\x9f\x87\xa8\xf0\x9f\x87\xb4'
927384959072985089,2017-11-06 03:59:38,b'@DiegoChara21 Triste e impotente por ver a un equipo con falta de car\xc3\xa1cter dentro del campo. Sin duda alguna Diego\xe2\x80\xa6 https://t.co/xz82bu9odd'
927384520046780417,2017-11-06 03:57:54,b'@Money23Green Shut the fk up you dirt bag'
927271495964831744,2017-11-05 20:28:47,b'RT @nytimes: More than 20 people were killed after a gunman walked into a church in a rural town 30 miles east of San Antonio https://t.co/\xe2\x80\xa6'
927268029922099200,2017-11-05 20:15:00,b'@clivebushjd https://t.co/8p6Ovn0J5J'
927267308006817792,2017-11-05 20:12:08,b'@clivebushjd @sanwal18 @realDonaldTrump You must be some kind of stupid'
927267221251833856,2017-11-05 20:11:47,b'@clivebushjd @realDonaldTrump Douche!!'
927266617477627904,2017-11-05 20:09:24,"b""@realDonaldTrump Let me guess, facts point to a Muslim that's why the quick response huh?"""
927059627837046784,2017-11-05 06:26:53,b'@realDonaldTrump  https://t.co/zlyZUKFWWR'
926973521577762816,2017-11-05 00:44:44,b'@realDonaldTrump service Dodger! https://t.co/crLcR7lCJN'
926650781171826694,2017-11-04 03:22:17,"b""@darlingtonnagbe Greetings from Hood River! Let's come out strong and later gut the fish! \xf0\x9f\x8c\xb2\xf0\x9f\x8d\xbb"""
926649632595120130,2017-11-04 03:17:43,"b""@realDonaldTrump A 9 year old kid just told me you don't deserve anything ! Just thought I let you know."""
926576872623808512,2017-11-03 22:28:36,b'@Sweaty_Fat_Nerd @EmmaKennedy @realDonaldTrump  https://t.co/CkruDkfaVo'
926576588606468097,2017-11-03 22:27:28,b'@realDonaldTrump We felt the same when you got elected !'
926481787961843714,2017-11-03 16:10:46,b'@realDonaldTrump Time is up !'
925461603339792384,2017-10-31 20:36:55,b'@Canelo  https://t.co/Yz4Be7fP17'
925007441942605824,2017-10-30 14:32:14,b'@realDonaldTrump Just a reminder Paul manafort is under custody!'
924648035300253696,2017-10-29 14:44:05,b'RT @realDonaldTrump: Never seen such Republican ANGER &amp; UNITY as I have concerning the lack of investigation on Clinton made Fake Dossier (\xe2\x80\xa6'
924031564823924736,2017-10-27 21:54:27,"b""@realDonaldTrump I'm not !"""
