id,created_at,text
940412251265044480,2017-12-12 02:45:27,b'@PressSec How about this Sarah https://t.co/yQmvfHu6Pc'
940411869595967490,2017-12-12 02:43:56,"b'@B52Malmet @jacksnowknows SHS said trump\xe2\x80\x99s assaults happened before he was president, basically confirming he\xe2\x80\x99s a s\xe2\x80\xa6 https://t.co/PW3aW3LAMc'"
940410750157299713,2017-12-12 02:39:29,b'@PrincessBravato Ethics and morals seem very flexible for these people.'
940408544246902784,2017-12-12 02:30:43,b'@msue1000 Absolutely no doubt. Pence is knew and anyone who says Flynn was fired for lying to Pence is a liar too.'
940406927649005568,2017-12-12 02:24:18,b'Wonder if SHS knows she admitted trump assaulted the women? https://t.co/2qsNaBC64W'
940406521178943488,2017-12-12 02:22:41,b'Interesting...\xf0\x9f\xa4\x94 https://t.co/IZA0BbH5SH'
940397833533788160,2017-12-12 01:48:09,b'@StormResist @RedTRaccoon @WillBenton1 @KudzuFrannie @GDouglasJones @IndivisibleBHM @VoteforUSA2017\xe2\x80\xa6 https://t.co/1sLGMh97Xq'
940395584615170048,2017-12-12 01:39:13,b'RT @mcspocky: https://t.co/LwMzRN2pkO \n#VoteDougJones https://t.co/RmdXoFGTMp'
940395327508553728,2017-12-12 01:38:12,b'@jasoninthehouse @USATODAY Go after trump\xe2\x80\x99s emoluments violations.'
940394987728003073,2017-12-12 01:36:51,"b'@MooreSenate \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 Where @Rosie goes, I follow.'"
940393815155675136,2017-12-12 01:32:11,b'@LindaObral @RedTRaccoon @Leafylizard @GDouglasJones More than ever! #VoteforDougJones'
940379770537119744,2017-12-12 00:36:23,b'@RedTRaccoon @GDouglasJones That the polls are even close is disheartening. The only choice is #DougJonesForSenate #FBR4Doug'
940376793751498752,2017-12-12 00:24:33,b'@RedTRaccoon @GDouglasJones https://t.co/fWmbipQLLE'
940375235668226049,2017-12-12 00:18:22,"b'@RedTRaccoon @GDouglasJones #DougJonesForSenate Vote for the man who prosecuted the KKK, not the racist fond of sla\xe2\x80\xa6 https://t.co/wHxIlqOLPq'"
940366135874031617,2017-12-11 23:42:12,"b""RT @RedTRaccoon: Tonight 6pm CST (7pm EST)\n\nI will host a special election eve #FBR party for @GDouglasJones\n\nLet's use tonight to prepare\xe2\x80\xa6"""
940343607323607040,2017-12-11 22:12:41,b'What we have named the #GOPTaxScamBill really is a scam. https://t.co/snLmnbTjg9'
940332727617732608,2017-12-11 21:29:27,b'@BajoobieCuzican @PrimoPolls @DJTrump45 Thanks. Deleted.'
940327708541698048,2017-12-11 21:09:30,b'RT @JuddLegum: 1. I know we are supposed to be used to this by now but the White House is putting forward a ridiculous NEW lie about the wo\xe2\x80\xa6'
940326205957447680,2017-12-11 21:03:32,b'@BajoobieCuzican @PrimoPolls @DJTrump45 How do you know it is fake? I will delete my retweet if it is. Just thought\xe2\x80\xa6 https://t.co/X92tIrgsYy'
