id,created_at,text
940110062286143488,2017-12-11 06:44:39,b'@realDonaldTrump @SecretaryAcosta @USDOL And they the Kennedy put me through thee Harvard?  A jest boy? My coin.'
940109380866916353,2017-12-11 06:41:57,b'@realDonaldTrump @SecretaryAcosta @USDOL My irish dancing girls.  And ME.'
940108041558650880,2017-12-11 06:36:38,b'@realDonaldTrump @SecretaryAcosta @USDOL the Scottish.   My grandma said in royal tenen baums.   F you.  F you Boston she said.'
940087527599304709,2017-12-11 05:15:07,"b""@realDonaldTrump @SecretaryAcosta @USDOL happy Elvis Presley says the new 1 man band Metalgod.  Hmmmmmmmmmmmmmmmmmmmmmmmmmmmm ty you.  That'"""
940086821924438016,2017-12-11 05:12:18,b'@realDonaldTrump see my friends get gangnam a style named...  Co authored by me for who?  Who?'
940084070549032961,2017-12-11 05:01:22,b'@realDonaldTrump @SecretaryAcosta @USDOL BTW  I pledge billions from Anheiser in America.   My money.'
940083228496375808,2017-12-11 04:58:02,b'@realDonaldTrump @SecretaryAcosta @USDOL pharisee.  The name of dems is pharisee.  How could I doubt liberal saducees when I support SP news'
940078641924399104,2017-12-11 04:39:48,b'@realDonaldTrump @SecretaryAcosta @USDOL My absence is if great.'
940077930213916674,2017-12-11 04:36:59,"b""@realDonaldTrump I hung people I'm the 1800s.  I'm left w arrow in my back.  You! $\xc3\x97\xc3\xb7"""
940077192301617152,2017-12-11 04:34:03,b'@realDonaldTrump @daveweigel @washingtonpost I like truth.  I am truth.  I gave it to billions...  Welcome to trillionaire...'
940076463604121602,2017-12-11 04:31:09,"b""@realDonaldTrump South park I endorse but like the confused ones you say yes.  You were in my organic store (caring) once N see don't rem."""
940075872697978880,2017-12-11 04:28:48,b'@realDonaldTrump Ok look.  I love banks but the US has insurance (proclaimed a taxation) that prohibits rich people in this country PERIOD.'
940075163646693377,2017-12-11 04:25:59,"b'@realDonaldTrump I want a band of journalism from college kids to interview you.  Cost 100,00 for wifi printer KY of that is in Swiss'"
940074655431323648,2017-12-11 04:23:58,"b""@realDonaldTrump We have to have this.  With new companies coming it it's necessary."""
940074283363057666,2017-12-11 04:22:29,b'@realDonaldTrump I suggest keep going.   Let God guide.'
940074018148818945,2017-12-11 04:21:26,b'@realDonaldTrump We have wikitribune'
939083655804325888,2017-12-08 10:46:05,b'@realDonaldTrump I have a million dollar wedding with anjolinia Jolie on this too..  F you dems.'
939072615037186048,2017-12-08 10:02:13,b'@realDonaldTrump all 3 presidents declared martial law.  Their purpse. My honor 20 years.'
939068542070214656,2017-12-08 09:46:02,b'@realDonaldTrump Palestinians argue ME.  They have Gaza'
