id,created_at,text
940412763616268289,2017-12-12 02:47:29,b'RT @funder: .@realDonaldTrump-\n\nYou sexually assaulted women. You verbally &amp; physically assaulted women.  You harassed women. You groped wo\xe2\x80\xa6'
940404415894351872,2017-12-12 02:14:19,"b'@realDonaldTrump @GOP, if Dumb Donald has nothing to hide, why go all out to hide something? #huckster'"
940392730181668864,2017-12-12 01:27:53,b'RT @funder: #VoteDougJones is nearly trending. Should be top 20 by 9pm.'
940392300374560770,2017-12-12 01:26:10,b'RT @NatashaBertrand: A jailed Russian hacker told a Moscow court in August that he hacked the DNC under the direction of the FSB. He identi\xe2\x80\xa6'
940392188374142976,2017-12-12 01:25:44,b'RT @MarkRuffalo: Lets upset the political establishment and cynical calculations of the GOP/Trump industrial complex. #VoteDougJones https:\xe2\x80\xa6'
940384614039867392,2017-12-12 00:55:38,b'RT @brycetache: Hi @realDonaldTrump. No one cares how many people attended your rally. We care about your mental illness. Your pathological\xe2\x80\xa6'
940382171625377792,2017-12-12 00:45:55,b'RT @Amy_Siskind: Yummm....\n\xe2\x80\x9cHaley\xe2\x80\x99s comments infuriated the president.... Trump has grown increasingly angry in recent days that the accusa\xe2\x80\xa6'
940382076699856896,2017-12-12 00:45:33,b'RT @SethAbramson: CONFIRMED: The True Pundit Hoax will be investigated by Congress. \n\nThe Hoax: a gaggle of Trump advisors appear to have u\xe2\x80\xa6'
940381752329146368,2017-12-12 00:44:15,"b'RT @mmpadellan: Senator Kirsten Gillibrand says, based on the numerous, credible allegations of sexual assault,  trump should resign IMMEDI\xe2\x80\xa6'"
940381608229638144,2017-12-12 00:43:41,b'@LawyerRogelio Media needs to stop giving this tool any air time at all. @PressSec is despicable &amp; a #SerialLiar'
940343488939544582,2017-12-11 22:12:13,b'RT @ghilblakley: Shelby says \xe2\x80\x98Alabama deserves better\xe2\x80\x99 than Moore https://t.co/FyN5DcyUaZ https://t.co/45IN0XsMv9'
940343103659167744,2017-12-11 22:10:41,b'RT @NatashaBertrand: Something that\xe2\x80\x99s gone overlooked: Yates said she called McGahn on Jan. 30 to tell him that he could come over to the D\xe2\x80\xa6'
940342727157395456,2017-12-11 22:09:11,b'RT @NatashaBertrand: New from me: Trump officials were warned about Mike Flynn at least 6 separate times before firing him \xe2\x80\x94 and at least 3\xe2\x80\xa6'
940342137492836353,2017-12-11 22:06:50,b'@realDonaldTrump @dbongino @CNN And you would know dumb since you are.'
940341518749093888,2017-12-11 22:04:23,b'RT @AdamParkhomenko: If you want to help Doug Jones get out the vote it doesn\xe2\x80\x99t matter where you live this tool will connect you with your\xe2\x80\xa6'
940341451669626883,2017-12-11 22:04:07,b'RT @jonrog1: The whole point of having principles is you act on them when it\xe2\x80\x99s actually hard. That\xe2\x80\x99s how you know it\xe2\x80\x99s a principle. Good fo\xe2\x80\xa6'
940341383709241344,2017-12-11 22:03:51,b'RT @JuddLegum: 1. I know we are supposed to be used to this by now but the White House is putting forward a ridiculous NEW lie about the wo\xe2\x80\xa6'
940341254801543168,2017-12-11 22:03:20,b'RT @RVAwonk: An award-winning diplomat just resigned from the State Dept and told Tillerson: \xe2\x80\x9cI would humbly recommend you follow me out th\xe2\x80\xa6'
940341178096062465,2017-12-11 22:03:02,b'RT @13WJM: Koch Brothers and N.R.A. Reach Timeshare Agreement Over Ownership of Paul Ryan https://t.co/jM6TA57bFZ'
940341068767399936,2017-12-11 22:02:36,b'@bob_toomey @chilepeppermama We feel your pain.'
940340998516985857,2017-12-11 22:02:19,"b'RT @bob_toomey: Last night I was reading, the TV muted in the background. I happened to glance up from my book, and there was Obama on the\xe2\x80\xa6'"
940340874910814208,2017-12-11 22:01:49,"b""RT @Marmel: I don't buy this.\nAnd even if I did, I don't care.\nAlabama:\nBring your IDs, there will be suppression.\nBring a friend, there wi\xe2\x80\xa6"""
940340761635278848,2017-12-11 22:01:22,b'RT @SethAbramson: Trump advisor Jeanine Pirro may have had foreknowledge of a 2016 online hoax that tried to coerce the FBI\xe2\x80\x94via fraud\xe2\x80\x94into\xe2\x80\xa6'
940340565480280064,2017-12-11 22:00:36,b'@realDonaldTrump @nytimes For God sakes grow up!'
940340283761455105,2017-12-11 21:59:28,"b'RT @davidfrum: Wait, the Pentagon just overruled the commander-in-chief? https://t.co/Dei7YsoIYk'"
940340222155476993,2017-12-11 21:59:14,"b'RT @JoeBiden: Tomorrow, the people of Alabama will decide whether the United States Senate will gain the courage, character, and integrity\xe2\x80\xa6'"
940326958403129345,2017-12-11 21:06:31,b'@politico Can we please just stop listening to Shill Huckabee Scammers? Your helping to spread her lies. I find\xe2\x80\xa6 https://t.co/lOqMJEGF0v'
940325778033659905,2017-12-11 21:01:50,"b'@axios Send the GOP first, preferably now.'"
940325489813676032,2017-12-11 21:00:41,b'@omimargo @michael_olmsted @VABVOX @nikkihaley You took the words right out of my mind.'
940325064293142532,2017-12-11 20:59:00,"b""@FoxNews @JudgeJeanine She's a shill. People who actually value the truth do not watch or listen to Fox. #FakeNews"""
940323642914824192,2017-12-11 20:53:21,"b'RT @ProudResister: Alabama, you can either vote for an accused Child Molester or a Federal Prosecutor that worked to put men like Roy Moore\xe2\x80\xa6'"
940323549801271297,2017-12-11 20:52:59,b'@TeaPainUSA Who the hell would allow their child that close to him?'
940323381358088192,2017-12-11 20:52:19,b'RT @MichelleObama: Getting covered means getting peace of mind for yourself and your family. So sign up today and tell everyone you know th\xe2\x80\xa6'
940316094610464773,2017-12-11 20:23:21,b'RT @BarackObama: Just got off a call to thank folks who are working hard to help more Americans across the country sign up for health cover\xe2\x80\xa6'
940251369738588160,2017-12-11 16:06:10,b'RT @funder: Trump should resign due to the sexual assault allegations against him. RT if you agree. #MeToo #TrumpSexProbe'
940251334107951105,2017-12-11 16:06:01,"b'RT @CBSNews: NEW: Women who have publicly accused President Trump of sexual harassment and assault will speak at a news conference, hosted\xe2\x80\xa6'"
940251162791628800,2017-12-11 16:05:20,b'RT @Deedro: @ProudResister  https://t.co/hsGLFu0x8u'
940250907077423104,2017-12-11 16:04:19,b'@ProudResister @realDonaldTrump is a #SerialLiar'
940250748209811457,2017-12-11 16:03:42,"b'RT @ProudResister: Trump just tried to call out the Media for \xe2\x80\x9cfalse stories\xe2\x80\x9d despite the fact that he\xe2\x80\x99s made 1,628 false claims since taki\xe2\x80\xa6'"
940250622544302080,2017-12-11 16:03:12,b'RT @lacasasinclair: You know in your heart Doug Jones is the better person. No one will know who you vote for; do the right thing. https://\xe2\x80\xa6'
940250553816412161,2017-12-11 16:02:55,"b'RT @LawyerRogelio: THE MAN STEPS IN! Obama has reportedly recorded a robocall for the Alabama senate race, imploring voters to reject Roy M\xe2\x80\xa6'"
940250157651722241,2017-12-11 16:01:21,b'RT @DerekCressman: Dark money undermining social media again: Shadowy Facebook Ads That Pushed Trump Are Back in Alabama https://t.co/0pUhf\xe2\x80\xa6'
940250004232527872,2017-12-11 16:00:44,"b'RT @ElizabethDrewOH: Was this the ""big announcement"" that @realDonaldTrump said he\'d make soon after he returned from his trip to Asia? htt\xe2\x80\xa6'"
940249901413347335,2017-12-11 16:00:20,"b'RT @TheDemCoalition: They will not be silenced: @RealDonaldTrump accusers to unite for first time, demand congressional investigation into\xe2\x80\xa6'"
940249773415772160,2017-12-11 15:59:49,"b'RT @blakehounshell: Alabama columnist: ""Every single county in which blacks make up more than 75 percent of registered voters will see thei\xe2\x80\xa6'"
940249550916374528,2017-12-11 15:58:56,b'RT @funder: There should be an immediate Congressional probe into every one of Trump\xe2\x80\x99s sexual assault allegations against him. RT if you ag\xe2\x80\xa6'
940249071243100161,2017-12-11 15:57:02,b'@Hypocrisy_Party @ananavarro Another deplorable.'
940248663682637825,2017-12-11 15:55:25,b'RT @PaulReggio1: There will be more Americans killed in the next month by gun violence than killed by terrorism in NYC since 9/11. I am a l\xe2\x80\xa6'
940247793683361795,2017-12-11 15:51:57,"b""RT @Protectcare: RT to tell @RepJohnFaso: Don't use tax reform to derail health coverage. https://t.co/xdJCQcMIdl"""
940212989558435840,2017-12-11 13:33:39,b'@sjredmond We are all paying the price of power hungry politicians.'
940212667960131584,2017-12-11 13:32:23,b'@CharlesMBlow Very well written &amp; spot on.'
940212148017483776,2017-12-11 13:30:19,"b'RT @CharlesMBlow: Read my column, ""Rise of the Roypublicans,"" and let me know what you think. https://t.co/4ISKAkIvCq'"
940075905501749248,2017-12-11 04:28:56,"b'@JoyAnnReid @Ronraj777 My opinion is that ""she\'s"" a dumbass.'"
940075484016029696,2017-12-11 04:27:15,b'RT @Chicana74: Obama says Americans must be vigilant in their defense of democracy or risk following the path of Nazi Germany in the 1930s\xe2\x80\xa6'
940075147230199808,2017-12-11 04:25:55,b'RT @funder: Dear Alabama-\n\nThis is a time where you have a clear choice. You have someone who\xe2\x80\x99s a moderate Dem who will put Alabama over th\xe2\x80\xa6'
940074988962320385,2017-12-11 04:25:17,"b""RT @VABVOX: Don't ever claim this guy doesn't fully support Trump.\n\nFriday he called for an investigation of @HillaryClinton, today he's li\xe2\x80\xa6"""
940074905730629632,2017-12-11 04:24:57,"b""RT @RedTRaccoon: Roy Moore-\n\nThis is me in a real foxhole.\n\nI didn't care who was next to me as long as they had the American flag on their\xe2\x80\xa6"""
940068249529565184,2017-12-11 03:58:30,"b""@LindseyGrahamSC @POTUS @realDonaldTrump WTF is wrong with you? Promoting a president's private business? It's time for you to retire."""
940067320319262725,2017-12-11 03:54:49,"b""@realDonaldTrump You admire the pedophile don't you? You are as despicable as he is."""
940066711352438794,2017-12-11 03:52:24,"b'@realDonaldTrump Nice try Mr #SerialLiar, ""everyone knows"" you are #FakeNews.'"
940066190608568321,2017-12-11 03:50:20,b'@realDonaldTrump @PhilBryantMS You belong in the Racist section.'
940065748004749318,2017-12-11 03:48:34,"b""@realDonaldTrump @daveweigel Don't you have something better to do than whine about a story? Someone change his diaper please."""
940065180968300544,2017-12-11 03:46:19,b'@realDonaldTrump Fake News =Fox News'
940064973539106817,2017-12-11 03:45:29,"b'RT @TheRickyDavila: Of course Roy Moore, a pedophile racist bigot running for @GOP Senate, speaks fluent Russian. Of course he does. Kind o\xe2\x80\xa6'"
940061057023852551,2017-12-11 03:29:56,"b""RT @13WJM: Spot on.  Truth.  \n\nI've said this often here on Twitter--@MooreSenate's life-long predilection for pre-pubescent teen girls for\xe2\x80\xa6"""
940060957174149121,2017-12-11 03:29:32,"b'RT @greengoddess11: You are a complete fool @realDonaldTrump. Yes, we are the resistance and we will not stop until you are gone from the W\xe2\x80\xa6'"
