id,created_at,text
940383520861622274,2017-12-12 00:51:17,b'RT @lashellraelee: #fucktrump'
940364615300476928,2017-12-11 23:36:10,"b'RT @SerenaSonoma: $55k for this bullied white kid but $0 for black girls, gay and/or feminine boys getting teased in school, trans kids get\xe2\x80\xa6'"
940364259656994816,2017-12-11 23:34:45,b'RT @faddelg7: Girls can wear a 2 piece bathing suit no matter how old they are. https://t.co/VwNKgJ2e5g'
940363953980325888,2017-12-11 23:33:32,"b""RT @atombomblucy: I know all my mutuals ignore my vegan shit, and yall have every right to do so, but I'm begging you. Animal Agriculture i\xe2\x80\xa6"""
940363459849486336,2017-12-11 23:31:34,"b""RT @SenSanders: Mr. Trump, watch these Patriotic Millionaires explain how to stimulate the economy. It's not by giving massive tax breaks t\xe2\x80\xa6"""
940362811296886785,2017-12-11 23:28:59,"b""RT @BLVCKMATTERS: Keaton Jones MOM is a next level racist who's posted in many offensive and non remorseful comments towards black people,\xe2\x80\xa6"""
940360316692639747,2017-12-11 23:19:05,b'RT @TheDavidSedaris: What do you call an accused sexual assailant that supports an accused child molester?\n\n@POTUS \n\nA very sad time in Ame\xe2\x80\xa6'
940250916590059520,2017-12-11 16:04:22,b'@chrisconsiders I literally read the original as yours and was so confused. Chris???? A mostly gay???? I thought he was only gay for corn?'
940249571325825024,2017-12-11 15:59:01,b'Whats your advice on transitioning from vegetarian to vegan? I really want to but fuck I love a good feta (also pls\xe2\x80\xa6 https://t.co/5hyn8pLKQH'
940248999738699777,2017-12-11 15:56:45,b'godDAMNIT I love cows https://t.co/qDIFuoeZaM'
940248035447197696,2017-12-11 15:52:55,"b'@realDonaldTrump @nytimes Wait, I thought you were the dumbest man on television?'"
940247405194350592,2017-12-11 15:50:25,b'RT @jayceesue55: Picture this: it\xe2\x80\x99s 2010. TiK Tok is playing on your iPod shuffle as you run home from school to feed your Webkinz. You\xe2\x80\x99re\xe2\x80\xa6'
940246791240511488,2017-12-11 15:47:58,"b""RT @netflix: To the 53 people who've watched A Christmas Prince every day for the past 18 days: Who hurt you?"""
940074437839220737,2017-12-11 04:23:06,"b""@realDonaldTrump @POTUS Thaaaaaaaaaaaaaaaaaaat's a lie. I'd love to see your sources on this."""
940074144325976064,2017-12-11 04:21:56,"b'@realDonaldTrump @POTUS Sorry, you spelled FOX News wrong.'"
940074058636341248,2017-12-11 04:21:35,b'@realDonaldTrump @POTUS @CNN You made a vicious and purposeful mistake by stealing our land. #MonumentalMistake'
940073906500648961,2017-12-11 04:20:59,b'@realDonaldTrump @POTUS @PhilBryantMS Why? So you can defund it and erect something more your style? How about anot\xe2\x80\xa6 https://t.co/j6RrvliNUs'
940073737084321793,2017-12-11 04:20:19,b'@FLOTUS @POTUS Maybe you should help instead of golfing and taking vacations on my taxpayer money. Maybe if you spe\xe2\x80\xa6 https://t.co/I0hmC02yfx'
940073348473618432,2017-12-11 04:18:46,"b'@realDonaldTrump Meanwhile, you ban innocent people from their families because you deem them ""dangerous"" you racist, money hungry fascist.'"
940073031384231938,2017-12-11 04:17:31,"b""@realDonaldTrump Smart is a strong word for your supporters. I'd go with pedophiles, rapists, and oh, idk, unqualified."""
940072730057089024,2017-12-11 04:16:19,"b""@realDonaldTrump You're a stain on America."""
940068691844018176,2017-12-11 04:00:16,b'RT @JexxieSuperstar: Would it be cool if @ChaseRoss  played Animal Crossing?'
940068256261447686,2017-12-11 03:58:32,"b""RT @MorganJerkins: *after seeing video of the starving polar bear*\n\nMan: Hi, I'm --\n\nMe: Do you believe in climate change? https://t.co/9XP\xe2\x80\xa6"""
940067792828612608,2017-12-11 03:56:42,b'https://t.co/xlwlbUpWzn'
940056872698052611,2017-12-11 03:13:18,b'RT @zivankaaaa: still pissed that my first time voting in a presidential election I was forced to vote for hillary pantsuit clinton'
