id,created_at,text
940156994090160128,2017-12-11 09:51:09,b'@SpeakerRyan'
940155869148450817,2017-12-11 09:46:41,b'@realDonaldTrump @royw07 @POTUS potus@sen. majorityldr.@ SPEAKER Paul Ryan'
940090794450362369,2017-12-11 05:28:06,b'@realDonaldTrump @royw07 PLEASE HELP US WITH THE EROSION OF OUR SOCIAL SECURITY CHECKS. WE PUT IN ALL THOSE YEARS.\nTHANK YOU MR  PRESIDENT.'
940089378000461824,2017-12-11 05:22:28,b'Army Navy Game'
940087912162508800,2017-12-11 05:16:38,b'GREAT'
939858459239084032,2017-12-10 14:04:53,b'MR. PRESIDENT WORK ON THE EROSIAN OF OUR SOCIAL SECURITY  CHECKS. ITS GOING DOWN NOT UP. HURTING US. PLEASE HELP. THANKS.'
939849949793067009,2017-12-10 13:31:04,b'\xf0\x9f\x91\x8d'
938503897475375105,2017-12-06 20:22:20,b'@RepMattGaetz @FBI @HillaryClinton @Jim_Jordan @RepMarkMeadows @RepDeSantis @RepTedYoho @RepScottPerry\xe2\x80\xa6 https://t.co/TqQALwfmjE'
938099295538106370,2017-12-05 17:34:35,"b""@GillianHTurner You've done well!"""
938097817318502400,2017-12-05 17:28:43,b'@greggutfeld GREAT ANALOGY!'
936712565828345856,2017-12-01 21:44:13,b'@realDonaldTrump Yuuuuuuuup.\nThank You GOD.\nMERRY CHRISTMAS to all!'
936711973953294342,2017-12-01 21:41:52,b'@realDonaldTrump Yuuuuup!'
935089788260143104,2017-11-27 10:15:53,b'@FoxNews HUMANITY IS STILL THE BEST!'
934892497637203968,2017-11-26 21:11:55,b'@MelissaAFrancis Keep being a parent. You are a leader and GREAT parent.\nWE LOVE you.'
934891203727904769,2017-11-26 21:06:47,b'@realDonaldTrump @FoxNews Right on Mr. President.'
933233926734102528,2017-11-22 07:21:21,b'@SpeakerRyan MR. SPEAKER.\nWE as retirees are Worried that our taxes will go up.We are on low income with medical bi\xe2\x80\xa6 https://t.co/dFrhptaK4k'
932809844888829952,2017-11-21 03:16:12,b'@realDonaldTrump NOT CLEAR ENOUGH'
932809656736604160,2017-11-21 03:15:27,b'@realDonaldTrump Worried that my low income will get hurt and as a retiree my TAX will go up.\nTaking more AWAY.\nMy\xe2\x80\xa6 https://t.co/sSY735F21p'
932432049025282048,2017-11-20 02:14:58,b'\xf0\x9f\x91\x8d'
931545703104487424,2017-11-17 15:32:57,b'\xf0\x9f\x91\x8d'
