id,created_at,text
940376252921327619,2017-12-12 00:22:24,b'RT @the_real_spinks: im getting rich in 2018'
940373038578749440,2017-12-12 00:09:38,b'@OGBeardedBandit Read the thread lol they tryna get these folks fired \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x82'
940360903505137665,2017-12-11 23:21:25,b'Take that . https://t.co/SvqISALjC0'
940360752103292928,2017-12-11 23:20:49,b'If this ain\xe2\x80\x99t the truth \xf0\x9f\x98\x82 https://t.co/EClnPYFHKH'
940360629331877893,2017-12-11 23:20:19,b'RT @Itsonlyreal: This brother said everything I wanted to say about that \xe2\x80\x9cI\xe2\x80\x99m not racist\xe2\x80\x9d video... Protect him at all costs... https://t.co\xe2\x80\xa6'
940344247491887106,2017-12-11 22:15:14,b'@TonyReimonenq @_marquise__ The last part.... FACTS \xf0\x9f\x98\x82'
940341774018662403,2017-12-11 22:05:24,b'RT @_jacyare: @itskaybee__ @isabella_adina Girl that\xe2\x80\x99s why I don\xe2\x80\x99t donate to these people. I pray for them and keep it kickin baby..'
940325033561477120,2017-12-11 20:58:53,b'@isabella_adina @_jacyare found this \xe2\x98\x95\xef\xb8\x8f'
940321263431618561,2017-12-11 20:43:54,b'@_jacyare \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f lord.... the boy just can\xe2\x80\x99t win'
940315404773285888,2017-12-11 20:20:37,b'@_jacyare What his mom say \xf0\x9f\x91\x80'
940166417781010433,2017-12-11 10:28:36,b'RT @fabsymone: #SteelersNation #herewego'
940164940073197568,2017-12-11 10:22:43,b'RT @aprettydoll_: or spell.\xf0\x9f\x92\x80 https://t.co/cMLxUdDgN7'
940163601360408576,2017-12-11 10:17:24,b'RT @_SoloDoloMofo: Can\xe2\x80\x99t chase nobody I\xe2\x80\x99m fat i might just pass out..'
940163266889895936,2017-12-11 10:16:04,b'Me to Me: https://t.co/QQHvcGMzAc'
940127772843835392,2017-12-11 07:55:02,b'Name the top 5 rappers of all time \xf0\x9f\x91\x80'
940061823750979584,2017-12-11 03:32:58,b'@__iLIVElife At first i thought the lil boy was crying when he covered his face'
940061406291927040,2017-12-11 03:31:19,b'@dSIPsfinest Lolol good bye \xf0\x9f\x98\x82'
940049251639336960,2017-12-11 02:43:01,b'@realDonaldTrump @PhilBryantMS We finna vote Phil out don\xe2\x80\x99t you worry Donnie'
939719704528252930,2017-12-10 04:53:31,b'Classic. \xf0\x9f\x98\x82 https://t.co/Nv8iNHagev'
939713578885681152,2017-12-10 04:29:10,b'@_SoloDoloMofo Yea \xf0\x9f\x91\x80'
939696218036457473,2017-12-10 03:20:11,b'@_jacyare Lol I\xef\xb8\x8fm fr... i can name a good 5 artists that was just popping \xf0\x9f\x98\x82\xf0\x9f\x98\x85'
939694138886377473,2017-12-10 03:11:56,b'@_SoloDoloMofo You think so? Name some stuff'
939689195366436864,2017-12-10 02:52:17,b'@iAmAlandisj Landis landis landis..... you actually have to like someone to be a groupie. Dolph look like a baby cr\xe2\x80\xa6 https://t.co/YTzPkG1bie'
939686912201252870,2017-12-10 02:43:13,b'@iAmAlandisj We pulling up when dolph pull up \xf0\x9f\x98\x85\xf0\x9f\x91\x80'
939525004722663425,2017-12-09 15:59:51,b'RT @WatchaSippinBoy: \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/zbmwr1laSg'
939520987682492420,2017-12-09 15:43:53,b'I really sat up here and played myself \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f.'
939510404140687360,2017-12-09 15:01:50,b'Lol @ my boss who thought I was coming to work today.... I drive a coupe sis that junt slide on ice \xf0\x9f\x92\x80'
939508896724668416,2017-12-09 14:55:50,b'RT @DatGuyJarie: All cause I went to go get Nia wig.\xf0\x9f\x99\x82 https://t.co/WTslsq3S9H'
