id,created_at,text
940084872097382400,2017-12-11 05:04:34,b'@FoxNews  @POTUS  Very touching'
940084124827639809,2017-12-11 05:01:35,"b""@DantonioMark thank God you're my team's coach.  don't back down.  Go State!"""
940083194501537792,2017-12-11 04:57:54,"b'@realDonaldTrump great speech on friday.  keep up the good work, mr president.'"
940081161753133056,2017-12-11 04:49:49,"b'@realDonaldTrump god bless america and you too, mr president.  keep up the good fight for our great USA!'"
939726505021763585,2017-12-10 05:20:32,b'@realDonaldTrump @USArmy @USNavy shame on you losers.  god bless america and pres. trump'
938816868353298439,2017-12-07 17:05:58,b'@realDonaldTrump USA!!!!!!  Mr. president keep on doing the right things for this great country.'
932127634330439680,2017-11-19 06:05:20,"b""@realDonaldTrump hard to believe the low polling data,  mr president.   you're doing a fine job.  carry on."""
930812419047174145,2017-11-15 14:59:09,"b""@realDonaldTrump can't believe the constant attacks and insulting comments to u and your family.  be strong and car\xe2\x80\xa6 https://t.co/OJBaiUSlby"""
930811528319815685,2017-11-15 14:55:36,"b""@realDonaldTrump mr pres. you're doing a great job!  stay the course  USA!!!!!!!!"""
922231124717338624,2017-10-22 22:40:09,"b""@realDonaldTrump i love what you r doing which is the right thing.  don't back down  USA!"""
914686577170718720,2017-10-02 03:00:48,"b'@realDonaldTrump hi, keep up the good work despite all the nasty vitriol directed to u and your family.  please cool down your rhetoric'"
914684555830980608,2017-10-02 02:52:46,"b'@realDonaldTrump hi mr president.  like u, i  love my country, my flag, and the national anthem.  for those who don\xe2\x80\xa6 https://t.co/4pf4R6uULF'"
912302136020619264,2017-09-25 13:05:53,b'@DonaldTrump i fully support the essence of your displeasure towards dissident and disrespectful nfl players USA!!!!!'
901334806251933697,2017-08-26 06:45:38,b'RT @brittlestar: This just instantly made today better... https://t.co/mAnwSqgA5n'
826349844214190081,2017-01-31 08:42:10,"b""@realDonaldTrump congratulations on a much needed change at the top.   keep up the good work.  please don't cave in to the other side"""
686591757870567424,2016-01-11 16:53:25,"b""@celinedion looking forward to seeing you this saturday--jan 16,2016   hope you're singing the titanic song"""
682560020207263744,2015-12-31 13:52:44,b'what?'
682559666405113856,2015-12-31 13:51:20,b'@HammerFox2 go green'
682555809436426241,2015-12-31 13:36:00,b'@HammerFox2   new to twitter   thanks for prompt reply  have fun and happy new year'
682554626122616832,2015-12-31 13:31:18,b'@HammerFox2    red shirt?'
682554474053898240,2015-12-31 13:30:42,b'red shirt?'
682552657559576577,2015-12-31 13:23:29,b'whats with the red top on game day'
682549900492566531,2015-12-31 13:12:32,"b""@FOX2News   what's with jennifer hammond's red top on game day?"""
682549392595922944,2015-12-31 13:10:31,"b""whats with jennifer hammond's red top on game day"""
453829857160339457,2014-04-09 09:40:44,b'RT @Todd_Jones: These are the worst seats at the Final Four. Amateur athletics run by a non-profit organization: http://t.co/4pzdCTtjVQ via\xe2\x80\xa6'
441223735169650690,2014-03-05 14:48:30,"b""RT @TStefanek: I'm with you @MikeValenti971 DONE shoveling. We drive over it here on out. See text with wife this morning. http://t.co/Z5I0\xe2\x80\xa6"""
437699918203854849,2014-02-23 21:26:07,"b""@JimComparoni jim, i'm so frustrated.  why doesn't izzo recruit someone who can put the ball in the basket...so painful...jr"""
437699281076494336,2014-02-23 21:23:35,"b'@Graham_Couch graham, please tell me why izzo does not recruit someone who can put the ball in the basket.  these games are so painful...jr'"
437698570720800768,2014-02-23 21:20:45,"b""@patcapupat please tell me why izzo does not recruit someone who can put the ball in the basket.  since shawn respert we've had no one .jr"""
437694647578542080,2014-02-23 21:05:10,b'@MikeValenti971 mike can you please tell me whyizzo does not recruit someone who can shoot the darn ball...........jr'
426357208096325632,2014-01-23 14:14:14,"b'@DantonioMark hi mark, great season.  if its true about j campbell, do we need a problem child.  i trust your judgement.  go state!'"
399923205395062784,2013-11-11 15:34:57,b'@DantonioMark as a first time tweeter  GOOD LUCK THE REST OF THE WAY!!!!!!'
399920805884088320,2013-11-11 15:25:24,"b""@MikeValenti971 hi mike i'm new at this tweeting   did you get my messages?"""
399917915056517120,2013-11-11 15:13:55,b'test'
399562759236378624,2013-11-10 15:42:39,b'#CapitalOneSparty pound green pound'
399556082579697665,2013-11-10 15:16:08,"b""@MikeValenti971 i enjoyed the wooly bully recap last monday.  how about THE BEAT GOES ON to open this monday's show  GO GREEN1"""
