id,created_at,text
940055317387264000,2017-12-11 03:07:07,"b'@realDonaldTrump Yes, let\xe2\x80\x99s vote for the sexual predator. That\xe2\x80\x99s the name and image you want for the RNC. New sloga\xe2\x80\xa6 https://t.co/ibLH0LmEMx'"
940055049241108480,2017-12-11 03:06:03,b'@realDonaldTrump Your name is the least trusted. Trump = fake president !'
940054923361652737,2017-12-11 03:05:33,b'@realDonaldTrump @USArmy @USNavy Gotta make sure you get that 8 hours of tv time in. Who runs the country when you\xe2\x80\x99re screwing off?'
940054708999168005,2017-12-11 03:04:42,b'@realDonaldTrump @daveweigel Packed with hot air and empty seats.'
940054614220537856,2017-12-11 03:04:20,b'@realDonaldTrump You\xe2\x80\x99re a sexual predator/ can we deport you too? I\xe2\x80\x99m sure Russia will take you!'
940054454245539840,2017-12-11 03:03:41,b'@realDonaldTrump Special for your one percent and the others buying you out. Will be short lived when they frauds a\xe2\x80\xa6 https://t.co/RXkUhAG5xt'
940054205607186432,2017-12-11 03:02:42,b'@realDonaldTrump Major lies by a major fake with a fake following on Twitter. I\xe2\x80\x99m not worried about fox fake news-\xe2\x80\xa6 https://t.co/KqipvlFlyw'
940053587010371590,2017-12-11 03:00:15,b'RT @mcuban: I know who pays our bills ! https://t.co/XmpqBlp9xx'
940053518936764416,2017-12-11 02:59:58,b'RT @RWPUSA: If Al Franken ran for the MN Senate seat as an independent with no Super PAC money he would win in a landslide.'
940053474674294788,2017-12-11 02:59:48,b'RT @RWPUSA: What Roy Moore did to children is disgusting. What he wants to do to African Americans is as well. Every single black voter in\xe2\x80\xa6'
938194704423903232,2017-12-05 23:53:43,b'@realDonaldTrump Vote for your local RNC pedophile - make the RNC great predators again!'
938193832423936000,2017-12-05 23:50:15,b'@realDonaldTrump rape pillage and Plunder anything you can get your small Cheeto hands on. #FakePresident #ImpeachTrump'
938193478911250433,2017-12-05 23:48:50,b'RT @RepAdamSchiff: Ivanka: \xe2\x80\x9cThere\xe2\x80\x99s a special place in hell for people who prey on children.\xe2\x80\x9d\n \n@POTUS: It\xe2\x80\x99s called the Senate GOP Conferen\xe2\x80\xa6'
938193433025490946,2017-12-05 23:48:39,"b'RT @IronStache: Claiming ""ignorance of the law"" is not an accepted excuse in a court of law.\n\nIt also won\'t help your election in 2018 by v\xe2\x80\xa6'"
938193375513235456,2017-12-05 23:48:26,b'RT @RWPUSA: Conyers out. Menendez in.\nClinton impeached. Trump not.\nRoy Moore even with Doug Jones in Alabama polls.\nPolitics trumps ethics\xe2\x80\xa6'
938193348313145344,2017-12-05 23:48:19,"b'RT @Alyssa_Milano: I mean, what world are we living in that an accused sexual abuser is allowed to be our President and an accused pedophil\xe2\x80\xa6'"
938193269477003264,2017-12-05 23:48:00,b'RT @AltForestServ: Make no mistake. The Trump administration and the Utah delegation eliminated the protections of these lands solely so th\xe2\x80\xa6'
938193097485443073,2017-12-05 23:47:19,"b""RT @pattonoswalt: Democrats have forced Rep. John Conyers to step down. Good to see them doing the right thing. I'm sure the GOP would do t\xe2\x80\xa6"""
938193046352613376,2017-12-05 23:47:07,b'RT @StevenTDennis: Sitting GOP senators who voted to remove President Clinton from office for obstruction of justice:\nCOCHRAN\nCRAPO\nENZI\nGR\xe2\x80\xa6'
938192918812164102,2017-12-05 23:46:37,b'RT @krassenstein: BREAKING: Deutsche Bank receives subpoena from Mueller on Trump accounts\n\nThis is huge for 2 reasons:\n\n- Deutsch Bank pai\xe2\x80\xa6'
938192808950812673,2017-12-05 23:46:11,"b""RT @RWPUSA: Ignorance: Christians who don't read the Bible and Americans who don't read the Constitution. This is ignorance. https://t.co/c\xe2\x80\xa6"""
938192767594979329,2017-12-05 23:46:01,"b'RT @RWPUSA: This is the only right thing to do. Roy Moore does not belong in the courthouse, the mall or the Senate. https://t.co/kLZUKfT5kf'"
937838864957362176,2017-12-05 00:19:44,"b""RT @RWPUSA: Dems are blowing the message on this. Moore's sexual misconduct involved children and regardless of what one believes about tha\xe2\x80\xa6"""
937838832086593538,2017-12-05 00:19:36,b'RT @RWPUSA: A lawyer who writes a Tweet like that incriminating a client should be disbarred. He can tell Mueller he wrote it. https://t.co\xe2\x80\xa6'
937838795629780993,2017-12-05 00:19:27,"b'RT @waltshaub: I dare you to tell Mueller you logged into POTUS\xe2\x80\x99s Twitter account and wrote \xe2\x80\x9cpled\xe2\x80\x9d and the rest of that, John Dowd. I dare\xe2\x80\xa6'"
937838767540441088,2017-12-05 00:19:21,b'RT @SallyQYates: The FBI is in \xe2\x80\x9ctatters\xe2\x80\x9d?  No.  The only thing in tatters is the President\xe2\x80\x99s respect for the rule of law. The dedicated men\xe2\x80\xa6'
937457813491781634,2017-12-03 23:05:34,"b""RT @haprusak: Micah Hyde said he was surprised Rob Gronkowski wasn't ejected after that hit on Tre White. Also called it a dirty play. More\xe2\x80\xa6"""
937457694335799297,2017-12-03 23:05:06,b'RT @BuffRumblings: Tre White is in the concussion protocol and Rob Gronkowski is a jerk\n\nhttps://t.co/VFIkQ7y7pP'
937434906241757185,2017-12-03 21:34:33,"b'RT @EdKrassen: It scares me to death that Trump supporters would be absolutely fine with Trump running the FBI, CIA, Justice Department and\xe2\x80\xa6'"
937429324877180936,2017-12-03 21:12:22,b'RT @EricHolder: Nope.  Not letting this go. The FBI\xe2\x80\x99s reputation is not in \xe2\x80\x9ctatters\xe2\x80\x9d.  It\xe2\x80\x99s composed of the same dedicated men and women wh\xe2\x80\xa6'
937429279800950785,2017-12-03 21:12:11,"b'RT @ProudResister: Donald Trump tweeted 3 times this morning about Hillary Clinton\xe2\x80\x99s emails. In other words, Robert Mueller is getting real\xe2\x80\xa6'"
937429213770022914,2017-12-03 21:11:55,"b'RT @DrAndrewThaler: Folks, I think we need to start coming to terms with the idea that the rapture happened and only David Bowie and Prince\xe2\x80\xa6'"
937429169939664896,2017-12-03 21:11:45,b'RT @Lawrence: Breaking: CONGRESS HAS NOT PASSED A TAX BILL YET. House &amp; Senate passed 2 different bills. Nothing to send to president yet.\xe2\x80\xa6'
937429152357077000,2017-12-03 21:11:41,b'RT @SenWarren: This Congress doesn\xe2\x80\x99t work for working families. It works for corporate lobbyists &amp; campaign donors in backroom deals &amp; 1:30\xe2\x80\xa6'
937429103933837312,2017-12-03 21:11:29,b'RT @HillaryClinton: Sometimes it\xe2\x80\x99s hard to know what to do after a loss. Not this time. \nThis tax bill is only going to get worse as people\xe2\x80\xa6'
937428993896312832,2017-12-03 21:11:03,"b""RT @pwcdanica: I lost sleep catching up on hundreds of emails, not the Senate Rs' POS tax bill. All it does is give Rs a reason to go into\xe2\x80\xa6"""
937428901508337666,2017-12-03 21:10:41,"b'@PressSec Lies, propaganda and fiction. God help you on your day of reckoning because being the spokesperson for Sa\xe2\x80\xa6 https://t.co/Ej9hpvv8If'"
937428670754549761,2017-12-03 21:09:46,b'RT @timkaine: I proposed a fix to GOP tax bill that would have made middle-class tax relief permanent AND reduced deficit by nearly 1 trill\xe2\x80\xa6'
937428635966775297,2017-12-03 21:09:38,b'RT @kurteichenwald: When the MAGA voters find their retirement age up at 70 and Medicare crippled because of this tax bill of sociopathic g\xe2\x80\xa6'
937428413895401474,2017-12-03 21:08:45,"b'RT @omarvaid: WE ARE LIVID. Ted Cruz &amp; Pence snuck 529 into the tax bill, to undermine women\xe2\x80\x99s abortion rights. New language declares human\xe2\x80\xa6'"
937428083543625728,2017-12-03 21:07:26,"b'RT @PalmerReport: Donald Trump Jr, Roger Stone and Sebastian Gorka have now blocked Palmer Report on Twitter. We haven\xe2\x80\x99t even interacted wi\xe2\x80\xa6'"
937427833940598789,2017-12-03 21:06:26,"b'RT @WorkingFamilies: Last night, Republicans in the Senate could enjoy a few hours of back-patting from the Kochs, Mercers, and the billion\xe2\x80\xa6'"
937427690902220800,2017-12-03 21:05:52,"b'RT @RogueSNRadvisor: Trump ""can\'t be stopped"" from tweeting. Has ""10-15"" backup phones hidden around West Wing. Lawyers are ""at their wits\xe2\x80\xa6'"
937427513340563456,2017-12-03 21:05:10,"b""RT @CNN: CIA Director Mike Pompeo says President Trump's tweets are yielding valuable intelligence https://t.co/SV5lJuyJfY https://t.co/AZv\xe2\x80\xa6"""
937425703464783874,2017-12-03 20:57:58,b'@Franklin_Graham @POTUS @realDonaldTrump Here\xe2\x80\x99s one more - this makes it a little more clear for you to understand\xe2\x80\xa6 https://t.co/JnaHRxu6aG'
937422852906725377,2017-12-03 20:46:39,b'@realDonaldTrump Do you? How many are posting on your twitter account for you? Or is that just another lie to cover\xe2\x80\xa6 https://t.co/XY0IAPEjc8'
937422615106351105,2017-12-03 20:45:42,"b""@realDonaldTrump SCAM. Rip off. FAKE POLITICIANS. FAKE PRESIDENT. You don't work for us -you work for PUTIN! #ImpeachTrump #NotMyPresident"""
937422407920431106,2017-12-03 20:44:53,"b'@realDonaldTrump Deflect and hope they forget your lies, stories, felonies? No. Mueller is way smarter than that.'"
937422220959322113,2017-12-03 20:44:08,"b""@realDonaldTrump It will start, the minute you're impeached and the laughingstock of the R's are voted out, one by\xe2\x80\xa6 https://t.co/hG4ItsNCXC"""
937422045830438913,2017-12-03 20:43:26,"b""@realDonaldTrump @ABC Can those who were screwed by you each and every time you did business and didn't pay them, e\xe2\x80\xa6 https://t.co/qtEnlk20iQ"""
937421707090022401,2017-12-03 20:42:06,"b'@Franklin_Graham Including Trump, his children, their spouses and everyone else who lies to the faces of the innoce\xe2\x80\xa6 https://t.co/4S4n7oIwUJ'"
937421540089630721,2017-12-03 20:41:26,"b'@Franklin_Graham @POTUS @realDonaldTrump One more, because those that say ""grab \'em by the pussy"" is NOT behaving t\xe2\x80\xa6 https://t.co/jCY1YYY343'"
937421217442693120,2017-12-03 20:40:09,"b'@Franklin_Graham @POTUS @realDonaldTrump 3. James 1:5 ESV If any of you lacks wisdom, let him ask God, who gives ge\xe2\x80\xa6 https://t.co/1q43yV5RpD'"
937420983216033793,2017-12-03 20:39:13,"b'@Franklin_Graham @POTUS @realDonaldTrump 2.  and if I have all faith, so as to remove mountains, but have not love,\xe2\x80\xa6 https://t.co/h8AHRLi5nf'"
937420893206269954,2017-12-03 20:38:52,"b""@Franklin_Graham @POTUS @realDonaldTrump I think you're confused. Let me help you identify a Christian: 1.\n1 Corint\xe2\x80\xa6 https://t.co/ClDJWjQLAg"""
936791973611978752,2017-12-02 02:59:45,b'@AjitPaiFCC @TheMediaInst @hankhunt2 @deray The good people from America don\xe2\x80\x99t want this. And perhaps you should hi\xe2\x80\xa6 https://t.co/xb1v2pbdcX'
936791551669297152,2017-12-02 02:58:05,"b'RT @EdKrassen: I\'m beginning to think that if ""The Silence of the Lambs"" was a True Story, and Anthony Hopkins was playing the part of a re\xe2\x80\xa6'"
936791505603215360,2017-12-02 02:57:54,b'@RealPaulWalker A beautiful soul.'
935922797020368897,2017-11-29 17:25:58,"b'@realDonaldTrump You are a pathetic excuse for a human, and an absolute forgery of a president.'"
935922400591478784,2017-11-29 17:24:23,b'@JaydaBF @realDonaldTrump This is sick and unbecoming of the office. This shouldn\xe2\x80\x99t be published by your account!'
935922238620094465,2017-11-29 17:23:44,b'@JaydaBF @realDonaldTrump You are unfit for the office! And mentally unhinged!'
935295121515524096,2017-11-27 23:51:48,"b'RT @EdKrassen: Trump, a white man who deferred military service five times, insults the Navajo Code Talkers who risked their lives serving\xe2\x80\xa6'"
935295063223128064,2017-11-27 23:51:34,"b'RT @GeorgeTakei: Trump just called Senator Warren ""Pocahantas"" at an event honoring Native American veterans. As a follow up, he\'s reprisin\xe2\x80\xa6'"
935295020529274881,2017-11-27 23:51:24,"b'RT @IronStache: It doesn\xe2\x80\x99t matter if the @GOP gives me a $1,000 tax cut if I have to spend an extra $4,000 on healthcare because of their b\xe2\x80\xa6'"
