id,created_at,text
940251246048317440,2017-12-11 16:05:40,b'@realDonaldTrump @nytimes All was alleged was the 8 hours of t.v.; everything else posted is pure crap and lies.'
940074677845688320,2017-12-11 04:24:03,"b""@realDonaldTrump @daveweigel @washingtonpost It's a real legitimate photo, it was just taken earlier.  No apology r\xe2\x80\xa6 https://t.co/TSD19QMHeL"""
940071876985995265,2017-12-11 04:12:55,"b""@realDonaldTrump Why do you continue taking credit for other President's work?  You haven't done anything tk claim\xe2\x80\xa6 https://t.co/U1CdHDcoPu"""
940070629423824901,2017-12-11 04:07:58,b'@realDonaldTrump Why not list now those SPECIAL results as they are agreed to.  Inform America what is so SPECIAL a\xe2\x80\xa6 https://t.co/RkrCBzEst7'
940069744622764032,2017-12-11 04:04:27,"b'@realDonaldTrump This (your) tweet is purposely false, dishonest, and bitter, a stain on the White House.  Major li\xe2\x80\xa6 https://t.co/DZnNH7rL8P'"
939835135435751425,2017-12-10 12:32:12,"b'@realDonaldTrump @CNN You should resign for all the daily mistakes you commit.  It shows how incompetent you are.  You know nothing, Don....'"
939834613186273281,2017-12-10 12:30:07,"b""@realDonaldTrump You can't come up with something better.  FOX is a joke anchored by an insane idiot that loves dem\xe2\x80\xa6 https://t.co/TOH7HWUkir"""
939833753060368384,2017-12-10 12:26:42,b'@realDonaldTrump Your presence and words were an insult to their memory.'
939419956260638722,2017-12-09 09:02:25,"b'@realDonaldTrump Doubt very much ""Big crowd "" expectations in Pensacola.  Probably more security than participants,\xe2\x80\xa6 https://t.co/xSh0KgP2ji'"
939417335386988545,2017-12-09 08:52:00,"b'@realDonaldTrump ""...done so much..."" playing golf every weekend, conducting useless rallies,  hiding your illegal\xe2\x80\xa6 https://t.co/2650svN3kn'"
939415866554269696,2017-12-09 08:46:10,"b'@realDonaldTrump Yes, trump, vote PEDOPHILE Moore!  Why not have a mentally ill child molester in the Senate?   What could go?'"
939414416486940672,2017-12-09 08:40:25,"b'@realDonaldTrump So, you think you are the one called to dispense justice and due process.  You know nothing, Don .'"
939109509674557441,2017-12-08 12:28:49,b'@realDonaldTrump Disgraceful conduct by trump.'
937884382907502593,2017-12-05 03:20:36,"b'@realDonaldTrump Just admitted to knowing Flynn lied to FBI; thus, comitting Obstruction of Justice when next day a\xe2\x80\xa6 https://t.co/H46fGMPwee'"
937882857623752709,2017-12-05 03:14:32,"b""@realDonaldTrump The only system that has been rigged was your  elections, you're an illegal unpopular disgraceful\xe2\x80\xa6 https://t.co/kTcSAH5mEw"""
937881285594419200,2017-12-05 03:08:18,b'@realDonaldTrump Your are one with a child molester and teen abuser. You condone and approve his proven behavior fo\xe2\x80\xa6 https://t.co/bV4GBm9qzk'
937879894163361793,2017-12-05 03:02:46,"b""@realDonaldTrump The Democrats are not going to be complicit in the nation's biggest tax rape to the working class,\xe2\x80\xa6 https://t.co/EyFedhbfVA"""
937878752503193601,2017-12-05 02:58:14,"b'@realDonaldTrump Just a lot of DISTRACTION! If all is great and booming, why we need a tax cut to get jobs back, in\xe2\x80\xa6 https://t.co/s4qRN2uBTS'"
937462310800711680,2017-12-03 23:23:26,b'@VP @POTUS @TheBrodyFile Ignorance is blissful and Pence has a lot to spare.'
937461264778956800,2017-12-03 23:19:17,"b'@realDonaldTrump You have no sense at all, not even common sense.'"
937461016140701697,2017-12-03 23:18:18,"b'@realDonaldTrump You lie all the time, its rigged in your favor.  Maybe when its rigged no more, justice will preva\xe2\x80\xa6 https://t.co/rXBVBY4To7'"
937436669678153729,2017-12-03 21:41:33,"b'@paulsperry_ @realDonaldTrump Breitbart has poison your mind with absurdities, yet to bash trump is all but courage\xe2\x80\xa6 https://t.co/6LHYidCRYB'"
937435949834915842,2017-12-03 21:38:41,"b""@realDonaldTrump You couldn't bring greatness back to anything."""
937435643914924032,2017-12-03 21:37:28,"b""@realDonaldTrump @foxandfriends Conspiracy theories galore.   You're a sick man living in a dimension of lies and p\xe2\x80\xa6 https://t.co/upKk09YMoK"""
