id,created_at,text
940365744461701120,2017-12-11 23:40:39,"b""@MarkDice It's funny that you are just as bad... Labeling an entire population (liberals), because you obviously kn\xe2\x80\xa6 https://t.co/hAkHUUFfCe"""
940361081175887872,2017-12-11 23:22:07,"b""The vote is this Thursday. If you support Net Neutrality, and don't\xe2\x80\xa6 https://t.co/2N1TngWCiw"""
940358614065090560,2017-12-11 23:12:19,b'RT @MarkRuffalo: What\n\n if\n\n the\n\n Internet\n\n was\n\n so\n\n slow\n\n it\n\n loaded\n\n one\n\n word\n\n at\n\n a\n\n time?\n\n Defend #NetNeutrality https://t\xe2\x80\xa6'
940111430816169984,2017-12-11 06:50:06,"b'@starstealer24: ""Sammy, your belly is swallowing your penis.""\nMy husband to our aging, fat doggo.'"
940083305747177474,2017-12-11 04:58:20,"b'@realDonaldTrump It\'s funny how you feel you have a platform to talk about ""gross incompetence"" #adultdaycarecenter\xe2\x80\xa6 https://t.co/btDozMhsvs'"
940080493449461762,2017-12-11 04:47:10,"b""@DonnaWR8 @realDonaldTrump @SecretaryAcosta @USDOL Ha!! \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 I literally can't stop laughing!!! He delivers on NO p\xe2\x80\xa6 https://t.co/XSRBmKj6xa"""
940079893320163328,2017-12-11 04:44:47,"b""@realDonaldTrump @SecretaryAcosta @USDOL I don't give @realDonaldTrump credit for any of this. He's taking credit f\xe2\x80\xa6 https://t.co/GcZ33JTCRO"""
938848299381022720,2017-12-07 19:10:52,"b'RT @ryanstruyk: One word notably missing from Franken farewell speech: ""sorry""'"
938642449253089280,2017-12-07 05:32:53,"b""@TomiLahren You're still on this?? Wake up tiffany... There's much more at stake every single day"""
938586032525623297,2017-12-07 01:48:42,"b'Excellence is a habit, not an accident. -Craig Jessop'"
938224063071137792,2017-12-06 01:50:22,"b'RT @TheTweetOfGod: Country over party, but humanity over both.'"
938213562207449088,2017-12-06 01:08:39,b'@SenateMajLdr Last night you voted to steal money from middle and low class to give to 1%. Last night you voted to\xe2\x80\xa6 https://t.co/WZMLNKYqOn'
938213298897543169,2017-12-06 01:07:36,"b'@SenateMajLdr ""tax relief"" HA. More like, ""in 10 years, you\'ll be paying more taxes than the 1%""\n#TrickleDownEconomics #HOAX #Criminal'"
938212592668905472,2017-12-06 01:04:47,b'SHAME ON YOU @SpeakerRyan @SenateMajLdr  #paulryan #mitchmcconell And shame on all of the #GOPSenate who voted for this #TaxScam'
938212483508011008,2017-12-06 01:04:21,"b""Everybody shame these guys! @PaulRyanSpeaker #paulryan @SenateMajLdr  #mitchmcconell  I'm not even mad at\xe2\x80\xa6 https://t.co/rhqBWgITaQ"""
938202651870687233,2017-12-06 00:25:17,"b'#fuckyou #GOP. Fuck you for your #TaxScamBill that by 2027 will raise taxes for middle and low class, and cut taxes\xe2\x80\xa6 https://t.co/XbdPhZh7YL'"
938180407576555520,2017-12-05 22:56:54,"b""RT @StephenKing: I'm wondering if Alabama voters will elect a man they'd horsewhip, if they caught him messing with their own daughters."""
938180106496778241,2017-12-05 22:55:42,b'@MooreSenate You are disgusting.'
938179617650745344,2017-12-05 22:53:46,"b'RT @TheEllenShow: Alabama, if you support civil rights, LGBTQ rights, and women\xe2\x80\x99s rights, please vote in next week\xe2\x80\x99s special election. #Ala\xe2\x80\xa6'"
938141771111981056,2017-12-05 20:23:22,b'RT @SenSanders: Keep. Your. Word. https://t.co/KypNYrBq82'
937896968675663873,2017-12-05 04:10:37,"b'RT @bryanbehar: Trump attacks the FBI, CIA, the media and the courts. While praising Nazis, Putin, The Confederacy and child molesters.\xe2\x80\xa6'"
937816001554481152,2017-12-04 22:48:53,b'RT @paulkrugman: Remember: the two main means-tested programs in America are Medicaid and SNAP (food stamps). In each case most beneficiari\xe2\x80\xa6'
937455142726545408,2017-12-03 22:54:57,"b""I think it's really silly that @realDonaldTrump talks about football/NFL losing fans and ratings left and right...\xe2\x80\xa6 https://t.co/OEbSmJbVVr"""
937453946918002688,2017-12-03 22:50:12,b'@SpeakerRyan and @SenMajLdr how DARE you talk about cutting #Medicaid to pay for your #TaxScamBill. It is a WEAK ma\xe2\x80\xa6 https://t.co/qnYxYd2T83'
937450730629165056,2017-12-03 22:37:25,"b'RT @SenSanders: Mr. President, keep your promises. Today, get on the phone. Tell Paul Ryan and Mitch McConnell that you will veto any bill\xe2\x80\xa6'"
937395696071729154,2017-12-03 18:58:44,b'RT @ohkayewhatever: I can really only accept Cursed Child if I imagine that Rita Skeeter wrote it.'
937390146449580032,2017-12-03 18:36:41,b'@realDonaldTrump #whataboutism'
937389993588285440,2017-12-03 18:36:04,b'@realDonaldTrump @foxandfriends #whataboutism'
937389878190358528,2017-12-03 18:35:37,b'@realDonaldTrump #whataboutism'
937388906604937216,2017-12-03 18:31:45,b'RT @CookQuentinL: I testify that the Atonement of Jesus Christ covers all of the trials and hardships that any of us will encounter in this\xe2\x80\xa6'
937209119429214208,2017-12-03 06:37:21,"b'Thank you @iamjohnoliver for teaching us #whataboutism . It is now easier to describe the bullshit way our president and GOP ""debate"".'"
937185078328692736,2017-12-03 05:01:49,b'RT @StankSuzette: @realDonaldTrump  https://t.co/d2LyBkofjD'
937184635632590848,2017-12-03 05:00:03,"b'@realDonaldTrump You are seriously the BIGGEST culprit of "" #whataboutism "". Hillary literally has nothing to do wi\xe2\x80\xa6 https://t.co/5ouVQ3YigI'"
936669316199493632,2017-12-01 18:52:22,b'RT @aleenakohlixx: 2017 has been a scooter to the ankle.'
936426530179129344,2017-12-01 02:47:37,b'@realDonaldTrump You know they were refugees right?? The little family had to run to Egypt because they were afraid\xe2\x80\xa6 https://t.co/mVZRWWFw1J'
936265068177645569,2017-11-30 16:06:01,b'Welsh MP Stephen Doughty condemns Donald Trump https://t.co/4nrhT19pjf'
936099872431685633,2017-11-30 05:09:36,"b'@realDonaldTrump Funny how @realDonaldTrump is talking about National Debt when he wants to raise debt ceiling, but\xe2\x80\xa6 https://t.co/RLF3gOpFTH'"
936099209798750208,2017-11-30 05:06:58,b'@realDonaldTrump Funny to hear @realDonaldTrump talk about National Debt when he uses more taxpayer money for ONE v\xe2\x80\xa6 https://t.co/3LEQZedsZP'
936099031595466752,2017-11-30 05:06:15,b'@realDonaldTrump Funny to hear @realDonaldTrump talk about National Debt when he wants to raise debt ceiling TRILLIONS for a wall.'
936098591759769600,2017-11-30 05:04:30,"b""@Bencjacobs LESS people get killed with cars now that there's more regulation: speed limits, seat belts, DUI laws... Etc."""
936098011918114816,2017-11-30 05:02:12,"b'RT @JeffBryanDavis: It almost seems like these days, a president can\xe2\x80\x99t even retweet his favorite racist vids without people getting slightl\xe2\x80\xa6'"
935730382850445313,2017-11-29 04:41:22,b'RT @NancyPelosi: .@realDonaldTrump now knows that his verbal abuse will no longer be tolerated. His empty chair photo opp showed he\xe2\x80\x99s more\xe2\x80\xa6'
935713894798151681,2017-11-29 03:35:51,b'@realDonaldTrump Sure: Shovel more money into a military that is ALREADY bigger and badder than any other nation ca\xe2\x80\xa6 https://t.co/uwAWmze8iG'
935642678166822912,2017-11-28 22:52:52,b'RT @chortlecat: This is important shit.\nFor reals.\n#netneutrality \n https://t.co/N19UtzBhaD'
935577614973943808,2017-11-28 18:34:20,b'@SeanAstin This \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
