id,created_at,text
940074616155906048,2017-12-11 04:23:48,b'@Monachrisluvs1D @delexical @Susan_Hennessey We\xe2\x80\x99re gonna let you paint Merry Christmas on your eggs again!'
940073468422365185,2017-12-11 04:19:15,b'@Susan_Hennessey Does praying to stay out of the rough count?'
940073171285188608,2017-12-11 04:18:04,b'@waltshaub @Susan_Hennessey  https://t.co/UL7qtplkRb'
940071460017618944,2017-12-11 04:11:16,b'@realDonaldTrump @daveweigel @washingtonpost You\xe2\x80\x99re worried about size more than any man I\xe2\x80\x99ve ever heard of in my l\xe2\x80\xa6 https://t.co/mqNqFUWh18'
940068770734784513,2017-12-11 04:00:35,b'@SenBobCorker Your butt buddy in the Oval Office has made bullying fashionable again.'
939984457095962624,2017-12-10 22:25:33,"b'@Evan_McMullin God only made a few perfect heads, the rest he covered with hair.'"
939983134967377920,2017-12-10 22:20:18,b'@AnnKeenan3434 @peplamb @DonaldJTrumpJr Double the likes. I love it!!'
939506783516839936,2017-12-09 14:47:27,b'@USAneedsTRUMP @realDonaldTrump @CNN Know how you can tell this is bullshit? The 52% negative from Fux \xe2\x80\x9cNews\xe2\x80\x9d.'
939287566465077248,2017-12-09 00:16:21,b'@Amy_Siskind Shivil Rishts?'
939287344166916096,2017-12-09 00:15:28,b'@Amy_Siskind It\xe2\x80\x99s like the devil not being able to walk into a church. He will burst into flames'
939136837523791872,2017-12-08 14:17:25,b'@NurseBotez @JonahNRO Blaster is more appropriate in this situation'
939114055251488768,2017-12-08 12:46:53,b'@JonahNRO How much am I getting paid?  Hand me that turkey baster.'
938812926139432960,2017-12-07 16:50:18,b'I\xe2\x80\x99m waiting for members of government to start sexually assaulting each other since most of them have pussys sticki\xe2\x80\xa6 https://t.co/hiVnOXLeCp'
938810174080536582,2017-12-07 16:39:22,b'RT @RepWillBailey: I will follow anyone who RTs this thread to help get word to @SenFranken that we stand with him. United. https://t.co/ZG\xe2\x80\xa6'
938750500698296320,2017-12-07 12:42:15,b'@realDonaldTrump I think it\xe2\x80\x99s time for a visit to the region to address the concerns and explain how this is a bene\xe2\x80\xa6 https://t.co/nBgvR3AgQx'
938465089526599680,2017-12-06 17:48:07,b'The only thing Al Franken should say is that he will resign only if Roy Moore is not seated if he is elected to the\xe2\x80\xa6 https://t.co/CcBxgyznvV'
938196875672457217,2017-12-06 00:02:20,"b""RT @TheTweetOfGod: I know for a fact that Donald Trump has a very small penis.\n\nPlease retweet this enough that he can't help but respond.\xe2\x80\xa6"""
937871047482896385,2017-12-05 02:27:37,b'@NormEisen Does he use the bathroom? I thought he just had his Depends changed.'
937870345608007680,2017-12-05 02:24:49,b'@TheRickWilson I have a feeling Hatch is going to be called \xe2\x80\x9chome\xe2\x80\x9d sooner than later.'
937830028213186560,2017-12-04 23:44:37,b'@RepAdamSchiff @POTUS  https://t.co/gtk4ew6vur'
937680584285081601,2017-12-04 13:50:47,"b'@SarahHuckabee Wow, Sarah, you should be burned as a witch. No one has ever predicted the future this well!'"
937360478187216897,2017-12-03 16:38:47,"b'@realDonaldTrump Two things you never do: drunk dial an ex, rage tweet to millions.'"
937359329551937537,2017-12-03 16:34:14,"b'@amjoyshow @LawProfButler @Cirincione @NatashaBertrand @JamalSimmons @JRubinBlogger @KatonDawson @MSNBC Say it, for\xe2\x80\xa6 https://t.co/PLYhCDw4qJ'"
937188663632556032,2017-12-03 05:16:04,"b'@greggutfeld @greggutfeld is like the idiot uncle at family get togethers. He thinks he\xe2\x80\x99s so funny, tells the lames\xe2\x80\xa6 https://t.co/pKxKPP6HtW'"
937177172934103040,2017-12-03 04:30:24,b'RT @NYGovCuomo: The GOP stayed up through the night to pass an aid package for the wealthy while a third of Puerto Ricans have been without\xe2\x80\xa6'
937080976114581510,2017-12-02 22:08:09,"b'@Avik Darn, all the computers were being serviced by IT. Dumbass'"
937036479200710656,2017-12-02 19:11:20,"b'RT @Ted_Trembley: The GOP just released ANOTHER version of this tax bill, this time with hand-written annotations AND some helpful illustra\xe2\x80\xa6'"
937028844615282688,2017-12-02 18:41:00,b'@realDonaldTrump Is this what you call church when you\xe2\x80\x99re golfing Sunday mornings at Bedminster or now your course\xe2\x80\xa6 https://t.co/L67AHCbAH5'
936991490059964416,2017-12-02 16:12:34,b'@realDonaldTrump When your company gets their huge tax cut and you get your big raise and see less taxes removed fr\xe2\x80\xa6 https://t.co/NeTlJTnbXY'
936990080299913216,2017-12-02 16:06:58,b'When your company gets their huge tax cut and you get your big raise and see less taxes removed from your paychecks\xe2\x80\xa6 https://t.co/TXfgS1DnPv'
936978872171745280,2017-12-02 15:22:26,"b'@BillKristol @PressSec @POTUS I hope he pardons Flynn. Not just because the optics will destroy him, but Flynn has\xe2\x80\xa6 https://t.co/R93xZtYr82'"
936976930016030720,2017-12-02 15:14:42,b'@realDonaldTrump I missed the Bible verse where Jesus said \xe2\x80\x9cGo my followers and grab them by the pussy\xe2\x80\x9d.'
936975534386483200,2017-12-02 15:09:10,b'@MamieLouJ @yesidrum_kcdunn @Michellerose0 @BradIsAFox @realDonaldTrump Is he doing that when he\xe2\x80\x99s being videotaped\xe2\x80\xa6 https://t.co/NEhkZyHQ0g'
936974301848330240,2017-12-02 15:04:16,b'@JohnFlanagan72 @Absentee_Tweep @BassMagic17 @perlmutations  https://t.co/BaO9dIiBta'
936972551342960640,2017-12-02 14:57:19,"b'@perlmutations Once they have Jared over a barrel, will he choose the Trumps or look out for number 1?'"
936572785362702336,2017-12-01 12:28:47,b'@DonaldJTrumpJr \xe2\x80\x9cHis place\xe2\x80\x9d?  You mean Daddy\xe2\x80\x99s house?  Don\xe2\x80\x99t try to find a loophole for assaulting your kid\xe2\x80\x99s teach\xe2\x80\xa6 https://t.co/4iRgGHskMv'
936405531366952960,2017-12-01 01:24:10,b'@kevinjayheldman @AprilDRyan And a partridge in a pear tree \xf0\x9f\x98\x98'
935899629513736195,2017-11-29 15:53:54,"b'@peplamb If you believe in god, you should recognize the Antichrist'"
935338506473431040,2017-11-28 02:44:12,b'@Fuctupmind @realDonaldTrump Poor sport!'
934998074547757056,2017-11-27 04:11:27,b'@JacobAWohl @realDonaldTrump Which states is God registered in? All of them?  Voter fraud!'
934996394317934592,2017-11-27 04:04:46,"b'@MichaelWGaul1 @realDonaldTrump Oh god, another bankruptcy?'"
934124054583365633,2017-11-24 18:18:24,b'@RepBrendanBoyle @tedlieu @tedlieu Time to buy a lottery ticket. Better chances!'
934073890258739200,2017-11-24 14:59:04,b'@happyloner @DonaldJTrumpJr @TheEconomist No Cliffs Notes'
934063360005550080,2017-11-24 14:17:13,b'@realDonaldTrump Only thing I\xe2\x80\x99ve ever agreed with you about! Players ARE the bosses!  There is no product without t\xe2\x80\xa6 https://t.co/6R5nzmUXWb'
933848094743187461,2017-11-24 00:01:50,b'@BillyBaldwin  https://t.co/C24z4OskWF'
933578927414669317,2017-11-23 06:12:16,b'@SarahKSilverman I\xe2\x80\x99d give anything for legal medicinal marijuana. I die a little more everyday. Please advocate for National law.'
