id,created_at,text
940075560394407936,2017-12-11 04:27:34,b'@realDonaldTrump @daveweigel @washingtonpost It was just symbolic of the total brainpower of your supporters.'
933121898782842880,2017-11-21 23:56:11,b'@miikeg47 @codrizzle @StephenAtHome Yeah... not feeling bad for him. Surprised and disappointed. Good Tweet I think.'
931741299438473217,2017-11-18 04:30:11,"b'@PatKessler Pot, kettle, black'"
928054869268758528,2017-11-08 00:21:37,b'@realDonaldTrump You can\xe2\x80\x99t even figure out where your ass is. Please get your head out of it when you do.'
926609399229177856,2017-11-04 00:37:51,b'@realDonaldTrump You are the devil. Stop destroying the country with hatred. Please. #trump'
925024047414603777,2017-10-30 15:38:13,"b'@Corrynmb @realDonaldTrump @POTUS There is that pesky ""Conspiracy against the United States"" charge...'"
925023565858197505,2017-10-30 15:36:18,b'@realDonaldTrump Yes there is'
925023146457161728,2017-10-30 15:34:38,b'@realDonaldTrump Report out that you are a treasonous bastard. Sad'
923326704944283649,2017-10-25 23:13:35,"b'@ColumbiaBugle @realDonaldTrump @LouDobbs @FoxBusiness @POTUS What the hell is the Columbia Bugle? How about the ""Manufactured Times""'"
921067544978579456,2017-10-19 17:36:29,b'#Video_Poker_Plus_HD https://t.co/v3Jbv8oSah'
920324512431919104,2017-10-17 16:23:57,b'@realDonaldTrump Piece by piece you are destroying the Affordable Care Act. You care none. Obama is a million times the man you are!'
919754274892066816,2017-10-16 02:38:01,b'#Video_Poker_Plus_HD https://t.co/6xgUvtDWUI'
918945490372308993,2017-10-13 21:04:12,b'@StephenAtHome you have to open the show from inside a concrete bunker \xf0\x9f\x98\x90'
918564173201670145,2017-10-12 19:48:59,"b'@realDonaldTrump The good of the people does really, really shine. Despite you.'"
917912220650102784,2017-10-11 00:38:22,"b'@JacobAWohl @realDonaldTrump Jacob seriously, the drugs will kill you...'"
917911704532549635,2017-10-11 00:36:18,b'@realDonaldTrump #trump #realdonaldtrump @realdonaldtrump please stay there.'
913497276575776771,2017-09-28 20:14:57,b'@realDonaldTrump Great reviews from your buddies at the club? Is it that one in the hospital though? He may miss the vote again...'
912907677013037056,2017-09-27 05:12:05,b'@realDonaldTrump LOL!! #donotendorsemeplease'
912744317516681217,2017-09-26 18:22:57,b'@realDonaldTrump Delusional or counting on enough people to not see the facts? Backlash is against you. Maybe just\xe2\x80\xa6 https://t.co/l65OypBD9j'
912162054974459904,2017-09-25 03:49:15,b'@lakeshow73  https://t.co/OvrVHKiYvN'
912134613019103232,2017-09-25 02:00:13,b'@realDonaldTrump  https://t.co/V0ZKqA3T1S'
911975611224215552,2017-09-24 15:28:24,b'@realDonaldTrump #trumpsucks you are a fucking moron.'
911364173694685185,2017-09-22 22:58:45,"b'@realDonaldTrump Seriously, you HAVE to go.'"
908526728288587778,2017-09-15 03:03:46,b'@realDonaldTrump Healthcare is a curse?'
908404945082306560,2017-09-14 18:59:50,b'@realDonaldTrump Double whammy for the poor people of Florida'
908404559000858624,2017-09-14 18:58:18,"b""@realDonaldTrump Please don't. Those poor people have been through enough."""
905820457043144705,2017-09-07 15:50:00,"b""@Laqobs @SexyBeast3030 @Scavino45 @POTUS @WhiteHouse @realDonaldTrump No it's not. Ours have more to do with his ab\xe2\x80\xa6 https://t.co/iVZ51NbLeE"""
902319842090524673,2017-08-28 23:59:49,"b""@KevinBooker206 No it's not"""
902239333037563904,2017-08-28 18:39:54,b'@Russostrib Ouch'
901317506517827584,2017-08-26 05:36:53,b'@realDonaldTrump Pardoning an evil racist is to be expected from an evil racist. Arpaio is guilty of violating The\xe2\x80\xa6 https://t.co/eOdQiEySEL'
900943173811228674,2017-08-25 04:49:26,b'@realDonaldTrump Trump is still president. Sad'
900542019461885954,2017-08-24 02:15:23,b'@realDonaldTrump We have zero faith in you. Resign or we WILL see you off to jail!'
900541530150236160,2017-08-24 02:13:26,b'@realDonaldTrump #fuckyou'
900539287384489984,2017-08-24 02:04:31,b'@realDonaldTrump @POTUS Cute that you think the piles of shit and hate that spilled out of your mouth last night we\xe2\x80\xa6 https://t.co/bLz4W3A4t9'
900206303246774272,2017-08-23 04:01:22,"b'@williamlegate @Nazi_Catcher @Impeach_D_Trump @realDonaldTrump ... and now, after tonight, it can only possibly be\xe2\x80\xa6 https://t.co/atKTzCooP4'"
900205360530817024,2017-08-23 03:57:37,b'@realDonaldTrump Stick with that for sure. Save the video to watch over and over in your cell. Tonight in Arizona y\xe2\x80\xa6 https://t.co/4vZCozZ34g'
899430601094291457,2017-08-21 00:39:00,b'@realDonaldTrump Please stay on vacation...'
898921560156901377,2017-08-19 14:56:15,"b'@realDonaldTrump Please keep those decisions to yourselves, COMPLETELY to yourselves as if it was a group of ten ye\xe2\x80\xa6 https://t.co/ykbc9oUnOK'"
898637428663042049,2017-08-18 20:07:13,b'@realDonaldTrump God help us'
895888914115813378,2017-08-11 06:05:36,b'@realDonaldTrump  https://t.co/skxOmpepeY'
895675668511555584,2017-08-10 15:58:14,b'@ProgressPolls @realDonaldTrump #realDonaldTrump Wait! What!!! You are president?! Crap WE ARE SCREWED!!'
895147583760461824,2017-08-09 04:59:49,b'@realDonaldTrump #realDonaldTrump what channel are you watching?'
894932708538941441,2017-08-08 14:45:59,"b""@realDonaldTrump How was Vietnam BTW? Oh that's right. Hope your owie got better."""
894932106350125057,2017-08-08 14:43:35,"b""@realDonaldTrump You don't like them? LOL. Thanks for the reminder to subscribe."""
894931465787645952,2017-08-08 14:41:03,b'@DaysLeft4Trump @foxandfriends @realDonaldTrump Or pending results of multiple nation devastating investigations caused by his actions.'
894930411779915776,2017-08-08 14:36:51,"b'@Optimiser99 @foxandfriends @POTUS An ""enemy of the state"" just retweeted classified information while golfing unde\xe2\x80\xa6 https://t.co/KwpvFVwUQO'"
894929831598706688,2017-08-08 14:34:33,b'@foxandfriends @realDonaldTrump Playing golf and retweeting classified information at the same time. Treason gets e\xe2\x80\xa6 https://t.co/zgNqAg8zbr'
894928732179312642,2017-08-08 14:30:11,b'@Russostrib Wow. A month away!'
894423025722023936,2017-08-07 05:00:41,b'@IvankaTrump @POTUS Get off of our plane!!'
894422650977755138,2017-08-07 04:59:12,b'@IvankaTrump @POTUS Get off of our plane!!!'
894254694125772800,2017-08-06 17:51:48,"b""@Russostrib It's normal for mine..."""
892608318971293697,2017-08-02 04:49:41,"b""@foxandfriends @realDonaldTrump @Suffolk_Sheriff What about Trumps gang. He's firing cops for making that a priority..."""
892607489828454400,2017-08-02 04:46:24,b'@ChrisWarcraft I found him quite entertaining... in a not laughing with him kind of way...'
891399198138130432,2017-07-29 20:45:04,b'@realDonaldTrump Yes #lyinLilDon! Continue to embarrass yourselves!'
891358480241745920,2017-07-29 18:03:16,"b'@realDonaldTrump Keep it up #LyinLilDon, you are doing exactly as I expected...'"
891356916273774593,2017-07-29 17:57:04,b'@chudgr @ChrisWarcraft Not sudden here... \xf0\x9f\x98\x95'
890619454668722177,2017-07-27 17:06:39,b'@peplamb @POTUS @realDonaldTrump #onenationunderGOD You are going to hell. Sorry.'
890431100581027840,2017-07-27 04:38:12,"b'@realDonaldTrump In whatever way we do, to whatever god we see...'"
889520558702043139,2017-07-24 16:20:02,b'@realDonaldTrump Get over the election Little Donny. You won. You are also doing an outstanding job of making sure\xe2\x80\xa6 https://t.co/axPjdZ9OkN'
888512037101461505,2017-07-21 21:32:32,b'@realDonaldTrump Like nothing you manufacture #realdonaldtrump'
888510589655560192,2017-07-21 21:26:46,"b'@realDonaldTrump When you are gone #realDonaldTrump , when you are gone...'"
887805568169242624,2017-07-19 22:45:16,b'@realDonaldTrump You make me laugh daily little Donny! Thank you! Keep dancing and singing the bullshit that happen\xe2\x80\xa6 https://t.co/IQncH67mOD'
887444767864483843,2017-07-18 22:51:35,"b""@realDonaldTrump #realdonaldTrump you realize don't you, that you will be killing your base first?"""
886966457652961280,2017-07-17 15:10:57,"b""@realDonaldTrump #realDonaldTrump it's politics when it is not a foreign government. It's treason when it is. There\xe2\x80\xa6 https://t.co/goq3e2slro"""
886745031738044420,2017-07-17 00:31:05,"b'@realDonaldTrump Please stop ""doing things""!'"
886742942257434628,2017-07-17 00:22:46,b'@realDonaldTrump Actually it is pretty bad #LyinLilDon surprised it is that high though it is the lowest in modern\xe2\x80\xa6 https://t.co/WmnNoYojrT'
886076786618052608,2017-07-15 04:15:43,b'@realDonaldTrump @USGA Keep your hands to yourself #LyinLilDon'
883431509046288385,2017-07-07 21:04:19,b'@realDonaldTrump #LyinLilDon there were no great reviews of your speech in the real world. Like being invaded by US\xe2\x80\xa6 https://t.co/dJldhJGnnb'
883429998467710977,2017-07-07 20:58:19,"b""@realDonaldTrump No #LyinLilDon you won't you will continue to embarrass us AND yourself. Please resign!"""
881293970214719488,2017-07-01 23:30:30,"b'@realDonaldTumpr @tonyposnanski @realDonaldTrump Get over yourself #RealDonaldTrump #LyinLilDon get over yourself,\xe2\x80\xa6 https://t.co/AEWJZeAgAF'"
881292688527642624,2017-07-01 23:25:25,b'@realDonaldTrump #RealDonaldTrump Forget the meds today #LyinLilDon?'
881270671220903937,2017-07-01 21:57:55,"b""@realDonaldTrump Prootected privacy. Why do you want voters names, political affiliation, address, and partial SSN'\xe2\x80\xa6 https://t.co/iLK6ldHEZc"""
880820802287001602,2017-06-30 16:10:18,b'@realDonaldTrump Hmm... I thought you said you cared about people... #LyinLilDon'
880501116445839361,2017-06-29 18:59:59,b'@realDonaldTrump @nytimes #LyinLilDon'
880500852670300161,2017-06-29 18:58:56,b'@realDonaldTrump @nytimes #lyinlildon'
880473374643953665,2017-06-29 17:09:45,b'@realDonaldTrump Continue to show your flat out hatred of women and minorities. Apparently the world needs more pro\xe2\x80\xa6 https://t.co/FDWlKbMSN1'
880320807859343361,2017-06-29 07:03:30,"b""@realDonaldTrump @nytimes Calling @realDonaldTrump would not reveal any facts Lyin' Lil' Don."""
880179901839679488,2017-06-28 21:43:36,"b'@realDonaldTrump Fake Time Magazine covers are Fake news, FOX news is 80% fake news...'"
879944625619861504,2017-06-28 06:08:41,b'@realDonaldTrump Shut your teensie mouth and concentrate on making the small changes necessary in the ACA for it to thrive.'
879726217032847370,2017-06-27 15:40:49,b'RT @StephenAtHome: Good to be back. I learned so much in Russia. Did you know that their leader is ALSO Putin?!'
879612145511649280,2017-06-27 08:07:32,b'@NGioldasis @ta0i5t @Bakarrchod @rakeshojjha @WhiteHouse @POTUS @narendramodi One question: What is a consultation prize?'
879611486947205121,2017-06-27 08:04:55,"b""@WhiteHouse @POTUS @narendramodi Please stop meeting foreign leaders! You're... umm... well, embarrassing us."""
879609544061669376,2017-06-27 07:57:12,"b'@realDonaldTrump ...or stop being a idiot, fix the few flaws in the Affordable Care Act, and actually fund it! But\xe2\x80\xa6 https://t.co/QeOfnaGZhb'"
878135386358243329,2017-06-23 06:19:25,"b""@realDonaldTrump Guess whether or not I give a crap what your child mind hopes Lyin' Lil' Don... It's a mystery... I'll let you know soon."""
877918216378560516,2017-06-22 15:56:28,"b'@realDonaldTrump Again, get over yourself and stop believing your own lies.'"
877917629456957440,2017-06-22 15:54:08,b'@realDonaldTrump Just stop Lyin Lil Narcissistic Donny Child. Get over yourself most of the rest of the country has\xe2\x80\xa6 https://t.co/VLzg1XuBvA'
874668141539979264,2017-06-13 16:41:50,"b""@realDonaldTrump STILL trying to deflect lying lil' criminal Don boy?"""
873201726014320640,2017-06-09 15:34:49,"b""@realDonaldTrump Selective hearing again Lying Lil' Don? #liefilledwhitehouse #lyingdon #trumplies"""
872094710176862209,2017-06-06 14:15:56,b'@realDonaldTrump God help us'
870495749401829376,2017-06-02 04:22:14,"b""@WhiteHouse @POTUS lil' moron"""
870495144859979776,2017-06-02 04:19:50,b'@Lazulu_OFFICIAL @screamlikeharry @ProfessorF Moron'
870359264447123456,2017-06-01 19:19:53,"b""@realDonaldTrump No It is not Lil' Donny!! We will not be distracted from or told what the real story is! You are worse than useless!"""
869714037671645184,2017-05-31 00:35:59,b'@realDonaldTrump Seriously little Donny: Get over yourself.'
869713460787073024,2017-05-31 00:33:42,b'@foxandfriends @realDonaldTrump Try the real news Donny'
865356943791149056,2017-05-19 00:02:27,b'@realDonaldTrump Go to jail. Go straight to jail. Do not pass go.'
865356702694215680,2017-05-19 00:01:30,"b""@realDonaldTrump No it isn't."""
863034312509325312,2017-05-12 14:13:09,"b""@realDonaldTrump Did you watch Clapper's testimony?!!! He sain no such thing! Constantly repeating lies to make the\xe2\x80\xa6 https://t.co/kXrvYf6k63"""
862158904330944512,2017-05-10 04:14:35,"b'@POTUS A drained swamp exposes rotted material, the whitehouse is starting to smell like shit.'"
862158054187565057,2017-05-10 04:11:12,"b'@POTUS Should have waited until Saturday to accelerate your demise, you idiotic worse than useless devil child #saturdaynightmassacre'"
862157041040850944,2017-05-10 04:07:11,"b'RT @tedlieu: If you actually believe @realDonaldTrump fired FBI Director because he was unfair to Hillary, then I have a bridge in Brooklyn\xe2\x80\xa6'"
862071657556561920,2017-05-09 22:27:54,"b'@StephenAtHome The headline: ""Having run out of competent people to fire, Trump turns his attention to Comey""'"
862070718972014593,2017-05-09 22:24:10,"b""@POTUS No he didn't"""
861284702321332225,2017-05-07 18:20:49,b'@realDonaldTrump When will you stop deflecting with flat out lies and irrelevancies?'
792801933606031360,2016-10-30 18:54:45,b'@MarneyGellner How long until they get those in NC?'
787748007332675584,2016-10-16 20:12:15,"b""@realDonaldTrump Tee Hee. Good to see you finally realized that you will lose!\nBut isn't it a little early to start with the excuses."""
776231592683511808,2016-09-15 01:30:08,b'@PAOnTheMic @afansview @CanterburyPark @TigerDTheHorse Found the real problem: https://t.co/rJCJSb8wTw'
761659286355402752,2016-08-05 20:24:59,b'@realDonaldTrump There is absolutely no way we can allow you to become president. Well... Maybe president of hallway 4b in a secure facility'
760826530545094658,2016-08-03 13:15:55,"b'@realDonaldTrump Thanks for acting so idiotic. After your annihilation in Nov, I ask that you go away, and I thank you for the laughs.'"
759483616657281024,2016-07-30 20:19:39,b'@realDonaldTrump Nixon said the same thing dumbass. Wait a minute! He also employed foreign folk to spy on the democrats... Hmmm.'
750105752707227648,2016-07-04 23:15:22,b'@PatKessler love to torment and tease WI--love cheese curds... hmm'
747896150150119424,2016-06-28 20:55:12,b'@Russostrib @kevinoDandC @DandC Mexico City!'
667870079283912708,2015-11-21 01:00:09,b'@kevinargue just unlocked the Graduate achievement in Trivia Crack https://t.co/8BUnIsj4gX https://t.co/50Qvp3nMyc'
634426164036128774,2015-08-20 18:05:59,b'@PAOnTheMic must include online... Dan has a good show but hard to believe every Minnesotan is listening to it...'
634424678988144640,2015-08-20 18:00:05,b'@CommonManKFAN  Funny Glen!'
575380981961519104,2015-03-10 19:41:30,b'@brikeilarcnn Mind if we all take a look at ALL of your e-mails? Find a real story please! You seem so smart...'
