id,created_at,text
940061545400168448,2017-12-11 03:31:52,"b""@realDonaldTrump Always about you, isn't it."""
939488982097911808,2017-12-09 13:36:42,"b""@realDonaldTrump Sounds like they are getting close, hu? We are planning a Dump Trump party. Can't wait!"""
924294604651974658,2017-10-28 15:19:40,b'@realDonaldTrump Omg you are so childish'
922968009538457600,2017-10-24 23:28:16,b'@realDonaldTrump Well not everyone was standing.  FAKE TWEET'
922908793352093703,2017-10-24 19:32:57,b'@realDonaldTrump @USUN @UN @WhiteHouse @nikkihaley Nobody cares you are trying to distract. I PROMISE you this is n\xe2\x80\xa6 https://t.co/2v51PTjiMD'
922905627969585152,2017-10-24 19:20:23,b'@realDonaldTrump @USUN @UN @WhiteHouse @nikkihaley Please stop tweeting listen to Jeff Flake. YOUR REAL NEWS'
919291971109257217,2017-10-14 20:01:00,"b'@realDonaldTrump Why don\'t u in your all about ME news conferences say-  the bad news is if ""I"" do this then America will????""'"
919291375958609921,2017-10-14 19:58:38,b'@realDonaldTrump Why does the news and America put up with Trump lies?  It makes no sense.'
919291093023420416,2017-10-14 19:57:30,b'@realDonaldTrump HELP! Please explain why the news only reports on Trump lies but never does anything?'
919289419785555968,2017-10-14 19:50:51,b'@realDonaldTrump I really gave grown less fond of you. U R listening to people who share what you think. Which is w\xe2\x80\xa6 https://t.co/ZumgLSmVXu'
906144391852589057,2017-09-08 13:17:13,b'@cnnbrk Headed north now nearly 24 hours to GA from FL! Southbound packed with service trucks heads to FL- thanks GA https://t.co/76qcim72uC'
903369524434620417,2017-08-31 21:30:53,b'RT @adamcbest: @realDonaldTrump 45 used Harvey as cover to pardon criminal Sherrif &amp; push military ban on trans community. While heroes sav\xe2\x80\xa6'
894986153610424321,2017-08-08 18:18:21,b'@realDonaldTrump My first tweet ever- please POTUS focus on NK my family is officially afraid of you'
894985541199986688,2017-08-08 18:15:55,b'@realDonaldTrump my first tweet EVER @realDonaldTrump please focus on NK my family is officially afraid of you'
651966917645725696,2015-10-08 03:46:40,"b""I've just received a bunch of #clashofclans gems - you can too! http://t.co/oHPs5qR8rb"""
420998958219923456,2014-01-08 19:22:28,b'Need help to move your classroom online? http://t.co/l1tMKu6lSq'
30963360413523968,2011-01-28 12:20:15,b'Search on after mysterious disappearance of Michigan mother - http://bit.ly/fhNDeW #cnn'
