id,created_at,text
940055713660878850,2017-12-11 03:08:42,b'@realDonaldTrump @USArmy @USNavy you were chicken'
940054528958664704,2017-12-11 03:03:59,b'@Blueneptune180 @dianasoletti @realDonaldTrump will they be throwing candy to these trained seals?'
940054138234081282,2017-12-11 03:02:26,"b'@realTomShae @realDonaldTrump love to see him run, but then again he might not make 2018'"
940053881786064898,2017-12-11 03:01:25,"b'@RuthieRedSox @realDonaldTrump where have you been traitor, we always said it ...sad sack'"
940053655465558016,2017-12-11 03:00:31,b'@carrieksada @realDonaldTrump @POTUS @CarmineZozzora @InTheYear1611_ @michaelbeatty3 @steph93065 @Braveheart_USA\xe2\x80\xa6 https://t.co/TpvmR82CE9'
940053401135562752,2017-12-11 02:59:30,b'@peplamb nope you are a traitor.'
940053164253839360,2017-12-11 02:58:34,b'@TheRynheart @realDonaldTrump can you imagine that breath.... yuck'
940052955725676544,2017-12-11 02:57:44,b'@realDonaldTrump we can get along without the first traitor'
940052514883321858,2017-12-11 02:55:59,"b""@realDonaldTrump can't wait for impeachment"""
940051977160990725,2017-12-11 02:53:51,b'@realDonaldTrump serial liar trump\nyou and roy out to share a cell'
940051684062937088,2017-12-11 02:52:41,b'@realDonaldTrump pot call kettle black   part 50'
939196456115851267,2017-12-08 18:14:19,"b'All together now Alabama, ""Give Us Barabbas  ""     Again !'"
925711926608453634,2017-11-01 13:11:36,"b'@realDonaldTrump And attacked during the Trump Presidency, lets start counting them up.'"
925542731262365696,2017-11-01 01:59:17,b'Ill bet Donald J Trump could teach that Manafort guy a thing or tow about Russian money laundering.'
925541458236575746,2017-11-01 01:54:14,"b'@Jason2CD Life is just a bowl of cherries on the Washington gravy train , right Jason.'"
922970147526250497,2017-10-24 23:36:45,b'@realDonaldTrump How great tho art.'
922969552631271424,2017-10-24 23:34:23,"b'@realDonaldTrump Yes , very Trump like Id say.'"
919973406644285441,2017-10-16 17:08:47,b'@realDonaldTrump Petty BS'
919973182873985025,2017-10-16 17:07:53,b'@realDonaldTrump BS is what your good at.'
919972890321309696,2017-10-16 17:06:43,"b""@realDonaldTrump Just think what will happen after the impeachment, can't wait."""
919972599781879808,2017-10-16 17:05:34,"b""@realDonaldTrump Lol i am betting you won't be running either, afraid you'll loose."""
915265133974310913,2017-10-03 17:19:47,"b'@hardball I wonder , did he bring The Presidents Cup, the new traveling disaster trophy ? What a total jerk.'"
915249127788826624,2017-10-03 16:16:11,b'The man is insane.'
914659691594174464,2017-10-02 01:13:58,b'What more proof does anyone need that Donald Trump is mentally ill.'
914342362280755200,2017-10-01 04:13:01,b'@realDonaldTrump pussy.'
914342158848679938,2017-10-01 04:12:12,b'@realDonaldTrump Bring your own towels.'
914341982247505921,2017-10-01 04:11:30,"b""@realDonaldTrump can't wait t see what stupid hat you wear, don't forget your clubs!"""
914341405740486656,2017-10-01 04:09:13,"b""@realDonaldTrump stick it idiot. I'll be sitting till we get rid of you."""
910257093273374720,2017-09-19 21:39:37,b'@realDonaldTrump More Trump BS'
909797895716696064,2017-09-18 15:14:56,b'@RepChrisCollins @POTUS Freezing hiring at the VA yep he;s doing just great.'
909797417704402945,2017-09-18 15:13:02,"b'@RepChrisCollins trump is just a funny guy, and so apparently is nuclear war, I see you skipped the Viet Nam war, But lifelong Boy Scout lol'"
909607077462646784,2017-09-18 02:36:41,b'@BriGuy75 @ManMountain78R3 @JrcheneyJohn @jojoh888 @DineshDSouza @StacyLStiles @AmericanHotLips @LeahR77 @hrenee80\xe2\x80\xa6 https://t.co/6cJL7VOzF9'
909605939841568768,2017-09-18 02:32:10,b'@onpointjohn @Trigrrd_tweetr Are you that stupid ?'
909605698354413568,2017-09-18 02:31:12,b'@alexmf7100 You go Alex'
909605508021186565,2017-09-18 02:30:27,"b'@StephanieMinkos hey Steph do a little research, this issue was decided in 1943. Automatically stupid.'"
909604922794168320,2017-09-18 02:28:07,b'@Rosecamille_ nice!'
909604786982486017,2017-09-18 02:27:35,"b""@wolfe_gunnar Love to when we see the children of the rich fighting our wars, but that's not gonna happen."""
909603992312918016,2017-09-18 02:24:26,"b'@BringtheFlag Sorry charlie, its his right. End of story, do you get it ? No more discussion, its the law fool.'"
909603365151232000,2017-09-18 02:21:56,"b""@NicoleSerenah really don't need your respect, its a constitutional right, if you don't get that, I have no respect fro you."""
909602347713777664,2017-09-18 02:17:53,b'pretty scary when young children stand up for their rights and adults hide behind a pledge like all is well. Congrats to the young man.'
909600417289555968,2017-09-18 02:10:13,"b""@realDonaldTrump Oh ya you've got him on the run now, comrade Trump."""
909599731466334208,2017-09-18 02:07:30,b'@Jason2CD Have you ever seen a politician kiss his own behind as much as Jason Lewis ?'
