id,created_at,text
940044428697223170,2017-12-11 02:23:51,b'@realDonaldTrump @PhilBryantMS You know so little about the United States.  Statistic show that the state is one of\xe2\x80\xa6 https://t.co/vLSnndjNIl'
940043731402555392,2017-12-11 02:21:05,"b'@realDonaldTrump As a narcissist you have proved to the world, how America has made its worst choice for a Presiden\xe2\x80\xa6 https://t.co/AribvREjjS'"
940043214534230017,2017-12-11 02:19:02,b'@realDonaldTrump The biggest lie and Fake NeWS out there is that you actually care for the 99% and want to make Ame\xe2\x80\xa6 https://t.co/aABYU4olDQ'
939150906079227907,2017-12-08 15:13:19,b'@realDonaldTrump Why was the Hanukah celebration held in the White House two weeks early? Because @realDonaldTrump\xe2\x80\xa6 https://t.co/kMULB2g0lG'
937388727973961730,2017-12-03 18:31:03,"b""@navajojoe78 @francisco_sam @realDonaldTrump How do you define good?  Perhaps you're living in Alice's Wonderland w\xe2\x80\xa6 https://t.co/fDdrPGvGKQ"""
937387817151422465,2017-12-03 18:27:26,b'@realDonaldTrump 99.9% of the immigrants are far better people and citizens than you Donald J Trump.  You are the w\xe2\x80\xa6 https://t.co/5P5BSXCagS'
937385613640261632,2017-12-03 18:18:40,"b""@glamourizes @realDonaldTrump Your MAGA seems to stand for Make America Greedy Again, 'cause with Trump as the dear\xe2\x80\xa6 https://t.co/e3EZdkIxut"""
937384967142768641,2017-12-03 18:16:06,"b""@realDonaldTrump If anybody's reputation is in tatters (lowercase needed, not uppercase) it is yours and not that o\xe2\x80\xa6 https://t.co/NCSMP6PC8g"""
935986837822287872,2017-11-29 21:40:26,"b""@realDonaldTrump You're up next for firing for uncalled for sexual behavior.  How does Melania put up with you.  Si\xe2\x80\xa6 https://t.co/U1fKw7pAnW"""
935986228905816070,2017-11-29 21:38:01,"b""@realDonaldTrump I've think you've got that wrong.  The American public is fed up with your tweets. They also reali\xe2\x80\xa6 https://t.co/VGJr6Mdc7x"""
935985189771202561,2017-11-29 21:33:53,"b""@realDonaldTrump I hope you didn't break your arm patting yourself on the back.  Nobody likes a narcissist and that\xe2\x80\xa6 https://t.co/0aXote76O0"""
934507544093057024,2017-11-25 19:42:15,"b""@realDonaldTrump How come the Chinese didn't arrest you or other members of your family during your China visit.  Y\xe2\x80\xa6 https://t.co/VLSW0hd6K0"""
934507068161253377,2017-11-25 19:40:22,"b'@realDonaldTrump You are a hateful person lacking in compassion and good sense.  The sooner you resign, the better\xe2\x80\xa6 https://t.co/Gjgmg3ICVv'"
933092580291571714,2017-11-21 21:59:41,"b""@realDonaldTrump @FLOTUS Is this because you hope to be pardoned for all the evil you've done to the United States\xe2\x80\xa6 https://t.co/mmcvWXK0I3"""
