id,created_at,text
940085756273369088,2017-12-11 05:08:04,b'@realDonaldTrump Shouldn\xe2\x80\x99t you be doing something besides tweeting all night?'
940085509639905280,2017-12-11 05:07:06,"b""RT @dvn2112: @realDonaldTrump Did you think up that wicked zinger all by yourself? That's not bad for a simpleton with a tenuous grasp on b\xe2\x80\xa6"""
940085361509769217,2017-12-11 05:06:30,b'RT @randalleclayton: @realDonaldTrump Dont you have a real job to be doing right now?'
940085033749979136,2017-12-11 05:05:12,"b'RT @MuslimIQ: God almighty this is depressing\xf0\x9f\x98\x93\n\n""When scientists say bears are going extinct, I want people to realize what it looks like,""\xe2\x80\xa6'"
937038814803095552,2017-12-02 19:20:37,b'RT @south_sab: We will be contacting the relevant authorities to ensure this is dealt with. It is disgusting that hate crimes and discrimin\xe2\x80\xa6'
937038746087837697,2017-12-02 19:20:21,b'RT @south_sab: My friend was refused service at a McDonalds today in London because she was wearing a Hijab. When she started recording the\xe2\x80\xa6'
936256777464762369,2017-11-30 15:33:05,b'@sankrant @NissarGuru I would love to hear your thoughts on the rampant rape that some Indian men seem to perpetrat\xe2\x80\xa6 https://t.co/E5yoIAWC3m'
936253154433302531,2017-11-30 15:18:41,b'@Ameermasudsyria @fish323 @KashifMD @realDonaldTrump Alhamdulillah! Thank you for pointing this out.'
936251692475174913,2017-11-30 15:12:52,b'@realDonaldTrump @theresa_may No we aren\xe2\x80\x99t doing just fine when a man such as you is our president. There\xe2\x80\x99s nothing\xe2\x80\xa6 https://t.co/BqHoLEU1qW'
936052846079946753,2017-11-30 02:02:44,"b'@TheMuslimGuy I have your book sir, and it is powerful!'"
936052155626160128,2017-11-30 01:59:59,b'@kaitlancollins @MannySchewitz Hahahahahaha'
935124062682189825,2017-11-27 12:32:04,"b'@MuslimIQ Ahh yes, the Korma! Who doesn\xe2\x80\x99t love reading the korma?'"
935122981877174272,2017-11-27 12:27:47,"b'@realDonaldTrump @FoxNews Of course, that\xe2\x80\x99s because you\xe2\x80\x99re just perfect in all ways right? Ugh!'"
930380476388446208,2017-11-14 10:22:45,b'@drnevzattarhan This evil witch is why America is finished'
897053916529127424,2017-08-14 11:14:54,b'@SethAbramson Grotesque'
891087868436807682,2017-07-29 00:07:58,b'@BKotulski Can you possibly think that Jesus (peace be upon him) would approve of the disgusting behavior of Trump?'
891086404515749889,2017-07-29 00:02:09,"b""@christineufukun Forget Hilary, she's history. Trump has to take responsibility for his own behavior"""
891085958187241474,2017-07-29 00:00:22,"b'@Americalover7 What in the world is ""the real America?""'"
891085683334447108,2017-07-28 23:59:17,b'@MDBlanchfield Trump is only aware of himself.'
891085438441619456,2017-07-28 23:58:18,"b""@conserv44110594 I wish he'd been successful. Netanyahu is a monster"""
891084825825857536,2017-07-28 23:55:52,b'@PatrickGMcBrid1 Ugh'
891084277756166144,2017-07-28 23:53:42,"b""@realDonaldTrump You're despicable"""
883794469216235520,2017-07-08 21:06:36,"b""@TrumpSource @realDonaldTrump If this is a parody, I'll be so relieved. No one can be this far gone."""
