id,created_at,text
940388610263650305,2017-12-12 01:11:30,"b""@realDonaldTrump @nytimes Don't watch any of these either.  Fake news..."""
940053517087019010,2017-12-11 02:59:58,b'@realDonaldTrump   Social Security raises were a joke. Everyone either stayed the same or went lower in their check\xe2\x80\xa6 https://t.co/ASEmEqZV23'
940052731875565568,2017-12-11 02:56:51,"b""@realDonaldTrump The people know...we don't watch it !"""
940052248427560962,2017-12-11 02:54:56,b'@realDonaldTrump so wonderful for middle America .  Thank you !'
940051911587250176,2017-12-11 02:53:35,b'@realDonaldTrump Keep tweeting.  We always know and read what you are doing. Love you.'
940051547345469440,2017-12-11 02:52:08,b'@realDonaldTrump Our politicians for years have put illegals above our own citizens in every area of government.  D\xe2\x80\xa6 https://t.co/p9WUBhCyOg'
940050389650489344,2017-12-11 02:47:32,b'@realDonaldTrump @daveweigel @washingtonpost Fake news....grrrrrrr'
940050117398114304,2017-12-11 02:46:27,b'@realDonaldTrump @USArmy @USNavy Prayers and love for all our military.'
940049863781203968,2017-12-11 02:45:27,b'@realDonaldTrump Preserve our history....learn our history....my prayer for the children growing up.'
940049134429413376,2017-12-11 02:42:33,b'@realDonaldTrump yes...least trusted...lol'
940048836692664320,2017-12-11 02:41:22,b'@realDonaldTrump Vote Moore...Keep liberal dems out.'
940048618475503616,2017-12-11 02:40:30,"b""@realDonaldTrump Yes, we know what's going on.  Love everything you are doing."""
939330915079213056,2017-12-09 03:08:36,b'@realDonaldTrump   Speech tonight was so so good. LOve you Donald Trump...and thank the Lord for you !!!'
939330408428208128,2017-12-09 03:06:35,"b'@realDonaldTrump @FoxNews your speech was wonderful.  You are loved, loved, loved !!!  Greatest President in my 82 years.'"
939328877977067520,2017-12-09 03:00:31,b'@realDonaldTrump I sure will be watching.  Thank you for coming to Florida.'
939328539509260288,2017-12-09 02:59:10,"b'@realDonaldTrump So, So wonderful....'"
938934585223770112,2017-12-08 00:53:44,"b""@realDonaldTrump   Replace Sessions if he doesn't do something about Mueller.  That's part of the swamp..."""
938933961677574144,2017-12-08 00:51:15,b'@realDonaldTrump so wonderful...thank you...'
938933637495558144,2017-12-08 00:49:58,"b'@realDonaldTrump ""Lets remember Pearl Harbor"".......ALWAYS !!!'"
938933194287734785,2017-12-08 00:48:12,b'@ChuckGrassley @realDonaldTrump Because President Trump is a REAL leader !!!'
938651518256939009,2017-12-07 06:08:55,b'@realDonaldTrump Thank you...it took a strong leader...YOU !  We are blessed to have you as our President !!'
938651100307214337,2017-12-07 06:07:16,b'@realDonaldTrump @WhiteHouse Wonderful decision....and a great man to stand up and do it....our President Donald J.\xe2\x80\xa6 https://t.co/6ZkWSgOeCl'
938650433576493058,2017-12-07 06:04:37,b'@realDonaldTrump Prayers for all...devastating fires...'
938650111491665920,2017-12-07 06:03:20,b'@Scavino45 @realDonaldTrump Build that wall....'
938231933066186753,2017-12-06 02:21:39,"b""@realDonaldTrump   Something should be done on Mueller....he's out to get you.  Why doesn't Sessions do something.  Praying for you."""
938231467859218433,2017-12-06 02:19:48,b'@realDonaldTrump I will be watching...Love my President !!'
937857750897438720,2017-12-05 01:34:47,b'@SpeakerRyan ..Trump is doing what REAL America wants.  Back him all the way.'
937857299015700482,2017-12-05 01:32:59,b'@realDonaldTrump   Stay strong dear President..love and prayers for you !!'
937856960644485120,2017-12-05 01:31:38,"b""@realDonaldTrump @foxandfriends Stay alert...the swamp is out to get you...there's so much corruption."""
937856449023234051,2017-12-05 01:29:36,b'@realDonaldTrump thank you...'
937856191824265218,2017-12-05 01:28:35,b'@realDonaldTrump Absolutely....in every item you mentioned...'
937855900727029766,2017-12-05 01:27:25,b'@realDonaldTrump corruption from within..'
937855405409087489,2017-12-05 01:25:27,b'@realDonaldTrump @ABC wow....'
937855145857167360,2017-12-05 01:24:25,b'@realDonaldTrump needs new leaders for sure...part of the swamp..'
937854762833403904,2017-12-05 01:22:54,b'@realDonaldTrump just a terrible decision...so bad.'
937853988384464896,2017-12-05 01:19:49,b'@paulsperry_ @realDonaldTrump Clinton should be prosecuted.'
937853374132817920,2017-12-05 01:17:23,b'@PressSec @realDonaldTrump just wonderful !!!!'
937853228988948480,2017-12-05 01:16:48,"b""@realDonaldTrump They are out to get you.  I can't help but think of Watergate."""
937157250283720704,2017-12-03 03:11:14,b'@realDonaldTrump @ABC Good..'
937157098428870658,2017-12-03 03:10:38,b'@realDonaldTrump We certainly are wondering when the hammer will fall ???'
937156819549589504,2017-12-03 03:09:31,"b""@realDonaldTrump Hillary should be on the hot seat NOW !!  She's corrupt to the core.."""
937156428950917120,2017-12-03 03:07:58,b'@realDonaldTrump just beautiful....Love Melania....'
937155963286622208,2017-12-03 03:06:07,b'@realDonaldTrump Finally...something for the American working man...thanks to you !!!'
936826046275510272,2017-12-02 05:15:09,b'@realDonaldTrump Thank you for this information...'
936825754272141312,2017-12-02 05:13:59,b'@realDonaldTrump so good for we the people...'
936825572260331520,2017-12-02 05:13:16,b'@realDonaldTrump that omission is so wrong...'
936825161801596929,2017-12-02 05:11:38,b'@realDonaldTrump yes...build the wall..'
936824946591854592,2017-12-02 05:10:47,b'@realDonaldTrump totally a disgrace...'
936408501651496961,2017-12-01 01:35:59,b'@realDonaldTrump Awww so wonderful....God bless you and your wonderful family.  Merry Christmas !!'
936407447547383808,2017-12-01 01:31:47,b'@realDonaldTrump Wow !!!'
936407341792194561,2017-12-01 01:31:22,b'@realDonaldTrump @WhiteHouse Doing good dear President...'
936406942599311366,2017-12-01 01:29:47,b'@realDonaldTrump Wow...unbelievable !!'
936406697509257216,2017-12-01 01:28:48,b'@realDonaldTrump Rocket man is a whacko.....'
936406428297957383,2017-12-01 01:27:44,b'@realDonaldTrump @nytimes we are happy with new tax plan.'
936406099112202241,2017-12-01 01:26:26,b'@realDonaldTrump lol....he sure did...he did everything to bring our country down...'
936064812131512320,2017-11-30 02:50:17,b'@realDonaldTrump    Love and prayers...stay strong !!!'
936064632548155393,2017-11-30 02:49:34,"b""@realDonaldTrump Clinton's are corrupt !!"""
936064167571845121,2017-11-30 02:47:43,b'@realDonaldTrump the dems better realize we the people know and want this tax break !!'
936063837886967808,2017-11-30 02:46:24,b'@realDonaldTrump @FoxNews part of the swamp...let them drain...'
936062734990565381,2017-11-30 02:42:01,b'@realDonaldTrump Democrats should not ruin this !!'
936062492140343299,2017-11-30 02:41:03,b'@realDonaldTrump YES YES YES'
936062230331908098,2017-11-30 02:40:01,b'@realDonaldTrump All Americans need that tax break....democrats should not spoil  this for we the people.'
936061672464224256,2017-11-30 02:37:48,b'@realDonaldTrump @JBA_NAFW thank you for making America first...'
936061427458207744,2017-11-30 02:36:50,b'@realDonaldTrump so good...'
936061182011674624,2017-11-30 02:35:51,b'@realDonaldTrump thank you...'
936060966311165952,2017-11-30 02:35:00,b'@realDonaldTrump hmmmmm ???'
936060725495287809,2017-11-30 02:34:02,b'@realDonaldTrump And Bill Clinton...'
936060139546824704,2017-11-30 02:31:43,b'@realDonaldTrump we love you..'
936060025017065473,2017-11-30 02:31:15,b'@realDonaldTrump never watch MSM'
936059806812688385,2017-11-30 02:30:23,b'@JaydaBF @realDonaldTrump terrible'
936059700315148288,2017-11-30 02:29:58,b'@JaydaBF @realDonaldTrump grrrrrrr'
936059363416002562,2017-11-30 02:28:38,"b""@realDonaldTrump @foxandfriends and it's all because of our great President...Donald J. Trump !!"""
936056859718574080,2017-11-30 02:18:41,b'@realDonaldTrump yes..'
936056747894231040,2017-11-30 02:18:14,b'@realDonaldTrump wonderful...'
936056617132609537,2017-11-30 02:17:43,b'@realDonaldTrump thank you Mr. President...'
936056487109152768,2017-11-30 02:17:12,b'@realDonaldTrump @TuckerCarlson @seanhannity Keep after them...Hillary is corrupt.'
936056261518483456,2017-11-30 02:16:18,b'@realDonaldTrump We do not...nor...can we afford all this illegal immigration.'
935665289471168512,2017-11-29 00:22:43,b'@realDonaldTrump   Tell Obama and Hillary to stop shadowing you to China etc.   Who the heck do they think they are ?????'
935664346755190785,2017-11-29 00:18:58,b'@realDonaldTrump economy growing....so good.'
935663424771690496,2017-11-29 00:15:18,b'@realDonaldTrump Chuck and Nancy are losers...'
935663204390326272,2017-11-29 00:14:26,b'@FLOTUS @realDonaldTrump @WhiteHouse America got a great gift when Melania was made First Lady !!!  Love you !!'
935662535721799681,2017-11-29 00:11:46,b'@FLOTUS @realDonaldTrump @JBA_NAFW @WhiteHouse Love these pics of our dear First Lady.  She is a real winner and ou\xe2\x80\xa6 https://t.co/ssIcVWee6S'
935661929749770242,2017-11-29 00:09:22,"b'@realDonaldTrump Melania is a superb First Lady.   She handles everything she does with love, class, and a totally sweet spirit.'"
935660468886278145,2017-11-29 00:03:34,"b""@realDonaldTrump you are so right ....it's a disgrace and we the people are fed up with all their nonsense."""
935660027670618113,2017-11-29 00:01:48,b'@realDonaldTrump Thank you Rand Paul...'
935659742013337600,2017-11-29 00:00:40,b'@realDonaldTrump You are a great President...everything looks positive..'
935659386856407042,2017-11-28 23:59:16,"b""@realDonaldTrump Don't the libs get it.....we are thankful for any cuts...something is better than nothing which is what the libs offer..."""
935658312250650624,2017-11-28 23:54:59,"b""@realDonaldTrump Don' watch any of MSM...except Fox.."""
935657697105645569,2017-11-28 23:52:33,b'@realDonaldTrump true....lol'
935657500048809986,2017-11-28 23:51:46,b'@realDonaldTrump Hope it goes through...'
934963349116346368,2017-11-27 01:53:27,b'@FLOTUS   We the people love you dear Melania.  So proud you are our First Lady !!'
934962177722724352,2017-11-27 01:48:48,b'@realDonaldTrump so good !!'
934962047904776192,2017-11-27 01:48:17,b'@realDonaldTrump @FoxNews CNN is not what America represents..'
934961653187334144,2017-11-27 01:46:43,"b""@realDonaldTrump @WSJ @CFPB what isn't a complete disaster in Washington ???  lol"""
934961259866402816,2017-11-27 01:45:09,b'@realDonaldTrump Needed for sure.'
934222044614492160,2017-11-25 00:47:47,"b""@realDonaldTrump good...we all know you are person of the year.  Don't need Time Magazine to tell us.  You are loved !!!"""
934221258979504133,2017-11-25 00:44:39,b'@realDonaldTrump enjoy yourself....you do too much !!  Maybe it will rub off on Congress.   lol'
934220911221379074,2017-11-25 00:43:16,"b""@realDonaldTrump Thank you for trying to clean up Obama's mess."""
934220419955154945,2017-11-25 00:41:19,b'@realDonaldTrump Thank you and all your family.  Have a wonderful Thanksgiving weekend.'
934219740926676993,2017-11-25 00:38:37,b'@realDonaldTrump @USCG We are all so Thankful for your service..'
933522102958911488,2017-11-23 02:26:28,b'@realDonaldTrump   Blessings to all the Trump family on this wonderful Thanksgiving time.  Love and prayers for you all.'
933521505178316801,2017-11-23 02:24:05,b'@realDonaldTrump Praying they find them and can do something in time.'
