id,created_at,text
940389588316631040,2017-12-12 01:15:24,b'@SethAbramson Give us a head up on the Seth Rich lawsuit! It seems to me a clear case of obstruction and the collus\xe2\x80\xa6 https://t.co/Zl23jVHiYH'
940388810113810432,2017-12-12 01:12:18,b'@SethAbramson Congress finally waking up? Great wok! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
940387682005417986,2017-12-12 01:07:49,"b'@SethAbramson Is the SETH RICH conspiracy theory ( hacker inside DNC job, not Russia) being investigated by either\xe2\x80\xa6 https://t.co/VOLWIoiavt'"
940373597817892864,2017-12-12 00:11:51,"b'@realDonaldTrump Time to make YOU ACCOUNTABLE for all LIES and INTENTIONALLY MISLEADING TWEETS, such as FAKE VIDEOS\xe2\x80\xa6 https://t.co/8NKChJWRNT'"
940368665400233985,2017-12-11 23:52:15,b'@oliverdarcy @Acosta @PressSec @BrianRoss ABC held @BrianRoss accountable for not following HIGH STANDARD of MSM re\xe2\x80\xa6 https://t.co/10rBhwqOf3'
940364568433393664,2017-12-11 23:35:58,b'@oliverdarcy @Acosta @PressSec @BrianRoss Why not question AGAIN @PressSec about FAKE VIDEOS INTENTIONALLY posted b\xe2\x80\xa6 https://t.co/qqOSL3Ax42'
940361151510142976,2017-12-11 23:22:24,b'@SenGillibrand Fight for unseal of his divorce papers including IVANA\xe2\x80\x99s UNDER OATH TESTIMONY! Americans have the ri\xe2\x80\xa6 https://t.co/nmQmsr0aTC'
940357960425000961,2017-12-11 23:09:43,b'@CNNSitRoom @CNN MSM should fight for the unseal of divorce papers NOW! EXPOSE who is the LIAR! TIme to make\xe2\x80\xa6 https://t.co/zWQH2tV0vl'
940357351978172417,2017-12-11 23:07:18,b'@realDonaldTrump @nytimes @CNN @nytimes @msnbc others should  EXPOSE your ABUSE of WOMEN &amp;FILE to UNSEAL DIVORCE PA\xe2\x80\xa6 https://t.co/BhGpR6btal'
940290124369350657,2017-12-11 18:40:10,b'@realDonaldTrump @nytimes If you called him \xe2\x80\x9cdumbest man... \xe2\x80\x9c is because you WATCH HIM!\xf0\x9f\x99\x84Could have stayed quiet on\xe2\x80\xa6 https://t.co/jLhQvU7tUb'
940288522455527424,2017-12-11 18:33:48,"b'@MooreSenate ALABAMA, DON\xe2\x80\x99T VOTE  for man that will  BE EXPELLED from SENATE&amp; pleads to support President that will\xe2\x80\xa6 https://t.co/NRyOlSI3EP'"
940283968183730176,2017-12-11 18:15:42,b'@CNN Planning for a strategic \xe2\x80\x9cflee\xe2\x80\x9d from MUELLER JUSTICE!\xf0\x9f\x98\x82'
940282377120747520,2017-12-11 18:09:22,"b'@RiskOfRuin256 @MooreSenate Considering the FACTS that came out, this is a VERY CREEPY AD!... \xf0\x9f\x98\xb1\xf0\x9f\x98\xb0'"
940280783448756224,2017-12-11 18:03:03,b'@MooreSenate AMERICA will NEVER BE SAFER w/ an @pOTUS that has NO JUDGEMENT and it is making AMERICA A JOKE around\xe2\x80\xa6 https://t.co/kljUdso6kV'
940279033480318976,2017-12-11 17:56:05,b'@MooreSenate .@realDonaldTrump NOT implementing HIS AGENDA!He has NO AGENDA except MAKE MONEY for his BRAND! He mad\xe2\x80\xa6 https://t.co/v5yJTOiCOE'
940275794802339840,2017-12-11 17:43:13,"b'@MooreSenate WORST THREAT to our NATION and it\xe2\x80\x99s NATIONAL SECURITY is to have an INCOMPETENT @POTUS at WH, that is\xe2\x80\xa6 https://t.co/hcu94FYmLq'"
940237938859872256,2017-12-11 15:12:48,b'@DonaldJTrumpJr  @realDonaldTrump  Mueller getting. Loser than ever to all your conspiracy to win election! STAY TU\xe2\x80\xa6 https://t.co/3kwNYACFDk'
940071665781764097,2017-12-11 04:12:05,b'@realDonaldTrump We are speaking loudly and you will see HOW LOUD in 2018! #RESIST \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
940071265699741696,2017-12-11 04:10:30,"b'@realDonaldTrump INSTEAD of pledge alliance to prove you are a PATRIOT, it would be REALLY PATRIOTIC NOT TO COLLUDE\xe2\x80\xa6 https://t.co/BbUiKdFZAD'"
940068108290572289,2017-12-11 03:57:57,"b'@realDonaldTrump ..and MOVE JOBS BACK, PUBLIC HEARING BEFORE VOTE, DO NOT TARGET BLUE STATES...If so, it will reall\xe2\x80\xa6 https://t.co/AhTLKSbssX'"
940066528782794752,2017-12-11 03:51:40,"b'@realDonaldTrump SPECIAL? Americans want it to: NOT PRIMARILY BENEFIT BILLIONAIRES &amp; LARGE CORPORATIONS, DEFICIT NE\xe2\x80\xa6 https://t.co/gGjxQ8FIBA'"
940062792308027393,2017-12-11 03:36:49,b'@realDonaldTrump How are you doing in \xe2\x80\x9cSTAINING\xe2\x80\x9d America? Let\xe2\x80\x99s COMPARE:\n\xe2\x80\x9cPresident Obama has run an amazingly scan\xe2\x80\xa6 https://t.co/eL891ppchU'
940059456347373569,2017-12-11 03:23:34,"b'@realDonaldTrump Here\xe2\x80\x99s what STAINS America:ex-NSA criminally indicted &amp; collaborating in INVESTIGATION @POTUS,  fa\xe2\x80\xa6 https://t.co/kDYuMySoIN'"
940054192357388288,2017-12-11 03:02:39,b'@FoxNews @newtgingrich @HillaryClinton CHANGE of HEART has something to do with PayBack for Vatican Ambassadorship?\xe2\x80\xa6 https://t.co/yBzH0Uk0AU'
940052665756631042,2017-12-11 02:56:35,"b'@FoxNews @newtgingrich @HillaryClinton DESPERATE, Gingrich? Call MUELLER \xe2\x80\x9cCORRUPT\xe2\x80\x9d is almost as offensive as\xe2\x80\xa6 https://t.co/VhNMT57qVR'"
940048642718646274,2017-12-11 02:40:36,"b'@seanhannity If you interested in FBI BIAS, should READ THIS THREAD!!! IMPORTANT! Maybe GOP lawmakers will IN RSTIG\xe2\x80\xa6 https://t.co/jFuuOcwgoh'"
939977619172454401,2017-12-10 21:58:23,"b'@realDonaldTrump Find time while enjoying your LUXURY GOLF RESORT at tax payer\xe2\x80\x99s expense, to read something VERY IN\xe2\x80\xa6 https://t.co/OYiEUjlKDI'"
939976369412374529,2017-12-10 21:53:25,"b'@newtgingrich Are you talking about this CONSPIRACY AGAINST HILLARY? See THREAD!\nOne thing you are right about, and\xe2\x80\xa6 https://t.co/jlG6SYNQVQ'"
939949228205527040,2017-12-10 20:05:34,b'@LindseyGrahamSC Remembering the time you had some SANITY...and trying to UNDERSTAND the reason for the 360 FLIP!\nhttps://t.co/zWmr3C5S1w'
939947257452998656,2017-12-10 19:57:44,"b'@LindseyGrahamSC You forgot PIZZAGATE, Seth Rich DNC staffer \xe2\x80\x9cINTERNAL DNC HACKER JOB\xe2\x80\x9d, OBAMA\xe2\x80\x99s BIRTH certificate..\xe2\x80\xa6 https://t.co/c1qAFyVH11'"
939942470795841539,2017-12-10 19:38:42,b'@LindseyGrahamSC Explain what is happening with you!! Is a round of GOLF at MAR-A-LAGO w/ @realDonaldTrump &amp; PAID w\xe2\x80\xa6 https://t.co/12Pck3Xy1w'
939940629198594048,2017-12-10 19:31:23,b'@LindseyGrahamSC When a SENATOR that before was standing beside a MAVERICK PATRIOT like @SenJohnMcCain now helping\xe2\x80\xa6 https://t.co/Ke5rlaWnuy'
939938918908260352,2017-12-10 19:24:36,b'@LindseyGrahamSC SHAME how CHEAP you can be  BOUGHT! When a ROUND OF GOLF w/@realDonaldTrump at MAR-A-LAGO this wee\xe2\x80\xa6 https://t.co/NfKbuoaBnN'
939912260310487042,2017-12-10 17:38:40,b'@realDonaldTrump @daveweigel BY THE WAY: where is your tweet calling for @seanhannity to be FIRED when he even LOST\xe2\x80\xa6 https://t.co/4wd1894903'
939910484651839494,2017-12-10 17:31:36,b'@realDonaldTrump @daveweigel Searching your TWEETS to see your OUTRAGE after all the FAKE PROPAGANDA and CONSPIRACY\xe2\x80\xa6 https://t.co/SR2OJ0fxWO'
939909496041824256,2017-12-10 17:27:41,b'@realDonaldTrump @daveweigel Time to expose some of the FAKE STORIES your favorite PROPAGANDA CHANNEL @FoxNews  SPR\xe2\x80\xa6 https://t.co/m3VJc7xpBO'
939908321745817601,2017-12-10 17:23:01,b'@realDonaldTrump @daveweigel @washingtonpost Talking about FAKE CROWD PHOTO reminds us your INAUGURATION CROWD stor\xe2\x80\xa6 https://t.co/UjncVrdxZe'
939906558212935680,2017-12-10 17:16:00,b'@realDonaldTrump @daveweigel STANDARDS you apply 2 MSM  not APPLIED 2 YOU &amp; YOUR PROPAGANDA CONSPIRACY THEORIES  ME\xe2\x80\xa6 https://t.co/FCAWfF2vaj'
939888482658463749,2017-12-10 16:04:11,b'@MooreSenate Alabama VOTERS: TRUMP just wants to WIN!Same way he TURNED his support to @MooreSenate when HIS CANDID\xe2\x80\xa6 https://t.co/JkdK62YH79'
