id,created_at,text
940404004940668928,2017-12-12 02:12:41,b'RT @NBCTheVoice: RT to send your votes to @adam_cunningham and @redmarlow because your country heart just fell in love with that #AdamRedDu\xe2\x80\xa6'
940260001653907456,2017-12-11 16:40:28,b'@JacobAWohl @realDonaldTrump @nytimes You are the dangerous one.'
940259474635452416,2017-12-11 16:38:22,b'@realDonaldTrump @nytimes Blah blah blah. They dont kiss your butt so you call them fake. Funny that when they do p\xe2\x80\xa6 https://t.co/2a4qjC93ZR'
940069959132049408,2017-12-11 04:05:18,b'@realDonaldTrump Didnt know you could pack sheep that tight.'
939235125308674049,2017-12-08 20:47:58,b'@realDonaldTrump Oh look someone posted a fake approval rating just for you denturedonald'
939155540923637761,2017-12-08 15:31:44,b'@realDonaldTrump Sure you will. Darn teeth are going to try and fall out again with more lies.'
939155088790179841,2017-12-08 15:29:56,b'@realDonaldTrump So we make america great by throwing out basic human values just so YOU can get a win?\xe2\x80\xa6 https://t.co/q51FU7RGje'
939125295721930752,2017-12-08 13:31:33,b'RT @RPMMAS: @realDonaldTrump We have done so much DAMAGE in so short a period of time...and yet are planning to do so much more! #WorstPres\xe2\x80\xa6'
939124933539622913,2017-12-08 13:30:06,b'RT @PRESlDENTBANNON: @realDonaldTrump - Mitt Romney avoiding Vietnam: BAD\n- Donald Trump avoiding Vietnam: OK\n\n- Anthony Weiner sexting chi\xe2\x80\xa6'
939124720582217728,2017-12-08 13:29:16,b'@realDonaldTrump Stop and buy more polygrip!'
938954197604667393,2017-12-08 02:11:40,b'@Pres45Trump #DentureDonald  lol aint nothing real about you'
938934665343365120,2017-12-08 00:54:03,b'@realDonaldTrump You cant read lead spell and now you cant even pronounce words.  Go get your dentures tightened.'
938906941899886593,2017-12-07 23:03:53,b'@morningmika This is going to backfire on women. Each case needs to be assessed for its severity. Men still rule so\xe2\x80\xa6 https://t.co/oAxBoVTc3T'
938759378831921152,2017-12-07 13:17:31,"b'RT @POTUS_Don45: @realDonaldTrump @foxandfriends Join me this Friday in Pensacola, Florida along with my great friend Jerry to support Roy\xe2\x80\xa6'"
938759026199924736,2017-12-07 13:16:07,b'@realDonaldTrump @foxandfriends Someone read the book to you? Or is this just another thing you heard?'
938573027318599680,2017-12-07 00:57:02,b'@realDonaldTrump You want to defend confederate statues but destroy national monuments  you are ruining this country.'
938488691730862080,2017-12-06 19:21:55,b'@realDonaldTrump @WhiteHouse You ramble on like an old man who has no grip on reality.'
938487651312775169,2017-12-06 19:17:46,b'@nobody_iz_h3ere @realDonaldTrump Use your tax money trump is giving you!'
938487377508618240,2017-12-06 19:16:41,b'@realDonaldTrump Your stepping down?'
938226351710048258,2017-12-06 01:59:28,b'@BetsyDeVosED Start with our president. Stop giving him picture books tell him to be a man and read'
937888599021948929,2017-12-05 03:37:21,b'@realDonaldTrump Yes we need a child preditor to walk hand and hand with our pussy grabber.'
937828979024846849,2017-12-04 23:40:27,b'@realDonaldTrump You are disgusting and continue to drag this country into the sewers of humanity.'
936967051830288384,2017-12-02 14:35:27,b'@realDonaldTrump I hope this proves to your base that you dont work for them.  Shame on the rep senate'
936760858293817344,2017-12-02 00:56:07,"b'@FLOTUS Give the country and youself the best christmas present ever. Commit your husband, you have 2/3 of the country backing you.'"
936743662679183360,2017-12-01 23:47:47,b'@noladt @realDonaldTrump Daddy what are we going to do.'
936743238513381376,2017-12-01 23:46:06,b'@realDonaldTrump Funny anything important that needs to pass you have to send pence in to save your ass.  Your plans and bills are all crap.'
936633819591036930,2017-12-01 16:31:19,b'@realDonaldTrump ROLL FLYNN ROLL'
936597216327884801,2017-12-01 14:05:52,b'@realDonaldTrump Do you even know who is a dem and who is a rep...news flash its the rep who is holding up the vote\xe2\x80\xa6 https://t.co/su6rbTD4qR'
936583904181571584,2017-12-01 13:12:58,b'@realDonaldTrump Dems are giving no voice in this major bill. Just like health care.  You and your party are trying\xe2\x80\xa6 https://t.co/CpAlIYGjMo'
936583196782809089,2017-12-01 13:10:09,b'@realDonaldTrump Tax cuts for top 1%. Give middle class the cuts you say we will get and DONT take away any of our\xe2\x80\xa6 https://t.co/vrbiq4qYCa'
936381038892408833,2017-11-30 23:46:51,b'@realDonaldTrump @theresa_may Way to go mouthbreather'
