id,created_at,text
940332618939113472,2017-12-11 21:29:01,b'RT @ORCannaConnect: Op-Ed: Josephine County Stole Our Cannabis Business https://t.co/UcxtYoIafg via @ORCannaConnect'
940332584130637824,2017-12-11 21:28:53,b'RT @tomangell: New federal data: Teen marijuana use is trending *DOWN* in most states with legalization. \n\nhttps://t.co/6X7rzcd4ze https://\xe2\x80\xa6'
940052244627517440,2017-12-11 02:54:55,b'https://t.co/klZXf1LP4H'
940051238418137088,2017-12-11 02:50:55,b'@NYPD81Pct Looks like assholes to me'
940046415727693824,2017-12-11 02:31:45,b'@realDonaldTrump  https://t.co/rNBOxySrew'
940046073082478592,2017-12-11 02:30:23,b'@realDonaldTrump @PhilBryantMS Central Park 5!'
939200034121199616,2017-12-08 18:28:32,b'@realDonaldTrump Still not the popular vote \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
939178660866572288,2017-12-08 17:03:36,b'RT @tomangell: \xf0\x9f\x91\x81\xef\xb8\x8f\xf0\x9f\x91\x81\xef\xb8\x8f\n\nAnti-mariuana group in Michigan says it is open to funding its campaign to defeat 2018 legalization ballot measure wit\xe2\x80\xa6'
938941397545005056,2017-12-08 01:20:48,b'RT @wsdot_traffic: Stalled tie fighter partially blocking the left lane of the northbound I-5 on-ramp from Ravenna. https://t.co/rQTzpG3oAM'
938940934460342272,2017-12-08 01:18:58,"b""RT @thatjohnnygreen: The reefer madness term of the day is 'scromiting' #JustSayNoToPropaganda\nhttps://t.co/215MWrpdfg"""
938837140128989184,2017-12-07 18:26:31,b'RT @RespectMyRegion: Mad Mark Farms: Weed How He Wants It https://t.co/nqinGhRTzq'
938837037091766272,2017-12-07 18:26:07,"b'RT @GonzoToolbox: @tomangell Hey Tom, can we get a Retweet about this Emergency Protest by @DCMJ2014 in D.C. of Jeff Sessions at the Herita\xe2\x80\xa6'"
938836970884571136,2017-12-07 18:25:51,"b'RT @badlin: i sent this blurb from @BCCinfo_dca to a coworker and his reply was ""how the fuck am i supposed to plan for this?""\n\nyou or anyo\xe2\x80\xa6'"
938836445778788352,2017-12-07 18:23:46,b'RT @ngaio420: https://t.co/Nj1jcJN3ew'
938629696543064065,2017-12-07 04:42:13,b'RT @trapgrampa: look at this damn mariguana https://t.co/P5L7y1aFOD'
938629544142966784,2017-12-07 04:41:36,b'RT @WeedNewsCo: Shockwaves sent thru the #Oregon #cannabis community as #marijuana lab owners outed as white supremacists: https://t.co/GfT\xe2\x80\xa6'
938515149836640256,2017-12-06 21:07:03,"b""RT @tomangell: Wow: Chair of Delaware Police Chiefs Council tells state's marijuana legalization study commission that cannabis consumers s\xe2\x80\xa6"""
938491975124140032,2017-12-06 19:34:57,"b'@InAweofArt How many duis, bar fights, and rapes caused by alcohol? One kid has an accident and you lose it, get  your shit together.'"
938491554120921088,2017-12-06 19:33:17,b'@realDonaldTrump As soon as you leave \xf0\x9f\xa4\xa3'
938491386533314560,2017-12-06 19:32:37,b'@chelseahandler Can you smell what Huckabee is cooking? https://t.co/eBBF1YBGME'
937758614852214784,2017-12-04 19:00:51,b'RT @tomangell: Analysis: Find out how a potential government shutdown this week could allow Jeff Sessions to launch a crackdown on medical\xe2\x80\xa6'
937724360890097664,2017-12-04 16:44:44,b'https://t.co/wNc80piSNE'
937368088827256832,2017-12-03 17:09:02,"b'@realDonaldTrump @ABC Stock Market went down cause you suck, not cause of news story, keep making excuses.'"
937367179342708736,2017-12-03 17:05:25,"b'@realDonaldTrump Its how you got elected, how can he be anti? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
937367002313768960,2017-12-03 17:04:43,b'@realDonaldTrump I thought you respected the law?'
937308207881502720,2017-12-03 13:11:05,b'@GovChristie @realDonaldTrump @POTUS Wrong'
937095729444659200,2017-12-02 23:06:46,"b""@realDonaldTrump You don't plead guilty to lawful"""
