id,created_at,text
940086826206818307,2017-12-11 05:12:19,b'@realDonaldTrump @CNN You should be fired for everyone of your mistakes. FOOL'
940086370273345536,2017-12-11 05:10:31,b'@ReallyBillKlein @TLC @JenArnoldMD You moved?'
936854025416327168,2017-12-02 07:06:20,b'@billboard Oh WHO CARES. This has been old Lady needs to go away. Retire &amp; raise your kids. Over you SMH'
936626231491092484,2017-12-01 16:01:09,b'@CurseReverser @realDonaldTrump Just like the US. Its Trumps world now &amp; we know how the North Koreans feel...'
936625930138681346,2017-12-01 15:59:58,b'@realDonaldTrump We put up with you ?'
936625620104171522,2017-12-01 15:58:44,"b""@MichelleWasik @realDonaldTrump @KurtSchlichter Lol he said Mexico was paying &amp; it will be built. When will you realize he's lying?"""
936625297730007044,2017-12-01 15:57:27,"b""@realDonaldTrump You SAID you were going to build it &amp; Mexico was paying. That's what YOU SAID EVERYDAY !!!!"""
936044193188892672,2017-11-30 01:28:21,"b""@realDonaldTrump Why don't you worry about WHAT'S IMPORTANT, LIKE NORTH KOREA. DO YOUR JOB, KEEP AMERICANS SAFE. ST\xe2\x80\xa6 https://t.co/T0koCRQeNG"""
936043278872563713,2017-11-30 01:24:43,b'@gary_tibbetts6 @realDonaldTrump LMAO YEAH OK.'
936043148903624704,2017-11-30 01:24:12,"b""@realDonaldTrump OMG YOU'RE SUCH A CHILD. UNBELIEVABLE"""
935373548167843841,2017-11-28 05:03:26,"b""@VirgLee1 @TeenMom @F1abraham I stopped watching her, I fast forward when she's on. Try it. She is the most disresp\xe2\x80\xa6 https://t.co/4KAOfUqyOv"""
935373188921479168,2017-11-28 05:02:01,b'@Chris6375 @TeenMom @F1abraham AGREE.'
935373068574306304,2017-11-28 05:01:32,"b""@TeenMom @F1abraham Your moms b/f is an outsider. We see things a dysfunction family doesn't see. You think you tre\xe2\x80\xa6 https://t.co/k3SHc4AeUS"""
935372265826471936,2017-11-28 04:58:21,b'@J_Chamberlinn @MaciBookout You need to be a RESPONSIBLE ADULT &amp; STOP texting &amp; driving. You stupid B***H. If my ki\xe2\x80\xa6 https://t.co/Phoy0FuU9d'
935371534167953414,2017-11-28 04:55:26,"b""@AmberLPortwood What is wrong with you ? Matt can't talk or make a joke &amp; your expressions are hideous. You REALLY\xe2\x80\xa6 https://t.co/Kxp6S1ycdD"""
935370325931503616,2017-11-28 04:50:38,b'@realDonaldTrump God you REALLY live in your own world...'
934648576663326720,2017-11-26 05:02:40,"b""@JesseGofUSA @realDonaldTrump Oh yeah, because he's done so much. America is greater then ever ? Lol SMH"""
