id,created_at,text
940100289939435520,2017-12-11 06:05:49,b'@mrstiggers1959 @Johnny89745278 @IntezAli @HispanicAtheist @aymiejharris @EdKrassen @IRdotnet @realDonaldTrump Oh F\xe2\x80\xa6 https://t.co/3nBMplo5E0'
940099464718458881,2017-12-11 06:02:33,b'@mrstiggers1959 @EdKrassen @IRdotnet @realDonaldTrump PUT ITT LK THIS ...TO BE CONTINUED BECAUSE OF PPLS ON TWEETER LK YOU'
940098304699858945,2017-12-11 05:57:56,b'@MELOD1P THANKS TO THE GOOD OFFICERS...YOU KNOW WHO YOU ARE'
940097762888007680,2017-12-11 05:55:47,b'RT @Policy: Today is #HumanRightsDay.\n\nTweet and tell the world you #Standup4HumanRights. https://t.co/eAEtknkE7w'
940083260360556545,2017-12-11 04:58:09,b'@JC20204 @tashaunscripted @LynCarps247 @xdelmar59 @realDonaldTrump @PhilBryantMS SOME PPLS HAVE ALREADY MADE UP THE\xe2\x80\xa6 https://t.co/gHpBi6Rq2r'
940082263630348288,2017-12-11 04:54:12,b'@JC20204 @tashaunscripted @LynCarps247 @xdelmar59 @realDonaldTrump @PhilBryantMS RIGHT'
940081727912865793,2017-12-11 04:52:04,"b""@realDonaldTrump @PhilBryantMS IS THIS REAL OR FAKE? I HOPE ITS REAL BECAUSE I'VE NEVER HEARD HIM EVEN SPEAK ABT GR\xe2\x80\xa6 https://t.co/RyMxkZaC3D"""
940079373016641536,2017-12-11 04:42:43,b'@realDonaldTrump @daveweigel @washingtonpost WHAT ABT TH PRIVATE PHONE SHOTS BY A PARTICIPANTS..IJA'
940072653905207296,2017-12-11 04:16:01,b'@realDonaldTrump @daveweigel @washingtonpost SO CHILDISH MR PRESIDENT YOU WORRY ABT TH WRONG THING.IF I WS TH ONLY\xe2\x80\xa6 https://t.co/HUXFJZIk6k'
940071578154418177,2017-12-11 04:11:44,b'@realDonaldTrump HOW ABOUT THEM COWBOYS'
940068583903715328,2017-12-11 03:59:50,b'@PRESlDENTBANNON @realDonaldTrump BANNON YOU REALLY TRYING TO PISS TPOTUS OFF HUH? WHAT YOU MAD FOR?'
940067612389662722,2017-12-11 03:55:59,b'@ILoveNadal1 @PRESlDENTBANNON @britchic2016 @realDonaldTrump HE LOOK YOUNG AND HANDSOME ON HERE'
940066899584368640,2017-12-11 03:53:09,b'RT @ILoveNadal1: @PRESlDENTBANNON @britchic2016 @realDonaldTrump  https://t.co/iN9LYv4ARD'
940066792164114432,2017-12-11 03:52:43,b'@Mike_Satin @ILoveNadal1 @PRESlDENTBANNON @britchic2016 @realDonaldTrump BAHAHAHA!!!!'
940063497848623104,2017-12-11 03:39:38,b'@realDonaldTrump FATHER OF FAKE NEWS HAS THE NERVES TO BLAME THE MEDIA FR IT...PLS!!!'
940062871991365632,2017-12-11 03:37:08,b'@realDonaldTrump THATS WHAT YOU DID RIGHT?AND NOW YOU TRYING TO CHANGE AMEEICAS FIRST AMENDMENT\nWHATS GOOD FR THE GOOSE (YOU KNOW THE REST)'
939978291569717250,2017-12-10 22:01:03,b'@mrstiggers1959 @EdKrassen @IRdotnet @realDonaldTrump SO YOURE BEHIND ON THAT STORT I SEE'
939978090113126400,2017-12-10 22:00:15,b'@mrstiggers1959 @EdKrassen @IRdotnet @realDonaldTrump YEAH AND WE KNOW WHO GOT IT....LOLL'
939977904330551297,2017-12-10 21:59:30,b'@mrstiggers1959 @EdKrassen @IRdotnet @realDonaldTrump THERE YOU GO...BUT YOU GONE SEE....STAY TUNED'
939977449491828736,2017-12-10 21:57:42,b'@IntezAli @mrstiggers1959 @Johnny89745278 @HispanicAtheist @aymiejharris @EdKrassen @IRdotnet @realDonaldTrump RIGHT'
939771305670438912,2017-12-10 08:18:34,"b'@realDonaldTrump PLEASE DONT START WTH CNN WHN YOU ORDERED ""FAKE NEWS FOX"" TO COVER UP TRACKS ON THE DNC WORKER ""RI\xe2\x80\xa6 https://t.co/DZEBKo0SJC'"
939769789245022210,2017-12-10 08:12:32,b'@realDonaldTrump IM SO GLAD WE HAD THIS TIME TOGETHER JST TO LAUGH OR TELL A JOKE OR TWO.AND BEFORE YOU KNOW IT ITS\xe2\x80\xa6 https://t.co/mDCQ7cJ24l'
939768882730061824,2017-12-10 08:08:56,"b""@realDonaldTrump DID YOU SEE MELANIA'S FIRST HUSBAND...HE'S HEERRE!!!!"""
939765181604876289,2017-12-10 07:54:13,b'@EdKrassen @IRdotnet @realDonaldTrump I THINK ITS HIGHER...DID YOU COUNT PENCE?'
939764901081485312,2017-12-10 07:53:07,b'@joannachestnut1 @EdKrassen @IRdotnet @realDonaldTrump LOLLLL'
939764717270249472,2017-12-10 07:52:23,"b'@mrstiggers1959 @EdKrassen @IRdotnet @realDonaldTrump LOLLLL ...PLEASE HE\'S THE KING OF FAKE NEWS GO BK AND SEE THE DNC WORKER ""RICH"" STORY'"
939764083263442944,2017-12-10 07:49:52,b'@mmen67 @EdKrassen @IRdotnet @realDonaldTrump IMMAGRANT NAME'
939763833568219136,2017-12-10 07:48:52,b'@mmen67 @EdKrassen @IRdotnet @realDonaldTrump HERE GOES ANOTHER ONE MR POTUS..SWAMP RAT'
939763600910057472,2017-12-10 07:47:57,b'@EdKrassen @IRdotnet @realDonaldTrump THATS THE 1/3 THAT NEEDS TO BE LOCKED UP....IN AN ASYLUM...'
939763175871995904,2017-12-10 07:46:15,b'@IRdotnet @realDonaldTrump FOR REAL? LOLLLL NO SHIT'
939763045626269696,2017-12-10 07:45:44,b'RT @IRdotnet: @realDonaldTrump They were mostly protesters...'
939762866533609473,2017-12-10 07:45:01,"b""@realDonaldTrump MAN YOU'RE MAKING MY IVANKA COLLECTION WORTHLESS..PPLS BE TALKING SHIT TO ME WHN I WEAR THEM BECAUSE IM BLACK."""
939762024619311104,2017-12-10 07:41:41,b'@realDonaldTrump SORRY ...TRUMP'
939761931442950144,2017-12-10 07:41:19,b'@realDonaldTrump STOP DOING THIS TO YOURSELF...THESE PPL DOESNT GIVES A RATS ASS ABT YOU STRUMP'
939761473357836289,2017-12-10 07:39:29,"b'RT @realDonaldTrump: GREAT EVENING last night in Pensacola, Florida. Arena was packed to the rafters, the crowd was loud, loving and really\xe2\x80\xa6'"
939761358714884096,2017-12-10 07:39:02,b'@EveryTrumpDonor @realDonaldTrump I HV TO RETWEET YOUR RACIST ASS TO MY FLORIDIANS...NO ADMINISTRATIVE LEAVE FR YOUR SORRY ASS'
939760974831214592,2017-12-10 07:37:30,"b""RT @EveryTrumpDonor: @realDonaldTrump I'm Harry Palmer. On 10/17/16 I gave $200 to Donald Trump. I live in Pensacola, FL. I'm an Officer."""
939760939313885184,2017-12-10 07:37:22,b'RT @bradfinley1: @EveryTrumpDonor @realDonaldTrump Lmao! You gave $200 of your hard earned money to an alleged billionaire who is currently\xe2\x80\xa6'
939760916719194114,2017-12-10 07:37:17,b'@bradfinley1 @EveryTrumpDonor @realDonaldTrump SMART? CTFUUUUU HE NEEDS TO BE FIRED..DISRESPECTING THE SHIELD'
939760505685757953,2017-12-10 07:35:39,b'@EveryTrumpDonor @realDonaldTrump YOU SHOULD BE FIRED..RACIST COPS LK YOU MKS THE BLUE LOOK BAD..LOCK YOURSELF UP'
939760036850610176,2017-12-10 07:33:47,"b""@EveryTrumpDonor @realDonaldTrump LOL AT YO DUMD ASS...WHAT YOU WANT A TROPH? WELL,YOU'RE NOT GETTING ONE BAD COP"""
939759050140635136,2017-12-10 07:29:52,b'@andelawson @realDonaldTrump SAME AS HIS INAUGURATION\nHE CANT BEAT OBAMA IN SHIT...TRY TRY AGAIN'
939758811103092739,2017-12-10 07:28:55,b'RT @andelawson: @realDonaldTrump  https://t.co/dpsEPnQVHh'
939758693704486913,2017-12-10 07:28:27,b'@JosephOmoOsagi1 @realDonaldTrump RIGHT...THE FOLLOWERS IS MORE OF A PROBLEM THN STRUMP HIMSELF...'
939758423884869632,2017-12-10 07:27:22,b'RT @JosephOmoOsagi1: @realDonaldTrump Such a liar. Also what have you done other than incite racist sexist behavior in your base. This is n\xe2\x80\xa6'
939758314698739712,2017-12-10 07:26:56,b'@NAwakened @JenTusch @realDonaldTrump HERE YOU GO..TRUMP SAID HE GOT RID OF FAKE PPLS LK YOU...SWAMPY'
939757499430862848,2017-12-10 07:23:42,b'RT @JenTusch: @realDonaldTrump I think you might be fibbing a little. https://t.co/olKRqR3x7Y'
939757380098777088,2017-12-10 07:23:13,b'RT @Niftv_: @realDonaldTrump IMPEACH TRUMP'
939756846239318016,2017-12-10 07:21:06,b'RT @Katnissthekity: @realDonaldTrump Hope that filled up your tank for attention for a little bit. https://t.co/D0C0eCIvgT'
939756717386207232,2017-12-10 07:20:35,b'@Katnissthekity @realDonaldTrump LOLLL...THAT PROBABLY MADE HIS GRABBING HANDS HARD... LK A DICK'
939755948402495488,2017-12-10 07:17:32,b'RT @TruthinGov2016: @realDonaldTrump  https://t.co/ekpGqjGlBX'
939755481891033088,2017-12-10 07:15:41,b'@amazonsylk @TruthinGov2016 @realDonaldTrump BAHAHAHA GIRL HIS PARENTS NEEDS TO HELP HIS FOLLOWERS OR KEEP THM AWAY\xe2\x80\xa6 https://t.co/ezWcM3ousJ'
939755213719851008,2017-12-10 07:14:37,"b""RT @amazonsylk: @TruthinGov2016 @realDonaldTrump Well, then let's hope his parents realize their mistake and correct it from the other side!"""
939755150415147008,2017-12-10 07:14:22,b'@monelou @TruthinGov2016 @realDonaldTrump PLEASE DONT HV NO CHILDREN ESPECIALLY GIRLS'
939754922559639552,2017-12-10 07:13:27,b'@kelly_ramona @TruthinGov2016 @realDonaldTrump LOLLLLL...'
939754758105157633,2017-12-10 07:12:48,b'@DemiWuflower @TruthinGov2016 @realDonaldTrump PLS PLS PLS DONT HV CHILDREN...'
939754535161159680,2017-12-10 07:11:55,"b""@TruthinGov2016 @realDonaldTrump YOURE CONSTITUTION IS IN EUROPE...OH THATS RIGHT EUROPE DOESN'T WANT YALL ASSES EI\xe2\x80\xa6 https://t.co/t4BYryrtzI"""
