id,created_at,text
940415076326141953,2017-12-12 02:56:40,b'@boricuapapichul @MooseLambResist @Rosie @eestesx3 @MooreSenate @GDouglasJones @JeffFlake What about Muslims that are born in America?'
940413187270348800,2017-12-12 02:49:10,b'RT @MooseLambResist: @eestesx3 @boricuapapichul @never_martha @Rosie @MooreSenate @GDouglasJones @JeffFlake  https://t.co/E8sQbaHOu7'
940393353698570242,2017-12-12 01:30:21,b'RT @Rosie: @MooreSenate yes u pathetic pedophile i have been fighting men like u my whole life - u r a sexual predator - u twisted tainted\xe2\x80\xa6'
940392935941689344,2017-12-12 01:28:42,b'RT @freeurmind416: @funder I like this man .He was honest !!He has done his part what about you?'
940392831235100672,2017-12-12 01:28:17,"b'@funder @co_rapunzel4 God Bless him for having the courage to tell his story. He might be late to the game, but it\xe2\x80\xa6 https://t.co/WtEkJV3gGl'"
940392559297298432,2017-12-12 01:27:12,"b'RT @funder: A father who\xe2\x80\x99s a local peanut farmer in Alabama, standing outside a Roy Moore rally, talks about losing his gay daughter at age\xe2\x80\xa6'"
940392400580677632,2017-12-12 01:26:34,b'RT @Tam_Resist: @KevinMcGil @co_rapunzel4 @ShelbyKentStewa @msjanebond007 @duhgurlz They raped slaves too...their apologists won\xe2\x80\x99t prevail.\xe2\x80\xa6'
940392277062635521,2017-12-12 01:26:05,"b""@Nikluk @Rosie @MooreSenate I feel like my 2 daughters are my greatest accomplishment. I'm not trying to sound like\xe2\x80\xa6 https://t.co/mJl00X3S2i"""
940391662274084866,2017-12-12 01:23:38,b'RT @LeeAnndelCasti2: @MooseLambResist @Rosie @never_martha @eestesx3 @MooreSenate @GDouglasJones @JeffFlake Thank you Joyce for standing up\xe2\x80\xa6'
940391575489859586,2017-12-12 01:23:17,b'@Nikluk @Rosie @MooreSenate \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x99'
940391222027448320,2017-12-12 01:21:53,"b'RT @Nikluk: @never_martha @Rosie @MooreSenate Thank you, I am lucky to have 4 great children, each one is special.'"
940391179367206912,2017-12-12 01:21:43,"b""@boricuapapichul @MooseLambResist @Rosie @eestesx3 @MooreSenate @GDouglasJones @JeffFlake That wouldn't be Democrat\xe2\x80\xa6 https://t.co/ISNCM6xbjr"""
940390826739486720,2017-12-12 01:20:19,b'@boricuapapichul @MooseLambResist @Rosie @eestesx3 @MooreSenate @GDouglasJones @JeffFlake You realize that Democrat\xe2\x80\xa6 https://t.co/VfRFk3tURC'
940390052571631616,2017-12-12 01:17:14,b'@boricuapapichul @MooseLambResist @Rosie @eestesx3 @MooreSenate @GDouglasJones @JeffFlake Too bad they DO have the\xe2\x80\xa6 https://t.co/ovEHutjQRN'
940389165648285697,2017-12-12 01:13:43,"b""@Nikluk @Rosie @MooreSenate She's lucky to have such a great mom\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f"""
940389075290337280,2017-12-12 01:13:21,"b'RT @Nikluk: @never_martha @Rosie @MooreSenate I have a beautiful, smart, loving, kind, compassionate 23 year old gay daughter.'"
940388809770000385,2017-12-12 01:12:18,b'@MooseLambResist @boricuapapichul @Rosie @eestesx3 @MooreSenate @GDouglasJones @JeffFlake I know. Selective Constitution is what they want.'
940388577988546561,2017-12-12 01:11:23,"b""@boricuapapichul @MooseLambResist @Rosie @eestesx3 @MooreSenate @GDouglasJones @JeffFlake They're lucky to get the hell out of those towns."""
940388335801061376,2017-12-12 01:10:25,b'RT @MooseLambResist: @boricuapapichul @Rosie @never_martha @eestesx3 @MooreSenate @GDouglasJones @JeffFlake Hmm...seems the 1A only applies\xe2\x80\xa6'
940387373954879489,2017-12-12 01:06:36,"b""@UniteAlbertans @Rosie @realDonaldTrump @GOP @FLOTUS @nikkihaley @FBI He's such a pos"""
