id,created_at,text
940410000605933568,2017-12-12 02:36:30,b'@MooreSenate  https://t.co/38xG1PUiq5'
940403323940765697,2017-12-12 02:09:58,b'@Magmay13 @NetworkJunkyz @JerryFalwellJr @MooreSenate Here... Look at this pudding.'
940402881752072192,2017-12-12 02:08:13,b'@JerryFalwellJr @MooreSenate Wow'
940401678926450688,2017-12-12 02:03:26,"b'@MooreSenate We are committed to having you committed, preventing your travel, making cities safe sanctuaries for 1\xe2\x80\xa6 https://t.co/U8VwWaZXWr'"
940089210786127872,2017-12-11 05:21:48,b'@realDonaldTrump #iknowyouarebutwhatami'
940088612594507776,2017-12-11 05:19:25,b'@realDonaldTrump These words say nothing.'
939182902528573440,2017-12-08 17:20:27,"b'Moore 15:3 ""And the young girls shall don thy breastplates and girt thy loins when HE cometh near.""\n#girtloins\xe2\x80\xa6 https://t.co/pk5vB39EMW'"
939181395464851456,2017-12-08 17:14:28,"b""@MooreSenate I don't get it... something about 13 and 14 year old loins and breasts?"""
939037458812911617,2017-12-08 07:42:31,"b'@JacobAWohl @realDonaldTrump Just because you say ""period"" doesn\'t make your argument any better.'"
939037135406956545,2017-12-08 07:41:14,b'@realDonaldTrump Stop poop tweeting and go to bed.'
938950694815633409,2017-12-08 01:57:45,b'#YouToo @realDonaldTrump #ResignTrump'
938950298911019008,2017-12-08 01:56:10,b'Every single person that asked #AlFranken to resign must immediately call for the resignation of @realDonaldTrump\xe2\x80\xa6 https://t.co/PXwaFyrgnh'
938949868239892480,2017-12-08 01:54:28,b'#trumpresign unbelievable'
938949588542685185,2017-12-08 01:53:21,b'#trumpresign #molestermoore'
938949439150022656,2017-12-08 01:52:45,b'#TrumpResign #pussygrabber'
938793653379747842,2017-12-07 15:33:43,b'@realDonaldTrump @foxandfriends like you read books.'
938779674137845761,2017-12-07 14:38:10,"b""@MooreSenate Yeah... That's it."""
938418781684158464,2017-12-06 14:44:07,"b""@realDonaldTrump Come ON. It's been like 26 hours since your last nutso tweet. Step it up."""
937912043860123648,2017-12-05 05:10:31,"b""@realDonaldTrump Yeah... That really didn't work out so well."""
937374333843968001,2017-12-03 17:33:51,"b""@MooreSenate I like how you keep reminding us that you're accused of sexually assaulting teens every day. Winning strategy"""
937014708170842112,2017-12-02 17:44:49,b'@realDonaldTrump Fake tweet.'
936835786581860352,2017-12-02 05:53:51,b'@realDonaldTrump \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x83\xf0\x9f\x98\x83\xf0\x9f\x98\x83\xf0\x9f\x98\x83\xf0\x9f\x98\x83\xf0\x9f\x98\x83\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
934891493189390337,2017-11-26 21:07:56,b'@MooreSenate Which cheerleaders were you watching the most?'
934891090406240256,2017-11-26 21:06:20,"b""@MooreSenate And you're a kid-molester."""
931172175591206912,2017-11-16 14:48:41,"b""@MooreSenate When your primary defense is a Breitbart link, you've got a problem."""
931000580532850689,2017-11-16 03:26:50,"b""@JackRoyer @MooreSenate Seriously? You've been in public service for 40something years and you could only find 12 w\xe2\x80\xa6 https://t.co/toW0jgkVw9"""
930999217560195072,2017-11-16 03:21:25,b'@MooreSenate Was that your come-on line to 14 year old little girls?'
930998748251115521,2017-11-16 03:19:33,b'@VaughnHillyard @MooreSenate Ooooooooooo.... The executive committee... Sounds fancy and important.'
930965704110755845,2017-11-16 01:08:15,b'@MooreSenate @seanhannity IX ... Thou shalt not bear false witness.'
930814857057914881,2017-11-15 15:08:50,"b""@CGAdamo @MooreSenate You should probably look up 'big words' like 'misogyny' before you use them."""
930813902383874049,2017-11-15 15:05:02,b'@Tracy_S_Webster @romanticskeptc @MooreSenate whoah'
930664180616712192,2017-11-15 05:10:06,b'@ClutchBucketz @MooreSenate The stone throwers are saying Roy Moore tried to rape a 14 year old girl. Are you sure\xe2\x80\xa6 https://t.co/jTGUV78qFH'
930663307438182400,2017-11-15 05:06:38,b'@MooreSenate 16 year olds? STRIKE 1\n14 year olds? STRIKE 2\n#roymoorepederast? STRIKE 3'
930451335207641088,2017-11-14 15:04:19,b'@realDonaldTrump The effed-up thing is I think this guy actually believes it.'
930262510237822976,2017-11-14 02:34:00,"b'A judge, a Christian, and a child rapist walk into a bar...\nAnd the bartender says, ""Hey Roy.""\n#RoyMoore #RoyMooreChildMolester'"
925695244091449344,2017-11-01 12:05:19,b'@realDonaldTrump @foxandfriends My pre-teen has more social grace and empathy than you.'
925355187350528000,2017-10-31 13:34:03,"b""@realDonaldTrump #hope You can hope in one hand and shit in the other... That's pretty much it. I basically imagine\xe2\x80\xa6 https://t.co/ixX37kGlG0"""
925041064817364992,2017-10-30 16:45:50,"b'@realDonaldTrump A previously-indicted president once said, ""That depends on what your definition of \'is\' is...""\n#MuellerMonday #TrumpRussia'"
924026752422334464,2017-10-27 21:35:20,b'@realDonaldTrump Child'
923184174642712576,2017-10-25 13:47:13,"b'@realDonaldTrump Republican senators line up to give the president a ""standing O"". \n#presidentialkink\n#standingO'"
920830732007870464,2017-10-19 01:55:29,b'@realDonaldTrump Wow! It took from 1896 to 1984 for the DOW to permanently get over a thousand! Best stock market ever!'
918206375112691712,2017-10-11 20:07:13,b'@realDonaldTrump woo. https://t.co/NDVgC6n0bS'
917756668489928711,2017-10-10 14:20:15,b'@realDonaldTrump @nytimes What does it MEAN?!?! #Liddle... the new #covfefe'
917755694954307584,2017-10-10 14:16:23,"b'@realDonaldTrump ""fast"" is an adjective. Just sayin\'.'"
917091498054832128,2017-10-08 18:17:06,"b'@VP @POTUS Ironically, your absence increased the dignity of the event.'"
914126821913976832,2017-09-30 13:56:32,b'@realDonaldTrump You are a terrible person.'
898591436148318208,2017-08-18 17:04:28,b'@realDonaldTrump I have detected that our commander in chief has an elevated status among Nazis. #danger #nazilover'
897871899128197120,2017-08-16 17:25:17,"b'@realDonaldTrump Only one congratulation, though.'"
897871490967851013,2017-08-16 17:23:39,b'@realDonaldTrump HAHAHAHAHAHAHA!!!! Thank you for that.'
880505202343804930,2017-06-29 19:16:13,"b'@realDonaldTrump What the hell, dude?'"
849016311124504582,2017-04-03 21:50:37,"b'@realDonaldTrump @FoxNews @FBI You are a busy, busy little bee.'"
846362880689815552,2017-03-27 14:06:50,"b'@realDonaldTrump Shut the fuck up, Donnie.'"
837674915885088771,2017-03-03 14:43:57,b'@realDonaldTrump @foxandfriends Like you read.'
837659124578070530,2017-03-03 13:41:12,"b""@realDonaldTrump yes! If the Republicans were in charge of the Senate this wouldn't be happening!"""
834952389543280644,2017-02-24 02:25:36,b'@realDonaldTrump So basically sell now?'
834952285281267712,2017-02-24 02:25:12,b'@realDonaldTrump can you name one of those people?'
834952198949847040,2017-02-24 02:24:51,"b""@realDonaldTrump I'm sure you'll have more to say."""
834952050056310786,2017-02-24 02:24:16,"b""@realDonaldTrump Exactly! Liberals aren't real people!"""
832417209741897728,2017-02-17 02:31:43,b'@realDonaldTrump dumb.'
832417040115843073,2017-02-17 02:31:02,"b""@realDonaldTrump Yes... that's it."""
832416835073167362,2017-02-17 02:30:13,"b'@realDonaldTrump when history looks back at this moment, it will surely be in the top trillion accomplishments of a president.'"
832053249578512384,2017-02-16 02:25:28,"b'@realDonaldTrump @liliantintori @marcorubio Donald should allow Melania, a political prisoner &amp; wife of Donald out of prison immediately.'"
