id,created_at,text
940330356976205824,2017-12-11 21:20:02,b'@realDonaldTrump @nytimes You are at war with reality. We side with reality and facts. We do not side with fear mon\xe2\x80\xa6 https://t.co/BYmWlPztW6'
940073512282218496,2017-12-11 04:19:25,b'@realDonaldTrump  https://t.co/tuQNvmQYEZ'
940073286213386240,2017-12-11 04:18:31,"b""@realDonaldTrump Can't even watch the video. Your voice is grating and you couldn't tell the truth if your life dep\xe2\x80\xa6 https://t.co/8fFiQI8sBg"""
940072822935654400,2017-12-11 04:16:41,"b""@realDonaldTrump So the rich are a little richer. I'm sure Republican doners are pleased."""
940072056846032897,2017-12-11 04:13:38,"b""@realDonaldTrump Fucking over the masses to give the mega rich a major hookup isn't special it's disgraceful."""
940071638049026048,2017-12-11 04:11:58,b'@realDonaldTrump Your fascism is showing. #TrumpRussia #LiarInChief https://t.co/zZDtFQaQCo'
939906639393472513,2017-12-10 17:16:20,b'https://t.co/9Sajyrgy7F'
938988183525588992,2017-12-08 04:26:43,b'@realDonaldTrump You are bat shit crazy'
938533165139869696,2017-12-06 22:18:38,b'@wokeluisa @realDonaldTrump Good for them\xf0\x9f\x91\x8f'
938532745088712704,2017-12-06 22:16:58,b'@Scavino45 @realDonaldTrump Fuck your wall. Spend that cash on Meal on Wheels.'
938532532676583425,2017-12-06 22:16:07,b'@realDonaldTrump There is an impeachment vote coming up to do just that. #Moron #TrumpRussia #LiarInChief\xe2\x80\xa6 https://t.co/F4OFpfuTaq'
938532089288200192,2017-12-06 22:14:21,b'@realDonaldTrump You #FuckingMoron you effectively removed America from the mid east peace process by symbolically\xe2\x80\xa6 https://t.co/Y63klIcTth'
938091381116956673,2017-12-05 17:03:08,"b'@realDonaldTrump Well, after dems finish a term the economy is stable. After every Republican leaves office for the\xe2\x80\xa6 https://t.co/cDXoAae7HW'"
938090600179449858,2017-12-05 17:00:02,"b'@realDonaldTrump The Republican party is now the party of pedophilia, racism, misogyny, willful ignorance of realit\xe2\x80\xa6 https://t.co/2hROgmeNek'"
938089595975098368,2017-12-05 16:56:03,b'RT @smdh_atloser45: @realDonaldTrump #25thAmendmentNow #Lunatic https://t.co/FgyfoVUEWl'
938089551322537984,2017-12-05 16:55:52,b'@realDonaldTrump Trickle down is a scam. Just like the scam we were protesting in SLC yesterday. Taking from the po\xe2\x80\xa6 https://t.co/9LWtIciCna'
937816842558566400,2017-12-04 22:52:13,b'RT @ALT_uscis: #unfollowMcCain needs to trend https://t.co/5f4gqOiOiV'
937765315378737152,2017-12-04 19:27:28,b'More good signs from Utah https://t.co/OT0yTwW3Ut'
937764503323676672,2017-12-04 19:24:15,b'Protester of the day award goes to this nice lady. Attacking them with their own religious beliefs. Had to Google G\xe2\x80\xa6 https://t.co/zu3z70OPrS'
937752244073590784,2017-12-04 18:35:32,b'fuck trump https://t.co/8vFm6LtD3q'
937747764594610176,2017-12-04 18:17:44,b'more from Utah https://t.co/fhICF6juF0'
937746433746255872,2017-12-04 18:12:26,b'protesting trump in SLC https://t.co/66SzCLIctH'
937745403226726400,2017-12-04 18:08:21,b'@realDonaldTrump the people of Utah say fuck you trump https://t.co/pbIYGVGoe9'
937744335289729024,2017-12-04 18:04:06,b'in utah https://t.co/iC7Ht4YNkT'
937709516811935745,2017-12-04 15:45:45,"b""RT @SLIndivisible: Hey #Indivisibles! Take a look at ya'll Saturday at the capitol warming up for @realDonaldTrump's arrival Mon. See ya'll\xe2\x80\xa6"""
