id,created_at,text
940377430535131137,2017-12-12 00:27:05,b'@realDonaldTrump Trump better worry about the 16 women that accuse him of unwanted advances. He calls them liars. H\xe2\x80\xa6 https://t.co/cn9F3yQT0R'
940270468119924736,2017-12-11 17:22:03,"b'@realDonaldTrump If ur in favor of the wall, put it in ur back yard, not mine.'"
940074646883336192,2017-12-11 04:23:56,b'@realDonaldTrump @daveweigel @washingtonpost That photo was from your inauguration dummy...haha'
940073564299960320,2017-12-11 04:19:38,b'@realDonaldTrump Lets have a contest and see who can predict the exact day and time of your impeachment.'
939953193651523590,2017-12-10 20:21:19,b'@cissie_flores @realDonaldTrump Not his...'
939701909958676481,2017-12-10 03:42:48,b'@BreakoffBetty @MRSSMH2 @realDonaldTrump @daveweigel @washingtonpost How can u stick up for Trump? He has u all hypnotized.'
938530508559888384,2017-12-06 22:08:04,"b""@Caffeine_Rules @BurningSands29 @CindyPeak @claws4truth @dicktalks @EdKrassen @Scavino45 U can't b serious about in\xe2\x80\xa6 https://t.co/uZNXKj7xG8"""
937830864242737152,2017-12-04 23:47:56,"b""@realDonaldTrump It's ok he is a pedophile tho huh? Shame on u."""
937502249898643456,2017-12-04 02:02:08,b'@realDonaldTrump Better worry about ur own reputation and not others.'
937413075816284165,2017-12-03 20:07:48,b'@RobinBrenizer @realDonaldTrump But this man wants to compare his IQ to anyone else. What a moron.'
936755398115250176,2017-12-02 00:34:25,b'@realDonaldTrump Who in their right mind is looking forward to getting locked up? Flynn is going to bring u and ur\xe2\x80\xa6 https://t.co/EU5FVv3YDn'
935273360782692353,2017-11-27 22:25:20,b'@realDonaldTrump Im voting Trump best fake President'
932797799254675457,2017-11-21 02:28:20,b'@QuackerDad @RyanZOnline @realDonaldTrump Put the wall up im ur backyard then.'
931730504654774272,2017-11-18 03:47:17,"b""@MrsS0S @jackomackay @Scottroby72 @realDonaldTrump Locker room talk he shouldn't have been doing for someone in his\xe2\x80\xa6 https://t.co/u3uPwNVvzT"""
931259597075050496,2017-11-16 20:36:04,"b""@Susan_4_Trump @m82ho @Yosaki_Mazuko @realDonaldTrump Ur patriotism has gone to ur head. Trump don't stand a chance\xe2\x80\xa6 https://t.co/xprzzwjUfq"""
930973767093903360,2017-11-16 01:40:17,b'@realDonaldTrump U are delusional at best.'
930160749925761025,2017-11-13 19:49:38,b'@jbest1302 @realDonaldTrump The list of lies is much longer than list of kept promises.'
929139240427978753,2017-11-11 00:10:32,"b""@realDonaldTrump I wouldn't expect u to blame anyone else. Not surprising"""
922993579244638208,2017-10-25 01:09:52,b'@realDonaldTrump This only goes to show everyone how poor your decisions are while you are in the White House. You\xe2\x80\xa6 https://t.co/B7QqgMCIXl'
922993197483282433,2017-10-25 01:08:21,b'@realDonaldTrump T'
922992476302073857,2017-10-25 01:05:29,b'@realDonaldTrump If'
922187188632244224,2017-10-22 19:45:33,"b'@realDonaldTrump Grow up. Ur supposed to b the leader of the worlds greatest country, instead u act like a 14 year old on Twitter.'"
921526350489546752,2017-10-20 23:59:37,b'@realDonaldTrump @NFL Funny that what Democrates say about you.'
905690290052325376,2017-09-07 07:12:46,"b'@realDonaldTrump Do what u say or in ur iwn words its ""FALSE NEWS"" U\'ve dine nothing whike in office except cause chaos.'"
905690108774494208,2017-09-07 07:12:03,"b'@realDonaldTrump Stop telling us what ur going to do and do it. U haven\'t done a thing while in office. Everything u say is ""FALSE NEWS.""'"
904024263237107713,2017-09-02 16:52:34,"b'@MonicaMary22 @Nardo_mahone @realDonaldTrump @FLOTUS @JBA_NAFW If u really believe what u just said about trans, th\xe2\x80\xa6 https://t.co/2Hok4BJvzo'"
903282703667159040,2017-08-31 15:45:53,b'@realDonaldTrump U go Trump. Got to get urs first. Screw john doe.'
