id,created_at,text
940366576166899712,2017-12-11 23:43:57,b'But he also slipped in the war position of us using science for war. He tipped our hat and now the race is on. How\xe2\x80\xa6 https://t.co/tnEB9TDLaj'
940365707283390464,2017-12-11 23:40:30,b'She is so clueless. She lives in that fake Christian world where they are constantly asking for forgiveness after t\xe2\x80\xa6 https://t.co/IcYcfIhmoA'
940363939593953280,2017-12-11 23:33:28,"b'RT @CNN: Democratic US Sen. Kirsten Gillibrand says President Donald Trump should resign over allegations of sexual misconduct: ""These alle\xe2\x80\xa6'"
940363699889455104,2017-12-11 23:32:31,b'@realDonaldTrump @nytimes So when your not golfing your watching TV? No wonder your the worse president of modern t\xe2\x80\xa6 https://t.co/3xSRjyP60Z'
940362904980697088,2017-12-11 23:29:22,b'This is grossly unfair and completely wrong and unconstitutional. This is also something the GOP is trying to sneak\xe2\x80\xa6 https://t.co/DgUm45JZgu'
940361690733883392,2017-12-11 23:24:32,b'This is bullshit. Why won\xe2\x80\x99t the court hear this case? No excuse. https://t.co/9H7VQ9epjF'
940361340018876416,2017-12-11 23:23:09,b'Make him!! You got a good man to quit his position in the senate so make Trump quit. Now. https://t.co/48KDK9CbUH'
940360878435610625,2017-12-11 23:21:19,"b'Our president having a coke problem is big news, it\xe2\x80\x99s bigger than some crazy person trying to kill himself over not\xe2\x80\xa6 https://t.co/8qiZ2szCjk'"
940360311596400640,2017-12-11 23:19:03,"b'So what, the president has a coke problem and that is big news. https://t.co/5BjcuAceuV'"
940360032025174016,2017-12-11 23:17:57,b'At least his coke problem will kill him. I just which it had killed him when he was 27 and not 71. https://t.co/0WPO9B5fBS'
940358893380689920,2017-12-11 23:13:25,"b'RT @kylegriffin1: Joyce Simmons, the GOP national committeewoman from Nebraska, has quit the RNC over the party\xe2\x80\x99s support of Roy Moore. htt\xe2\x80\xa6'"
940358858723115008,2017-12-11 23:13:17,b'RT @MuslimIQ: 4 Bangladesh Facts:\n\xe2\x80\xa2It is a 163M population democracy\xe2\x80\x94not a theocracy\n\xe2\x80\xa2It is NOT on the travel ban\n\xe2\x80\xa2Its Govt has banned terr\xe2\x80\xa6'
940358529365426176,2017-12-11 23:11:59,b'Sue the fuck out of him and his staff for slander. Do it now while the iron is red hot. https://t.co/IbA17FtPmq'
940358270962745344,2017-12-11 23:10:57,b'Because they know it favors the rich. They want us to remain stupid like his base. https://t.co/Rq9bfCovrM'
940358052917604352,2017-12-11 23:10:05,"b'RT @DavKat43: Russia has targeted both sides of politics, to foment civil distrust. #LittleKnownFacts https://t.co/EGk4KJ5ESM'"
940358014858551296,2017-12-11 23:09:56,b'RT @funder: There should be an immediate Congressional probe into every one of Trump\xe2\x80\x99s sexual assault allegations against him. RT if you ag\xe2\x80\xa6'
940357977944481793,2017-12-11 23:09:47,"b'Fire is ass. Take away his top secret clearance to start with. This man cannot be trusted, period end of story. https://t.co/yPemJbELfY'"
940357544530264065,2017-12-11 23:08:04,"b'RT @ava: His work brought national attention to the murder of Emmett Till, which became one of the flashpoints for the civil rights movemen\xe2\x80\xa6'"
940357425659486208,2017-12-11 23:07:35,"b'2/2 That\xe2\x80\x99s why California is the 5th largest economy in the world. And a leader in computers, ride sharing, organic\xe2\x80\xa6 https://t.co/iW3SozVtgf'"
940356783855452160,2017-12-11 23:05:02,b'If America followed the lead of Jerry Brown our whole country would be in as good a shape as California is. Leader\xe2\x80\xa6 https://t.co/2dYfktI4Xo'
