id,created_at,text
940101039591534593,2017-12-11 06:08:48,b'@realDonaldTrump Some of us believe we served our country in order to protect the rights of Americans to exercise t\xe2\x80\xa6 https://t.co/rjb82uxNLo'
940100634476298240,2017-12-11 06:07:12,"b'@realDonaldTrump @CNN Again, no fake outrage when Fox News reports lies. Why is that? No call for the Fox News repo\xe2\x80\xa6 https://t.co/KesvvJ9x5Y'"
940100419862216704,2017-12-11 06:06:20,b'@realDonaldTrump That slogan is already taken - by Fox News. Sorry! https://t.co/200UjthWNb'
940100272881221632,2017-12-11 06:05:45,"b""@realDonaldTrump @daveweigel @washingtonpost And Fox News incorrectly reported that he'd been fired when he hadn't.\xe2\x80\xa6 https://t.co/Z7w31cYtKz"""
940099999827816450,2017-12-11 06:04:40,"b""@realDonaldTrump @daveweigel So I'm guessing the guy on Fox News should also be fired for reporting fake news? Why\xe2\x80\xa6 https://t.co/Q4gyZM37Gm"""
940099709166690304,2017-12-11 06:03:31,"b""@realDonaldTrump That is true. I haven't heard you once attack Fox News for their faulty reporting. Why is that? https://t.co/200UjthWNb"""
940079120938967045,2017-12-11 04:41:42,b'@Newsweek She should be worrying about her own legal problems with her 100+ mph speeding ticket she has to answer t\xe2\x80\xa6 https://t.co/6jrMwJUgyV'
939989749955268608,2017-12-10 22:46:35,b'@Bob_Casey Shame on your for being a part of the lynch mob demanding Sen Franken resign! Nothing like telling the A\xe2\x80\xa6 https://t.co/A3xURaCglg'
939987578878615559,2017-12-10 22:37:57,"b""@Bencjacobs He's got a point. Underage women in Alabama are 5 years old."""
939987026836893702,2017-12-10 22:35:45,"b""RT @Bencjacobs: 'Alabama deserves better': Republican breaks with party to denounce Moore https://t.co/xwApxrsulq"""
939986807894274051,2017-12-10 22:34:53,"b""@Bencjacobs The man's a coward. That's not news. But I'm sure his bone spur was acting up, so he had to leave quickly"""
939986395820707840,2017-12-10 22:33:15,"b'@Stowydad @Bencjacobs I agree. This nations is SUPPOSED to run on the premise of ""innocent until proven guilty"" I\'m\xe2\x80\xa6 https://t.co/LAmaVLIjxR'"
939984943521976320,2017-12-10 22:27:29,"b""@jaketapper @Bencjacobs @nikkihaley People are too hung up with this whole Merry Christmas BS. One shouldn't care i\xe2\x80\xa6 https://t.co/Vj5oZWxREF"""
939983857973153794,2017-12-10 22:23:10,"b""@JoyAnnReid The Dems will continue to lose. We've seen how they'll throw one of their best under the bus to appear\xe2\x80\xa6 https://t.co/hUbae5Tian"""
939983389716774913,2017-12-10 22:21:18,"b""@CNN Yeah, that's why there's so much violence and destruction since Trump's announcement.....because it will move\xe2\x80\xa6 https://t.co/y13lX2D7R1"""
939605078763364358,2017-12-09 21:18:02,b'@realDonaldTrump Are you EVER at the White House doing your job?????'
939604493402075136,2017-12-09 21:15:42,"b'@Newsweek And it\'s nothing but ""reality"" shows like The Real Housewives, Toddlers &amp; Tiaras, and WWF wrestling'"
939604013259124737,2017-12-09 21:13:48,"b""@thedailybeast While Eric seems the obvious choice, I'd still have to vote for Jr. Eric at least looks like parents\xe2\x80\xa6 https://t.co/jUhIPu6r4A"""
939374898362961920,2017-12-09 06:03:23,"b""@SenateGOP and @HouseGOP would be wise to read this OpEd that was in the @nytimes Watch 45's falling poll numbers a\xe2\x80\xa6 https://t.co/bgif9SrcWl"""
939345336165982209,2017-12-09 04:05:54,"b""@KamalaHarris @SenFranken was a senator with integrity, too. But y'all sacrificed him before even knowing if the ac\xe2\x80\xa6 https://t.co/Pld4pcLKpN"""
939344337351118848,2017-12-09 04:01:56,"b'@KamalaHarris And ""innocent until proven guilty"" shouldn\'t just be for the Republicans. Shame on you for throwing S\xe2\x80\xa6 https://t.co/Jwa2toKrb6'"
939257840044331010,2017-12-08 22:18:14,"b""@GeorgeTakei @actdottv I don't think you can blame childhood obesity on school lunches. But this is the one and onl\xe2\x80\xa6 https://t.co/qtYYtJSdN2"""
938875047250485249,2017-12-07 20:57:09,b'@Newsweek Neither will his truthfulness'
938869933508833280,2017-12-07 20:36:50,"b'@GovMikeHuckabee Nice that u have such a closed mind to be able to judge others while calling urself a ""christian.""\xe2\x80\xa6 https://t.co/aw8rZwWlFR'"
938868961738928129,2017-12-07 20:32:58,b'@GovMikeHuckabee Guess you conveniently missed ALL the time #Franken DID apologize before today. But nice you ignor\xe2\x80\xa6 https://t.co/0WbOR3eeJj'
938868065726582790,2017-12-07 20:29:24,"b""@DonaldJTrumpJr #Franken had honor &amp; stepped down. Your father has no honor so he won't resign. Neither will Moore.\xe2\x80\xa6 https://t.co/nkGiMqEcKC"""
938866996862771201,2017-12-07 20:25:10,"b""@DonaldJTrumpJr But you're rich, so it's okay if you're stupid. Life won't be hard for you cuz you have daddy's money to make it easy."""
938620925456650240,2017-12-07 04:07:22,"b""@XxKyleB @TomiLahren Because then she'd have to own her racism instead of denying it"""
938620637735735296,2017-12-07 04:06:13,b'@TomiLahren  https://t.co/LCUHcnDWbC'
938620549835747329,2017-12-07 04:05:52,b'@TomiLahren What branch of the service did YOU serve your country in? I served in the Marine Corps. And as a vetera\xe2\x80\xa6 https://t.co/lhtXynOoWC'
938620062696697858,2017-12-07 04:03:56,"b""@TomiLahren No. THIS is how low we've become (but you won't talk about this) https://t.co/0FlnrX7Hh7"""
