id,created_at,text
940382905527930891,2017-12-12 00:48:50,b'@GarbonzoShwartz @dhaydenrhodes @mypallymac @myserenity69 @EdKrassen @IRdotnet @realDonaldTrump Which will be quite soon then \xf0\x9f\x98\x89'
940361031263621123,2017-12-11 23:21:55,b'@realDonaldTrump @nytimes https://t.co/PLP9oHkpJn'
940357569784279040,2017-12-11 23:08:10,b'@GarbonzoShwartz @dhaydenrhodes @mypallymac @myserenity69 @EdKrassen @IRdotnet @realDonaldTrump And once again you\xe2\x80\xa6 https://t.co/WTatQjUY5m'
940341962258964482,2017-12-11 22:06:09,b'@GarbonzoShwartz @dhaydenrhodes @mypallymac @myserenity69 @EdKrassen @IRdotnet @realDonaldTrump And once again... https://t.co/lT6eVXfyP6'
940341565746270208,2017-12-11 22:04:34,b'@bavgee @myserenity69 @EdKrassen @IRdotnet @realDonaldTrump Haha loving the hypocrisy from the moral right!'
940340267374333952,2017-12-11 21:59:25,"b""@monte_cantu @myserenity69 @libdelta9 @EdKrassen @IRdotnet @realDonaldTrump So wait? She's insane because she poste\xe2\x80\xa6 https://t.co/AOgSMo9Umy"""
940339411811790849,2017-12-11 21:56:01,b'@GarbonzoShwartz @dhaydenrhodes @mypallymac @myserenity69 @EdKrassen @IRdotnet @realDonaldTrump  https://t.co/smZEb5VwYD'
940098444764487682,2017-12-11 05:58:30,"b""@myserenity69 @EdKrassen @IRdotnet @realDonaldTrump It's amazing how much this man contradicts himself. Only when h\xe2\x80\xa6 https://t.co/sgcDltNkkQ"""
940095934687408128,2017-12-11 05:48:31,b'@hrenee80  https://t.co/YM9zNCf6Ud'
940095755393515521,2017-12-11 05:47:48,b'@The_Trump_Train @WayneHa13165238 https://t.co/PLP9oHC0AV'
940094365799559172,2017-12-11 05:42:17,b'@realDonaldTrump @FoxNews What? You mean the same Fox News you used to criticize? \n\nhttps://t.co/PLP9oHC0AV'
940091478721695749,2017-12-11 05:30:49,"b""@myserenity69 @EdKrassen @IRdotnet @realDonaldTrump Hey Susan. Just thought I'd post this under your comment. You k\xe2\x80\xa6 https://t.co/l90t9ir3GX"""
939744320223051777,2017-12-10 06:31:20,b'@ke7I3hrByxNEq5b @FlamesFan_Josh @pnehlen @realDonaldTrump  https://t.co/Vu95Ix5afK'
939738148912943104,2017-12-10 06:06:48,b'@EggingP @lterdner @SilkyJohnson23 @MarkHam57985198 @realDonaldTrump  https://t.co/xnpjX0aopL'
939538078875770880,2017-12-09 16:51:48,b'@EggingP @lterdner @SilkyJohnson23 @MarkHam57985198 @realDonaldTrump And every pro trump comment Also has no proof behind it.'
939537670912561152,2017-12-09 16:50:11,b'@DonnaWR8 @realDonaldTrump  https://t.co/jFyz3Nk03u'
939486419684413441,2017-12-09 13:26:31,b'@realDonaldTrump @CNN  https://t.co/Zp5uiwzL5s'
939486274506944512,2017-12-09 13:25:57,b'@realDonaldTrump  https://t.co/849yP6e32g'
939332503873220609,2017-12-09 03:14:55,"b""@realDonaldTrump Fake News! Get 'em outta here!"""
939301834187042816,2017-12-09 01:13:03,b'@miamistreet_ @CROWENATION2016 @janephd1 @realDonaldTrump A Triggered Trump Supporter'
939301351317786624,2017-12-09 01:11:08,b'@jordanXrachel @realDonaldTrump  https://t.co/M3VoDGSUSg'
939298334912729090,2017-12-09 00:59:09,b'@45isMyGuy @justlyndsay @realDonaldTrump Trump supporters in a Nutshell https://t.co/WaBSnnTBg8'
939297295572627457,2017-12-09 00:55:01,b'@realDonaldTrump Corrupt elderly rich white men stick together eh?'
938933458096787456,2017-12-08 00:49:15,"b""@BaileyPittipat @realDonaldTrump @foxandfriends Dr Seuss? Really? Come on now you know that's WAY too advanced for Donald."""
938932765382365184,2017-12-08 00:46:30,"b""RT @lainla: @ExDemLatina @realDonaldTrump it's going great!\nMUCH FASTER than watergate.\nthanks for asking!\n#ImpeachTrump #TheResistance htt\xe2\x80\xa6"""
938932723359633408,2017-12-08 00:46:20,b'@kjk0709 @ExDemLatina @realDonaldTrump  https://t.co/hhm397X5Ka'
938931935455383552,2017-12-08 00:43:12,b'@BrianWilt1 @jasonbaum @krassenstein @DaveWeasel @realDonaldTrump Syllables'
938563407271333888,2017-12-07 00:18:48,b'RT @IFeelSoFunky: @gregoreo2373 @SenSanders  https://t.co/7FWdrerEFC'
938563305731428352,2017-12-07 00:18:24,b'@peg1955 @iwbtg231 @jrazgolfer60 @RednickieP @gregoreo2373 @SenSanders TRIGGERED!!!'
938537879009144834,2017-12-06 22:37:22,"b'@Scavino45 @realDonaldTrump If the senate gets wind of our project, countless systems will flock to the rebellion!'"
938189430560522241,2017-12-05 23:32:45,b'@matthew_medsger @TrumpWonAlready @realDonaldTrump Careful. You know Trump supporters are easily Triggered at the s\xe2\x80\xa6 https://t.co/y3SL1juTPY'
938188734025142279,2017-12-05 23:29:59,b'@TomEric62767928 @unicornucopia1 @sea2_lin @DavidKazzie @realDonaldTrump  https://t.co/hs3uaK2d9b'
938188424032538624,2017-12-05 23:28:45,b'RT @unicornucopia1: @sea2_lin @DavidKazzie @realDonaldTrump  https://t.co/KcUhVlQwde'
938187555106942976,2017-12-05 23:25:18,b'@DonnaWR8 @realDonaldTrump  https://t.co/mtafjyKxc1'
938184198451531776,2017-12-05 23:11:58,"b""@RandomMcNally1 @ConnallTara @yugiohtas I don't like Sand"""
937831941558161408,2017-12-04 23:52:13,b'@realDonaldTrump Thousands of Republicans way more qualified and this is the moron they vote for?'
937827841370095616,2017-12-04 23:35:56,b'@staciecramer71 @realDonaldTrump @foxandfriends Huh. Go figure.'
937826311199969280,2017-12-04 23:29:51,b'@JeffJ318 @realDonaldTrump @foxandfriends @POTUS Which one? Washington? Lincoln? Roosevelt?'
937808177915146241,2017-12-04 22:17:47,b'@realDonaldTrump Trump and his supporters have been getting easily Triggered a lot these days.'
937439882686926848,2017-12-03 21:54:19,"b""@marcoslinville @realDonaldTrump Trump if he had Agent Smiths copy power... ...I'm sorry. I didn't mean to give you guys nightmares."""
937415214785552390,2017-12-03 20:16:18,b'@realDonaldTrump  https://t.co/CAa5vEFoqC'
937333652857524226,2017-12-03 14:52:12,"b""@realDonaldTrump Someone's getting nervous."""
937333255283625984,2017-12-03 14:50:37,b'@dbongino Total arsehole. They should hang the wee bastard!'
937100488193003520,2017-12-02 23:25:41,b'@Truuthguy @charles_gaba @realDonaldTrump Deflection. The Trump supporters favored technique for arguments.'
937036458359230464,2017-12-02 19:11:15,b'@ShannonSailer @HaploLHU @AndrewjG79 @BUDDHA_DRAGON1 @maddie1776 @Sm07135588 @DamianJHallmark @JacobAWohl\xe2\x80\xa6 https://t.co/lA1DwogdKQ'
937035523792744448,2017-12-02 19:07:32,b'@teamfourstar @DBFGenerator This is just superb! :)'
937034838791675904,2017-12-02 19:04:49,b'@ShannonSailer @HaploLHU @AndrewjG79 @BUDDHA_DRAGON1 @maddie1776 @Sm07135588 @DamianJHallmark @JacobAWohl\xe2\x80\xa6 https://t.co/ogDaQylhOv'
937032716624777216,2017-12-02 18:56:23,b'@ShannonSailer @HaploLHU @AndrewjG79 @BUDDHA_DRAGON1 @maddie1776 @Sm07135588 @DamianJHallmark @JacobAWohl\xe2\x80\xa6 https://t.co/bnL8J2w56J'
937031441854103552,2017-12-02 18:51:19,b'@BiggerBennyBoys Jawohl! Covfefe!'
936789951311634438,2017-12-02 02:51:43,"b'@lisa_toal @realDonaldTrump I thought they were called ""Alternative facts""'"
936716278093565964,2017-12-01 21:58:58,b'@realDonaldTrump Trumps been Triggered more times than an extreme conservative or liberal!'
936715432530202624,2017-12-01 21:55:37,b'@SnoflakeMelter @ScottNevins Haha \xf0\x9f\x98\x84'
936715069127348224,2017-12-01 21:54:10,b'@SnoflakeMelter @ScottNevins Because it was a joke'
936714500421627905,2017-12-01 21:51:54,"b""@SnoflakeMelter @ScottNevins Oh look at you so easily Triggered \xf0\x9f\x98\x84No seriously I'm actually in the middle. I just can't stand Trump."""
936711248196104192,2017-12-01 21:38:59,b'@SnoflakeMelter @ScottNevins Damn. Not often you see a Trump supporter actually admit that. Your in the road to recovery mate \xf0\x9f\x91\x8d'
936709009868050433,2017-12-01 21:30:05,b'@SnoflakeMelter @ScottNevins To avoid answering the question. Just like you did once again \xf0\x9f\x91\x8d'
936655032174436353,2017-12-01 17:55:36,"b""@skinnywhiz @boomrspnk @jhall22222 @SPEEL01 @ChrisEgonSearle @GregShugar @realDonaldTrump 'Descent' money?"""
936639455162785793,2017-12-01 16:53:42,"b""@SnoflakeMelter @ScottNevins ...but when it's just a fetus and it's barely a couple of days old? In that case it IS\xe2\x80\xa6 https://t.co/sI30h84XAn"""
936638779548368896,2017-12-01 16:51:01,"b""@SnoflakeMelter @ScottNevins So is the majority of the world. Now, aborting a baby when they're just about to be bo\xe2\x80\xa6 https://t.co/1HD87AfFhU"""
936637786324656128,2017-12-01 16:47:04,b'@SnoflakeMelter @ScottNevins  https://t.co/VQzxDdaJaz'
936595583787323393,2017-12-01 13:59:22,b'@SnoflakeMelter @ScottNevins Why you like Trump.'
936573247554023424,2017-12-01 12:30:37,"b'@realDonaldTrump Oh hi Pot, names Kettle have we met?'"
936571334406090753,2017-12-01 12:23:01,"b""@VikkiRhoan @realDonaldTrump But Vikki, don't you know? It's all about appeasing the 1%. That's what his working cl\xe2\x80\xa6 https://t.co/3bgGCZ9c7i"""
