id,created_at,text
940268688325750784,2017-12-11 17:14:59,b'@realDonaldTrump @nytimes Questioning the wisdom of your actions as President doesn\xe2\x80\x99t make the news Fake. It makes it credible! SHUT UP!'
940085046240669698,2017-12-11 05:05:15,b'@ABC What if America demands it?!!'
940084049099374592,2017-12-11 05:01:17,b'@greenfield64 @Lawrence @CNNPolitics Another crazy man in Washington!!!!'
940083546433118208,2017-12-11 04:59:18,"b'RT @cnnbrk: For the first time in US history, the Interior Department will likely approve a plan to carve a new road through a protected wi\xe2\x80\xa6'"
940083433648168965,2017-12-11 04:58:51,"b'RT @cnnbrk: Alabama Senate candidate Roy Moore said in a 2011 interview that getting rid of amendments after the 10th would ""eliminate many\xe2\x80\xa6'"
940083274298269698,2017-12-11 04:58:13,b'RT @GDouglasJones: I can work with Senator Shelby better than Roy Moore can work with anybody. https://t.co/Hub1Czz5Au'
940083075450421248,2017-12-11 04:57:25,"b'RT @SarahKSilverman: Dear Alabama,\nPlease watch this 1 min interview before you decide who you are going to be on Tuesday. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/\xe2\x80\xa6'"
940080372041203712,2017-12-11 04:46:41,b'@realDonaldTrump YOU ARE A STAIN ON AMERICA!'
940080106076233728,2017-12-11 04:45:37,b'@realDonaldTrump Every middle and low income citizen will have taxes raised!  JUST WATCH!'
940079665066131457,2017-12-11 04:43:52,b'@realDonaldTrump @CNN Gross Insecurity on the part of TRUMP!'
940079433020403712,2017-12-11 04:42:57,b'@realDonaldTrump Countless bad things in these tax proposals!!'
940077723661168641,2017-12-11 04:36:09,b'@realDonaldTrump why do you constantly feel the need to compare yourself to those who have come before?  INSECURE MUCH!'
940077320487837703,2017-12-11 04:34:33,"b'@realDonaldTrump All your promises were dangerous, foolish, bigoted, and for the rich.'"
940076800155123714,2017-12-11 04:32:29,b'@ThisWeekABC we can pray that happens!!'
940076529161191424,2017-12-11 04:31:24,b'@samstein Mr. Franken is a fine man and has been great Senator! He knows he needs to reframe his behavior toward women.  How bout Mr. Trump?'
940073989665202176,2017-12-11 04:21:19,b'@realDonaldTrump Many of us believe that we are free to choose whether to stand for the anthem.  It\xe2\x80\x99s in the CONSTITUTION!'
938511670900436993,2017-12-06 20:53:13,"b'@KTVU Sad, but probably the right thing for him to do.'"
938510943763308544,2017-12-06 20:50:20,"b'@thehill Kellyanne, You are such a w...re'"
938509858004799488,2017-12-06 20:46:01,b'@KTVU District is APOLOGIZING? Will they be paying all penalties incurred!?'
938509293887799296,2017-12-06 20:43:46,b'@ABC Let\xe2\x80\x99s see how GOP  vs Dems vote!'
938508979658883072,2017-12-06 20:42:32,b'@ABC PRIDE?!'
938507515796455424,2017-12-06 20:36:43,b'@ABC Like the GOP isn\xe2\x80\x99t?'
938507387379490816,2017-12-06 20:36:12,b'@realDonaldTrump Did you do that for the NAVAJO?!'
938506903751073792,2017-12-06 20:34:17,b'@GDouglasJones ABSOLUTELY!'
938506751795593216,2017-12-06 20:33:40,"b'@SenKamalaHarris You are probably right, what a sad thing!!'"
938506074637852672,2017-12-06 20:30:59,"b'RT @maddow: ""Of the 38 experts who responded, 37 said Republicans were wrong that the plan would pay for itself. The 38th said he misunders\xe2\x80\xa6'"
938505957398556672,2017-12-06 20:30:31,b'RT @Lawrence: What?! But Trump said ... https://t.co/K2PrYLbnJ3'
938505822698553344,2017-12-06 20:29:59,b'RT @SenSanders: Keep. Your. Word. https://t.co/KypNYrBq82'
938505642041524225,2017-12-06 20:29:16,b'@ABC NAZI!'
938504058481942528,2017-12-06 20:22:58,b'@cnnbrk He\xe2\x80\x99s inviting another Benghazi!'
938502943778549760,2017-12-06 20:18:32,b'@cnnbrk Sleaz bag!'
938502643562856448,2017-12-06 20:17:21,b'@ABC Cost is unimportant!  Get to the bottom of it!!'
