id,created_at,text
940095170665529348,2017-12-11 05:45:29,b'@Jonny8630 @cutiekimmy704 @JimGosby @ShephardAdam @US_Citizen_Joe @realDonaldTrump Or use collaborate instead of co\xe2\x80\xa6 https://t.co/YvUgWeI294'
940094483584057344,2017-12-11 05:42:45,b'@Magickofme @ShephardAdam @cutiekimmy704 @US_Citizen_Joe @realDonaldTrump  https://t.co/8AbMME2Nh4'
940094319423135745,2017-12-11 05:42:06,b'@ShephardAdam @cutiekimmy704 @US_Citizen_Joe @realDonaldTrump Not a cop. Not even a person.'
940094188854509571,2017-12-11 05:41:35,b'@cutiekimmy704 @US_Citizen_Joe @realDonaldTrump Trollbot is not a cutie https://t.co/TdNo1YvVxa'
940093425940029441,2017-12-11 05:38:33,b'@realDonaldTrump Is this supposed to be profound? A new idea? What is wrong with you?'
940093109181988865,2017-12-11 05:37:17,"b""@realDonaldTrump @daveweigel You're a loser."""
940093000218054656,2017-12-11 05:36:51,b'@realDonaldTrump @daveweigel @washingtonpost Whiner.'
940092745485447169,2017-12-11 05:35:51,b'@realDonaldTrump Liar.'
940090811374493698,2017-12-11 05:28:10,"b'RT @RealMikeDanner: @realDonaldTrump Yet you haven\xe2\x80\x99t withdrawn a single lie you\xe2\x80\x99ve made. I\xe2\x80\x99d list them all, but twitter would have to make\xe2\x80\xa6'"
940090703299747843,2017-12-11 05:27:44,b'@sherbertsonnv @beck_aunt @realDonaldTrump @StacyLStiles  https://t.co/viQpWytyBc'
940090521774563328,2017-12-11 05:27:01,b'@ianarthure @realDonaldTrump  https://t.co/vGycvzqSEo'
940090332309368832,2017-12-11 05:26:15,"b""RT @ItsOkayItsFine: @rudepundit Right after the press conference with Melania's immigration paperwork https://t.co/ALgleYMPQU"""
940090122032136193,2017-12-11 05:25:25,b'@realDonaldTrump  https://t.co/CkfpKdYpxv'
939144821855473664,2017-12-08 14:49:08,b'@Fagan1946 @CrainsChicago Sure you did. https://t.co/EVqaoa8Mz4'
938989743303409665,2017-12-08 04:32:55,b'@pmccarthy60 @rjc41276 @realDonaldTrump  https://t.co/aV93qR8thW'
938987820496044033,2017-12-08 04:25:16,b'@Scarlett4281950 @POTUS @BarackObama  https://t.co/vYAckzZO4L'
938986311289012224,2017-12-08 04:19:16,b'@Fagan1946 @CrainsChicago Do you have any idea what socialism is? Barack Obama is in no way whatsoever a socialist.'
938985693103214593,2017-12-08 04:16:49,b'@Immokalee69 @Theresa87875060 @lindseyvonn And people give zero cents what you think.'
934939611910033408,2017-11-27 00:19:08,b'.'
