id,created_at,text
940087987030732801,2017-12-11 05:16:56,b'@realDonaldTrump @jeepsuzih2 Merry Christmas!!'
939621202175373312,2017-12-09 22:22:06,b'@RealJamesWoods @jjauthor Get out! Now!'
939268213078142981,2017-12-08 22:59:27,"b'@yogagenie I\xe2\x80\x99m sure he\xe2\x80\x99ll bring it up again on Face The Nation, too!'"
939267505280966657,2017-12-08 22:56:38,b'@w_terrence You really should go!!'
938842403468906501,2017-12-07 18:47:26,b'@Lrihendry @Hosanna71010988 Been working/employed since I was 12 years old!'
938244032194588672,2017-12-06 03:09:43,b'@Jali_Cat @redhead4645 @CNN @MSNBC @nbc @washingtonpost @nytimes Fake news!!'
934826295162269697,2017-11-26 16:48:51,b'@CharlieDaniels Thank you!'
934490818991263744,2017-11-25 18:35:47,"b""RT @SteveBannen: Retweet if you call on John McCain to be 'booted' from the Senate."""
934463419641626630,2017-11-25 16:46:55,b'RT @AmericanHotLips: \xf0\x9f\x98\x8d\xf0\x9f\x98\x8e\xf0\x9f\x90\xbeMy non political tweet of the day. Ok this Golden struck GOLD w this fam. *Volume up* This guy is livin large\xf0\x9f\x98\x8d\xf0\x9f\xa4\xa3\xf0\x9f\x90\xbe #D\xe2\x80\xa6'
934439045064773633,2017-11-25 15:10:04,b'@CharlieDaniels Thank you for all you do and say.  You are an inspiration to us all!'
932811739841880064,2017-11-21 03:23:44,"b'RT @ThomasSowell: ""Too many journalists see their work as an opportunity to promote their own pet political notions, rather than a responsi\xe2\x80\xa6'"
930262301491515392,2017-11-14 02:33:10,"b""RT @crusher614: Joe Biden entertaining the idea of a Presidential run In 2020....\n\nLet's send a clear message now- Retweet if you would nev\xe2\x80\xa6"""
928288921250877446,2017-11-08 15:51:40,b'@ChristiChat Good question!'
927939899503857664,2017-11-07 16:44:46,"b'RT @bluegrassSIR: 736 Andover Village Drive, Lexington, KY $389,900 #bgsir https://t.co/jXjBfj8Mkf https://t.co/lNgrjjH2yt'"
907649022567088132,2017-09-12 16:56:04,b'RT @NickKuk: This guys saving dogs!!! #hurricane #storm #miami #irma https://t.co/FreNqNXgFG'
