id,created_at,text
940072794124984320,2017-12-11 04:16:34,"b'@northjersey See ya, wouldn\xe2\x80\x99t want to be ya'"
940072516554330114,2017-12-11 04:15:28,b'@realDonaldTrump #bigotinchief'
940072327970144256,2017-12-11 04:14:43,b'@realDonaldTrump @daveweigel #LiarInChief'
940072196000555008,2017-12-11 04:14:11,b'@realDonaldTrump #LiarInChief'
940072097019133958,2017-12-11 04:13:48,b'@realDonaldTrump #LiarInChief'
940071998973100032,2017-12-11 04:13:24,b'@realDonaldTrump #LiarInChief'
939524604879663106,2017-12-09 15:58:15,"b'RT @BobKlap: Opposing team pitching coach: ""Judge, Stanton, Sanchez...just don\'t make any mistakes.""\n\nOpposing team starter: ""You think?""'"
939524536353087489,2017-12-09 15:57:59,b'Welcome to da Bronx @Giancarlo818  \xe2\x9a\xbe\xef\xb8\x8f'
939374022151868416,2017-12-09 05:59:54,b'@realDonaldTrump Huh?  You mean like destroy our leadership position in the world?  Or getting away with sexual abuse?  Please advise.'
937737406681440256,2017-12-04 17:36:34,b'RT @MMFlint: The only thing left to decide about Trump is do we try him as an adult?'
934275953508995073,2017-11-25 04:21:59,"b'@Chilling73 @realDonaldTrump \xe2\x80\x9cWhat, me govern?\xe2\x80\x9d'"
934275537018740736,2017-11-25 04:20:20,b'RT @GR8FL: @padraigelmundo @realDonaldTrump https://t.co/mT7UQsFmBs'
934275508874940416,2017-11-25 04:20:13,"b'@realDonaldTrump That from the king of fake news.  Did you forget to take your meds again, Donny? #insane'"
930985158643240960,2017-11-16 02:25:33,b'RT @RobynUrback: Treasury Secretary Mnuchin re-creates his marriage proposal to wife Louise Linton on a visit to the Bureau of Engraving an\xe2\x80\xa6'
923578280699219969,2017-10-26 15:53:16,b'@YankeesWFAN Wow'
922975388392919040,2017-10-24 23:57:35,b'@realDonaldTrump Ooh you\xe2\x80\x99re so beloved.  \xf0\x9f\x98\xb3 Think I just threw up a little in my mouth @POTUS'
922975015410249728,2017-10-24 23:56:06,b'When did MLB start accepting hillbillies? #WorldSeries2017 #WorldSeries'
922899514427625472,2017-10-24 18:56:05,"b'@realDonaldTrump Put a Cork in it @POTUS - go do your job and stop all your childish, lying, distracting tweets. Sad'"
922898319348813824,2017-10-24 18:51:20,b'RT @nicoleraye_: Let\xe2\x80\x99s go @Giants! #nygiants #giantspride #newyorkgiants https://t.co/179p8PiY4w'
921956098441138176,2017-10-22 04:27:17,b'@KeithOlbermann @realDonaldTrump What an unmitigated douche'
921955509103747072,2017-10-22 04:24:57,"b'RT @Yankees: Final: Astros 4, Yankees 0.\n\nIt was a heck of a ride, Yankees fans.'"
921955476153208832,2017-10-22 04:24:49,b'RT @kczar18: Can\xe2\x80\x99t wait to see what the next 15+ years have in store for this franchise. Helluva season boys \xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb'
918294186536947713,2017-10-12 01:56:09,b'@BobKlap And they got a good shot - should have pulled him sooner'
