id,created_at,text
940367866657779712,2017-12-11 23:49:05,b'@realDonaldTrump @nytimes And you are the dumbest man ever to occupy the White House. Did Daddy buy your way through school?'
940367430857015296,2017-12-11 23:47:21,b'@jtown1970 @ButImAWoofer @WestWingReport @realDonaldTrump Do you know what exponentially means?  It means to the po\xe2\x80\xa6 https://t.co/cZvnfxe4P6'
940366408596185089,2017-12-11 23:43:17,b'@jtown1970 @ButImAWoofer @WestWingReport @realDonaldTrump You have to take into account inflation as well.'
940364869945016323,2017-12-11 23:37:10,b'@realDonaldTrump % wise 2009 and 2013 were better than 2017.  We ALL have Obama and Yellen to thank.'
940363856336973825,2017-12-11 23:33:09,b'@realDonaldTrump Special Merry Christmas to my 90 year old mom who just has enough to pay for her nursing home unti\xe2\x80\xa6 https://t.co/zJvFO5SwfV'
940362641234526208,2017-12-11 23:28:19,b'@realDonaldTrump @nytimes Don is black. So not surprised you would single him out.  Racist trash talk.  Your father teach you racism!?'
940083677463166976,2017-12-11 04:59:49,b'@realDonaldTrump @CNN Desired being satirical if you know what that word means'
940083436206800897,2017-12-11 04:58:51,b'@realDonaldTrump @CNN Desired being satirical.'
940083086787723264,2017-12-11 04:57:28,b'@realDonaldTrump @CNN Watch last week\xe2\x80\x99s South Park?  Town Sheriff\xe2\x80\x99s speech and his Fox trap was the best satire on\xe2\x80\xa6 https://t.co/7Lhi38GwUm'
940081332285083649,2017-12-11 04:50:30,b'@realDonaldTrump @daveweigel @washingtonpost Small arena.'
940079805738860545,2017-12-11 04:44:26,b'@realDonaldTrump Little discussion because we know your premise is a lie.  Putin took control of critical media in\xe2\x80\xa6 https://t.co/X73U3qqbk7'
940079018837139457,2017-12-11 04:41:18,b'@realDonaldTrump Mean time bump stocks are ok with Repubs like you.'
940078446809464833,2017-12-11 04:39:02,b'@jodyncali @GOPPollAnalyst @VicLovesAnimals @realDonaldTrump @FLOTUS @Lakyn_Jones @ChrisEvans @danawhite You post t\xe2\x80\xa6 https://t.co/tg8TyGTRRn'
940077902997086208,2017-12-11 04:36:52,b'@GOPPollAnalyst @realDonaldTrump @FLOTUS @Lakyn_Jones @ChrisEvans @danawhite Fighting is not the answer to bullying\xe2\x80\xa6 https://t.co/Q4bum84Pon'
940077338997415937,2017-12-11 04:34:38,b'@realDonaldTrump Why don\xe2\x80\x99t you \xe2\x80\x9cwithdraw\xe2\x80\x9d your lies?  You are a vulgar moron in debt to Russia. Quit now before Ame\xe2\x80\xa6 https://t.co/Fzrp53xYME'
940075699922132992,2017-12-11 04:28:07,b'@Cynecin @BrooklynSAB1 @Voices4Humanity @realDonaldTrump Sure comrade. Say anything to deflect from your useful idi\xe2\x80\xa6 https://t.co/ReJhnNe9d5'
940074755939491841,2017-12-11 04:24:22,b'@KellieSelf1 @UsaLibertyNews Trash news. Fake. Republished fake Russian stories.'
939331660851462144,2017-12-09 03:11:34,b'@JacobAWohl @realDonaldTrump @FoxNews Are you hanging out with your Russian buddies.'
939330600875331585,2017-12-09 03:07:21,b'@realDonaldTrump @FoxNews We know the Dossier is not fake. You are in debt to Russia and can\xe2\x80\x99t be trusted. Resign.'
938548815380058113,2017-12-06 23:20:49,b'@American45th @thistallawkgirl @realDonaldTrump Russians are back on Twitter'
938548376047468544,2017-12-06 23:19:04,b'@realDonaldTrump Down again today.'
938547931371552768,2017-12-06 23:17:18,b'@Scavino45 Ugly.   Who is the designer Don Jr?'
938547400980905985,2017-12-06 23:15:12,b'@kartait @claws4truth @dicktalks @EdKrassen @Scavino45 Indoctrination?   Like parochial schools?  What the heck are\xe2\x80\xa6 https://t.co/X6VBlBZxZp'
938546605036265472,2017-12-06 23:12:02,b'@claws4truth @dicktalks @EdKrassen @Scavino45 And they live downtown NY right?  Only a very few can afford it outside of remote areas'
938545507030351872,2017-12-06 23:07:40,b'@realDonaldTrump Lost money in the market again today. Thanks to you and tax bill.   Resign and do what you really\xe2\x80\xa6 https://t.co/iHpSVVjyGa'
937867373947662336,2017-12-05 02:13:01,b'@VP @POTUS @CBNNews @TheBrodyFile Yes broth started again in Obama\xe2\x80\x99s first term. Been continuing ever sine.'
937862110788296704,2017-12-05 01:52:06,b'@realDonaldTrump @foxandfriends If you would rather be a TV critic than President I sure we can find you a job in that field.'
937826380342894592,2017-12-04 23:30:07,b'@basilpuglisi @ChristopherHahn @realDonaldTrump Yes. It is called preponderance of the evidence. Civil standard.'
937826018462535681,2017-12-04 23:28:41,b'@realDonaldTrump Be honest.  You just want someone to hang out at the mall with.'
937825626664321025,2017-12-04 23:27:08,b'@American45th @JackARoe212 @thistallawkgirl @realDonaldTrump Thought you would say because Trump is white.  Only blacks shine shoes right?'
937824792199049217,2017-12-04 23:23:49,b'@American45th @thistallawkgirl @realDonaldTrump Been a racist long?'
937824439072210944,2017-12-04 23:22:24,b'@realDonaldTrump Lost a lot of money in the market today thanks to your tax plan. Aren\xe2\x80\x99t you the same guy that in t\xe2\x80\xa6 https://t.co/jpk9K5wYZF'
937822351722405888,2017-12-04 23:14:07,b'@RedPillMurica @kataStatik @realDonaldTrump @foxandfriends All entitlements come out of checks.  For example welfar\xe2\x80\xa6 https://t.co/e1MnoR4zhO'
937797119787671553,2017-12-04 21:33:51,b'@realDonaldTrump We need more perverts in Congress and the White House.  Vote Moore.'
937796508514009088,2017-12-04 21:31:25,b'@realDonaldTrump Breaking News - Stock market tanks on Trumps tax cuts.'
937080638506655744,2017-12-02 22:06:48,b'@beehive1027 @DonnaWR8 @realDonaldTrump You show Denver as one. Fake News. It is not.'
937080425213657088,2017-12-02 22:05:58,b'@DonnaWR8 @realDonaldTrump Is that sign in Canada for Americans fleeing US because we have a Moron as president'
