id,created_at,text
940411109626048512,2017-12-12 02:40:55,"b'RT @cynthiamckinney: Of course, since ISIS is created by the US and supported by Israel. https://t.co/9NIzeSRai1'"
940410965669171200,2017-12-12 02:40:20,b'RT @Baz4peace: #NikkiHaley at Security council:The United States will not be lectured to by countries that lack any credibility\nThe countri\xe2\x80\xa6'
940408911559053313,2017-12-12 02:32:11,"b'RT @marcslate8: Nice suit Bill+great smile. Is all the gold on the suit made from 24 carat gold thread too? $81M. So many Banks,so many bai\xe2\x80\xa6'"
940408007887933441,2017-12-12 02:28:35,"b""RT @LeeCamp: Yes, Democrats voted against the #TaxScam. But you don't get here without decades deregulating the financial industry and sell\xe2\x80\xa6"""
940407809140838400,2017-12-12 02:27:48,"b""RT @subsalr: I've lost track! How many of the terriorist attacks in the United States, since 2000, have been committed by people who have s\xe2\x80\xa6"""
940407434199339008,2017-12-12 02:26:18,"b""RT @Alt_FedEmployee: If you do not blame all white men for Stephen Paddock the terrorist who shot 500 innocent people... then you shouldn't\xe2\x80\xa6"""
940407341874335745,2017-12-12 02:25:56,"b""RT @LeeCamp: You SHOULD despise Trump and his tax plan - but also know he isn't the cause of this corrupt system. He's its creation- the sa\xe2\x80\xa6"""
940407308957470721,2017-12-12 02:25:49,"b'RT @RedactedTonight: US intelligence lied to us about Iraq. Intelligence lies got us into Libya. But yeah, the CIA is totally telling the t\xe2\x80\xa6'"
940391422456422400,2017-12-12 01:22:41,"b'RT @spectatorindex: QUOTE: ""I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and ston\xe2\x80\xa6'"
940391375626960896,2017-12-12 01:22:30,b'RT @earthescope: What an incredible encounter! https://t.co/9cnEzDL4Nf'
940390867755552769,2017-12-12 01:20:29,b'RT @Morpheous_one: @Tracynyc1 @zappamel @craughwell_sean @BruceGilstrap @SanguinKnight @BladderControl3 @darren_dazmav_2 @TanyaKasim @gok_g\xe2\x80\xa6'
940390196071288833,2017-12-12 01:17:49,b'RT @REALDWAB: #royalist? Think hard. https://t.co/MMlaMBHTAl'
940390052357640193,2017-12-12 01:17:14,"b""RT @catoletters: @agnahcalepepzyx @Ian56789 Bolton, Never met a war, he didn't want to start"""
940388316238827520,2017-12-12 01:10:20,"b'RT @Snowden: Fact check: 106,469 people in 2016 were targeted\xe2\x80\x94without warrants\xe2\x80\x94under just one program. NSA alone also kept records of at le\xe2\x80\xa6'"
940387944153698305,2017-12-12 01:08:52,b'RT @kppotatoes: Goebbels studied Bernays and adopted his mentality and methods https://t.co/a1amXjqbus'
940387840051089408,2017-12-12 01:08:27,b'RT @mnrothbard: https://t.co/VdqSFjjMcs'
940379445025804288,2017-12-12 00:35:05,"b'RT @jamesperloff: \xe2\x80\x9cCharge, men, charge! Then Britain can give the land you fought and died for to the bloodsucking Zionists!\xe2\x80\x9d https://t.co/\xe2\x80\xa6'"
940379359520677888,2017-12-12 00:34:45,"b'RT @LeeCamp: While the ruling elite pick the bones of our society, many working class Americans bicker over meaningless daily ""news."" That\'\xe2\x80\xa6'"
940379210916421632,2017-12-12 00:34:09,"b'RT @RedactedTonight: Grown woman chooses to terminate a pregnancy.\n""This is an atrocious, reprehensible, barbaric SIN. What would GOD say?""\xe2\x80\xa6'"
940379139982446592,2017-12-12 00:33:53,"b'RT @jamesperloff: Recognizing Jerusalem: only the latest Zionist step. Truman recognized Israel 11 minutes after the state was proclaimed,\xe2\x80\xa6'"
940379068448608256,2017-12-12 00:33:35,"b'RT @AmirAminiMD: This has to be the most ridiculous, idiotic, insulting, tone deaf, out of touch, offensive piece of corporate sponsored pr\xe2\x80\xa6'"
940379020402847745,2017-12-12 00:33:24,"b'RT @LeeCamp: Let\'s be clear: The ""right"" includes the Democratic party, which joined the GOP to actively support corporate control of the s\xe2\x80\xa6'"
940378877012185088,2017-12-12 00:32:50,"b""RT @RedactedTonight: 83% of stocks owned by 1% of the population ... and we're told to celebrate a high stock market? Lol OK corporate medi\xe2\x80\xa6"""
940378799925026816,2017-12-12 00:32:31,b'@adsslondon @spectatorindex @ianbremmer What do they all have in common?\nUS colonization!'
940313623548841984,2017-12-11 20:13:32,b'False Flags abound!'
940313411849682946,2017-12-11 20:12:42,"b'RT @LeeCamp: About 98% of Americans have Perflourochemicals (PFCs) in their blood. PFCs cause cancer, liver disease and kidney disease. Our\xe2\x80\xa6'"
940313344577241088,2017-12-11 20:12:26,"b""RT @MacBethSpeaks: U.S. is the planet's #1 oligarchy.\n\nOur oligarchy can't exist w/o a corrupt Congress passing people abusing &amp; planet kil\xe2\x80\xa6"""
940313160388677632,2017-12-11 20:11:42,"b'RT @TeodroseFikre: ""Twice Victimized: The Terror that Forever Changed US""\n\nnow being written at https://t.co/8SoR8WhifW #developing'"
940313132811026432,2017-12-11 20:11:35,b'RT @DianaBardsley: The #ForProtfitHealthcareSystem in US has killed my mother!! Brigham and Women sent my mother to her death releasing her\xe2\x80\xa6'
940312919270658051,2017-12-11 20:10:44,b'I don\xe2\x80\x99t understand the people\xe2\x80\x99s shock at Trump supporting Moore! Look what he did for Sheriff arpaio'
940312224350064640,2017-12-11 20:07:59,"b'RT @Adaya77: US, Japan and South Korea host joint missile tracking drills  https://t.co/ZMI1ikLBRu @InvestAltcoins'"
940312199410667520,2017-12-11 20:07:53,"b'RT @sahouraxo: Obama is also responsible for the current slave-trading of Black Africans at the hands of jihadists in Libya, but sure, let\xe2\x80\x99\xe2\x80\xa6'"
940312128229015553,2017-12-11 20:07:36,"b""RT @ttommyunger: That's just gilding the lilly. He's a self-centered, intellectually incurious, uneducated asshole. https://t.co/eJuFHVzDrQ"""
940200883786276866,2017-12-11 12:45:33,b'RT @Uniocracy: We should be very concerned about Weather Modification \nhttps://t.co/PeeOOFsri2 .#OpChemtrails'
940200859971018752,2017-12-11 12:45:27,"b'RT @RealTimBlack: ICYMI: Disturbing Video - This officer murdered an unarmed, unaggressive, sobbing man in cold blood and walked Scott Free\xe2\x80\xa6'"
940200392331288577,2017-12-11 12:43:36,b'RT @Morpheous_one: https://t.co/MnQfcoKUaU'
940200332897988610,2017-12-11 12:43:22,"b""RT @MercyForAnimals: #Fact: Chickens are capable of feeling empathy, something that requires both cognition and emotion.There's a lot more\xe2\x80\xa6"""
940200294583095296,2017-12-11 12:43:12,b'RT @Fukyolisergikar: Alex Gross\xc2\xa0- Worx sphore \nThe wonderful plastic world of Donald Trump #resist #metoo #responsibility #climatechange #R\xe2\x80\xa6'
940200251474022401,2017-12-11 12:43:02,b'RT @AHTribune: #IsraelGate: The Arrogance of Jewish Power in the United States https://t.co/xla4fHUNgl via Philip Giraldi'
940200126366322688,2017-12-11 12:42:32,b'RT @Morpheous_one: https://t.co/1zphcvqZ7N'
940200096683249665,2017-12-11 12:42:25,b'RT @TheScaryNature: Holy Mother of Carp https://t.co/7FhtVHOJ0m'
940200000377810944,2017-12-11 12:42:02,b'RT @MuhammadSmiry: Thanks Turkey. https://t.co/eZfN8lWodx'
940199929489879040,2017-12-11 12:41:45,"b'RT @WalkerBragman: Nancy Pelosi took money from Goldman Sachs, Lockheed Martin, and the National Cable &amp; Telecommunications Association thi\xe2\x80\xa6'"
940199865237360641,2017-12-11 12:41:30,"b""RT @cotureme: TALK ABOUT A DUMB FUCK STILL BEATING A DEAD HORSE Republican Senate contender Corey Stewart revives Obama 'birther' claim htt\xe2\x80\xa6"""
940199640741367809,2017-12-11 12:40:37,"b""RT @swilkinsonbc: It's time to get rid of the racist 2-state idea, renounce the Oslo Accords &amp; come up with a democratic alternative https:\xe2\x80\xa6"""
940199603659472896,2017-12-11 12:40:28,"b'RT @batoolAzra: #Hezbollah fighter last words; ""I don\'t want \'72 virgins\', I only want my wife"" \xf0\x9f\x92\x9b http://t.co/ZqrQkCCzXT'"
940199566246326272,2017-12-11 12:40:19,"b'RT @ShehabiFares: In Iraq, Libya, &amp; Syria, the west worked to destroy strong secular states in favor of radical jihadi chaos that produced\xe2\x80\xa6'"
940199507983085568,2017-12-11 12:40:05,b'RT @AWAKEALERT: Putin uses gold to smash the US dollar dominance\n\n#BRICS counties are considering starting an internal gold trading platfor\xe2\x80\xa6'
940199472415543296,2017-12-11 12:39:56,"b'RT @jeremycorbyn: Today, the @Conservatives have a choice.\n\nThey can continue with their plan to hand over \xc2\xa35bn in tax giveaways to the ban\xe2\x80\xa6'"
940199435547611136,2017-12-11 12:39:48,"b'RT @LeeCamp: So interesting that these MULTIBILLION dollar ""news"" organizations can\'t find the fact that heroin overdoses quadrupled after\xe2\x80\xa6'"
940199278303203328,2017-12-11 12:39:10,b'RT @GurdjieffWork: Our life is shaped by our mind; we become what we think. ~ Buddha'
940199229338857472,2017-12-11 12:38:58,b'RT @GurdjieffWork: There are only two mistakes one can make on the road to truth; not going all the way and not starting. ~ Buddha'
940199082596945920,2017-12-11 12:38:24,"b'RT @DncIgnorance4: The Syrian people will never forget or forgive what the US, UK, Saudi and Israeli terrorist unleashed upon them. The mas\xe2\x80\xa6'"
940198873838030848,2017-12-11 12:37:34,"b'RT @SJRTooting: Our lives, our education, our ethics, our morality, our justice &amp; humanity all is CONTROLLED by Zionist education 4m age 4\xe2\x80\xa6'"
940198783870291968,2017-12-11 12:37:12,"b'RT @jdakwar: Obama, Biden and Clinton have not yet reacted (at least on Twitter) to Trump\xe2\x80\x99s recognition of Jerusalem as Israel\xe2\x80\x99s capital. T\xe2\x80\xa6'"
940198665163018240,2017-12-11 12:36:44,b'RT @DaysofPalestine: Palestinian businessman Mohamed Hadid (and father of supermodels Gigi and Bella Hadid) was stopped by TMZ to talk abou\xe2\x80\xa6'
940198482077474816,2017-12-11 12:36:00,"b""RT @swilkinsonbc: Trump has legitimised the right-wing idea that Israel can control ALL of J'salem by sheer force, says David Sheen https:/\xe2\x80\xa6"""
940198447646375937,2017-12-11 12:35:52,b'RT @RedactedTonight: The murder of Net Neutrality could totally kill grassroots activism in the US. The corporations that control TV + radi\xe2\x80\xa6'
940198270927867905,2017-12-11 12:35:10,b'RT @banoobux1: #Boycott US and Israel https://t.co/ru5TWqZ2TB'
940198203475062784,2017-12-11 12:34:54,b'RT @LeeCamp: Social Security is making this country bankrupt and is just TOO EXPENSIVE.*\n\n*We have hundreds of billions to topple governmen\xe2\x80\xa6'
940198163071275009,2017-12-11 12:34:44,b'RT @LeeCamp: 57% of Americans say the U.S. should \xe2\x80\x9cdeal with its own problems and let other countries deal with their problems the best the\xe2\x80\xa6'
940198113809223680,2017-12-11 12:34:33,"b'RT @RedactedTonight: Periodic reminder that 30,000 veterans are homeless while this country spends $250 million on war per day.\n\nhttps://t.\xe2\x80\xa6'"
940197994615529472,2017-12-11 12:34:04,"b'RT @LeeCamp: When the Soviet Union collapsed, we had an opportunity as the US to promote democracy. We did the opposite. We promoted exploi\xe2\x80\xa6'"
940090305587449858,2017-12-11 05:26:09,"b'RT @endcomputed: USA nuclear power plants detected Fukushima radiation immediately from the nuclear meltdown. Not one Govt official, nor an\xe2\x80\xa6'"
940090249710989313,2017-12-11 05:25:56,b'RT @YoanaVega10: https://t.co/2ypYKqJajv'
940083424924131330,2017-12-11 04:58:49,"b'RT @LizzyM_TO: He was looking to buy SEVERAL luxury residences. He has Palm Springs, DC, And Was looking at NYC and Martha;s Vineyard/Nantu\xe2\x80\xa6'"
940083302324563968,2017-12-11 04:58:19,b'RT @KaTAlchemy: Jeremy Corbyn and Noam Chomsky win peace prize amid media silence https://t.co/ULfmjvlRy7'
940082979333799937,2017-12-11 04:57:02,"b""RT @OccupyTheDems: @LeftwardSwing @peterdaou @DNC Hillary's state department sold up to 70% of the world's arms during her tenure. She also\xe2\x80\xa6"""
940082291073679360,2017-12-11 04:54:18,"b'RT @jacobinmag: Quoting from late socialist leaders Salvador Allende and Thomas Sankara, Corbyn offers a blueprint for a fundamentally diff\xe2\x80\xa6'"
940082222085705728,2017-12-11 04:54:02,b'RT @jennycohn1: Please RT every post in this short Thread. Voters must understand that we are just about the only western democracy dumb en\xe2\x80\xa6'
940082037947490304,2017-12-11 04:53:18,b'RT @GullySully77: AKA: Criminals protecting criminals. https://t.co/qEnJOLVmtr'
940081545741680640,2017-12-11 04:51:21,b'RT @SerraMesa_Bill: @leomonte63 @mariamtayob @stillangry1 @MLKstudios_ @ItisPalestine @S_ergeyR_omanov @aftab457 @phrvrak @realChaim_Rubin\xe2\x80\xa6'
940080814892523523,2017-12-11 04:48:26,b'RT @SerraMesa_Bill: @realChaim_Rubin @HalimaB20 @PalestinianHart @SDGMasterglass @IsraelTruth1 @ItisPalestine @Ian_Flaming @leomonte63 @mar\xe2\x80\xa6'
940080729093947395,2017-12-11 04:48:06,"b""RT @ProgressOutlook: Trump's tariff will hurt, if not kill, your pocketbook."""
940079972181409793,2017-12-11 04:45:05,"b""RT @banoobux1: #BDS #Palestine Boycott Israel to end it's apartheid regime .#JerusalemIsTheCapitalofPalestine https://t.co/uDFljvbnGc"""
940079669155475462,2017-12-11 04:43:53,b'RT @simonhedlin: This is what @SenateMajLdr McConnell said in 1999 after having removed Senator Packwood from office over sexual misconduct\xe2\x80\xa6'
940079351705378816,2017-12-11 04:42:37,"b'RT @DestroyIllusion: Buying organic and nonGMO is not a ""marketing fad"".\nHigher nutrients = more energy = more life force in you. https://t\xe2\x80\xa6'"
940078833100713985,2017-12-11 04:40:34,b'I don\xe2\x80\x99t get it\nAren\xe2\x80\x99t these sheep all Sports nuts and adulterers? \nOops forgot it\xe2\x80\x99s not adultery if it\xe2\x80\x99s incest. \nM\xe2\x80\xa6 https://t.co/YCkn2i2IXZ'
940077734151143424,2017-12-11 04:36:12,b'Every single one of these people should be removed from office.\nThey all vote in favor of Israel\nZionist State https://t.co/KX7elRNSDE'
940076684279025664,2017-12-11 04:32:01,b'RT @Zionocracy: How many extremely well armed #Israeli Occupiers does it take to kidnap a 14-year-old #Palestinian child?\n#InternationalHum\xe2\x80\xa6'
940076345035431937,2017-12-11 04:30:41,b'RT @banoobux1: #BDS @ACLU &lt;&lt;Great support 4 Palestine https://t.co/jTR5hzCUb5'
940076100276719617,2017-12-11 04:29:42,b'RT @AminJarrar1: @ArensTed @MLKstudios_ @realChaim_Rubin @Micky_Debarge2 @PalestinianHart @SDGMasterglass @IsraelTruth1 @ItisPalestine @Ian\xe2\x80\xa6'
