id,created_at,text
940362491372040192,2017-12-11 23:27:43,b'RT @ZaibatsuNews: Ex-Breitbarter calls out GOP hypocrisy on Moore: \xe2\x80\x98They\xe2\x80\x99re so concerned with children\xe2\x80\x99 \xe2\x80\x94 but not molesters https://t.co/9q\xe2\x80\xa6'
940360676576342016,2017-12-11 23:20:31,b'@mangelaron @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump U should mive to russia and maybe trump will\xe2\x80\xa6 https://t.co/0c0yS5aQKW'
940360090384728064,2017-12-11 23:18:11,b'@woodpecker002 @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Really i hinestly believe u really dont kn\xe2\x80\xa6 https://t.co/pVdiOWobUy'
940359458328256512,2017-12-11 23:15:40,b'@woodpecker002 @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump He is the only one that makes fun of peopl\xe2\x80\xa6 https://t.co/ukxoHbPXrs'
940359086721220608,2017-12-11 23:14:11,b'@woodpecker002 @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump How fo u know if there easnt anything docs could do for them'
940358918944956416,2017-12-11 23:13:31,b'@woodpecker002 @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Thr plantation days is ehat trimp wants'
940319795110559745,2017-12-11 20:38:04,b'@woodpecker002 @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Obama didnt try to start a war. My son wen\xe2\x80\xa6 https://t.co/djq2ck9J1d'
940319502633394176,2017-12-11 20:36:54,b'@woodpecker002 @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Will die'
940319432823279616,2017-12-11 20:36:37,b'@woodpecker002 @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Hes starting a wat with korea. If one of t\xe2\x80\xa6 https://t.co/Jpp6O3v35g'
940319104073744385,2017-12-11 20:35:19,b'@woodpecker002 @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Trump is all about russia. He wants ti tak\xe2\x80\xa6 https://t.co/d1wD6sk0c1'
940133157591904256,2017-12-11 08:16:26,b'@marknutter @alyse_gurak @jamoka4zo @mtracey She wasnt try to act like the fool trump turned out to be. Trump act like an addict'
940132823888830464,2017-12-11 08:15:06,"b""RT @TMarie_10: @marknutter @rosiegee818 @alyse_gurak @jamoka4zo @mtracey You're a gd LIAR.  US intelligence agencies ANNOUNCED Russia hacke\xe2\x80\xa6"""
940132772416339968,2017-12-11 08:14:54,b'@marknutter @TMarie_10 @alyse_gurak @jamoka4zo @mtracey Trump provides all the truth when he lies about EVEYTHING a\xe2\x80\xa6 https://t.co/hB4AYAOjct'
940132384594214912,2017-12-11 08:13:21,b'@marknutter @TMarie_10 @alyse_gurak @jamoka4zo @mtracey Honey everything about trump says russia not america'
940132382799151104,2017-12-11 08:13:21,b'@realDonaldTrump @USArmy @USNavy They dont like u'
940132375056465920,2017-12-11 08:13:19,"b'RT @PeterStechow: @southbeachbound @CindyBegel @realDonaldTrump @daveweigel Probs not, pedophiles are among the groups that have always bee\xe2\x80\xa6'"
940132374804799490,2017-12-11 08:13:19,b'@Aly19 @Sloopyy @cbyKarg @johnlegend @realDonaldTrump @daveweigel Russia trump not america'
940132373454188546,2017-12-11 08:13:19,b'RT @southbeachbound: @CindyBegel @realDonaldTrump @daveweigel It might have gone up with a few more pediphiles approving of his choice to b\xe2\x80\xa6'
940132373449998336,2017-12-11 08:13:19,"b'RT @CindyBegel: @southbeachbound @realDonaldTrump @daveweigel Oh, man I just put 35% in a tweet -- so I gave him 3 extra percentage points.\xe2\x80\xa6'"
940132348665913345,2017-12-11 08:13:13,"b'RT @southbeachbound: @CindyBegel @realDonaldTrump @daveweigel Exactly, 32% approval, the worst in history!'"
940132320715063296,2017-12-11 08:13:06,"b""RT @CindyBegel: @realDonaldTrump @daveweigel Here's something true. 65% of Americans disapprove of the job you're doing. Your base is aband\xe2\x80\xa6"""
940132204021035008,2017-12-11 08:12:38,"b'RT @nikbrn: @Aly19 @johnlegend @realDonaldTrump @daveweigel Nawh the last 8 yrs we had a Man, married to one women , with ZERO scandals, Ze\xe2\x80\xa6'"
940131174927679488,2017-12-11 08:08:33,b'RT @goodydrenee: @Aly19 @johnlegend @realDonaldTrump @daveweigel No. He\xe2\x80\x99s right. Trump is weak. His weakness is his weakness.'
940131116488339457,2017-12-11 08:08:19,b'RT @hrhh1725: @Aly19 @johnlegend @realDonaldTrump @daveweigel  https://t.co/JNI5BKUv6Q'
940130970178527232,2017-12-11 08:07:44,b'@Aly19 @johnlegend @realDonaldTrump @daveweigel Nothing about trump says america. Everything about him says russia.'
940130944438059008,2017-12-11 08:07:38,b'@Aly19 @Sloopyy @cbyKarg @johnlegend @realDonaldTrump @daveweigel Everything about trump says russia not america'
940130493030326272,2017-12-11 08:05:50,b'@realDonaldTrump @daveweigel Says u big liar. Ur a son of an upportunist immagrant. Nothing about u says america'
940129975104974848,2017-12-11 08:03:47,b'@realDonaldTrump Stfu. Nothing about u says america . traitor liar. Ur fake and a fraud. Leave this country. Leave'
940129581494820864,2017-12-11 08:02:13,b'RT @Joseph_Kott: @williamOsborn_ @realDonaldTrump  https://t.co/ZZgSKIECRi'
940129507914039298,2017-12-11 08:01:56,b'RT @ace_maddie: @williamOsborn_ @realDonaldTrump Is that the fires in California? Caused by climate change? Why would you post that with Tr\xe2\x80\xa6'
940129462158368768,2017-12-11 08:01:45,b'RT @fighting4answrs: @williamOsborn_ @realDonaldTrump what flavor is the koolaid?  we have never experienced a President who tells as many\xe2\x80\xa6'
940129305949908994,2017-12-11 08:01:07,b'@williamOsborn_ @realDonaldTrump He dnt know u excist. What a joke. U wnt live like russian than move there.'
940129023455248384,2017-12-11 08:00:00,b'@williamOsborn_ @realDonaldTrump The devil'
940128961748537344,2017-12-11 07:59:45,b'@williamOsborn_ @realDonaldTrump U should go live in Russia. Trump is trying to turn the usa into russia. Pay attention'
940128335421566977,2017-12-11 07:57:16,b'@kerber_cyndi @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Oh i bet u didnt think about that. Oh tump\xe2\x80\xa6 https://t.co/fEBWxLbSVm'
940128090633650177,2017-12-11 07:56:18,b'@kerber_cyndi @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Obama did what he cld. The republicans dnt\xe2\x80\xa6 https://t.co/tfWsYVVPVC'
940127509068132352,2017-12-11 07:53:59,b'RT @ImmaculateEnahs: @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Listen you need to realize we need a enemy to give U.S. the\xe2\x80\xa6'
940127389727653888,2017-12-11 07:53:31,b'@KnightsBishop @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Omg another bozo hahaha'
940127234014134272,2017-12-11 07:52:53,b'@CDEvansJr @ButImAWoofer @jtown1970 @WestWingReport @realDonaldTrump Wwwhhaat! Fox news. How stupid. U watch fox to\xe2\x80\xa6 https://t.co/qX4WLw5Cdf'
